InertialMeasurementUnit LUA Quaternion1;Accelerometer LWR accX;InertialMeasurementUnit RLA magneticY;InertialMeasurementUnit RUA accZ;InertialMeasurementUnit RUA Quaternion4;InertialMeasurementUnit RUA Quaternion2;Accelerometer LH accX
-221.0;-171.0;-207.0;143.0;-345.0;348.0;-73.0
-125.0;-330.0;-266.0;259.0;-422.0;273.0;201.0
-224.0;-293.0;-152.0;81.0;-300.0;341.0;110.0
-120.0;-221.0;-167.0;5.0;-330.0;373.0;370.0
-109.0;-230.0;152.0;56.0;-161.0;209.0;274.0
-275.0;-428.0;-567.0;205.0;-236.0;286.0;565.0
-161.0;-354.0;-166.0;112.0;-461.0;149.0;236.0
-222.0;-487.0;-75.0;60.0;-393.0;449.0;517.0
-244.0;-630.0;-78.0;11.0;-379.0;206.0;248.0
-246.0;-368.0;-77.0;328.0;-399.0;441.0;58.0
-227.0;-410.0;24.0;166.0;-448.0;297.0;151.0
-361.0;-185.0;244.0;163.0;-516.0;484.0;-9.0
-487.0;-510.0;-703.0;143.0;-351.0;219.0;564.0
-302.0;-359.0;559.0;178.0;-621.0;264.0;722.0
-332.0;-532.0;249.0;297.0;-618.0;36.0;895.0
220.0;-801.0;-695.0;380.0;68.0;-320.0;977.0
-374.0;-397.0;215.0;233.0;-507.0;455.0;307.0
374.0;-967.0;-756.0;159.0;171.0;-34.0;538.0
-68.0;-318.0;-398.0;193.0;-216.0;241.0;367.0
-96.0;-359.0;-132.0;93.0;-286.0;345.0;303.0
-321.0;-350.0;14.0;295.0;-460.0;445.0;537.0
-333.0;-702.0;27.0;176.0;-489.0;294.0;404.0
-178.0;-500.0;-47.0;118.0;-413.0;379.0;440.0
-322.0;-503.0;480.0;587.0;-820.0;47.0;816.0
-85.0;-400.0;-937.0;157.0;-10.0;-195.0;498.0
-415.0;-663.0;479.0;271.0;-714.0;500.0;438.0
-349.0;-184.0;199.0;214.0;-467.0;446.0;321.0
-159.0;-337.0;-303.0;291.0;-306.0;317.0;100.0
-198.0;-611.0;-169.0;-98.0;-320.0;334.0;286.0
-761.0;-292.0;-104.0;93.0;-706.0;587.0;292.0
-398.0;-807.0;-326.0;266.0;-522.0;428.0;485.0
-785.0;-395.0;50.0;171.0;-714.0;564.0;465.0
-478.0;-749.0;-430.0;147.0;-211.0;410.0;536.0
45.0;-197.0;-376.0;192.0;-11.0;96.0;-48.0
-349.0;-332.0;-312.0;176.0;-502.0;536.0;350.0
-55.0;-362.0;-160.0;163.0;-239.0;126.0;255.0
-173.0;-389.0;-92.0;93.0;-455.0;157.0;255.0
-340.0;-316.0;-64.0;487.0;-503.0;597.0;283.0
-240.0;-474.0;-50.0;289.0;-374.0;400.0;402.0
-260.0;-503.0;-59.0;198.0;-406.0;404.0;433.0
-57.0;-327.0;-164.0;110.0;-261.0;128.0;230.0
-40.0;-424.0;-59.0;-6.0;-218.0;350.0;520.0
160.0;-419.0;-544.0;157.0;225.0;-159.0;327.0
274.0;-342.0;-259.0;271.0;81.0;52.0;246.0
291.0;-148.0;-28.0;78.0;403.0;-494.0;144.0
706.0;-449.0;-259.0;151.0;659.0;-534.0;478.0
717.0;-176.0;-349.0;166.0;654.0;-433.0;138.0
-734.0;-300.0;-285.0;403.0;-667.0;256.0;333.0
-634.0;-307.0;-105.0;60.0;-629.0;125.0;420.0
-62.0;-394.0;-80.0;145.0;-383.0;172.0;263.0
9.0;-13.0;25.0;153.0;-641.0;-10.0;487.0
-145.0;-209.0;-557.0;470.0;-271.0;-402.0;214.0
-173.0;-341.0;-132.0;152.0;-376.0;410.0;513.0
367.0;-480.0;145.0;171.0;508.0;-452.0;506.0
-112.0;-970.0;-436.0;58.0;-352.0;286.0;1089.0
-305.0;-197.0;-229.0;146.0;-296.0;378.0;226.0
-334.0;-329.0;52.0;30.0;-435.0;462.0;312.0
-187.0;-293.0;-521.0;179.0;-193.0;295.0;127.0
176.0;-403.0;-518.0;113.0;-37.0;127.0;495.0
-104.0;-383.0;-85.0;207.0;-314.0;367.0;396.0
-167.0;-303.0;-20.0;94.0;-353.0;393.0;303.0
-783.0;-169.0;-120.0;157.0;-702.0;592.0;-4.0
-803.0;-93.0;-494.0;165.0;-551.0;398.0;119.0
-796.0;-294.0;426.0;177.0;-736.0;596.0;299.0
-752.0;-318.0;-255.0;59.0;-676.0;560.0;346.0
-247.0;-242.0;18.0;48.0;-326.0;362.0;265.0
-779.0;-293.0;398.0;278.0;-781.0;135.0;350.0
-189.0;-337.0;15.0;125.0;-308.0;344.0;424.0
-682.0;-382.0;-359.0;204.0;-615.0;466.0;377.0
-143.0;-317.0;-26.0;-24.0;-306.0;339.0;417.0
-101.0;-333.0;28.0;69.0;-371.0;211.0;196.0
-675.0;-573.0;-192.0;200.0;-547.0;412.0;600.0
-8.0;-653.0;40.0;20.0;-244.0;127.0;342.0
-326.0;-360.0;225.0;306.0;-555.0;50.0;689.0
56.0;-360.0;161.0;211.0;-187.0;247.0;403.0
784.0;-290.0;402.0;266.0;834.0;-372.0;327.0
-219.0;-429.0;-55.0;153.0;-397.0;403.0;386.0
-39.0;-609.0;-300.0;7.0;-308.0;420.0;659.0
-83.0;-357.0;-102.0;206.0;-291.0;359.0;463.0
-191.0;-768.0;-54.0;16.0;-358.0;384.0;343.0
65.0;-369.0;-413.0;-34.0;-249.0;335.0;459.0
-98.0;127.0;-335.0;45.0;-262.0;276.0;-69.0
-328.0;-68.0;-122.0;104.0;-360.0;409.0;335.0
-86.0;-347.0;-49.0;191.0;-318.0;196.0;252.0
-278.0;-273.0;-127.0;142.0;-395.0;391.0;482.0
-107.0;-272.0;-35.0;208.0;-308.0;219.0;165.0
-91.0;-353.0;-43.0;194.0;-315.0;196.0;260.0
-194.0;-457.0;-652.0;236.0;-230.0;261.0;841.0
-232.0;-342.0;-371.0;164.0;-282.0;331.0;464.0
-210.0;-333.0;4.0;-10.0;-348.0;416.0;322.0
-196.0;-397.0;-211.0;-11.0;-251.0;390.0;385.0
-225.0;-411.0;-220.0;239.0;-349.0;361.0;380.0
-617.0;-863.0;-755.0;128.0;-410.0;250.0;615.0
-182.0;-470.0;-163.0;189.0;-267.0;221.0;150.0
-690.0;-598.0;230.0;-10.0;-638.0;576.0;345.0
-692.0;-40.0;-550.0;420.0;-547.0;196.0;26.0
-759.0;-864.0;170.0;120.0;-636.0;552.0;992.0
-95.0;-319.0;-240.0;129.0;-398.0;218.0;236.0
-62.0;-426.0;-436.0;-185.0;-209.0;248.0;648.0
-306.0;-284.0;-60.0;130.0;-458.0;481.0;107.0
