InertialMeasurementUnit RLA gyroY;InertialMeasurementUnit RUA gyroZ;Accelerometer HIP accY;InertialMeasurementUnit R-SHOE Nav_Ay;Accelerometer LUA^ accX;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit L-SHOE AngVelNavFrameZ;InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;InertialMeasurementUnit L-SHOE Body_Ax
-95.0;62.0;910.0;2;357.0;18;-3;660;-3;11
240.0;121.0;792.0;-87;551.0;16;-26;657;-26;-35
-34.0;-452.0;939.0;-42;411.0;13;-8;663;-8;25
45.0;11.0;919.0;2;435.0;18;-4;662;-4;46
243.0;-993.0;975.0;4;526.0;21;-23;660;-23;7
72.0;-15.0;917.0;0;380.0;13;-24;756;-24;11
81.0;1094.0;884.0;22;468.0;2;3;676;3;55
-25.0;128.0;870.0;7;487.0;11;-22;746;-22;20
-63.0;236.0;933.0;807;496.0;14;-12;712;-12;46
257.0;-339.0;851.0;-30;242.0;1932;1015;2329;1015;-755
72.0;-120.0;959.0;86;444.0;17;-5;656;-5;30
98.0;271.0;1015.0;138;462.0;16;14;675;14;29
-59.0;182.0;949.0;1;434.0;18;-12;657;-12;7
134.0;38.0;910.0;6;290.0;25;219;617;219;38
-36.0;6.0;844.0;3;352.0;14;-1;747;-1;19
-228.0;-245.0;937.0;0;374.0;14;-15;664;-15;3
-13.0;-34.0;840.0;-1;494.0;11;-1;750;-1;23
-796.0;801.0;937.0;-2038;341.0;13;-55;645;-55;35
152.0;-4.0;928.0;-2;333.0;13;-6;661;-6;8
-163.0;-16.0;917.0;0;349.0;13;-28;756;-28;17
30.0;128.0;918.0;2;370.0;16;-11;668;-11;14
26.0;-10.0;950.0;-2;303.0;22;10;654;10;14
30.0;35.0;926.0;2;374.0;22;3;661;3;14
-7.0;14.0;931.0;-1;303.0;15;-26;665;-26;16
515.0;-376.0;985.0;267;562.0;56;-30;660;-30;36
588.0;-461.0;1000.0;-225;238.0;974;-196;243;-196;542
454.0;-150.0;1059.0;105;264.0;-639;-371;1397;-371;546
130.0;-71.0;786.0;-1;398.0;15;13;678;13;24
331.0;17.0;960.0;-6;462.0;25;-11;657;-11;8
522.0;83.0;1019.0;1426;507.0;13;-74;691;-74;48
78.0;78.0;930.0;4;562.0;17;-4;654;-4;-7
30.0;-21.0;938.0;1;446.0;14;1;674;1;29
104.0;-6.0;979.0;-6;409.0;17;3;676;3;21
-21.0;21.0;945.0;4;431.0;21;-1;659;-1;32
142.0;-461.0;897.0;-49;334.0;20;-734;703;-734;23
17.0;-4.0;954.0;-1;456.0;24;11;655;11;27
-698.0;533.0;891.0;-714;402.0;21;-64;681;-64;10
-478.0;134.0;915.0;-79;276.0;635;-430;417;-430;409
-64.0;-51.0;973.0;36;497.0;22;-22;658;-22;13
72.0;61.0;1018.0;95;645.0;12;-32;664;-32;-6
17.0;32.0;947.0;6;477.0;15;7;663;7;28
-461.0;147.0;907.0;2;432.0;-67;-1148;969;-1148;59
26.0;12.0;956.0;1;454.0;21;-17;660;-17;35
429.0;-482.0;976.0;-108;378.0;736;-1178;268;-1178;84
23.0;-13.0;994.0;-2;515.0;18;-25;660;-25;13
12.0;-7.0;934.0;-3;459.0;16;-23;661;-23;26
325.0;509.0;1061.0;-657;591.0;28;0;662;0;-2
35.0;46.0;952.0;-2;438.0;17;31;662;31;29
31.0;-24.0;943.0;0;570.0;14;0;659;0;10
462.0;524.0;810.0;2;439.0;72;1110;785;1110;-36
7.0;47.0;898.0;6;370.0;21;-14;667;-14;11
31.0;10.0;949.0;6;442.0;17;17;660;17;31
-32.0;60.0;934.0;-2;321.0;19;-2;665;-2;18
-140.0;434.0;909.0;2196;483.0;6;-34;607;-34;48
-325.0;255.0;964.0;-6;427.0;19;-28;662;-28;39
-60.0;-206.0;1000.0;-492;522.0;20;-26;649;-26;32
-81.0;360.0;791.0;95;591.0;16;-25;688;-25;63
-43.0;89.0;950.0;3;412.0;19;-16;663;-16;30
28.0;157.0;1122.0;-61;389.0;24;-47;656;-47;45
-14.0;-25.0;945.0;2;409.0;17;4;659;4;2
113.0;-98.0;919.0;8;314.0;61;-236;190;-236;-17
16.0;0.0;945.0;-1;507.0;12;12;750;12;25
32.0;26.0;967.0;-3;411.0;13;-13;668;-13;40
-17.0;20.0;923.0;-7;392.0;18;8;667;8;12
252.0;-406.0;938.0;6;499.0;26;-300;1011;-300;-1238
1243.0;644.0;964.0;29;417.0;20;15;669;15;0
36.0;-8.0;894.0;-3;383.0;17;1;659;1;18
-6.0;27.0;951.0;-4;339.0;14;-8;661;-8;9
-21.0;3.0;924.0;0;378.0;14;-5;658;-5;16
-33.0;-9.0;931.0;0;323.0;16;-5;656;-5;6
-3.0;11.0;966.0;6;418.0;20;-8;659;-8;33
0.0;-37.0;951.0;11;410.0;15;31;660;31;30
-9.0;11.0;952.0;1;407.0;17;-12;654;-12;23
21.0;25.0;948.0;6;421.0;20;-21;654;-21;28
80.0;97.0;967.0;0;465.0;22;5;650;5;7
25.0;17.0;959.0;3;406.0;19;3;660;3;28
-189.0;-40.0;957.0;-2;441.0;18;-6;663;-6;24
1281.0;-757.0;912.0;-9;412.0;21;-13;668;-13;24
-959.0;-747.0;934.0;7;438.0;22;-7;654;-7;11
-169.0;-69.0;908.0;45;-7.0;138;-2754;811;-2754;274
128.0;-118.0;934.0;-1;315.0;110;159;120;159;67
5.0;-28.0;942.0;2;333.0;22;-10;656;-10;8
199.0;-166.0;929.0;2;355.0;21;-8;665;-8;28
131.0;-120.0;1390.0;49;395.0;-1386;-1468;2375;-1468;551
-644.0;110.0;938.0;38;485.0;15;-5;659;-5;19
-18.0;-46.0;813.0;-40;267.0;-307;2572;792;2572;152
18.0;-14.0;923.0;1;544.0;14;-14;749;-14;32
-295.0;-258.0;898.0;-1;270.0;-64;1085;735;1085;207
32.0;-7.0;927.0;4;324.0;15;-1;656;-1;7
-71.0;343.0;939.0;-9;409.0;17;-2;659;-2;30
