InertialMeasurementUnit LUA gyroY;InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit LLA accZ;InertialMeasurementUnit LUA accZ;InertialMeasurementUnit LLA gyroY;InertialMeasurementUnit LLA gyroZ;InertialMeasurementUnit RLA magneticZ;InertialMeasurementUnit RLA gyroX;Accelerometer HIP accZ;Accelerometer LWR accZ
-37.0;74.0;28.0;230.0;2.0;94.0;-400.0;-47.0;470.0;412.0
-77.0;-31.0;-20.0;168.0;-115.0;60.0;-445.0;-162.0;417.0;391.0
-53.0;81.0;-19.0;174.0;-22.0;261.0;-449.0;67.0;349.0;486.0
-28.0;18.0;32.0;321.0;-15.0;13.0;-125.0;50.0;328.0;323.0
-18.0;-18.0;37.0;302.0;4.0;60.0;-130.0;33.0;309.0;377.0
19.0;-32.0;32.0;276.0;16.0;18.0;-135.0;64.0;321.0;376.0
70.0;-41.0;45.0;295.0;97.0;-110.0;-164.0;-37.0;327.0;402.0
72.0;-8.0;39.0;267.0;129.0;-66.0;-170.0;6.0;337.0;394.0
40.0;36.0;36.0;274.0;79.0;-25.0;-174.0;56.0;339.0;414.0
-53.0;101.0;7.0;153.0;-50.0;166.0;-155.0;50.0;384.0;362.0
23.0;92.0;1.0;187.0;80.0;94.0;-149.0;-18.0;396.0;395.0
30.0;135.0;1.0;189.0;67.0;122.0;-150.0;-16.0;413.0;376.0
-96.0;257.0;6.0;270.0;86.0;239.0;8.0;-147.0;325.0;388.0
-35.0;50.0;-29.0;171.0;-74.0;120.0;-155.0;8.0;419.0;356.0
6.0;14.0;-40.0;175.0;58.0;23.0;-154.0;28.0;379.0;367.0
72.0;8.0;-26.0;177.0;82.0;-6.0;-155.0;13.0;429.0;375.0
33.0;-17.0;-301.0;-60.0;434.0;10.0;121.0;13.0;445.0;224.0
20.0;-19.0;-5.0;183.0;104.0;-23.0;-148.0;34.0;396.0;344.0
-1.0;-19.0;-9.0;175.0;48.0;19.0;-146.0;52.0;410.0;365.0
-63.0;70.0;-27.0;184.0;-31.0;148.0;-152.0;-115.0;422.0;349.0
-2.0;3.0;-47.0;275.0;-25.0;-61.0;-76.0;-57.0;343.0;435.0
-40.0;101.0;-58.0;246.0;-38.0;59.0;-80.0;-59.0;354.0;398.0
-66.0;73.0;-46.0;253.0;-80.0;68.0;-90.0;-192.0;360.0;453.0
-25.0;69.0;-53.0;249.0;-90.0;28.0;-84.0;-171.0;346.0;443.0
-79.0;79.0;-47.0;257.0;-98.0;86.0;-85.0;-116.0;353.0;424.0
-34.0;98.0;-42.0;265.0;-80.0;100.0;-82.0;-101.0;350.0;437.0
-21.0;9.0;-140.0;122.0;-134.0;-72.0;154.0;-32.0;406.0;545.0
-38.0;70.0;-34.0;268.0;-47.0;54.0;-75.0;-105.0;352.0;414.0
-23.0;54.0;-31.0;273.0;-30.0;56.0;-77.0;-112.0;362.0;402.0
-41.0;118.0;-56.0;274.0;-19.0;47.0;-77.0;-107.0;359.0;371.0
26.0;-2.0;22.0;237.0;75.0;-64.0;-234.0;-28.0;399.0;384.0
-18.0;61.0;51.0;238.0;21.0;104.0;-263.0;-46.0;388.0;387.0
54.0;86.0;142.0;277.0;35.0;338.0;-555.0;-113.0;293.0;471.0
-38.0;54.0;-20.0;241.0;-64.0;114.0;-565.0;-46.0;399.0;384.0
42.0;26.0;-11.0;219.0;50.0;34.0;-561.0;26.0;384.0;365.0
2.0;16.0;16.0;220.0;-17.0;44.0;-557.0;46.0;417.0;367.0
9.0;14.0;-79.0;294.0;-26.0;79.0;-576.0;25.0;402.0;444.0
23.0;16.0;-68.0;319.0;50.0;18.0;-576.0;-48.0;400.0;493.0
-38.0;65.0;-349.0;287.0;-36.0;24.0;-719.0;-4.0;466.0;558.0
-44.0;38.0;-84.0;307.0;-7.0;7.0;-569.0;55.0;398.0;511.0
-30.0;1.0;-76.0;321.0;-50.0;22.0;-569.0;13.0;391.0;537.0
-10.0;-7.0;-84.0;320.0;-34.0;38.0;-567.0;49.0;399.0;515.0
-93.0;126.0;-305.0;309.0;-119.0;62.0;-769.0;298.0;452.0;570.0
23.0;-15.0;-89.0;315.0;56.0;14.0;-565.0;9.0;414.0;501.0
55.0;-29.0;-78.0;302.0;83.0;-6.0;-565.0;-9.0;402.0;503.0
5.0;4.0;-67.0;312.0;17.0;22.0;-562.0;-29.0;382.0;521.0
2.0;-15.0;-74.0;315.0;40.0;18.0;-562.0;-39.0;387.0;491.0
-9.0;-9.0;-69.0;312.0;6.0;44.0;-562.0;-6.0;435.0;529.0
7.0;2.0;-78.0;310.0;-4.0;44.0;-564.0;48.0;409.0;507.0
-5.0;17.0;-75.0;297.0;14.0;43.0;-562.0;1.0;417.0;526.0
-14.0;32.0;-87.0;309.0;31.0;38.0;-560.0;-14.0;405.0;503.0
-19.0;26.0;-80.0;303.0;23.0;39.0;-560.0;-35.0;412.0;495.0
-26.0;37.0;-85.0;316.0;-12.0;62.0;-561.0;-48.0;411.0;487.0
-24.0;40.0;-83.0;300.0;29.0;15.0;-562.0;-43.0;409.0;566.0
-23.0;11.0;85.0;346.0;3.0;-121.0;-274.0;-4.0;374.0;507.0
-38.0;41.0;83.0;335.0;19.0;-79.0;-272.0;103.0;364.0;483.0
6.0;277.0;8.0;240.0;68.0;519.0;-160.0;102.0;355.0;439.0
-45.0;48.0;87.0;309.0;18.0;52.0;-254.0;-2.0;377.0;480.0
