InertialMeasurementUnit LUA magneticY;Accelerometer LUA^ accY;Accelerometer LUA_ accY;InertialMeasurementUnit L-SHOE Compass;Accelerometer LWR accY;Accelerometer RWR accY;InertialMeasurementUnit LLA accX;InertialMeasurementUnit R-SHOE Body_Ay
-58.0;752.0;815.0;-17;727.0;763.0;-846.0;376
-121.0;755.0;781.0;138;597.0;780.0;-756.0;530
-265.0;869.0;915.0;17;821.0;519.0;-969.0;382
64.0;1026.0;843.0;28;836.0;583.0;-1037.0;411
75.0;874.0;926.0;113;856.0;462.0;-950.0;388
-24.0;1119.0;943.0;134;1064.0;554.0;-881.0;273
69.0;921.0;532.0;41;638.0;611.0;-1092.0;411
74.0;890.0;934.0;113;860.0;476.0;-929.0;386
503.0;920.0;888.0;141;718.0;582.0;-823.0;381
73.0;897.0;942.0;113;882.0;526.0;-933.0;387
123.0;902.0;947.0;113;849.0;437.0;-934.0;386
123.0;884.0;931.0;113;858.0;479.0;-947.0;384
205.0;850.0;1003.0;150;918.0;630.0;-954.0;413
162.0;858.0;926.0;113;851.0;617.0;-934.0;391
151.0;845.0;932.0;113;873.0;558.0;-944.0;390
-46.0;854.0;943.0;-177;792.0;478.0;-871.0;559
-35.0;1105.0;916.0;-62;1078.0;606.0;-899.0;402
48.0;905.0;1004.0;135;905.0;685.0;-1010.0;406
134.0;862.0;931.0;113;866.0;507.0;-956.0;387
137.0;897.0;906.0;-43;794.0;563.0;-908.0;383
132.0;873.0;931.0;113;877.0;497.0;-956.0;392
125.0;856.0;917.0;113;847.0;455.0;-966.0;391
150.0;835.0;948.0;113;858.0;464.0;-861.0;386
154.0;826.0;937.0;113;858.0;500.0;-872.0;392
159.0;806.0;904.0;114;857.0;506.0;-876.0;392
99.0;882.0;921.0;113;884.0;370.0;-939.0;485
197.0;807.0;720.0;190;632.0;602.0;-966.0;426
324.0;867.0;781.0;17;750.0;651.0;-1283.0;417
238.0;833.0;522.0;-146;277.0;-43.0;-472.0;400
141.0;822.0;895.0;107;820.0;418.0;-887.0;439
130.0;769.0;971.0;131;784.0;812.0;-809.0;484
