InertialMeasurementUnit RLA gyroY;InertialMeasurementUnit RUA gyroZ;Accelerometer HIP accY;InertialMeasurementUnit R-SHOE Nav_Ay;Accelerometer LUA^ accX;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit L-SHOE AngVelNavFrameZ;InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;InertialMeasurementUnit L-SHOE Body_Ax
56.0;-36.0;954.0;3;351.0;19;-1;656;-1;9
7.0;-15.0;862.0;-4;479.0;18;29;740;29;24
5.0;26.0;857.0;-1;443.0;17;25;744;25;20
-41.0;83.0;915.0;3;374.0;8;2;768;2;9
12.0;-17.0;872.0;-2;444.0;16;30;747;30;22
-58.0;5.0;860.0;-1;522.0;14;0;747;0;19
3.0;-15.0;810.0;-1;468.0;19;-22;739;-22;16
-14.0;37.0;943.0;-4;343.0;19;-13;652;-13;-4
-10.0;-37.0;858.0;-2;468.0;20;3;742;3;24
76.0;-359.0;821.0;68;275.0;32;52;653;52;26
33.0;-17.0;938.0;-1;334.0;107;547;147;547;-86
-7.0;-422.0;726.0;751;243.0;-3162;-1262;4813;-1262;-2310
101.0;30.0;747.0;2;363.0;-1027;-581;1972;-581;23
26.0;9.0;920.0;-2;382.0;16;15;656;15;15
-10.0;-89.0;914.0;5;411.0;13;4;751;4;25
50.0;13.0;948.0;7;352.0;23;2;651;2;10
10.0;24.0;865.0;1;502.0;19;-30;742;-30;16
-99.0;5.0;908.0;1;375.0;13;-7;757;-7;5
15.0;50.0;915.0;-4;385.0;11;5;757;5;9
-11.0;-13.0;954.0;1;405.0;24;-16;648;-16;13
-10.0;12.0;928.0;3;358.0;14;-12;752;-12;6
26.0;4.0;933.0;0;374.0;17;4;658;4;16
-169.0;-69.0;908.0;45;-7.0;138;-2754;811;-2754;274
-63.0;-182.0;917.0;22;448.0;25;-5;652;-5;36
29.0;-78.0;942.0;31;437.0;26;42;672;42;44
35.0;-17.0;952.0;1;429.0;22;-27;660;-27;33
33.0;-2.0;962.0;1;431.0;11;-26;666;-26;30
36.0;-8.0;894.0;-3;383.0;17;1;659;1;18
49.0;29.0;949.0;0;426.0;16;19;661;19;30
42.0;22.0;944.0;5;438.0;19;10;661;10;30
-291.0;448.0;989.0;-5;464.0;-174;-1432;789;-1432;96
23.0;-6.0;927.0;3;441.0;20;-10;661;-10;37
33.0;19.0;956.0;-2;428.0;21;9;659;9;34
-21.0;21.0;945.0;4;431.0;21;-1;659;-1;32
25.0;-16.0;949.0;0;459.0;19;-31;660;-31;33
17.0;-4.0;954.0;-1;456.0;24;11;655;11;27
6.0;23.0;938.0;-3;455.0;18;-6;659;-6;30
-17.0;19.0;942.0;1;444.0;25;-17;656;-17;27
-37.0;-1.0;978.0;33;466.0;22;-36;658;-36;18
17.0;32.0;947.0;6;477.0;15;7;663;7;28
15.0;27.0;957.0;7;459.0;20;7;660;7;29
15.0;14.0;950.0;2;462.0;17;-26;664;-26;31
12.0;2.0;944.0;1;452.0;16;-22;665;-22;27
51.0;4.0;938.0;2;449.0;24;-34;657;-34;37
26.0;12.0;956.0;1;454.0;21;-17;660;-17;35
12.0;-7.0;934.0;-3;459.0;16;-23;661;-23;26
31.0;23.0;931.0;-3;450.0;18;-27;664;-27;34
10.0;31.0;951.0;0;439.0;23;12;665;12;35
22.0;-1.0;958.0;5;474.0;15;-19;663;-19;27
42.0;51.0;994.0;-64;484.0;18;73;685;73;38
1.0;-2.0;922.0;-2;381.0;20;-30;656;-30;19
31.0;10.0;949.0;6;442.0;17;17;660;17;31
44.0;42.0;907.0;0;373.0;18;5;656;5;19
-263.0;570.0;867.0;576;400.0;39;-27;658;-27;95
18.0;59.0;943.0;-1;389.0;17;-10;650;-10;9
-58.0;-8.0;853.0;-156;255.0;2669;1420;2158;1420;-1334
-60.0;-148.0;926.0;-2;306.0;93;-146;171;-146;-29
-336.0;-16.0;1024.0;21;381.0;12;219;696;219;20
