Accelerometer RKN_ accY;InertialMeasurementUnit L-SHOE EuX;InertialMeasurementUnit BACK Quaternion1;InertialMeasurementUnit BACK magneticZ;Accelerometer RUA^ accZ;InertialMeasurementUnit BACK Quaternion3;InertialMeasurementUnit LUA accY;InertialMeasurementUnit RLA Quaternion3;Accelerometer RUA^ accY;InertialMeasurementUnit RUA Quaternion3;InertialMeasurementUnit RLA Quaternion4;InertialMeasurementUnit RUA magneticY
978.0;116;?;292.0;1159.0;-558.0;-1270.0;-266.0;?;-625.0;-863.0;-640.0
985.0;116;?;298.0;1207.0;-562.0;-1200.0;-271.0;93.0;-610.0;-871.0;-660.0
?;116;?;301.0;1113.0;-561.0;-1072.0;-272.0;176.0;-604.0;-875.0;-675.0
?;116;-672.0;308.0;1084.0;-563.0;-932.0;-273.0;244.0;-605.0;-875.0;?
1006.0;116;-670.0;?;1032.0;-565.0;-1011.0;-281.0;250.0;-611.0;-870.0;-681.0
968.0;116;-668.0;308.0;1005.0;-566.0;-1014.0;-288.0;282.0;-619.0;-864.0;?
996.0;116;-665.0;311.0;971.0;-569.0;-980.0;-297.0;246.0;-626.0;-856.0;-672.0
979.0;116;-665.0;312.0;1137.0;-570.0;?;-306.0;241.0;-635.0;-847.0;-670.0
975.0;116;-668.0;316.0;1174.0;-570.0;-913.0;-317.0;211.0;-648.0;-836.0;-661.0
965.0;116;-658.0;372.0;1036.0;-594.0;-1018.0;-596.0;114.0;-556.0;-329.0;-472.0
972.0;?;-657.0;371.0;1086.0;-594.0;-1013.0;-592.0;164.0;-555.0;-331.0;-480.0
966.0;116;-657.0;370.0;?;-593.0;-1070.0;-585.0;272.0;-553.0;-338.0;-477.0
977.0;116;-657.0;369.0;1118.0;-592.0;-1091.0;-570.0;346.0;-553.0;-350.0;-462.0
976.0;116;-657.0;?;1064.0;-592.0;-1093.0;-547.0;364.0;-552.0;-370.0;-455.0
993.0;116;-656.0;366.0;1076.0;-591.0;-1026.0;-524.0;397.0;?;-394.0;-446.0
991.0;116;-656.0;365.0;?;-593.0;?;-502.0;348.0;-559.0;-425.0;-452.0
994.0;116;-657.0;371.0;?;-593.0;-929.0;?;354.0;-571.0;-463.0;-458.0
999.0;116;-657.0;371.0;965.0;-593.0;-925.0;-455.0;370.0;?;-506.0;?
980.0;116;-656.0;367.0;1044.0;-591.0;-914.0;-432.0;360.0;-598.0;-555.0;-486.0
979.0;116;-657.0;362.0;1036.0;-588.0;-936.0;-410.0;391.0;-613.0;-604.0;-509.0
978.0;116;-658.0;359.0;1041.0;-586.0;-1024.0;?;427.0;-623.0;-653.0;-536.0
972.0;116;-656.0;351.0;1048.0;-583.0;-991.0;-366.0;405.0;-629.0;-698.0;-551.0
988.0;116;-656.0;346.0;980.0;?;?;-341.0;450.0;?;-740.0;-566.0
993.0;116;-657.0;339.0;961.0;-575.0;-849.0;-312.0;?;-629.0;-776.0;-579.0
988.0;116;-658.0;329.0;925.0;-571.0;-804.0;-280.0;352.0;-626.0;-806.0;?
975.0;116;-661.0;319.0;858.0;-567.0;-713.0;-250.0;382.0;-623.0;-830.0;-601.0
1002.0;116;?;314.0;833.0;-565.0;-652.0;-224.0;?;-623.0;-847.0;-609.0
992.0;116;-664.0;311.0;834.0;-565.0;-691.0;-210.0;354.0;-622.0;-858.0;-619.0
985.0;116;-666.0;311.0;919.0;-563.0;-740.0;-213.0;261.0;-620.0;-862.0;-626.0
995.0;116;-672.0;310.0;1022.0;-562.0;?;-222.0;215.0;-613.0;?;-635.0
967.0;116;-674.0;320.0;1098.0;?;-1159.0;-223.0;113.0;-601.0;-870.0;-646.0
1002.0;116;-675.0;329.0;1192.0;-572.0;-1420.0;-218.0;38.0;-589.0;-878.0;?
976.0;116;-674.0;331.0;1157.0;-572.0;-1308.0;-214.0;131.0;-583.0;-882.0;-673.0
993.0;116;-672.0;331.0;1092.0;?;-1185.0;-220.0;247.0;-588.0;-880.0;-676.0
981.0;116;-671.0;330.0;1059.0;-572.0;-1039.0;-230.0;346.0;-598.0;-875.0;-677.0
?;116;-670.0;325.0;957.0;?;-1005.0;-242.0;360.0;-607.0;-868.0;-674.0
997.0;116;-669.0;327.0;891.0;-573.0;-1051.0;-256.0;318.0;-610.0;-864.0;-674.0
989.0;116;?;328.0;955.0;-573.0;-999.0;-264.0;296.0;-612.0;-862.0;-673.0
985.0;?;-675.0;?;?;-571.0;-916.0;-264.0;218.0;-613.0;-861.0;-673.0
968.0;116;-679.0;329.0;1013.0;-571.0;-857.0;-267.0;146.0;-616.0;-858.0;-672.0
973.0;116;-682.0;329.0;1050.0;-570.0;-791.0;-276.0;164.0;-623.0;-852.0;-673.0
1014.0;?;?;373.0;1041.0;-601.0;-1062.0;-571.0;125.0;-541.0;?;-447.0
993.0;116;-664.0;372.0;1036.0;-601.0;-1028.0;-566.0;147.0;-540.0;-376.0;?
979.0;?;-664.0;368.0;1063.0;-600.0;-1021.0;-562.0;177.0;-539.0;-377.0;-459.0
979.0;116;-664.0;366.0;1115.0;-599.0;-1065.0;-555.0;?;-537.0;-380.0;-442.0
989.0;116;-664.0;368.0;1064.0;-599.0;-1083.0;-544.0;262.0;-535.0;-389.0;-436.0
979.0;116;?;366.0;1030.0;-599.0;-1098.0;-526.0;315.0;?;-404.0;-431.0
1001.0;116;-663.0;371.0;1084.0;?;-991.0;-506.0;351.0;-535.0;-422.0;-433.0
989.0;116;-661.0;?;1104.0;-602.0;-974.0;-487.0;350.0;-541.0;-445.0;-436.0
972.0;116;?;376.0;1077.0;-605.0;-993.0;-466.0;347.0;-551.0;-475.0;-437.0
?;116;-658.0;382.0;1068.0;-607.0;-992.0;-442.0;342.0;-564.0;-511.0;-450.0
973.0;116;-658.0;386.0;1047.0;-609.0;-1005.0;-418.0;353.0;-577.0;-553.0;-463.0
983.0;116;-658.0;389.0;987.0;-609.0;-1002.0;-393.0;373.0;-588.0;?;-485.0
964.0;116;-660.0;387.0;996.0;-606.0;-926.0;-369.0;397.0;-598.0;-645.0;-504.0
