InertialMeasurementUnit RUA accX;Accelerometer RUA_ accY;InertialMeasurementUnit RLA gyroZ;InertialMeasurementUnit RLA accX;Accelerometer RUA_ accX;Accelerometer RKN^ accX;Accelerometer RKN^ accZ;InertialMeasurementUnit LLA magneticZ;InertialMeasurementUnit LUA accX;InertialMeasurementUnit RUA accY;Accelerometer RWR accX;Accelerometer RUA^ accX
-569.0;-625.0;-1360.0;945.0;752.0;171.0;-1.0;402.0;-308.0;1081.0;-77.0;497.0
-213.0;-823.0;-1187.0;1286.0;755.0;173.0;13.0;391.0;-332.0;1082.0;-9.0;?
-263.0;-1082.0;-778.0;1301.0;741.0;180.0;7.0;369.0;-221.0;1068.0;?;345.0
-307.0;-929.0;-299.0;1165.0;791.0;?;15.0;351.0;?;981.0;-105.0;307.0
?;-830.0;41.0;1074.0;772.0;188.0;1.0;?;-226.0;962.0;-147.0;257.0
-432.0;-750.0;283.0;?;817.0;211.0;9.0;371.0;-326.0;935.0;-87.0;200.0
-439.0;?;485.0;935.0;759.0;215.0;?;392.0;-344.0;888.0;-63.0;239.0
-429.0;-591.0;618.0;894.0;734.0;186.0;11.0;405.0;?;?;121.0;327.0
-405.0;-658.0;662.0;1069.0;?;181.0;-4.0;426.0;?;954.0;232.0;444.0
-291.0;-696.0;-11.0;970.0;607.0;149.0;-22.0;?;-191.0;1015.0;-520.0;243.0
-290.0;-689.0;-117.0;?;591.0;153.0;-42.0;-154.0;-183.0;988.0;-622.0;68.0
-316.0;-611.0;-218.0;862.0;596.0;?;-33.0;-152.0;?;971.0;-932.0;-112.0
-389.0;-499.0;-52.0;801.0;663.0;161.0;-9.0;-147.0;-211.0;997.0;-869.0;-146.0
-455.0;-372.0;-85.0;721.0;777.0;?;-7.0;-138.0;-264.0;972.0;-784.0;?
-486.0;-234.0;-396.0;616.0;754.0;225.0;-2.0;-119.0;-270.0;?;-695.0;-186.0
-484.0;-140.0;-731.0;622.0;732.0;226.0;-16.0;-91.0;-325.0;?;-570.0;-108.0
-483.0;-159.0;-1078.0;631.0;789.0;195.0;-50.0;-50.0;?;851.0;-413.0;26.0
-481.0;-234.0;-1468.0;612.0;747.0;201.0;-37.0;3.0;-389.0;848.0;-373.0;125.0
-489.0;-241.0;-1905.0;596.0;738.0;177.0;17.0;?;-441.0;806.0;-232.0;222.0
?;-298.0;-2137.0;717.0;781.0;199.0;15.0;150.0;-407.0;928.0;-148.0;?
-509.0;-441.0;-2366.0;798.0;865.0;180.0;-18.0;226.0;-300.0;992.0;-164.0;368.0
-552.0;-479.0;-2433.0;799.0;930.0;?;?;281.0;-366.0;970.0;-128.0;370.0
-551.0;-506.0;-2297.0;831.0;984.0;141.0;-23.0;?;-463.0;981.0;-209.0;375.0
-568.0;-518.0;-2103.0;814.0;980.0;160.0;?;352.0;-513.0;917.0;?;367.0
-537.0;-517.0;-1928.0;806.0;?;171.0;-40.0;370.0;?;867.0;-94.0;352.0
-495.0;?;-1874.0;795.0;944.0;172.0;-10.0;376.0;-482.0;823.0;138.0;335.0
