Accelerometer LUA_ accZ;InertialMeasurementUnit RUA gyroY;InertialMeasurementUnit RLA magneticX;InertialMeasurementUnit RLA accY;InertialMeasurementUnit LLA Quaternion4;InertialMeasurementUnit RLA Quaternion2;InertialMeasurementUnit LUA Quaternion4;InertialMeasurementUnit LLA accY;InertialMeasurementUnit LLA Quaternion1;Accelerometer RUA_ accZ
786.0;67.0;192.0;697.0;-525.0;275.0;327.0;-828.0;138.0;-70.0
233.0;-176.0;189.0;214.0;-194.0;442.0;-163.0;-227.0;662.0;102.0
438.0;18.0;659.0;265.0;-251.0;500.0;-94.0;-291.0;644.0;179.0
474.0;110.0;-35.0;95.0;-444.0;-167.0;276.0;-446.0;585.0;412.0
447.0;89.0;-35.0;75.0;-446.0;-163.0;276.0;-427.0;588.0;382.0
422.0;18.0;-51.0;63.0;-443.0;-138.0;274.0;-450.0;591.0;323.0
394.0;-208.0;-290.0;543.0;-338.0;227.0;179.0;-330.0;672.0;138.0
336.0;35.0;658.0;239.0;-286.0;501.0;-67.0;-324.0;628.0;205.0
366.0;9.0;-141.0;408.0;-449.0;-71.0;282.0;-376.0;581.0;217.0
446.0;191.0;-400.0;464.0;-299.0;217.0;133.0;-463.0;684.0;111.0
495.0;-287.0;-842.0;459.0;-607.0;-239.0;491.0;-391.0;376.0;289.0
773.0;152.0;-74.0;576.0;-449.0;341.0;509.0;-631.0;-4.0;-234.0
650.0;-57.0;-2.0;505.0;-446.0;368.0;502.0;-690.0;28.0;-278.0
637.0;134.0;51.0;585.0;-467.0;377.0;499.0;-568.0;66.0;-75.0
677.0;301.0;69.0;414.0;-491.0;365.0;489.0;-707.0;117.0;-113.0
639.0;323.0;73.0;514.0;-509.0;357.0;482.0;-769.0;148.0;-52.0
737.0;285.0;54.0;445.0;-560.0;329.0;483.0;-612.0;202.0;-43.0
665.0;139.0;50.0;359.0;-607.0;288.0;505.0;-751.0;298.0;28.0
576.0;-65.0;65.0;278.0;-613.0;282.0;513.0;-755.0;329.0;49.0
749.0;-251.0;129.0;234.0;-636.0;284.0;533.0;-579.0;361.0;104.0
669.0;-17.0;217.0;324.0;-645.0;297.0;556.0;-475.0;359.0;-84.0
520.0;-247.0;373.0;204.0;-176.0;464.0;-9.0;-416.0;723.0;-18.0
414.0;-140.0;416.0;173.0;-260.0;522.0;84.0;-294.0;696.0;-114.0
463.0;52.0;-99.0;164.0;-87.0;483.0;-54.0;-374.0;723.0;134.0
308.0;37.0;60.0;387.0;-87.0;534.0;-64.0;-534.0;715.0;182.0
303.0;-6.0;40.0;345.0;-114.0;527.0;-42.0;-441.0;704.0;205.0
314.0;-78.0;23.0;302.0;-142.0;517.0;-20.0;-340.0;692.0;169.0
367.0;-166.0;-10.0;231.0;-191.0;495.0;20.0;-249.0;662.0;141.0
385.0;11.0;-60.0;235.0;-240.0;474.0;61.0;-240.0;618.0;97.0
395.0;17.0;-6.0;255.0;-253.0;497.0;75.0;-323.0;614.0;106.0
383.0;96.0;18.0;264.0;-230.0;507.0;62.0;-421.0;639.0;116.0
372.0;48.0;26.0;278.0;-220.0;510.0;53.0;-411.0;654.0;118.0
388.0;51.0;30.0;283.0;-209.0;512.0;43.0;-379.0;667.0;105.0
388.0;57.0;38.0;285.0;-187.0;513.0;30.0;-457.0;689.0;107.0
524.0;140.0;38.0;276.0;-167.0;508.0;0.0;-382.0;708.0;110.0
414.0;177.0;42.0;284.0;-170.0;510.0;1.0;-315.0;706.0;79.0
422.0;171.0;51.0;267.0;-178.0;511.0;8.0;-361.0;701.0;59.0
359.0;169.0;57.0;227.0;-200.0;509.0;23.0;-337.0;690.0;74.0
459.0;99.0;45.0;237.0;-218.0;494.0;45.0;-312.0;666.0;3.0
387.0;-9.0;-31.0;266.0;-277.0;471.0;60.0;-269.0;596.0;-36.0
418.0;46.0;13.0;294.0;-276.0;500.0;81.0;-353.0;639.0;116.0
400.0;-71.0;24.0;292.0;-257.0;502.0;71.0;-363.0;666.0;78.0
383.0;-62.0;25.0;310.0;-239.0;502.0;62.0;-376.0;684.0;68.0
378.0;-97.0;29.0;281.0;-227.0;504.0;54.0;-424.0;684.0;50.0
349.0;-39.0;47.0;275.0;-243.0;512.0;67.0;-347.0;669.0;80.0
345.0;-67.0;66.0;218.0;-254.0;516.0;75.0;-330.0;660.0;102.0
380.0;-34.0;72.0;196.0;-259.0;517.0;79.0;-323.0;656.0;121.0
391.0;-56.0;77.0;213.0;-271.0;513.0;91.0;-310.0;646.0;52.0
379.0;11.0;73.0;232.0;-270.0;512.0;88.0;-313.0;646.0;84.0
386.0;47.0;71.0;238.0;-267.0;511.0;86.0;-331.0;648.0;60.0
381.0;54.0;67.0;226.0;-264.0;509.0;83.0;-355.0;652.0;90.0
395.0;82.0;65.0;221.0;-262.0;508.0;81.0;-360.0;656.0;70.0
349.0;122.0;62.0;225.0;-256.0;507.0;75.0;-364.0;666.0;65.0
561.0;165.0;61.0;234.0;-253.0;508.0;72.0;-369.0;671.0;51.0
334.0;152.0;65.0;225.0;-248.0;508.0;65.0;-357.0;678.0;72.0
364.0;156.0;63.0;232.0;-245.0;509.0;61.0;-346.0;679.0;93.0
433.0;2.0;63.0;192.0;-243.0;506.0;53.0;-280.0;678.0;144.0
441.0;222.0;66.0;332.0;-239.0;507.0;56.0;-372.0;679.0;-145.0
400.0;9.0;64.0;261.0;-236.0;506.0;56.0;-457.0;682.0;-53.0
471.0;-311.0;50.0;240.0;-259.0;501.0;70.0;-471.0;658.0;-14.0
404.0;138.0;38.0;282.0;-283.0;505.0;73.0;-341.0;632.0;-43.0
407.0;134.0;58.0;206.0;-294.0;515.0;86.0;-342.0;647.0;19.0
411.0;-61.0;99.0;239.0;-239.0;529.0;48.0;-379.0;695.0;69.0
