Accelerometer LUA^ accZ;InertialMeasurementUnit RUA magneticX;InertialMeasurementUnit LLA magneticX;InertialMeasurementUnit R-SHOE Body_Az;InertialMeasurementUnit LUA magneticX;Accelerometer LH accY;InertialMeasurementUnit R-SHOE EuY;InertialMeasurementUnit L-SHOE EuZ;InertialMeasurementUnit R-SHOE Body_Ax;InertialMeasurementUnit RUA magneticZ;InertialMeasurementUnit BACK gyroZ
132.0;1343.0;1205.0;780;1123.0;940.0;-30;-173;243;-13.0;-239.0
732.0;-82.0;-351.0;42;-719.0;-320.0;-73;-176;215;144.0;-24.0
246.0;403.0;855.0;817;912.0;969.0;13;-178;242;-607.0;-147.0
342.0;725.0;548.0;-1836;570.0;1176.0;5;-177;253;164.0;441.0
21.0;902.0;1136.0;818;808.0;807.0;-59;-180;455;-75.0;322.0
164.0;860.0;673.0;2182;824.0;1083.0;-63;-182;757;-86.0;-235.0
223.0;977.0;934.0;773;793.0;933.0;-28;-150;274;12.0;-137.0
-637.0;820.0;792.0;791;-33.0;906.0;-23;-174;293;256.0;19.0
178.0;431.0;345.0;790;545.0;898.0;-45;-208;236;-144.0;126.0
182.0;374.0;181.0;679;334.0;967.0;-21;-164;407;112.0;386.0
303.0;291.0;332.0;807;515.0;985.0;-24;-176;301;-386.0;14.0
232.0;-283.0;264.0;794;480.0;1025.0;-26;-175;276;-770.0;60.0
163.0;382.0;-430.0;765;287.0;569.0;-28;173;246;-401.0;-1.0
266.0;309.0;328.0;799;511.0;971.0;-24;-176;309;-370.0;25.0
343.0;-21.0;-353.0;807;294.0;136.0;-26;-180;261;-269.0;71.0
45.0;384.0;392.0;817;519.0;1127.0;4;-16;257;-72.0;263.0
226.0;896.0;452.0;748;319.0;858.0;-29;159;363;168.0;563.0
298.0;891.0;813.0;794;456.0;361.0;-26;-176;291;35.0;49.0
261.0;309.0;329.0;805;513.0;966.0;-24;-177;305;-367.0;36.0
60.0;850.0;781.0;800;396.0;1017.0;-25;177;261;55.0;8.0
-536.0;699.0;853.0;789;133.0;909.0;-38;171;263;175.0;-102.0
-8.0;402.0;469.0;743;547.0;1066.0;-34;-156;112;-192.0;-156.0
285.0;518.0;454.0;836;272.0;1180.0;-48;-173;241;176.0;-304.0
259.0;-466.0;49.0;801;315.0;987.0;-25;-179;275;34.0;4.0
164.0;309.0;333.0;805;549.0;949.0;-23;-176;298;-493.0;-210.0
265.0;290.0;335.0;798;517.0;983.0;-24;-177;299;-364.0;-7.0
