Accelerometer LUA_ accX;InertialMeasurementUnit R-SHOE Nav_Ax;InertialMeasurementUnit L-SHOE AngVelNavFrameX;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit BACK accZ;InertialMeasurementUnit BACK magneticY;Accelerometer RKN_ accX;InertialMeasurementUnit L-SHOE Nav_Ay;InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit BACK magneticX;InertialMeasurementUnit L-SHOE AngVelBodyFrameY;InertialMeasurementUnit L-SHOE EuY
62.0;-65;-63;33;167.0;102.0;-320.0;9;-33;426.0;-63;-46
185.0;-457;722;7060;86.0;-472.0;276.0;-110;-7060;447.0;722;-63
97.0;-18;7;-11;229.0;226.0;-53.0;-11;11;480.0;7;-45
-373.0;-4;12;21;365.0;176.0;-36.0;3;-21;418.0;12;-40
67.0;3;-26;-30;291.0;90.0;-100.0;-10;30;427.0;-26;-49
103.0;456;-202;399;216.0;-99.0;-68.0;-166;-399;1095.0;-202;-37
-83.0;87;-1200;-4531;227.0;125.0;-417.0;2;4531;699.0;-1200;-47
50.0;2351;-243;774;159.0;514.0;1.0;-47;-774;999.0;-243;-45
55.0;-373;-35;124;288.0;129.0;-99.0;41;-124;1130.0;-35;-38
-49.0;3;7;-1;289.0;36.0;-354.0;0;1;573.0;7;-50
-38.0;-1;-11;-6;287.0;49.0;-358.0;0;6;561.0;-11;-50
-12.0;4;1;-20;267.0;38.0;-355.0;1;20;556.0;1;-50
-11.0;2;16;-1;274.0;40.0;-355.0;-4;1;561.0;16;-50
-4.0;7;-12;-3;291.0;46.0;-346.0;-13;3;580.0;-12;-50
17.0;1;0;-16;292.0;54.0;-328.0;-7;16;576.0;0;-50
-16.0;6;-1;15;283.0;35.0;8.0;-4;-15;439.0;-1;-45
-19.0;-2;10;1;325.0;43.0;-339.0;-13;-1;579.0;10;-50
-2.0;26;-37;46;166.0;416.0;2.0;-1;-46;806.0;-37;-46
-24.0;2;-8;-11;277.0;77.0;-351.0;2;11;565.0;-8;-50
97.0;487;-69;53;334.0;-497.0;-123.0;9;-53;576.0;-69;-38
116.0;443;22;46;257.0;384.0;-94.0;1;-46;494.0;22;-40
-145.0;-2;5;5;294.0;27.0;-335.0;-3;-5;546.0;5;-50
-10.0;-1;-6;1;287.0;38.0;6.0;1;-1;441.0;-6;-45
6.0;-1;-10;-19;289.0;37.0;16.0;-4;19;443.0;-10;-45
-61.0;-656;-27;61;366.0;-70.0;5.0;17;-61;617.0;-27;-42
299.0;-1;-13;21;380.0;-32.0;-97.0;-25;-21;470.0;-13;-43
35.0;-3;-63;141;277.0;92.0;-20.0;-4;-141;429.0;-63;-49
-252.0;75;3312;-1790;192.0;173.0;-26.0;167;1790;453.0;3312;-68
27.0;1;10;12;375.0;83.0;-336.0;-7;-12;611.0;10;-50
39.0;-1;-10;-14;359.0;82.0;-328.0;3;14;603.0;-10;-50
75.0;6;12;-37;219.0;22.0;-81.0;-26;37;1075.0;12;-38
17.0;-1;4;9;367.0;82.0;-350.0;0;-9;604.0;4;-50
21.0;-1;-1;-17;334.0;70.0;-356.0;6;17;601.0;-1;-50
-6.0;6;-18;6;294.0;37.0;17.0;-5;-6;443.0;-18;-45
-45.0;-1;23;-22;312.0;8.0;-354.0;4;22;585.0;23;-50
