InertialMeasurementUnit RUA accX;Accelerometer RUA_ accY;InertialMeasurementUnit RLA gyroZ;InertialMeasurementUnit RLA accX;Accelerometer RUA_ accX;Accelerometer RKN^ accX;Accelerometer RKN^ accZ;InertialMeasurementUnit LLA magneticZ;InertialMeasurementUnit LUA accX;InertialMeasurementUnit RUA accY;Accelerometer RWR accX;Accelerometer RUA^ accX
-902.0;964.0;-70.0;-698.0;528.0;171.0;58.0;122.0;-903.0;136.0;-303.0;26.0
-903.0;806.0;270.0;-684.0;407.0;248.0;402.0;-216.0;-707.0;130.0;218.0;12.0
-1018.0;940.0;-109.0;-760.0;449.0;412.0;404.0;-584.0;-491.0;23.0;-93.0;242.0
-970.0;877.0;215.0;-717.0;527.0;241.0;414.0;-213.0;-687.0;153.0;-248.0;65.0
-154.0;-483.0;51.0;752.0;455.0;141.0;445.0;-282.0;-852.0;969.0;-483.0;16.0
-864.0;937.0;281.0;-734.0;307.0;477.0;263.0;124.0;-799.0;284.0;-304.0;71.0
-821.0;892.0;864.0;-742.0;90.0;454.0;756.0;-417.0;-761.0;131.0;-284.0;-34.0
-947.0;934.0;-74.0;-764.0;377.0;263.0;419.0;-211.0;-943.0;211.0;-42.0;125.0
-914.0;1051.0;233.0;-836.0;82.0;111.0;2111.0;-456.0;-807.0;99.0;-302.0;-62.0
-994.0;982.0;41.0;-807.0;360.0;294.0;728.0;-146.0;-927.0;166.0;-46.0;110.0
-945.0;1082.0;310.0;-861.0;190.0;-392.0;561.0;19.0;-891.0;112.0;-291.0;71.0
-966.0;933.0;183.0;-767.0;388.0;182.0;164.0;-179.0;-992.0;215.0;-30.0;125.0
-887.0;1018.0;-111.0;-888.0;106.0;222.0;392.0;-207.0;-734.0;-397.0;8.0;-63.0
-974.0;939.0;134.0;-806.0;357.0;313.0;399.0;-241.0;-932.0;180.0;-97.0;121.0
-988.0;1071.0;154.0;-689.0;150.0;351.0;477.0;207.0;-801.0;-13.0;-490.0;-274.0
-934.0;927.0;-39.0;-760.0;340.0;430.0;369.0;-281.0;-923.0;195.0;-75.0;105.0
-939.0;1021.0;-431.0;-776.0;141.0;450.0;189.0;-631.0;-996.0;256.0;-241.0;77.0
-1052.0;1051.0;-142.0;-939.0;237.0;-202.0;103.0;-91.0;-818.0;84.0;92.0;395.0
-921.0;914.0;-334.0;-800.0;155.0;195.0;-8.0;246.0;-967.0;149.0;-348.0;-13.0
-874.0;907.0;-136.0;-746.0;234.0;399.0;131.0;270.0;-868.0;189.0;-363.0;12.0
-1225.0;1268.0;-129.0;-1119.0;205.0;663.0;1476.0;169.0;-1203.0;172.0;-391.0;78.0
-868.0;926.0;-26.0;-717.0;308.0;131.0;92.0;93.0;-1028.0;286.0;-234.0;311.0
-941.0;1000.0;-47.0;-807.0;135.0;350.0;155.0;210.0;-998.0;77.0;-279.0;-79.0
-990.0;549.0;202.0;-364.0;769.0;228.0;86.0;396.0;-920.0;76.0;71.0;243.0
-1060.0;858.0;104.0;-911.0;496.0;232.0;100.0;204.0;-928.0;-214.0;-275.0;-63.0
-1074.0;705.0;-586.0;-403.0;560.0;-518.0;374.0;64.0;-944.0;35.0;-211.0;-16.0
-677.0;733.0;400.0;-612.0;294.0;804.0;420.0;76.0;-684.0;-8.0;-480.0;223.0
-804.0;714.0;-327.0;-690.0;246.0;327.0;53.0;-584.0;-853.0;151.0;-347.0;-13.0
-438.0;244.0;-55.0;150.0;649.0;448.0;875.0;-578.0;-615.0;615.0;-646.0;-331.0
-904.0;949.0;-93.0;-672.0;170.0;223.0;304.0;137.0;-734.0;292.0;27.0;153.0
-712.0;731.0;-167.0;-578.0;251.0;428.0;72.0;-264.0;-764.0;230.0;-382.0;-33.0
-838.0;912.0;-394.0;-716.0;201.0;472.0;235.0;-203.0;-828.0;212.0;-408.0;-8.0
-854.0;1095.0;-507.0;-711.0;285.0;422.0;402.0;-51.0;-842.0;278.0;-513.0;-167.0
-810.0;670.0;-227.0;-711.0;243.0;309.0;45.0;-209.0;-893.0;125.0;-314.0;61.0
-693.0;639.0;-129.0;-578.0;275.0;461.0;188.0;-190.0;-762.0;170.0;-368.0;-31.0
-995.0;917.0;48.0;-803.0;488.0;360.0;145.0;344.0;-965.0;134.0;-276.0;-36.0
-972.0;1045.0;59.0;-568.0;467.0;-103.0;-217.0;368.0;-745.0;267.0;-639.0;17.0
-937.0;384.0;121.0;-720.0;844.0;102.0;267.0;201.0;-931.0;91.0;-665.0;29.0
-862.0;935.0;202.0;-695.0;492.0;191.0;46.0;-53.0;-1022.0;169.0;-443.0;-28.0
-1245.0;1009.0;-80.0;-1102.0;407.0;486.0;228.0;-383.0;-796.0;-7.0;-256.0;84.0
-833.0;853.0;46.0;-688.0;209.0;412.0;238.0;193.0;-949.0;227.0;-463.0;68.0
-852.0;925.0;170.0;-727.0;183.0;258.0;103.0;189.0;-990.0;191.0;-400.0;80.0
-750.0;1289.0;-38.0;-449.0;177.0;76.0;79.0;-162.0;-814.0;237.0;-180.0;61.0
-966.0;841.0;-103.0;-693.0;521.0;167.0;284.0;380.0;-843.0;333.0;-199.0;-158.0
-952.0;775.0;185.0;-578.0;638.0;72.0;427.0;423.0;-973.0;306.0;153.0;119.0
-952.0;898.0;-229.0;-841.0;246.0;192.0;255.0;-95.0;-991.0;105.0;-403.0;-49.0
-1036.0;795.0;-20.0;-747.0;593.0;301.0;118.0;408.0;-786.0;219.0;-175.0;166.0
-1003.0;964.0;-488.0;-798.0;383.0;264.0;405.0;-196.0;-741.0;-45.0;25.0;75.0
-998.0;1023.0;-168.0;-902.0;151.0;306.0;-70.0;-482.0;-815.0;57.0;-278.0;-10.0
