Accelerometer LUA_ accZ;InertialMeasurementUnit RUA gyroY;InertialMeasurementUnit RLA magneticX;InertialMeasurementUnit RLA accY;InertialMeasurementUnit LLA Quaternion4;InertialMeasurementUnit RLA Quaternion2;InertialMeasurementUnit LUA Quaternion4;InertialMeasurementUnit LLA accY;InertialMeasurementUnit LLA Quaternion1;Accelerometer RUA_ accZ
751.0;-1854.0;-579.0;375.0;?;-422.0;-38.0;-628.0;393.0;116.0
?;-1179.0;-604.0;380.0;-659.0;-403.0;-58.0;?;421.0;219.0
699.0;-598.0;-622.0;483.0;-649.0;-394.0;-72.0;-710.0;447.0;315.0
753.0;-208.0;-625.0;486.0;-640.0;-394.0;-81.0;-744.0;460.0;326.0
?;242.0;-626.0;511.0;-633.0;-398.0;-82.0;-641.0;455.0;?
796.0;583.0;-628.0;446.0;-629.0;-405.0;-76.0;-710.0;?;279.0
926.0;751.0;-622.0;394.0;-629.0;-412.0;-67.0;?;427.0;357.0
927.0;941.0;-617.0;344.0;-632.0;?;-56.0;-620.0;414.0;349.0
861.0;1249.0;-601.0;309.0;-634.0;-430.0;-45.0;?;396.0;333.0
952.0;-130.0;?;-14.0;-688.0;?;565.0;-632.0;?;498.0
943.0;-89.0;-148.0;-7.0;-691.0;-216.0;562.0;-664.0;-353.0;491.0
?;-198.0;-150.0;3.0;-696.0;-215.0;563.0;-773.0;-345.0;534.0
932.0;-685.0;-146.0;39.0;?;-220.0;566.0;-828.0;-333.0;655.0
921.0;-1218.0;-140.0;38.0;-726.0;-228.0;569.0;-891.0;-315.0;744.0
931.0;-1598.0;-132.0;-175.0;-747.0;-238.0;?;-999.0;-291.0;799.0
?;-2127.0;-136.0;?;-770.0;-250.0;563.0;-1026.0;-260.0;?
850.0;-2695.0;-151.0;-75.0;-792.0;-268.0;547.0;-1001.0;-220.0;?
832.0;-3156.0;-170.0;-39.0;-812.0;-288.0;?;-999.0;-170.0;?
768.0;-3397.0;-205.0;?;-828.0;-307.0;491.0;-977.0;-112.0;560.0
758.0;-3704.0;-247.0;?;-833.0;-327.0;456.0;-979.0;-53.0;477.0
714.0;-3867.0;-306.0;322.0;-831.0;-342.0;420.0;-1008.0;?;419.0
697.0;?;-355.0;500.0;-828.0;-354.0;384.0;-1036.0;51.0;?
?;-3775.0;-392.0;?;-826.0;-365.0;349.0;-989.0;107.0;274.0
692.0;-3649.0;-432.0;593.0;-820.0;-376.0;309.0;-895.0;164.0;270.0
629.0;-3477.0;-468.0;606.0;-810.0;-387.0;265.0;-811.0;219.0;220.0
663.0;-3170.0;-499.0;523.0;-793.0;-401.0;219.0;-773.0;273.0;239.0
678.0;-2896.0;-524.0;519.0;-769.0;-415.0;168.0;-639.0;318.0;207.0
787.0;-2643.0;-540.0;489.0;-742.0;-427.0;114.0;-677.0;358.0;193.0
877.0;-2430.0;-555.0;525.0;-715.0;-433.0;59.0;?;395.0;119.0
927.0;-2064.0;-573.0;549.0;-685.0;?;3.0;-617.0;430.0;74.0
925.0;-1677.0;-587.0;584.0;-655.0;-426.0;?;-387.0;461.0;89.0
881.0;-1277.0;-602.0;407.0;-631.0;-416.0;-77.0;?;479.0;105.0
801.0;-607.0;-618.0;336.0;-613.0;-411.0;-94.0;-753.0;495.0;191.0
662.0;11.0;-625.0;?;-603.0;-411.0;-99.0;-870.0;507.0;314.0
647.0;586.0;?;339.0;-598.0;-416.0;-100.0;-968.0;507.0;333.0
690.0;869.0;-618.0;357.0;?;-421.0;-95.0;-982.0;498.0;377.0
685.0;799.0;-615.0;316.0;-602.0;?;-86.0;-859.0;487.0;463.0
715.0;743.0;-620.0;275.0;-606.0;-416.0;-76.0;-802.0;?;501.0
830.0;562.0;-621.0;226.0;-611.0;-415.0;-67.0;?;?;506.0
888.0;?;-618.0;178.0;?;-415.0;-58.0;-605.0;448.0;531.0
?;623.0;-612.0;227.0;-619.0;?;-48.0;-581.0;433.0;429.0
876.0;18.0;-115.0;11.0;-623.0;-252.0;?;-723.0;-405.0;578.0
920.0;-7.0;-120.0;-27.0;-628.0;-249.0;575.0;-699.0;-400.0;568.0
?;-2.0;-117.0;-18.0;-633.0;-246.0;573.0;-720.0;-395.0;588.0
917.0;-110.0;-112.0;?;-643.0;-245.0;572.0;-785.0;-387.0;562.0
904.0;?;-109.0;?;-657.0;-247.0;572.0;-813.0;-374.0;?
935.0;-734.0;?;-14.0;-678.0;-252.0;574.0;-907.0;-355.0;728.0
947.0;-1144.0;-105.0;-136.0;-701.0;-258.0;573.0;-890.0;-331.0;786.0
?;?;-110.0;-120.0;-721.0;-267.0;567.0;-943.0;-302.0;808.0
909.0;-2276.0;?;-139.0;-744.0;-281.0;554.0;-984.0;-265.0;870.0
890.0;-2723.0;?;-109.0;-768.0;-298.0;535.0;?;-217.0;844.0
858.0;-3095.0;-158.0;-20.0;-791.0;-315.0;512.0;-1027.0;?;746.0
796.0;?;-205.0;43.0;-810.0;-331.0;484.0;-1018.0;-96.0;658.0
735.0;-3473.0;-250.0;180.0;-821.0;-346.0;453.0;-1069.0;-30.0;573.0
703.0;-3681.0;-287.0;287.0;-826.0;-361.0;?;?;37.0;479.0
653.0;-3824.0;-336.0;394.0;-824.0;?;375.0;?;103.0;400.0
656.0;-3766.0;-386.0;480.0;-816.0;-385.0;328.0;-1045.0;167.0;274.0
709.0;-3661.0;-445.0;561.0;-800.0;-395.0;277.0;-961.0;225.0;217.0
774.0;-3467.0;-489.0;596.0;-777.0;-403.0;?;-867.0;277.0;?
790.0;-3175.0;-517.0;623.0;-750.0;-406.0;163.0;-719.0;322.0;68.0
?;-2853.0;-548.0;657.0;-720.0;?;102.0;-715.0;362.0;57.0
830.0;-2407.0;-576.0;613.0;-687.0;?;44.0;-636.0;402.0;22.0
816.0;-1713.0;-599.0;568.0;-654.0;-401.0;-7.0;-486.0;436.0;66.0
762.0;-1171.0;-617.0;581.0;-628.0;-395.0;-39.0;-501.0;455.0;133.0
?;-717.0;?;552.0;-608.0;-389.0;-59.0;-890.0;471.0;206.0
639.0;-254.0;-644.0;495.0;-597.0;-384.0;-71.0;?;488.0;291.0
642.0;190.0;-647.0;482.0;-593.0;-384.0;-76.0;-944.0;?;382.0
760.0;447.0;-641.0;459.0;-594.0;?;-76.0;-855.0;493.0;406.0
?;537.0;-637.0;409.0;-598.0;-393.0;-69.0;-754.0;483.0;454.0
?;552.0;-640.0;346.0;-605.0;-398.0;-59.0;-730.0;474.0;448.0
922.0;584.0;-636.0;290.0;-611.0;-404.0;-49.0;?;464.0;?
947.0;?;-630.0;305.0;-615.0;-410.0;-40.0;?;447.0;361.0
