InertialMeasurementUnit LUA Quaternion3;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit R-SHOE EuX;InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit R-SHOE Compass;Accelerometer RKN^ accY;Accelerometer BACK accZ
-260.0;-232.0;77;321.0;-3;951.0;-636.0
-292.0;-80.0;91;376.0;-1;977.0;-660.0
-199.0;41.0;159;465.0;-5;923.0;-430.0
532.0;-102.0;23;-633.0;0;1012.0;-521.0
-182.0;-149.0;157;502.0;-15;1017.0;-706.0
-388.0;-221.0;-169;424.0;-156;1037.0;-605.0
-352.0;-333.0;75;226.0;-19;1024.0;-558.0
-538.0;446.0;-10;657.0;-12;1450.0;-460.0
-436.0;-5.0;53;546.0;-30;959.0;-614.0
-478.0;105.0;91;492.0;-6;950.0;-411.0
-557.0;57.0;68;663.0;-16;751.0;-383.0
-477.0;-210.0;21;715.0;-21;901.0;-793.0
-418.0;-234.0;100;322.0;-20;995.0;-450.0
-582.0;196.0;-147;710.0;-11;978.0;-414.0
-376.0;-289.0;75;209.0;-20;1010.0;-556.0
69.0;-745.0;-45;119.0;-165;928.0;-863.0
-411.0;155.0;89;557.0;3;1054.0;-720.0
-432.0;-85.0;149;398.0;0;851.0;-607.0
-204.0;-530.0;-6;326.0;-37;1025.0;-798.0
-232.0;-388.0;6;311.0;-39;937.0;-640.0
-203.0;-446.0;7;276.0;-52;1114.0;-682.0
-464.0;-75.0;-121;481.0;27;1066.0;-522.0
-565.0;-144.0;71;675.0;-11;906.0;-641.0
-421.0;-303.0;-20;620.0;-16;980.0;-472.0
-440.0;-48.0;38;592.0;-8;1107.0;-433.0
-277.0;-395.0;99;253.0;-7;996.0;-654.0
-239.0;-390.0;58;463.0;-24;1037.0;-391.0
-392.0;-320.0;35;579.0;-18;997.0;-903.0
-285.0;-378.0;94;271.0;-10;957.0;-666.0
-218.0;-543.0;-86;114.0;83;742.0;-546.0
-553.0;-277.0;86;519.0;18;292.0;-651.0
-362.0;-250.0;1;446.0;-31;1041.0;-761.0
-346.0;-355.0;35;455.0;-18;1010.0;-571.0
-325.0;-311.0;35;419.0;-18;965.0;-562.0
-325.0;-212.0;47;396.0;-39;524.0;-701.0
-334.0;-276.0;35;414.0;-18;934.0;-610.0
-317.0;-260.0;35;400.0;-19;1036.0;-557.0
-278.0;-388.0;98;243.0;-7;963.0;-658.0
-259.0;-388.0;-1;317.0;-48;1480.0;-582.0
-210.0;-470.0;17;227.0;-83;639.0;-561.0
-261.0;-397.0;0;388.0;-40;1022.0;-590.0
-276.0;-391.0;98;246.0;-7;893.0;-699.0
-170.0;-422.0;52;327.0;-46;992.0;-491.0
-162.0;-551.0;-6;167.0;-84;966.0;-758.0
-63.0;-680.0;48;248.0;-34;1018.0;-461.0
-296.0;-272.0;23;446.0;-126;882.0;-599.0
-278.0;-354.0;96;228.0;-8;948.0;-652.0
-566.0;-21.0;57;673.0;-27;1155.0;-663.0
-549.0;162.0;47;670.0;-8;997.0;-652.0
-132.0;33.0;139;420.0;10;1191.0;-534.0
-636.0;517.0;74;691.0;-7;1014.0;-444.0
-218.0;-15.0;125;389.0;-2;904.0;-878.0
51.0;-674.0;70;112.0;-23;408.0;-514.0
-171.0;-562.0;-11;338.0;-84;833.0;-536.0
-446.0;81.0;53;283.0;-26;1056.0;-597.0
-570.0;103.0;38;661.0;9;1959.0;-450.0
-595.0;56.0;58;640.0;-20;1510.0;-472.0
-182.0;-388.0;-21;321.0;-73;946.0;-1007.0
-382.0;-104.0;25;279.0;-37;890.0;-531.0
-347.0;-181.0;-64;496.0;-33;1006.0;-423.0
-285.0;-347.0;96;235.0;-7;1077.0;-581.0
-472.0;80.0;91;593.0;-23;860.0;-663.0
-355.0;-361.0;75;255.0;-19;1013.0;-593.0
-379.0;-542.0;-12;425.0;-83;864.0;-760.0
187.0;-546.0;-26;-360.0;-80;975.0;-617.0
-612.0;584.0;74;587.0;-7;1032.0;-216.0
-323.0;-380.0;97;288.0;-7;954.0;-614.0
113.0;-610.0;63;-11.0;-6;1919.0;-635.0
-310.0;-348.0;1;468.0;-31;1030.0;-720.0
-324.0;-322.0;1;396.0;-31;1032.0;-673.0
-278.0;-508.0;-68;182.0;-28;1024.0;-459.0
-439.0;-484.0;-13;456.0;-81;867.0;-809.0
-462.0;6.0;108;557.0;4;1017.0;-756.0
-300.0;-697.0;-7;220.0;-97;884.0;-872.0
-147.0;-541.0;52;237.0;-44;961.0;-553.0
97.0;-612.0;-30;-99.0;-10;994.0;-441.0
576.0;446.0;117;-651.0;-11;1001.0;-505.0
-199.0;86.0;74;200.0;-7;1044.0;-373.0
-532.0;-111.0;86;656.0;-22;591.0;-628.0
-317.0;-341.0;1;479.0;-31;1054.0;-693.0
-578.0;60.0;-2;691.0;-7;1025.0;-493.0
-184.0;-542.0;52;380.0;-45;1059.0;-508.0
-53.0;-712.0;-10;-13.0;-100;976.0;-718.0
-656.0;212.0;83;613.0;19;307.0;-714.0
-407.0;135.0;157;544.0;-3;1405.0;-773.0
-540.0;274.0;59;633.0;-10;1014.0;-426.0
-424.0;158.0;138;509.0;5;1181.0;-928.0
-363.0;-229.0;-10;507.0;-42;1283.0;-493.0
95.0;-619.0;70;14.0;-10;1419.0;-556.0
-472.0;-108.0;130;474.0;108;1010.0;-780.0
-555.0;47.0;21;730.0;-16;943.0;-854.0
-554.0;315.0;63;666.0;-5;991.0;-675.0
-573.0;473.0;62;673.0;-7;1010.0;-570.0
-549.0;339.0;114;792.0;0;972.0;-893.0
-314.0;-362.0;1;378.0;-31;1038.0;-682.0
-537.0;-115.0;87;645.0;-4;952.0;-430.0
-102.0;-646.0;-58;85.0;-142;1012.0;-501.0
-186.0;-685.0;9;148.0;-88;1222.0;-813.0
-307.0;-376.0;1;379.0;-31;1047.0;-760.0
-316.0;-242.0;7;424.0;-13;808.0;-441.0
