InertialMeasurementUnit RLA gyroY;InertialMeasurementUnit RUA gyroZ;Accelerometer HIP accY;InertialMeasurementUnit R-SHOE Nav_Ay;Accelerometer LUA^ accX;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit L-SHOE AngVelNavFrameZ;InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;InertialMeasurementUnit L-SHOE Body_Ax
7.0;-15.0;862.0;-4;479.0;18;29;740;29;24
59.0;26.0;969.0;-6;428.0;20;-11;683;-11;17
-129.0;19.0;905.0;30;313.0;10;120;728;120;38
6.0;58.0;910.0;3;401.0;12;-14;754;-14;6
-47.0;28.0;945.0;-4;333.0;20;5;653;5;-5
-58.0;9.0;948.0;-6;340.0;18;4;652;4;-12
-9.0;27.0;947.0;-1;335.0;18;20;652;20;-9
-14.0;37.0;943.0;-4;343.0;19;-13;652;-13;-4
10.0;-6.0;947.0;-3;318.0;20;-16;651;-16;-5
94.0;82.0;897.0;0;413.0;13;-8;755;-8;4
131.0;93.0;907.0;-4;400.0;13;-2;759;-2;6
40.0;-12.0;890.0;-3;387.0;12;-18;763;-18;3
20.0;-27.0;907.0;0;377.0;12;-25;762;-25;6
83.0;72.0;919.0;3;421.0;16;-36;755;-36;16
-3.0;-65.0;921.0;-1;409.0;12;-1;757;-1;9
50.0;13.0;948.0;7;352.0;23;2;651;2;10
166.0;21.0;940.0;7;432.0;20;-6;652;-6;8
-37.0;-32.0;913.0;-2;411.0;16;-23;753;-23;7
15.0;50.0;915.0;-4;385.0;11;5;757;5;9
-11.0;-13.0;954.0;1;405.0;24;-16;648;-16;13
-25.0;25.0;918.0;-5;386.0;13;-29;757;-29;13
-108.0;-13.0;916.0;-3;370.0;6;10;763;10;0
-45.0;-67.0;947.0;6;399.0;14;26;659;26;32
-44.0;-58.0;947.0;-1;442.0;17;-4;656;-4;40
40.0;-37.0;939.0;6;444.0;12;17;668;17;29
35.0;-17.0;952.0;1;429.0;22;-27;660;-27;33
33.0;-2.0;962.0;1;431.0;11;-26;666;-26;30
-53.0;-7.0;899.0;2;370.0;13;-13;758;-13;7
49.0;29.0;949.0;0;426.0;16;19;661;19;30
42.0;22.0;944.0;5;438.0;19;10;661;10;30
30.0;25.0;955.0;5;457.0;13;-51;663;-51;23
23.0;-6.0;927.0;3;441.0;20;-10;661;-10;37
33.0;19.0;956.0;-2;428.0;21;9;659;9;34
-21.0;21.0;945.0;4;431.0;21;-1;659;-1;32
25.0;-16.0;949.0;0;459.0;19;-31;660;-31;33
17.0;-4.0;954.0;-1;456.0;24;11;655;11;27
6.0;23.0;938.0;-3;455.0;18;-6;659;-6;30
-17.0;19.0;942.0;1;444.0;25;-17;656;-17;27
-11.0;-19.0;950.0;3;459.0;11;-11;667;-11;28
17.0;32.0;947.0;6;477.0;15;7;663;7;28
15.0;27.0;957.0;7;459.0;20;7;660;7;29
15.0;14.0;950.0;2;462.0;17;-26;664;-26;31
12.0;2.0;944.0;1;452.0;16;-22;665;-22;27
51.0;4.0;938.0;2;449.0;24;-34;657;-34;37
26.0;12.0;956.0;1;454.0;21;-17;660;-17;35
12.0;-7.0;934.0;-3;459.0;16;-23;661;-23;26
31.0;23.0;931.0;-3;450.0;18;-27;664;-27;34
10.0;31.0;951.0;0;439.0;23;12;665;12;35
22.0;-1.0;958.0;5;474.0;15;-19;663;-19;27
42.0;51.0;994.0;-64;484.0;18;73;685;73;38
-124.0;-58.0;979.0;-162;522.0;14;12;668;12;6
31.0;10.0;949.0;6;442.0;17;17;660;17;31
28.0;35.0;1033.0;1;436.0;11;-14;660;-14;26
-64.0;119.0;964.0;-3;422.0;19;-3;661;-3;35
276.0;200.0;964.0;100;277.0;-132;-712;741;-712;-275
84.0;-1.0;903.0;0;406.0;21;8;759;8;11
94.0;0.0;988.0;-6;456.0;138;2;661;2;23
-18.0;-63.0;901.0;1;372.0;15;8;760;8;13
-17.0;76.0;1010.0;-59;517.0;19;-11;666;-11;34
238.0;-100.0;916.0;6;377.0;8;3;761;3;-3
461.0;-153.0;1026.0;661;402.0;52;-26;688;-26;-2
29.0;-78.0;942.0;31;437.0;26;42;672;42;44
21.0;-49.0;968.0;24;393.0;21;23;661;23;41
0.0;-37.0;951.0;11;410.0;15;31;660;31;30
33.0;-32.0;945.0;0;428.0;18;-10;653;-10;-2
61.0;-74.0;913.0;1;365.0;14;-29;661;-29;-7
-35.0;56.0;933.0;-2;358.0;4;-22;763;-22;8
6.0;25.0;932.0;-1;354.0;13;-32;753;-32;7
-10.0;12.0;928.0;3;358.0;14;-12;752;-12;6
16.0;-23.0;945.0;4;411.0;20;36;659;36;34
-3.0;11.0;966.0;6;418.0;20;-8;659;-8;33
9.0;2.0;957.0;5;410.0;20;12;657;12;30
-9.0;11.0;952.0;1;407.0;17;-12;654;-12;23
21.0;25.0;948.0;6;421.0;20;-21;654;-21;28
-40.0;25.0;947.0;8;417.0;22;6;653;6;28
25.0;17.0;959.0;3;406.0;19;3;660;3;28
106.0;50.0;954.0;-3;415.0;15;9;660;9;21
49.0;88.0;966.0;1;409.0;15;6;658;6;23
-22.0;59.0;958.0;1;431.0;20;-3;658;-3;36
-32.0;54.0;945.0;-1;354.0;11;13;756;13;5
82.0;58.0;924.0;-4;382.0;11;-22;757;-22;3
6.0;-32.0;932.0;-4;468.0;14;25;758;25;6
-5.0;-74.0;919.0;6;431.0;13;12;672;12;26
54.0;56.0;975.0;2;465.0;12;-28;675;-28;-27
54.0;87.0;927.0;7;371.0;20;-26;663;-26;24
53.0;109.0;919.0;3;348.0;18;14;666;14;26
-41.0;83.0;915.0;3;374.0;8;2;768;2;9
75.0;-171.0;873.0;-262;318.0;-1288;-2042;1995;-2042;276
-325.0;255.0;964.0;-6;427.0;19;-28;662;-28;39
362.0;-485.0;1238.0;62;203.0;-1071;605;2101;605;-649
70.0;88.0;947.0;3;459.0;19;-13;661;-13;12
39.0;73.0;957.0;4;459.0;12;-18;665;-18;15
123.0;-82.0;908.0;3;480.0;17;12;656;12;11
-27.0;55.0;967.0;4;407.0;18;-31;664;-31;42
31.0;20.0;955.0;0;417.0;20;-7;662;-7;40
