Accelerometer RKN_ accZ;InertialMeasurementUnit BACK accX;InertialMeasurementUnit RUA gyroX;Accelerometer HIP accX;InertialMeasurementUnit RLA accZ;InertialMeasurementUnit L-SHOE Nav_Ax;Accelerometer BACK accX;InertialMeasurementUnit BACK accY;InertialMeasurementUnit L-SHOE Body_Az;Accelerometer LH accZ;Accelerometer RWR accZ;Accelerometer BACK accY
-368.0;-938.0;778.0;-9.0;782.0;0;57.0;-34.0;652;-351.0;632.0;782.0
-19.0;-925.0;-52.0;-2.0;505.0;23;125.0;-114.0;701;388.0;478.0;883.0
-47.0;-998.0;601.0;-117.0;392.0;-39;165.0;-120.0;761;60.0;767.0;834.0
91.0;-970.0;74.0;-38.0;300.0;2;185.0;-169.0;789;133.0;816.0;826.0
150.0;-976.0;24.0;-20.0;317.0;-5;191.0;-171.0;733;103.0;790.0;840.0
10.0;-949.0;-2.0;-39.0;376.0;11;181.0;-127.0;706;55.0;691.0;801.0
22.0;-935.0;-123.0;-168.0;114.0;-35;202.0;-243.0;762;249.0;746.0;764.0
-391.0;-899.0;27.0;-49.0;567.0;2;116.0;-122.0;635;-137.0;814.0;678.0
-556.0;-1079.0;327.0;-96.0;589.0;313;42.0;-119.0;794;88.0;426.0;690.0
104.0;-995.0;-35.0;-83.0;507.0;0;236.0;-201.0;727;-658.0;608.0;865.0
-21.0;-938.0;120.0;-67.0;401.0;6;207.0;-125.0;722;-485.0;495.0;698.0
97.0;-977.0;-91.0;-28.0;474.0;-6;192.0;-142.0;735;80.0;562.0;895.0
184.0;-985.0;-151.0;-109.0;533.0;614;56.0;-96.0;532;270.0;619.0;843.0
32.0;-971.0;-46.0;-49.0;533.0;1;195.0;-195.0;733;-4.0;683.0;875.0
62.0;-964.0;101.0;-187.0;471.0;-2;36.0;-33.0;939;39.0;553.0;847.0
-383.0;-917.0;-31.0;-43.0;627.0;0;68.0;-75.0;641;255.0;790.0;641.0
111.0;-979.0;-39.0;-47.0;490.0;0;132.0;-105.0;719;59.0;566.0;872.0
-25.0;-982.0;60.0;23.0;655.0;-1;229.0;-196.0;730;86.0;403.0;877.0
21.0;-1026.0;-9.0;98.0;564.0;-3;146.0;-107.0;735;49.0;592.0;937.0
9.0;-763.0;-805.0;-84.0;536.0;-62;385.0;-274.0;712;228.0;839.0;671.0
-113.0;-928.0;277.0;-193.0;439.0;-400;78.0;-244.0;629;257.0;433.0;744.0
-27.0;-955.0;-50.0;-10.0;429.0;-6;274.0;-241.0;735;68.0;926.0;814.0
-98.0;-931.0;254.0;-83.0;382.0;-265;41.0;-66.0;1730;-63.0;543.0;853.0
58.0;-979.0;-13.0;16.0;511.0;-138;154.0;-204.0;761;66.0;729.0;904.0
106.0;-993.0;-39.0;-37.0;459.0;6;191.0;-143.0;729;59.0;595.0;883.0
-169.0;-894.0;1316.0;-80.0;525.0;150;45.0;-42.0;597;323.0;583.0;839.0
99.0;-992.0;-11.0;-32.0;448.0;1;177.0;-151.0;727;40.0;585.0;908.0
683.0;-957.0;14.0;-12.0;331.0;-370;139.0;-99.0;401;4.0;735.0;737.0
130.0;-985.0;-51.0;-48.0;448.0;0;157.0;-151.0;725;58.0;592.0;872.0
123.0;-469.0;142.0;-275.0;200.0;5;410.0;-328.0;721;130.0;674.0;-17.0
-25.0;-974.0;-263.0;-32.0;534.0;3;152.0;-203.0;735;-50.0;615.0;881.0
146.0;-812.0;-345.0;-77.0;627.0;-7;582.0;-407.0;736;8.0;845.0;462.0
-193.0;-919.0;41.0;31.0;510.0;1770;71.0;-19.0;-1033;30.0;661.0;930.0
-191.0;-872.0;54.0;104.0;349.0;23;243.0;-322.0;735;146.0;672.0;904.0
133.0;-987.0;79.0;-64.0;454.0;-3;161.0;-140.0;730;76.0;604.0;899.0
286.0;-1034.0;39.0;-146.0;542.0;-18;214.0;-171.0;890;63.0;579.0;854.0
38.0;-978.0;-301.0;-306.0;456.0;-1073;47.0;-160.0;925;183.0;557.0;777.0
57.0;-947.0;-217.0;-66.0;583.0;-1;173.0;-187.0;725;405.0;890.0;810.0
60.0;-995.0;-35.0;-10.0;734.0;-8;115.0;-118.0;698;236.0;860.0;894.0
18.0;-946.0;292.0;0.0;415.0;-5;202.0;-219.0;722;83.0;702.0;823.0
88.0;-873.0;-139.0;-10.0;391.0;-1;407.0;-344.0;727;26.0;643.0;641.0
37.0;-957.0;96.0;49.0;478.0;-4;204.0;-169.0;719;81.0;702.0;849.0
106.0;-970.0;80.0;-69.0;444.0;-2;158.0;-136.0;727;206.0;540.0;874.0
-29.0;-978.0;-335.0;5.0;483.0;3;225.0;-215.0;732;193.0;603.0;897.0
130.0;-978.0;29.0;-67.0;488.0;-1;144.0;-106.0;718;114.0;563.0;876.0
141.0;-976.0;-75.0;-76.0;497.0;2;108.0;-88.0;717;121.0;585.0;884.0
2.0;-991.0;221.0;49.0;625.0;5;150.0;-107.0;720;122.0;455.0;918.0
106.0;-1022.0;-55.0;-50.0;478.0;3;126.0;-127.0;730;60.0;587.0;886.0
-40.0;-990.0;231.0;47.0;679.0;-6;261.0;-156.0;732;-147.0;738.0;920.0
125.0;-978.0;-13.0;-22.0;465.0;2;192.0;-145.0;728;53.0;574.0;893.0
73.0;-889.0;104.0;-170.0;381.0;2;296.0;-204.0;737;676.0;701.0;612.0
122.0;-991.0;9.0;-19.0;452.0;-3;182.0;-159.0;730;62.0;620.0;895.0
102.0;-986.0;27.0;-11.0;457.0;-2;172.0;-157.0;732;33.0;606.0;908.0
10.0;-953.0;49.0;12.0;629.0;4;270.0;-245.0;727;71.0;956.0;829.0
-131.0;-1271.0;54.0;-119.0;555.0;1202;88.0;-232.0;1539;329.0;582.0;788.0
305.0;-978.0;-260.0;-76.0;467.0;-18;166.0;-180.0;730;140.0;612.0;959.0
90.0;-998.0;9.0;-40.0;439.0;-2;141.0;-157.0;725;83.0;590.0;900.0
393.0;-930.0;-61.0;-156.0;375.0;-11;189.0;-163.0;722;73.0;549.0;867.0
118.0;-989.0;-102.0;-36.0;464.0;1;155.0;-140.0;729;51.0;590.0;896.0
296.0;-836.0;-73.0;-72.0;325.0;-97;177.0;-206.0;767;129.0;608.0;1079.0
108.0;-985.0;99.0;-34.0;463.0;-2;164.0;-136.0;730;51.0;590.0;904.0
-383.0;-958.0;81.0;-31.0;783.0;-5;34.0;-31.0;644;-381.0;174.0;762.0
113.0;-987.0;384.0;-48.0;445.0;0;110.0;-115.0;729;89.0;559.0;870.0
259.0;-963.0;36.0;-140.0;399.0;2;200.0;-205.0;733;60.0;538.0;848.0
111.0;-973.0;72.0;-47.0;454.0;-3;215.0;-170.0;726;47.0;573.0;885.0
106.0;-988.0;-18.0;-39.0;471.0;6;123.0;-148.0;725;76.0;600.0;920.0
60.0;-178.0;-116.0;-424.0;261.0;-1;471.0;-399.0;719;250.0;531.0;-272.0
-46.0;-962.0;-174.0;-192.0;545.0;-85;110.0;-38.0;961;127.0;575.0;859.0
-36.0;-978.0;-14.0;19.0;656.0;-3;216.0;-202.0;726;238.0;384.0;872.0
746.0;-1257.0;-189.0;-119.0;456.0;-227;86.0;-99.0;607;60.0;701.0;829.0
626.0;-1019.0;352.0;-2.0;520.0;-47;293.0;-55.0;691;123.0;449.0;765.0
43.0;-720.0;313.0;-32.0;734.0;4;602.0;-566.0;724;12.0;851.0;497.0
99.0;-987.0;13.0;-48.0;478.0;10;115.0;-114.0;723;68.0;618.0;921.0
-7.0;-952.0;-1567.0;-23.0;416.0;-12;284.0;-214.0;723;82.0;680.0;836.0
139.0;-980.0;-64.0;-58.0;475.0;4;151.0;-135.0;736;77.0;582.0;890.0
282.0;-921.0;-413.0;-107.0;382.0;16;178.0;-159.0;727;100.0;468.0;810.0
0.0;-979.0;-286.0;8.0;892.0;3;179.0;-166.0;729;-180.0;821.0;912.0
148.0;-995.0;214.0;-66.0;484.0;2;144.0;-155.0;727;71.0;626.0;875.0
120.0;-988.0;12.0;-23.0;450.0;-9;170.0;-148.0;733;34.0;571.0;903.0
-374.0;-918.0;-4.0;-38.0;637.0;-1;76.0;-72.0;649;-543.0;793.0;668.0
-345.0;-773.0;705.0;159.0;364.0;-1607;225.0;-26.0;-1514;217.0;637.0;1124.0
71.0;-890.0;5.0;-208.0;437.0;106;-49.0;-267.0;897;-8.0;525.0;916.0
338.0;-953.0;386.0;108.0;353.0;1;287.0;-237.0;717;-73.0;946.0;866.0
105.0;-972.0;-248.0;-72.0;472.0;-4;148.0;-130.0;736;85.0;588.0;891.0
101.0;-997.0;-34.0;-22.0;454.0;-4;165.0;-147.0;732;102.0;603.0;907.0
108.0;-989.0;-41.0;0.0;454.0;5;159.0;-146.0;722;79.0;612.0;918.0
107.0;-989.0;10.0;-20.0;465.0;-3;176.0;-147.0;730;63.0;613.0;919.0
133.0;-989.0;-28.0;-10.0;455.0;14;154.0;-135.0;727;61.0;612.0;887.0
118.0;-989.0;25.0;-57.0;459.0;-1;169.0;-153.0;728;105.0;601.0;883.0
207.0;-997.0;18.0;62.0;662.0;-6;149.0;-127.0;722;157.0;376.0;922.0
125.0;-994.0;-2.0;35.0;662.0;1;155.0;-155.0;735;-81.0;279.0;921.0
105.0;-994.0;34.0;-35.0;439.0;-2;129.0;-150.0;728;57.0;568.0;895.0
311.0;-950.0;98.0;-84.0;437.0;11;166.0;-150.0;727;99.0;561.0;898.0
146.0;-984.0;-50.0;-20.0;454.0;-4;136.0;-136.0;734;26.0;572.0;896.0
125.0;-981.0;-3.0;-45.0;441.0;5;160.0;-152.0;728;79.0;574.0;904.0
-52.0;-789.0;-868.0;37.0;418.0;-49;275.0;-289.0;706;83.0;418.0;809.0
62.0;-978.0;-179.0;68.0;437.0;6;226.0;-183.0;689;126.0;693.0;900.0
-1.0;-976.0;424.0;10.0;909.0;6;229.0;-194.0;735;172.0;937.0;867.0
115.0;-985.0;62.0;5.0;442.0;0;159.0;-144.0;730;28.0;585.0;920.0
116.0;-980.0;218.0;-54.0;462.0;0;128.0;-139.0;731;67.0;611.0;903.0
