InertialMeasurementUnit LUA magneticY;Accelerometer LUA^ accY;Accelerometer LUA_ accY;InertialMeasurementUnit L-SHOE Compass;Accelerometer LWR accY;Accelerometer RWR accY;InertialMeasurementUnit LLA accX;InertialMeasurementUnit R-SHOE Body_Ay
41.0;865.0;950.0;113;886.0;318.0;-931.0;388
347.0;739.0;577.0;-159;729.0;612.0;-356.0;154
84.0;917.0;1011.0;129;919.0;514.0;-914.0;441
206.0;858.0;809.0;90;699.0;678.0;-862.0;403
526.0;823.0;582.0;164;330.0;637.0;-564.0;371
451.0;908.0;464.0;105;180.0;134.0;-400.0;387
119.0;872.0;650.0;147;588.0;582.0;-989.0;408
166.0;760.0;905.0;51;906.0;495.0;-980.0;411
214.0;932.0;889.0;115;741.0;616.0;-885.0;398
176.0;817.0;918.0;51;899.0;202.0;-982.0;536
212.0;897.0;832.0;121;887.0;607.0;-875.0;391
166.0;773.0;897.0;52;891.0;408.0;-922.0;457
535.0;1001.0;907.0;111;722.0;434.0;-808.0;749
168.0;1000.0;727.0;-6;674.0;757.0;-768.0;270
-138.0;901.0;914.0;16;905.0;787.0;-935.0;407
59.0;822.0;902.0;-37;887.0;575.0;-843.0;385
71.0;911.0;866.0;-48;905.0;609.0;-890.0;387
518.0;1091.0;935.0;111;891.0;632.0;-862.0;726
-8.0;809.0;841.0;-154;773.0;598.0;-882.0;599
137.0;897.0;906.0;-43;794.0;563.0;-908.0;383
31.0;783.0;933.0;-147;822.0;787.0;-899.0;521
424.0;841.0;866.0;-12;856.0;695.0;-1092.0;707
448.0;755.0;682.0;82;563.0;677.0;-886.0;393
248.0;564.0;1382.0;16;1505.0;718.0;-734.0;371
107.0;900.0;941.0;113;867.0;396.0;-940.0;416
102.0;895.0;931.0;113;888.0;422.0;-938.0;445
99.0;882.0;921.0;113;884.0;370.0;-939.0;485
91.0;902.0;946.0;113;857.0;360.0;-937.0;395
112.0;790.0;1023.0;-25;756.0;589.0;-908.0;367
90.0;910.0;942.0;113;858.0;361.0;-943.0;384
-182.0;877.0;631.0;54;554.0;549.0;-806.0;340
-8.0;945.0;861.0;125;708.0;600.0;-909.0;440
54.0;829.0;994.0;39;926.0;553.0;-976.0;410
53.0;800.0;945.0;39;933.0;514.0;-963.0;427
47.0;795.0;965.0;39;927.0;462.0;-999.0;503
44.0;796.0;948.0;39;934.0;474.0;-986.0;501
41.0;792.0;939.0;39;931.0;485.0;-960.0;518
231.0;995.0;937.0;10;710.0;339.0;-917.0;404
220.0;1000.0;980.0;8;729.0;435.0;-884.0;413
-43.0;1051.0;862.0;-43;807.0;720.0;-1067.0;335
108.0;962.0;914.0;18;813.0;713.0;-939.0;369
21.0;1279.0;720.0;-90;824.0;570.0;-1250.0;413
403.0;995.0;1065.0;-172;945.0;448.0;-960.0;405
213.0;948.0;962.0;-54;839.0;580.0;-918.0;403
222.0;951.0;942.0;-46;849.0;613.0;-943.0;409
281.0;1003.0;800.0;-94;913.0;497.0;-1052.0;383
-14.0;872.0;887.0;28;853.0;646.0;-1096.0;377
14.0;736.0;937.0;147;804.0;650.0;-900.0;-37
113.0;834.0;901.0;73;809.0;665.0;-893.0;403
103.0;739.0;1045.0;131;748.0;726.0;-816.0;355
152.0;774.0;975.0;51;927.0;734.0;-981.0;527
212.0;850.0;879.0;73;877.0;670.0;-984.0;502
161.0;776.0;867.0;124;776.0;753.0;-1034.0;433
294.0;833.0;771.0;77;772.0;734.0;-1198.0;542
62.0;869.0;958.0;15;821.0;695.0;-974.0;363
11.0;776.0;949.0;17;936.0;696.0;-917.0;367
97.0;811.0;893.0;15;877.0;702.0;-927.0;367
-158.0;729.0;882.0;54;852.0;490.0;-852.0;571
-324.0;944.0;1066.0;4;882.0;711.0;-753.0;372
141.0;822.0;895.0;107;820.0;418.0;-887.0;439
237.0;917.0;1260.0;168;1073.0;633.0;-880.0;407
93.0;929.0;918.0;14;839.0;724.0;-953.0;371
104.0;864.0;890.0;108;832.0;477.0;-903.0;469
64.0;1026.0;843.0;28;836.0;583.0;-1037.0;411
129.0;911.0;905.0;36;903.0;704.0;-968.0;390
130.0;960.0;953.0;36;880.0;563.0;-947.0;390
189.0;814.0;846.0;114;776.0;527.0;-978.0;439
176.0;796.0;853.0;114;825.0;509.0;-950.0;400
159.0;806.0;904.0;114;857.0;506.0;-876.0;392
262.0;1035.0;763.0;132;662.0;642.0;-1317.0;560
154.0;826.0;937.0;113;858.0;500.0;-872.0;392
150.0;835.0;948.0;113;858.0;464.0;-861.0;386
133.0;859.0;945.0;113;847.0;333.0;-884.0;393
86.0;902.0;937.0;113;869.0;350.0;-948.0;387
132.0;872.0;934.0;113;865.0;341.0;-899.0;393
120.0;878.0;926.0;113;866.0;343.0;-947.0;386
121.0;877.0;947.0;113;877.0;368.0;-950.0;393
125.0;856.0;917.0;113;847.0;455.0;-966.0;391
132.0;873.0;931.0;113;877.0;497.0;-956.0;392
