Accelerometer RKN_ accY;InertialMeasurementUnit L-SHOE EuX;InertialMeasurementUnit BACK Quaternion1;InertialMeasurementUnit BACK magneticZ;Accelerometer RUA^ accZ;InertialMeasurementUnit BACK Quaternion3;InertialMeasurementUnit LUA accY;InertialMeasurementUnit RLA Quaternion3;Accelerometer RUA^ accY;InertialMeasurementUnit RUA Quaternion3;InertialMeasurementUnit RLA Quaternion4;InertialMeasurementUnit RUA magneticY
954.0;-159;679.0;106.0;282.0;458.0;-382.0;-31.0;967.0;-243.0;-860.0;-400.0
990.0;-151;736.0;286.0;266.0;520.0;-220.0;-140.0;1020.0;-267.0;-689.0;-398.0
994.0;89;428.0;-299.0;103.0;238.0;-212.0;219.0;1243.0;95.0;-659.0;58.0
1100.0;172;663.0;58.0;342.0;514.0;-352.0;3.0;1154.0;-175.0;-794.0;-186.0
959.0;-179;681.0;178.0;489.0;526.0;-216.0;-297.0;1000.0;-365.0;-753.0;-519.0
982.0;-151;751.0;276.0;290.0;504.0;-165.0;-35.0;1054.0;-255.0;-643.0;-331.0
982.0;170;656.0;42.0;419.0;504.0;-437.0;-7.0;939.0;-165.0;-778.0;-182.0
1114.0;107;642.0;247.0;195.0;495.0;-230.0;48.0;984.0;-188.0;-803.0;-415.0
978.0;-139;660.0;13.0;265.0;482.0;-361.0;-21.0;831.0;-158.0;-764.0;-164.0
984.0;-151;742.0;241.0;285.0;490.0;-167.0;-10.0;1011.0;-236.0;-601.0;-282.0
992.0;-151;729.0;254.0;294.0;509.0;-184.0;-70.0;1034.0;-240.0;-627.0;-348.0
980.0;134;595.0;-90.0;252.0;406.0;-518.0;65.0;997.0;-128.0;-788.0;-51.0
986.0;-151;753.0;282.0;324.0;506.0;-160.0;-38.0;977.0;-259.0;-643.0;-333.0
992.0;-111;611.0;-60.0;167.0;407.0;-465.0;121.0;859.0;-109.0;-772.0;-53.0
937.0;170;622.0;-275.0;245.0;406.0;-281.0;208.0;875.0;-57.0;-690.0;-193.0
927.0;161;648.0;-223.0;160.0;414.0;-134.0;183.0;882.0;-83.0;-728.0;-148.0
1002.0;-83;699.0;-22.0;249.0;507.0;-432.0;73.0;1057.0;280.0;855.0;-419.0
1013.0;177;823.0;-158.0;58.0;531.0;-42.0;221.0;1179.0;540.0;776.0;-212.0
876.0;111;594.0;-166.0;463.0;348.0;-136.0;-301.0;1014.0;-77.0;-456.0;-71.0
1470.0;140;790.0;147.0;345.0;603.0;-181.0;200.0;966.0;449.0;868.0;-530.0
976.0;171;715.0;-88.0;706.0;294.0;-292.0;-196.0;859.0;-132.0;-458.0;-112.0
903.0;112;673.0;-77.0;493.0;373.0;-387.0;-380.0;871.0;-150.0;-508.0;-202.0
1013.0;161;639.0;-221.0;144.0;410.0;-199.0;175.0;885.0;-71.0;-717.0;-155.0
986.0;-16;197.0;-415.0;642.0;227.0;-367.0;-46.0;877.0;-385.0;-524.0;-17.0
990.0;-18;210.0;-402.0;649.0;242.0;-367.0;-80.0;903.0;-397.0;-561.0;-53.0
969.0;-18;235.0;-400.0;563.0;258.0;-397.0;-151.0;993.0;-422.0;-595.0;-55.0
970.0;-18;240.0;-399.0;601.0;263.0;-321.0;-154.0;964.0;-424.0;-600.0;-57.0
948.0;-17;244.0;-388.0;597.0;280.0;-327.0;-151.0;871.0;-428.0;-616.0;-87.0
964.0;-17;245.0;-383.0;597.0;285.0;-282.0;-146.0;878.0;-426.0;-625.0;-99.0
987.0;-17;250.0;-375.0;592.0;296.0;-230.0;-125.0;837.0;-420.0;-650.0;-134.0
970.0;-17;256.0;-356.0;632.0;313.0;-267.0;-103.0;911.0;-407.0;-677.0;-184.0
965.0;104;-714.0;235.0;217.0;-531.0;-178.0;-45.0;1081.0;-291.0;-846.0;-523.0
982.0;-151;731.0;256.0;289.0;509.0;-161.0;-84.0;1035.0;-245.0;-635.0;-351.0
987.0;-151;730.0;255.0;296.0;509.0;-182.0;-70.0;1051.0;-243.0;-639.0;-348.0
994.0;-151;728.0;254.0;341.0;508.0;-184.0;-85.0;1035.0;-243.0;-629.0;-354.0
1068.0;-157;765.0;-102.0;280.0;545.0;-318.0;229.0;1006.0;480.0;-558.0;-433.0
979.0;-151;723.0;245.0;281.0;505.0;-235.0;-81.0;1065.0;-236.0;-627.0;-345.0
1000.0;120;614.0;-141.0;40.0;337.0;-128.0;139.0;1010.0;-47.0;-696.0;-48.0
980.0;99;-679.0;321.0;265.0;-575.0;-212.0;-139.0;1078.0;-355.0;-853.0;-569.0
932.0;97;-725.0;253.0;97.0;-519.0;-196.0;-81.0;1090.0;-323.0;-854.0;-561.0
1001.0;-151;750.0;273.0;279.0;503.0;-183.0;-35.0;1083.0;-252.0;-643.0;-327.0
895.0;-84;543.0;-172.0;45.0;364.0;-283.0;134.0;1008.0;-38.0;-786.0;-41.0
