InertialMeasurementUnit LUA magneticY;Accelerometer LUA^ accY;Accelerometer LUA_ accY;InertialMeasurementUnit L-SHOE Compass;Accelerometer LWR accY;Accelerometer RWR accY;InertialMeasurementUnit LLA accX;InertialMeasurementUnit R-SHOE Body_Ay
165.0;939.0;825.0;82;780.0;598.0;-819.0;403
140.0;801.0;955.0;16;922.0;687.0;-1355.0;373
84.0;917.0;1011.0;129;919.0;514.0;-914.0;441
452.0;846.0;1070.0;72;995.0;567.0;-927.0;407
327.0;896.0;965.0;115;912.0;387.0;-904.0;381
293.0;863.0;948.0;114;876.0;672.0;-915.0;384
295.0;876.0;960.0;114;878.0;566.0;-905.0;384
296.0;865.0;954.0;114;906.0;564.0;-891.0;383
305.0;825.0;945.0;114;873.0;569.0;-898.0;385
384.0;712.0;925.0;210;832.0;832.0;-1024.0;281
295.0;839.0;887.0;125;894.0;705.0;-1089.0;414
302.0;852.0;865.0;114;829.0;746.0;-1020.0;383
262.0;874.0;903.0;114;810.0;767.0;-1001.0;388
260.0;936.0;971.0;164;855.0;831.0;-875.0;405
299.0;1015.0;1097.0;118;1036.0;771.0;-1046.0;529
-194.0;939.0;773.0;-38;629.0;664.0;-662.0;399
-204.0;1033.0;469.0;-107;933.0;696.0;-327.0;645
76.0;818.0;684.0;-175;438.0;933.0;-766.0;389
-32.0;848.0;890.0;-39;503.0;705.0;-954.0;330
137.0;897.0;906.0;-43;794.0;563.0;-908.0;383
246.0;986.0;1224.0;169;1123.0;675.0;-888.0;397
162.0;1029.0;1081.0;162;971.0;550.0;-922.0;399
157.0;931.0;1009.0;114;923.0;433.0;-959.0;385
119.0;916.0;960.0;113;863.0;375.0;-941.0;337
107.0;900.0;941.0;113;867.0;396.0;-940.0;416
102.0;895.0;931.0;113;888.0;422.0;-938.0;445
99.0;882.0;921.0;113;884.0;370.0;-939.0;485
91.0;902.0;946.0;113;857.0;360.0;-937.0;395
112.0;790.0;1023.0;-25;756.0;589.0;-908.0;367
90.0;910.0;942.0;113;858.0;361.0;-943.0;384
88.0;901.0;940.0;113;866.0;335.0;-950.0;394
89.0;917.0;933.0;113;862.0;175.0;-958.0;384
-206.0;939.0;960.0;12;765.0;806.0;-1106.0;348
89.0;907.0;940.0;113;852.0;317.0;-946.0;388
-145.0;743.0;810.0;-17;737.0;701.0;-819.0;1695
93.0;893.0;933.0;113;852.0;272.0;-950.0;384
93.0;901.0;922.0;113;885.0;250.0;-943.0;383
-380.0;926.0;764.0;-34;547.0;662.0;-842.0;398
26.0;1137.0;962.0;-60;981.0;662.0;-1185.0;409
37.0;1021.0;892.0;20;908.0;625.0;-1038.0;382
108.0;962.0;914.0;18;813.0;713.0;-939.0;369
134.0;997.0;1038.0;27;1084.0;886.0;-1052.0;411
-175.0;1024.0;962.0;-6;793.0;696.0;-823.0;389
63.0;900.0;1005.0;17;891.0;760.0;-976.0;372
51.0;951.0;980.0;17;871.0;749.0;-996.0;369
40.0;937.0;963.0;16;879.0;741.0;-988.0;369
36.0;915.0;914.0;16;854.0;702.0;-973.0;371
92.0;908.0;940.0;113;872.0;203.0;-940.0;378
91.0;920.0;929.0;113;841.0;255.0;-955.0;384
91.0;908.0;947.0;113;868.0;293.0;-954.0;384
89.0;908.0;933.0;113;858.0;249.0;-958.0;383
259.0;619.0;963.0;107;1102.0;776.0;-636.0;332
87.0;921.0;935.0;113;857.0;247.0;-936.0;388
87.0;914.0;944.0;113;869.0;288.0;-945.0;383
62.0;869.0;958.0;15;821.0;695.0;-974.0;363
88.0;797.0;929.0;15;868.0;682.0;-959.0;373
97.0;811.0;893.0;15;877.0;702.0;-927.0;367
