InertialMeasurementUnit LUA gyroY;InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit LLA accZ;InertialMeasurementUnit LUA accZ;InertialMeasurementUnit LLA gyroY;InertialMeasurementUnit LLA gyroZ;InertialMeasurementUnit RLA magneticZ;InertialMeasurementUnit RLA gyroX;Accelerometer HIP accZ;Accelerometer LWR accZ
-546.0;378.0;60.0;439.0;-424.0;284.0;-12.0;398.0;161.0;441.0
-88.0;24.0;13.0;211.0;-210.0;162.0;-406.0;-25.0;457.0;492.0
4.0;28.0;25.0;234.0;28.0;77.0;-422.0;-128.0;451.0;452.0
-31.0;16.0;-8.0;167.0;22.0;50.0;-512.0;-64.0;440.0;372.0
-54.0;391.0;102.0;326.0;19.0;457.0;-489.0;229.0;255.0;353.0
11.0;-26.0;-28.0;170.0;-4.0;224.0;-457.0;141.0;369.0;437.0
14.0;-8.0;71.0;322.0;18.0;10.0;-263.0;-19.0;388.0;434.0
29.0;-16.0;46.0;258.0;45.0;4.0;-370.0;-91.0;380.0;474.0
10.0;39.0;46.0;244.0;24.0;41.0;-351.0;-38.0;375.0;472.0
605.0;-459.0;-573.0;200.0;1371.0;265.0;-131.0;29.0;323.0;335.0
-63.0;-90.0;-115.0;373.0;-54.0;-43.0;-504.0;45.0;404.0;696.0
2.0;30.0;119.0;473.0;-14.0;74.0;-427.0;-78.0;454.0;620.0
261.0;-581.0;-125.0;383.0;-115.0;-29.0;-559.0;-214.0;304.0;381.0
178.0;-120.0;13.0;424.0;248.0;-54.0;-552.0;-40.0;154.0;239.0
19.0;-110.0;119.0;85.0;69.0;82.0;-286.0;-229.0;440.0;889.0
16.0;-10.0;-101.0;358.0;24.0;1.0;-482.0;-42.0;397.0;694.0
46.0;204.0;143.0;387.0;49.0;313.0;-705.0;-278.0;319.0;390.0
-437.0;838.0;-83.0;334.0;149.0;-459.0;-702.0;-225.0;61.0;401.0
3.0;38.0;-88.0;363.0;22.0;71.0;-488.0;-4.0;407.0;641.0
-26.0;53.0;39.0;237.0;-34.0;82.0;-389.0;-42.0;398.0;483.0
53.0;121.0;-106.0;350.0;38.0;136.0;-504.0;-152.0;392.0;661.0
-789.0;245.0;-129.0;151.0;-1077.0;-98.0;-129.0;-717.0;325.0;454.0
-23.0;-4.0;53.0;267.0;49.0;66.0;-367.0;251.0;409.0;444.0
8.0;14.0;57.0;225.0;33.0;43.0;-367.0;-16.0;435.0;485.0
-21.0;20.0;70.0;226.0;60.0;52.0;-367.0;-44.0;433.0;450.0
-7.0;38.0;65.0;214.0;11.0;61.0;-366.0;23.0;447.0;478.0
-13.0;32.0;54.0;212.0;30.0;81.0;-371.0;-27.0;471.0;446.0
20.0;17.0;-247.0;162.0;222.0;200.0;-225.0;-41.0;565.0;531.0
-17.0;61.0;71.0;209.0;36.0;73.0;-369.0;-28.0;446.0;454.0
26.0;11.0;72.0;211.0;69.0;27.0;-363.0;2.0;481.0;438.0
29.0;-121.0;-19.0;195.0;209.0;-245.0;-432.0;-145.0;417.0;350.0
-63.0;70.0;-27.0;184.0;-31.0;148.0;-152.0;-115.0;422.0;349.0
27.0;30.0;58.0;43.0;-25.0;23.0;-77.0;-710.0;668.0;754.0
-151.0;-244.0;-93.0;145.0;-163.0;-293.0;-266.0;-110.0;286.0;375.0
-87.0;147.0;16.0;320.0;-378.0;682.0;-191.0;-51.0;352.0;433.0
33.0;227.0;61.0;239.0;73.0;422.0;-163.0;-257.0;319.0;551.0
52.0;-56.0;-26.0;181.0;114.0;-126.0;-148.0;29.0;386.0;365.0
-3.0;-15.0;9.0;240.0;100.0;-31.0;-565.0;185.0;396.0;350.0
605.0;-12.0;39.0;307.0;258.0;210.0;-202.0;167.0;396.0;455.0
250.0;-150.0;171.0;92.0;88.0;93.0;-102.0;-40.0;603.0;412.0
33.0;-2.0;64.0;214.0;137.0;-31.0;-400.0;-67.0;467.0;461.0
35.0;39.0;52.0;273.0;85.0;17.0;-408.0;692.0;405.0;432.0
17.0;18.0;192.0;179.0;37.0;48.0;-217.0;-3.0;586.0;871.0
262.0;120.0;107.0;276.0;469.0;-185.0;-419.0;-314.0;443.0;448.0
372.0;-1362.0;-80.0;145.0;968.0;-2225.0;-267.0;892.0;457.0;239.0
19.0;-3.0;48.0;23.0;36.0;58.0;-142.0;-216.0;586.0;753.0
4.0;1.0;26.0;225.0;-7.0;30.0;-417.0;-67.0;475.0;408.0
-10.0;23.0;27.0;220.0;9.0;51.0;-419.0;-137.0;462.0;420.0
59.0;-272.0;-54.0;191.0;277.0;-492.0;-425.0;940.0;427.0;357.0
-73.0;9.0;-22.0;153.0;-125.0;163.0;-448.0;-184.0;391.0;394.0
16.0;9.0;118.0;478.0;42.0;42.0;-387.0;-117.0;455.0;641.0
-169.0;-289.0;-102.0;314.0;-526.0;187.0;272.0;-158.0;309.0;636.0
81.0;199.0;-39.0;116.0;264.0;110.0;-551.0;10.0;377.0;474.0
6.0;-28.0;92.0;348.0;26.0;-71.0;-263.0;-143.0;368.0;464.0
-14.0;42.0;99.0;425.0;13.0;81.0;-63.0;-84.0;234.0;375.0
-79.0;-151.0;-137.0;364.0;-59.0;-59.0;-517.0;169.0;413.0;682.0
-38.0;41.0;83.0;335.0;19.0;-79.0;-272.0;103.0;364.0;483.0
-33.0;-3.0;199.0;174.0;22.0;41.0;-210.0;-11.0;590.0;474.0
84.0;28.0;83.0;434.0;56.0;58.0;-51.0;-654.0;233.0;393.0
58.0;29.0;255.0;269.0;66.0;5.0;120.0;96.0;413.0;890.0
-14.0;32.0;-87.0;309.0;31.0;38.0;-560.0;-14.0;405.0;503.0
-43.0;12.0;39.0;40.0;-10.0;56.0;-211.0;232.0;618.0;799.0
-22.0;-75.0;21.0;263.0;-168.0;-73.0;-542.0;-202.0;457.0;370.0
-13.0;9.0;-501.0;62.0;213.0;-16.0;-209.0;119.0;560.0;169.0
-212.0;193.0;-444.0;309.0;-202.0;-354.0;-510.0;678.0;201.0;314.0
-8.0;57.0;22.0;216.0;37.0;53.0;-452.0;-200.0;463.0;415.0
-805.0;736.0;35.0;363.0;-990.0;772.0;-516.0;-741.0;146.0;362.0
29.0;-12.0;34.0;230.0;40.0;33.0;-436.0;-162.0;458.0;402.0
1.0;-48.0;-170.0;620.0;55.0;82.0;160.0;204.0;-335.0;101.0
26.0;-28.0;-155.0;620.0;38.0;80.0;170.0;-370.0;-334.0;145.0
65.0;-94.0;-405.0;280.0;20.0;55.0;-79.0;221.0;289.0;287.0
241.0;-128.0;-7.0;246.0;164.0;-69.0;-361.0;-318.0;451.0;232.0
73.0;-468.0;-66.0;227.0;-293.0;59.0;-244.0;-136.0;96.0;424.0
20.0;-55.0;21.0;180.0;-12.0;-50.0;-867.0;-7.0;421.0;384.0
-521.0;903.0;80.0;245.0;-664.0;839.0;-130.0;-829.0;243.0;445.0
-174.0;460.0;-599.0;278.0;-331.0;-849.0;-113.0;-548.0;360.0;-46.0
1.0;-38.0;27.0;165.0;31.0;14.0;-871.0;114.0;426.0;398.0
145.0;-262.0;-3.0;213.0;263.0;-433.0;-892.0;113.0;422.0;333.0
414.0;395.0;127.0;294.0;622.0;238.0;-664.0;8.0;344.0;578.0
412.0;17.0;49.0;300.0;343.0;100.0;-763.0;436.0;400.0;195.0
19.0;21.0;122.0;133.0;20.0;53.0;151.0;2.0;405.0;828.0
-20.0;11.0;129.0;194.0;8.0;40.0;-627.0;-2000.0;345.0;433.0
62.0;-67.0;73.0;287.0;184.0;57.0;-422.0;1984.0;395.0;456.0
-144.0;98.0;79.0;289.0;-126.0;-23.0;-595.0;-880.0;288.0;420.0
439.0;-274.0;-105.0;179.0;696.0;-744.0;-776.0;-252.0;390.0;413.0
-39.0;72.0;15.0;196.0;31.0;90.0;-862.0;-120.0;414.0;397.0
85.0;-20.0;-44.0;168.0;-106.0;369.0;-481.0;996.0;433.0;383.0
14.0;-2.0;55.0;229.0;54.0;41.0;-514.0;-276.0;447.0;386.0
2.0;134.0;24.0;179.0;19.0;180.0;-861.0;21.0;403.0;411.0
179.0;-48.0;-1.0;175.0;418.0;-182.0;-884.0;-139.0;391.0;382.0
-392.0;231.0;7.0;207.0;-502.0;629.0;-897.0;63.0;384.0;501.0
264.0;-129.0;183.0;530.0;196.0;-259.0;-49.0;-321.0;182.0;329.0
302.0;-378.0;44.0;247.0;974.0;-879.0;-870.0;372.0;280.0;458.0
-785.0;1153.0;25.0;313.0;-733.0;1480.0;-282.0;-144.0;256.0;397.0
-12.0;-66.0;11.0;178.0;215.0;-222.0;-446.0;-775.0;445.0;306.0
-87.0;542.0;-11.0;147.0;-33.0;350.0;-599.0;-817.0;439.0;414.0
-112.0;-5.0;3.0;156.0;-324.0;201.0;-878.0;94.0;381.0;463.0
8.0;2.0;14.0;188.0;60.0;28.0;-873.0;-53.0;444.0;372.0
-282.0;531.0;60.0;283.0;-371.0;759.0;-775.0;-351.0;421.0;581.0
206.0;-638.0;-23.0;244.0;283.0;-1095.0;-163.0;-186.0;366.0;216.0
