Accelerometer LUA^ accZ;InertialMeasurementUnit RUA magneticX;InertialMeasurementUnit LLA magneticX;InertialMeasurementUnit R-SHOE Body_Az;InertialMeasurementUnit LUA magneticX;Accelerometer LH accY;InertialMeasurementUnit R-SHOE EuY;InertialMeasurementUnit L-SHOE EuZ;InertialMeasurementUnit R-SHOE Body_Ax;InertialMeasurementUnit RUA magneticZ;InertialMeasurementUnit BACK gyroZ
835.0;-237.0;-227.0;?;684.0;-1078.0;-24;-178;310;318.0;291.0
848.0;-192.0;-192.0;797;694.0;-1076.0;-24;-178;306;303.0;236.0
931.0;-167.0;-164.0;801;701.0;-1038.0;-24;-179;307;287.0;-108.0
1017.0;?;-149.0;797;697.0;?;?;-178;309;273.0;-70.0
1144.0;-151.0;-148.0;791;698.0;-772.0;?;-178;317;272.0;?
?;-164.0;-142.0;797;703.0;-1049.0;?;-178;311;283.0;69.0
1210.0;?;-151.0;800;703.0;-1313.0;?;-178;308;?;46.0
?;-198.0;-166.0;796;700.0;-1257.0;-24;-178;312;280.0;-12.0
1072.0;?;-195.0;797;691.0;-1186.0;-24;-179;305;274.0;-115.0
1033.0;-215.0;?;797;-210.0;-658.0;?;-178;308;-521.0;22.0
893.0;-229.0;-677.0;795;-207.0;-659.0;-24;-178;316;-515.0;41.0
1007.0;-231.0;-680.0;793;-204.0;-628.0;-24;-178;?;-517.0;39.0
967.0;-234.0;-682.0;792;-202.0;-693.0;-24;-178;311;?;33.0
1005.0;?;-690.0;793;-192.0;-686.0;?;-178;313;-524.0;?
972.0;-284.0;?;?;-174.0;-801.0;-24;-179;310;-520.0;-42.0
941.0;-324.0;-695.0;798;-142.0;-810.0;-24;-178;308;-497.0;-42.0
892.0;-364.0;-702.0;?;-94.0;-877.0;-24;-178;?;-467.0;-78.0
850.0;-396.0;-708.0;796;-38.0;-936.0;-24;-178;314;-428.0;-51.0
746.0;-428.0;-707.0;797;30.0;-867.0;-24;-178;311;-371.0;-66.0
