Accelerometer RKN_ accZ;InertialMeasurementUnit BACK accX;InertialMeasurementUnit RUA gyroX;Accelerometer HIP accX;InertialMeasurementUnit RLA accZ;InertialMeasurementUnit L-SHOE Nav_Ax;Accelerometer BACK accX;InertialMeasurementUnit BACK accY;InertialMeasurementUnit L-SHOE Body_Az;Accelerometer LH accZ;Accelerometer RWR accZ;Accelerometer BACK accY
52.0;-993.0;-30.0;-31.0;462.0;4;170.0;-144.0;727;103.0;557.0;889.0
-501.0;-1028.0;240.0;-167.0;611.0;740;-12.0;-98.0;771;166.0;476.0;697.0
-38.0;-964.0;101.0;-63.0;333.0;50;183.0;-115.0;733;74.0;720.0;773.0
19.0;-959.0;56.0;-19.0;348.0;9;183.0;-123.0;703;54.0;697.0;791.0
26.0;-802.0;-124.0;-157.0;231.0;-1;345.0;66.0;714;-76.0;771.0;610.0
10.0;-949.0;-2.0;-39.0;376.0;11;181.0;-127.0;706;55.0;691.0;801.0
22.0;-948.0;-89.0;-28.0;320.0;3;178.0;-128.0;702;102.0;666.0;790.0
-203.0;-860.0;-120.0;-241.0;281.0;147;130.0;-273.0;741;208.0;559.0;799.0
16.0;-982.0;-164.0;70.0;574.0;-44;83.0;-28.0;733;-140.0;912.0;957.0
-38.0;-957.0;-38.0;0.0;379.0;0;216.0;-191.0;733;-42.0;690.0;901.0
36.0;-929.0;58.0;-14.0;304.0;-14;353.0;-278.0;721;-107.0;523.0;799.0
84.0;-775.0;-575.0;2.0;296.0;24;202.0;-329.0;717;44.0;502.0;971.0
30.0;-999.0;-1053.0;-40.0;534.0;-94;208.0;-155.0;947;140.0;645.0;873.0
32.0;-971.0;-46.0;-49.0;533.0;1;195.0;-195.0;733;-4.0;683.0;875.0
32.0;-963.0;64.0;-101.0;586.0;3;201.0;-116.0;716;133.0;619.0;923.0
-89.0;-962.0;54.0;38.0;552.0;-13;241.0;-151.0;712;76.0;818.0;813.0
111.0;-979.0;-39.0;-47.0;490.0;0;132.0;-105.0;719;59.0;566.0;872.0
106.0;-978.0;-23.0;-50.0;487.0;0;113.0;-104.0;715;81.0;577.0;893.0
130.0;-978.0;29.0;-67.0;488.0;-1;144.0;-106.0;718;114.0;563.0;876.0
123.0;-975.0;6.0;-57.0;488.0;3;132.0;-106.0;718;91.0;569.0;869.0
105.0;-975.0;36.0;-67.0;487.0;1;134.0;-110.0;715;93.0;556.0;850.0
123.0;-973.0;21.0;-62.0;481.0;5;142.0;-103.0;721;82.0;524.0;868.0
