InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit BACK gyroY;InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;InertialMeasurementUnit LLA gyroX;InertialMeasurementUnit BACK gyroX;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit R-SHOE Nav_Az;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE AngVelBodyFrameX;InertialMeasurementUnit R-SHOE AngVelBodyFrameY;InertialMeasurementUnit R-SHOE AngVelNavFrameZ
-159;254.0;-44;-9;-55.0;263.0;431.0;67;-22;22;-44;-9
-159;458.0;5;-20;881.0;-591.0;764.0;68;-8;?;5;-20
-160;188.0;15;-22;1089.0;79.0;592.0;63;6;-6;15;-22
-159;206.0;-21;-25;463.0;-52.0;-22.0;69;-14;14;-21;-25
-159;?;-17;2;-528.0;-142.0;-363.0;71;2;-2;-17;2
-159;169.0;?;4;-1132.0;-127.0;-330.0;66;-5;5;2;4
-159;200.0;?;-16;-913.0;-49.0;?;65;-6;?;-12;-16
-159;79.0;0;-9;-748.0;19.0;-369.0;68;28;-28;0;-9
-160;44.0;25;?;-1147.0;319.0;-344.0;69;7;-7;25;-11
-159;-79.0;-7;?;82.0;-56.0;?;66;23;-23;-7;11
-159;-47.0;-19;-1;-190.0;-100.0;-138.0;64;40;-40;-19;-1
-159;-39.0;-29;?;32.0;-83.0;10.0;68;?;-18;-29;6
-159;-74.0;-22;5;471.0;-89.0;145.0;?;?;-4;-22;5
-159;-46.0;4;-14;949.0;-81.0;?;69;-10;10;4;-14
-160;?;25;1;1287.0;-64.0;383.0;67;-23;?;25;1
-159;77.0;-10;29;1782.0;42.0;-10.0;67;4;-4;-10;?
-159;?;-10;11;?;192.0;-375.0;?;-6;6;-10;11
-159;?;22;-5;2716.0;-56.0;-625.0;64;-15;15;22;-5
-159;-107.0;-2;20;3129.0;-200.0;-678.0;66;-22;22;?;20
-159;-188.0;-41;-1;2854.0;?;-774.0;69;-46;46;-41;-1
-160;-214.0;-45;-21;2260.0;-61.0;-670.0;?;-34;34;-45;-21
?;-221.0;-22;16;2523.0;-282.0;-428.0;70;-26;26;-22;?
-159;-267.0;8;11;3151.0;-305.0;?;67;-4;4;8;11
-159;-349.0;?;27;3350.0;-318.0;24.0;70;12;?;19;27
-159;-305.0;26;32;3096.0;-284.0;-13.0;72;-1;1;26;32
-159;-323.0;-5;-19;2889.0;?;57.0;68;-30;30;-5;?
-160;-201.0;-25;?;2194.0;-114.0;?;72;-35;35;?;-32
-159;-162.0;21;-33;1503.0;67.0;-374.0;67;2;-2;21;-33
-159;-250.0;-4;-10;1345.0;-29.0;?;68;-2;2;-4;-10
?;-260.0;-33;-11;1243.0;474.0;-512.0;71;4;-4;?;-11
-159;129.0;-5;?;895.0;475.0;-415.0;70;-4;4;-5;-52
-159;128.0;6;?;-245.0;283.0;468.0;69;-7;7;6;-10
-160;?;4;20;-217.0;-23.0;?;66;64;-64;?;20
-159;81.0;-15;?;44.0;-204.0;727.0;63;62;-62;-15;-12
-159;57.0;8;16;-325.0;-137.0;148.0;?;1;-1;8;16
-159;45.0;27;-4;-530.0;-128.0;-326.0;64;-19;19;27;-4
-159;16.0;-4;-31;-613.0;-45.0;-304.0;72;-9;9;-4;-31
-159;-96.0;23;-24;-771.0;140.0;-182.0;67;6;-6;23;?
-160;-215.0;?;-33;-752.0;293.0;-186.0;63;-3;3;57;-33
-159;-187.0;1;33;-479.0;?;-246.0;69;-13;13;1;33
-159;-122.0;-28;3;-751.0;131.0;?;73;-17;?;?;3
-159;-71.0;-32;?;8.0;?;-377.0;65;7;-7;-32;?
-159;?;21;-5;-28.0;-89.0;?;63;18;-18;21;-5
?;-21.0;-23;22;-56.0;-103.0;-74.0;67;4;-4;?;22
?;-34.0;-67;-1;?;-97.0;-56.0;68;6;-6;-67;-1
-159;-15.0;-31;-21;628.0;-19.0;25.0;66;-1;1;-31;-21
-159;?;?;-26;1158.0;6.0;173.0;66;-15;15;-18;-26
-159;103.0;33;-34;1385.0;13.0;164.0;?;-44;44;33;?
-159;163.0;45;-8;1326.0;62.0;-125.0;67;?;50;45;-8
-159;230.0;-23;8;1810.0;?;-315.0;69;-35;35;-23;8
-160;160.0;-6;-21;2365.0;138.0;?;71;?;64;-6;-21
-159;127.0;12;-27;3085.0;117.0;-356.0;72;-48;48;12;-27
-159;2.0;-9;-2;3163.0;81.0;?;63;?;-3;-9;-2
-159;-272.0;34;-9;3145.0;-17.0;-67.0;68;-7;7;34;-9
-159;-356.0;14;-7;3122.0;-147.0;-40.0;72;-10;10;14;-7
-159;-472.0;?;-17;3244.0;-405.0;?;64;-7;7;-36;-17
-160;-471.0;3;-51;3175.0;-458.0;?;?;-34;34;3;-51
-159;-560.0;16;?;2773.0;-435.0;-284.0;?;9;-9;16;-15
-159;-596.0;25;18;2435.0;-330.0;-294.0;69;?;-35;25;18
-159;-534.0;?;-10;1975.0;-62.0;-455.0;67;-36;36;34;-10
-159;-367.0;?;-36;1402.0;12.0;-728.0;65;-29;?;8;-36
-159;-221.0;6;-16;1362.0;?;-820.0;69;-8;8;6;-16
-159;115.0;15;9;945.0;299.0;-615.0;67;-25;25;?;9
-159;160.0;12;-15;-154.0;183.0;294.0;71;36;-36;12;-15
?;111.0;-19;-18;-292.0;-34.0;769.0;67;22;-22;-19;-18
-159;118.0;?;-10;515.0;-248.0;591.0;63;-5;5;-19;?
-159;77.0;-4;-8;343.0;-198.0;166.0;66;17;-17;-4;-8
-159;99.0;?;?;14.0;-164.0;-179.0;67;-28;28;8;10
-159;44.0;43;1;-474.0;-140.0;-166.0;70;-19;19;43;1
-159;33.0;34;15;-407.0;-94.0;-131.0;67;10;-10;34;15
-159;-1.0;15;56;-363.0;-10.0;-285.0;64;-9;9;15;?
-159;5.0;11;33;-834.0;50.0;-495.0;67;-14;14;11;33
-159;-68.0;43;-4;300.0;-19.0;-21.0;60;8;-8;43;-4
?;40.0;33;11;?;87.0;?;74;-29;?;33;11
-159;142.0;19;-3;688.0;30.0;443.0;65;16;-16;19;?
-160;246.0;45;?;546.0;115.0;568.0;62;36;-36;45;-20
-159;196.0;-5;-41;?;59.0;501.0;66;26;-26;?;-41
-159;80.0;-13;-24;-224.0;8.0;403.0;69;28;-28;-13;-24
-159;-206.0;-6;2;-648.0;-102.0;?;59;19;-19;-6;2
-159;-183.0;21;32;?;-36.0;330.0;69;1;-1;21;32
-159;-182.0;27;?;-1888.0;-138.0;507.0;70;-3;?;27;37
-160;-201.0;-34;19;-1863.0;-148.0;2.0;62;?;-6;?;19
-159;-230.0;-44;79;-1870.0;15.0;-689.0;73;43;-43;-44;?
-159;-257.0;-117;81;-2399.0;-24.0;?;55;?;?;-117;81
-159;-399.0;-47;28;-2812.0;-159.0;-1389.0;?;-53;53;-47;28
-159;-409.0;?;?;-2567.0;-150.0;-1169.0;141;-77;77;68;40
-159;-386.0;-27;49;?;-104.0;-1317.0;52;22;?;-27;49
-159;-426.0;-40;23;-2055.0;-88.0;-1060.0;53;1;-1;-40;23
-159;-447.0;-26;35;-1409.0;?;-1205.0;70;17;-17;-26;35
?;-438.0;-41;66;-779.0;?;-962.0;57;83;-83;-41;66
-159;-407.0;43;-27;-355.0;?;-628.0;70;-22;22;43;-27
-159;-395.0;53;-26;-175.0;-257.0;-368.0;64;-48;48;53;-26
-159;-356.0;-19;73;-264.0;-230.0;-152.0;57;26;-26;-19;73
-159;-300.0;-9;19;-333.0;-82.0;-39.0;65;-35;35;-9;19
-159;-176.0;6;-11;49.0;41.0;?;?;-35;35;6;-11
-159;-86.0;14;-24;697.0;147.0;777.0;60;3;-3;14;-24
?;-4.0;28;-21;1065.0;201.0;1103.0;65;-33;33;28;-21
-159;-4.0;9;-20;?;239.0;1212.0;59;-28;28;9;-20
-159;13.0;-6;-49;976.0;342.0;1088.0;68;-26;26;-6;-49
-159;57.0;-40;37;634.0;334.0;?;?;-35;35;-40;37
?;11.0;-75;79;265.0;368.0;675.0;56;-15;15;-75;79
-159;47.0;-66;65;-74.0;290.0;439.0;?;-24;24;-66;65
?;47.0;-57;81;-173.0;282.0;230.0;72;-32;32;-57;81
-159;17.0;-70;113;-217.0;151.0;99.0;69;-20;20;-70;113
-159;17.0;-56;133;-136.0;?;46.0;77;-1;?;-56;133
-159;-39.0;-29;67;-6.0;-13.0;55.0;68;26;-26;-29;67
-159;-52.0;-31;-13;?;-78.0;108.0;63;-3;3;-31;-13
-158;-99.0;-34;-47;62.0;-119.0;100.0;74;-11;11;-34;-47
-158;-189.0;4;-25;20.0;-128.0;60.0;77;9;-9;4;-25
-159;-195.0;40;13;-99.0;-79.0;-16.0;69;-10;10;40;?
-159;-219.0;46;-21;-136.0;-3.0;23.0;66;-25;25;?;?
-159;-193.0;30;-45;?;41.0;59.0;65;-35;35;30;-45
-158;-152.0;?;-38;-82.0;10.0;11.0;59;-13;?;21;?
-158;-89.0;71;-124;?;0.0;-86.0;62;28;-28;?;-124
-159;-106.0;76;-140;98.0;-23.0;-269.0;?;?;-30;76;-140
-159;-72.0;30;-92;-25.0;-8.0;-322.0;69;27;-27;30;?
?;-4.0;25;-123;-167.0;9.0;-175.0;60;54;-54;25;?
-159;42.0;24;-117;-120.0;?;-145.0;62;46;-46;24;-117
-159;93.0;47;?;-53.0;-61.0;-208.0;70;2;-2;47;-114
-159;131.0;55;-66;-210.0;-116.0;-396.0;68;30;?;55;-66
-159;141.0;44;-29;-420.0;-163.0;-506.0;68;43;-43;44;-29
-159;146.0;44;-28;-504.0;-197.0;-532.0;66;49;?;?;?
?;?;26;-30;-527.0;-268.0;?;61;29;-29;26;?
-159;134.0;4;-60;-436.0;-345.0;-469.0;68;-34;34;4;-60
-159;109.0;-21;60;-105.0;-336.0;-324.0;70;54;-54;-21;60
-159;117.0;33;22;?;-329.0;?;74;-2;2;33;22
-159;81.0;40;-60;422.0;-306.0;300.0;85;-117;?;40;-60
-159;10.0;-41;48;245.0;-300.0;128.0;72;-23;23;-41;48
-159;-105.0;-1;-12;66.0;-298.0;56.0;55;-30;30;-1;-12
-159;-164.0;?;-72;-119.0;-374.0;-119.0;?;-30;30;78;?
-160;729.0;82;-27;-27.0;-346.0;119.0;?;?;-53;82;-27
?;530.0;41;3;-141.0;-18.0;-161.0;77;28;-28;41;3
-160;?;9;25;-437.0;58.0;-284.0;?;-8;8;?;25
-160;160.0;4;31;-298.0;165.0;311.0;60;-18;18;4;31
-160;-47.0;-4;?;495.0;270.0;768.0;?;-61;61;-4;?
-160;-278.0;-5;-23;1213.0;252.0;434.0;79;-36;36;-5;-23
-160;-118.0;-12;6;911.0;213.0;?;68;19;-19;-12;6
-160;?;-12;14;119.0;137.0;362.0;61;0;0;-12;14
-160;?;9;2;3.0;72.0;390.0;72;-12;12;9;2
-160;?;-10;43;315.0;54.0;420.0;?;19;-19;-10;43
-160;-35.0;-54;44;466.0;86.0;231.0;?;29;-29;-54;44
-160;-30.0;-36;22;139.0;85.0;-9.0;72;?;-2;-36;22
?;-19.0;11;20;-218.0;38.0;-216.0;?;-2;2;11;20
-160;21.0;-19;25;-367.0;83.0;-260.0;58;13;-13;-19;25
-160;-16.0;-47;?;-257.0;?;-208.0;63;?;-14;?;45
?;-54.0;-36;17;?;175.0;-245.0;?;-16;16;-36;17
-160;?;-21;-30;-137.0;142.0;-183.0;61;-44;44;-21;-30
