InertialMeasurementUnit LUA gyroY;InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit LLA accZ;InertialMeasurementUnit LUA accZ;InertialMeasurementUnit LLA gyroY;InertialMeasurementUnit LLA gyroZ;InertialMeasurementUnit RLA magneticZ;InertialMeasurementUnit RLA gyroX;Accelerometer HIP accZ;Accelerometer LWR accZ
-37.0;74.0;28.0;230.0;2.0;94.0;-400.0;-47.0;470.0;412.0
-223.0;-220.0;-10.0;191.0;-285.0;-183.0;-320.0;-259.0;305.0;508.0
-83.0;546.0;61.0;285.0;63.0;752.0;-821.0;146.0;152.0;425.0
-28.0;-26.0;-437.0;498.0;27.0;33.0;106.0;338.0;-211.0;41.0
-95.0;-51.0;-527.0;471.0;3.0;222.0;-85.0;-170.0;-503.0;-23.0
19.0;-32.0;32.0;276.0;16.0;18.0;-135.0;64.0;321.0;376.0
264.0;-129.0;183.0;530.0;196.0;-259.0;-49.0;-321.0;182.0;329.0
961.0;-97.0;58.0;386.0;832.0;24.0;-135.0;232.0;361.0;416.0
40.0;36.0;36.0;274.0;79.0;-25.0;-174.0;56.0;339.0;414.0
-53.0;101.0;7.0;153.0;-50.0;166.0;-155.0;50.0;384.0;362.0
-5.0;-33.0;-2.0;189.0;175.0;210.0;144.0;10.0;467.0;424.0
75.0;583.0;156.0;280.0;256.0;265.0;-13.0;9.0;286.0;365.0
-155.0;272.0;79.0;270.0;126.0;288.0;-164.0;-194.0;106.0;421.0
-31.0;50.0;-75.0;129.0;-103.0;60.0;-211.0;-73.0;596.0;165.0
6.0;14.0;-40.0;175.0;58.0;23.0;-154.0;28.0;379.0;367.0
64.0;-16.0;-22.0;174.0;114.0;-41.0;-153.0;-5.0;402.0;375.0
33.0;-17.0;-301.0;-60.0;434.0;10.0;121.0;13.0;445.0;224.0
256.0;-129.0;-533.0;18.0;1713.0;-3.0;-229.0;107.0;543.0;96.0
-21.0;30.0;40.0;104.0;0.0;28.0;74.0;-13.0;457.0;371.0
-254.0;305.0;-27.0;193.0;-387.0;488.0;-152.0;-244.0;456.0;347.0
6.0;24.0;7.0;174.0;27.0;58.0;147.0;-21.0;457.0;791.0
-55.0;91.0;-396.0;246.0;-65.0;211.0;-73.0;80.0;282.0;322.0
-10.0;6.0;59.0;178.0;23.0;46.0;193.0;-353.0;475.0;816.0
-124.0;329.0;-423.0;358.0;-618.0;-518.0;-36.0;-667.0;351.0;110.0
-169.0;-289.0;-102.0;314.0;-526.0;187.0;272.0;-158.0;309.0;636.0
96.0;-10.0;64.0;329.0;-346.0;334.0;291.0;-47.0;304.0;745.0
3.0;20.0;129.0;128.0;32.0;64.0;150.0;-11.0;421.0;832.0
-38.0;70.0;-34.0;268.0;-47.0;54.0;-75.0;-105.0;352.0;414.0
-23.0;54.0;-31.0;273.0;-30.0;56.0;-77.0;-112.0;362.0;402.0
18.0;52.0;-394.0;259.0;-6.0;57.0;-99.0;-169.0;256.0;280.0
70.0;-41.0;45.0;295.0;97.0;-110.0;-164.0;-37.0;327.0;402.0
-18.0;61.0;51.0;238.0;21.0;104.0;-263.0;-46.0;388.0;387.0
-71.0;233.0;95.0;351.0;-109.0;438.0;-557.0;72.0;278.0;463.0
-62.0;87.0;5.0;176.0;-31.0;159.0;-868.0;-46.0;417.0;408.0
26.0;4.0;24.0;189.0;69.0;38.0;-864.0;12.0;423.0;392.0
48.0;10.0;27.0;222.0;44.0;44.0;-558.0;49.0;385.0;334.0
63.0;18.0;-224.0;237.0;-54.0;171.0;-755.0;-34.0;464.0;546.0
23.0;16.0;-68.0;319.0;50.0;18.0;-576.0;-48.0;400.0;493.0
-38.0;65.0;-349.0;287.0;-36.0;24.0;-719.0;-4.0;466.0;558.0
-38.0;49.0;-419.0;349.0;54.0;95.0;-539.0;-33.0;-20.0;486.0
-30.0;1.0;-76.0;321.0;-50.0;22.0;-569.0;13.0;391.0;537.0
5.0;26.0;-298.0;261.0;-74.0;97.0;-726.0;193.0;474.0;549.0
-104.0;75.0;-295.0;250.0;-272.0;26.0;-664.0;783.0;444.0;561.0
23.0;-15.0;-89.0;315.0;56.0;14.0;-565.0;9.0;414.0;501.0
105.0;84.0;-193.0;318.0;330.0;-229.0;-510.0;142.0;388.0;529.0
5.0;4.0;-67.0;312.0;17.0;22.0;-562.0;-29.0;382.0;521.0
2.0;-15.0;-74.0;315.0;40.0;18.0;-562.0;-39.0;387.0;491.0
-9.0;-9.0;-69.0;312.0;6.0;44.0;-562.0;-6.0;435.0;529.0
7.0;2.0;-78.0;310.0;-4.0;44.0;-564.0;48.0;409.0;507.0
-5.0;17.0;-75.0;297.0;14.0;43.0;-562.0;1.0;417.0;526.0
-14.0;32.0;-87.0;309.0;31.0;38.0;-560.0;-14.0;405.0;503.0
-19.0;26.0;-80.0;303.0;23.0;39.0;-560.0;-35.0;412.0;495.0
-26.0;37.0;-85.0;316.0;-12.0;62.0;-561.0;-48.0;411.0;487.0
-145.0;108.0;-306.0;322.0;240.0;13.0;-717.0;-20.0;429.0;706.0
-306.0;58.0;-282.0;238.0;113.0;-312.0;-141.0;-139.0;247.0;306.0
-38.0;41.0;83.0;335.0;19.0;-79.0;-272.0;103.0;364.0;483.0
-111.0;679.0;39.0;273.0;-347.0;1128.0;-362.0;34.0;349.0;438.0
-45.0;48.0;87.0;309.0;18.0;52.0;-254.0;-2.0;377.0;480.0
37.0;5.0;85.0;332.0;21.0;105.0;-268.0;-35.0;396.0;421.0
-2.0;-8.0;91.0;346.0;8.0;-18.0;-266.0;17.0;384.0;432.0
6.0;-28.0;92.0;348.0;26.0;-71.0;-263.0;-143.0;368.0;464.0
2.0;-62.0;87.0;338.0;35.0;-75.0;-262.0;-123.0;368.0;493.0
14.0;-8.0;71.0;322.0;18.0;10.0;-263.0;-19.0;388.0;434.0
16.0;53.0;78.0;330.0;28.0;67.0;-263.0;-95.0;391.0;440.0
24.0;56.0;74.0;338.0;55.0;82.0;-261.0;-70.0;396.0;413.0
8.0;39.0;75.0;509.0;-52.0;-15.0;-444.0;-282.0;142.0;306.0
-2.0;1.0;81.0;329.0;-1.0;-5.0;-252.0;-102.0;374.0;460.0
-7.0;-19.0;76.0;320.0;-33.0;34.0;-250.0;17.0;373.0;463.0
-46.0;48.0;90.0;329.0;76.0;52.0;-256.0;-331.0;356.0;510.0
18.0;23.0;73.0;311.0;-27.0;78.0;-243.0;-123.0;381.0;482.0
339.0;196.0;34.0;275.0;293.0;240.0;-248.0;240.0;359.0;457.0
15.0;-39.0;93.0;333.0;42.0;25.0;-257.0;-93.0;367.0;464.0
29.0;-44.0;107.0;326.0;-6.0;-32.0;-255.0;-78.0;395.0;426.0
39.0;-64.0;107.0;316.0;-28.0;-94.0;-255.0;-93.0;392.0;473.0
-30.0;106.0;95.0;266.0;-2.0;151.0;-230.0;-165.0;387.0;486.0
-314.0;485.0;113.0;273.0;-546.0;763.0;-24.0;162.0;316.0;487.0
-24.0;65.0;121.0;519.0;-14.0;121.0;-447.0;78.0;175.0;340.0
-7.0;7.0;43.0;266.0;-15.0;11.0;-365.0;99.0;400.0;394.0
-7.0;-7.0;42.0;273.0;13.0;-32.0;-353.0;-49.0;401.0;403.0
2.0;10.0;65.0;279.0;32.0;66.0;-373.0;112.0;440.0;410.0
-21.0;24.0;62.0;274.0;16.0;49.0;-377.0;350.0;432.0;413.0
6.0;-8.0;55.0;267.0;0.0;51.0;-353.0;-217.0;429.0;395.0
-18.0;12.0;56.0;257.0;51.0;92.0;-369.0;142.0;414.0;441.0
1.0;5.0;44.0;265.0;122.0;148.0;-373.0;-201.0;460.0;440.0
-5.0;23.0;-88.0;361.0;-4.0;53.0;-491.0;-7.0;405.0;636.0
-7.0;15.0;-90.0;366.0;4.0;36.0;-489.0;11.0;427.0;612.0
-212.0;11.0;-43.0;158.0;-206.0;74.0;-301.0;24.0;450.0;467.0
-61.0;86.0;17.0;209.0;-92.0;124.0;-405.0;-13.0;475.0;475.0
-29.0;376.0;69.0;126.0;160.0;152.0;-489.0;-157.0;354.0;406.0
114.0;94.0;20.0;244.0;150.0;17.0;-528.0;-150.0;461.0;424.0
-80.0;-415.0;-192.0;31.0;280.0;178.0;-71.0;-495.0;504.0;768.0
42.0;12.0;76.0;222.0;112.0;-56.0;-396.0;-112.0;438.0;433.0
149.0;31.0;45.0;278.0;688.0;-599.0;-550.0;-166.0;285.0;475.0
-16.0;36.0;57.0;213.0;-19.0;82.0;-376.0;-65.0;453.0;472.0
-9.0;5.0;64.0;212.0;51.0;3.0;-371.0;-72.0;440.0;428.0
-3.0;16.0;67.0;214.0;42.0;33.0;-371.0;-23.0;446.0;462.0
-17.0;61.0;71.0;209.0;36.0;73.0;-369.0;-28.0;446.0;454.0
-7.0;32.0;54.0;212.0;11.0;109.0;-370.0;-3.0;463.0;477.0
-13.0;32.0;54.0;212.0;30.0;81.0;-371.0;-27.0;471.0;446.0
-5.0;44.0;69.0;225.0;6.0;43.0;-368.0;15.0;449.0;477.0
-21.0;20.0;70.0;226.0;60.0;52.0;-367.0;-44.0;433.0;450.0
-11.0;1.0;76.0;211.0;38.0;11.0;-367.0;12.0;460.0;463.0
8.0;14.0;57.0;225.0;33.0;43.0;-367.0;-16.0;435.0;485.0
39.0;-6.0;64.0;227.0;82.0;12.0;-363.0;-50.0;465.0;433.0
-33.0;-3.0;199.0;174.0;22.0;41.0;-210.0;-11.0;590.0;474.0
12.0;11.0;72.0;219.0;33.0;48.0;-364.0;40.0;453.0;444.0
-3.0;46.0;55.0;213.0;23.0;82.0;-369.0;89.0;459.0;516.0
-5.0;4.0;175.0;90.0;3.0;59.0;-237.0;-19.0;496.0;857.0
-30.0;65.0;3.0;-5.0;34.0;48.0;-206.0;339.0;603.0;757.0
11.0;-26.0;-28.0;170.0;-4.0;224.0;-457.0;141.0;369.0;437.0
-6.0;1.0;13.0;232.0;32.0;52.0;-477.0;-156.0;476.0;426.0
-13.0;-89.0;-38.0;90.0;219.0;23.0;-398.0;-244.0;538.0;376.0
-9.0;-66.0;10.0;249.0;-124.0;-89.0;-543.0;-157.0;469.0;379.0
15.0;6.0;33.0;226.0;4.0;19.0;-465.0;-202.0;463.0;416.0
9.0;2.0;21.0;218.0;30.0;53.0;-462.0;-199.0;460.0;405.0
9.0;37.0;19.0;237.0;16.0;57.0;-459.0;-166.0;454.0;428.0
-23.0;29.0;22.0;231.0;46.0;41.0;-456.0;-198.0;448.0;435.0
-58.0;1.0;159.0;113.0;120.0;-41.0;-265.0;-159.0;445.0;790.0
-31.0;477.0;79.0;240.0;-245.0;149.0;-528.0;-77.0;338.0;345.0
-26.0;58.0;51.0;250.0;-128.0;131.0;-394.0;-109.0;395.0;504.0
-26.0;53.0;39.0;237.0;-34.0;82.0;-389.0;-42.0;398.0;483.0
-22.0;52.0;36.0;254.0;-10.0;54.0;-389.0;-49.0;386.0;463.0
-14.0;71.0;40.0;261.0;43.0;12.0;-387.0;-60.0;355.0;494.0
16.0;238.0;225.0;350.0;273.0;13.0;-435.0;-172.0;341.0;467.0
-17.0;45.0;43.0;253.0;13.0;92.0;-379.0;-91.0;364.0;473.0
-65.0;269.0;142.0;278.0;-59.0;164.0;-416.0;-460.0;317.0;518.0
8.0;0.0;47.0;243.0;42.0;21.0;-375.0;-83.0;377.0;495.0
36.0;0.0;43.0;242.0;29.0;29.0;-374.0;-118.0;370.0;499.0
29.0;-16.0;46.0;258.0;45.0;4.0;-370.0;-91.0;380.0;474.0
24.0;-33.0;41.0;250.0;28.0;-20.0;-369.0;-79.0;363.0;481.0
-2.0;28.0;51.0;248.0;36.0;64.0;-359.0;-42.0;384.0;497.0
-10.0;26.0;42.0;242.0;-5.0;-13.0;-353.0;-20.0;388.0;481.0
-4.0;-16.0;44.0;241.0;48.0;19.0;-352.0;-71.0;393.0;483.0
10.0;39.0;46.0;244.0;24.0;41.0;-351.0;-38.0;375.0;472.0
19.0;18.0;50.0;242.0;30.0;12.0;-351.0;-30.0;372.0;472.0
