Accelerometer RKN_ accZ;InertialMeasurementUnit BACK accX;InertialMeasurementUnit RUA gyroX;Accelerometer HIP accX;InertialMeasurementUnit RLA accZ;InertialMeasurementUnit L-SHOE Nav_Ax;Accelerometer BACK accX;InertialMeasurementUnit BACK accY;InertialMeasurementUnit L-SHOE Body_Az;Accelerometer LH accZ;Accelerometer RWR accZ;Accelerometer BACK accY
-469.0;-862.0;118.0;-320.0;305.0;-69;109.0;-245.0;709;109.0;544.0;588.0
-19.0;-945.0;38.0;15.0;546.0;2;302.0;-277.0;727;49.0;998.0;826.0
-18.0;-953.0;8.0;28.0;550.0;7;308.0;-286.0;733;39.0;988.0;823.0
-33.0;-949.0;-7.0;10.0;543.0;8;313.0;-279.0;735;27.0;977.0;834.0
-22.0;-951.0;37.0;7.0;567.0;3;315.0;-272.0;730;21.0;958.0;825.0
-28.0;-956.0;39.0;2.0;574.0;8;305.0;-269.0;733;20.0;1001.0;816.0
-13.0;-953.0;-106.0;87.0;680.0;22;374.0;-181.0;725;102.0;903.0;802.0
-21.0;-950.0;0.0;22.0;542.0;-1;290.0;-276.0;727;-16.0;971.0;837.0
-76.0;-981.0;141.0;-52.0;548.0;1;105.0;-49.0;713;56.0;933.0;840.0
1.0;-977.0;-90.0;9.0;746.0;3;217.0;-179.0;733;170.0;878.0;877.0
-11.0;-975.0;-129.0;17.0;764.0;-5;184.0;-193.0;729;233.0;772.0;875.0
25.0;-975.0;195.0;15.0;835.0;3;207.0;-183.0;733;142.0;801.0;867.0
-19.0;-952.0;42.0;18.0;537.0;1;287.0;-277.0;726;2.0;966.0;823.0
6.0;-954.0;12.0;18.0;549.0;0;307.0;-273.0;734;20.0;994.0;819.0
-21.0;-955.0;-26.0;12.0;547.0;-1;311.0;-273.0;729;31.0;970.0;815.0
-372.0;-897.0;4.0;-10.0;663.0;-2;149.0;-140.0;645;-181.0;778.0;645.0
-21.0;-952.0;-17.0;12.0;550.0;-3;298.0;-276.0;732;11.0;1002.0;819.0
217.0;-957.0;-40.0;63.0;558.0;-12;277.0;-264.0;700;-52.0;528.0;829.0
-49.0;-911.0;11.0;23.0;483.0;523;376.0;-118.0;-715;156.0;827.0;665.0
