InertialMeasurementUnit RUA accX;Accelerometer RUA_ accY;InertialMeasurementUnit RLA gyroZ;InertialMeasurementUnit RLA accX;Accelerometer RUA_ accX;Accelerometer RKN^ accX;Accelerometer RKN^ accZ;InertialMeasurementUnit LLA magneticZ;InertialMeasurementUnit LUA accX;InertialMeasurementUnit RUA accY;Accelerometer RWR accX;Accelerometer RUA^ accX
-1091.0;928.0;148.0;-801.0;485.0;372.0;716.0;-545.0;-597.0;-99.0;-81.0;158.0
-992.0;786.0;223.0;-786.0;499.0;120.0;470.0;725.0;-905.0;-368.0;19.0;99.0
-1009.0;706.0;229.0;-877.0;195.0;265.0;85.0;-79.0;-838.0;56.0;-230.0;314.0
-994.0;1005.0;51.0;-905.0;78.0;226.0;283.0;-20.0;-838.0;22.0;-83.0;188.0
-981.0;1186.0;328.0;-1014.0;-33.0;39.0;458.0;523.0;-1049.0;-466.0;13.0;158.0
-1000.0;1009.0;-55.0;-938.0;183.0;222.0;444.0;5.0;-842.0;-88.0;-220.0;69.0
-985.0;985.0;-172.0;-897.0;227.0;164.0;405.0;15.0;-864.0;35.0;-226.0;171.0
-996.0;978.0;-261.0;-864.0;160.0;218.0;486.0;46.0;-883.0;-31.0;-231.0;89.0
-942.0;984.0;50.0;-824.0;137.0;387.0;470.0;53.0;-867.0;40.0;-54.0;165.0
-1000.0;1000.0;-241.0;-792.0;190.0;344.0;397.0;57.0;-853.0;206.0;-24.0;150.0
-1061.0;942.0;99.0;-927.0;134.0;247.0;419.0;129.0;-817.0;123.0;-90.0;89.0
-938.0;731.0;337.0;-520.0;665.0;206.0;368.0;275.0;-1008.0;145.0;-41.0;-125.0
-929.0;868.0;-74.0;-740.0;305.0;53.0;313.0;-198.0;-876.0;-129.0;-261.0;-121.0
-844.0;861.0;-363.0;-770.0;190.0;398.0;347.0;69.0;-813.0;-9.0;-384.0;-84.0
-826.0;948.0;81.0;-711.0;221.0;312.0;368.0;128.0;-872.0;129.0;-467.0;-54.0
-873.0;1051.0;784.0;-812.0;201.0;355.0;632.0;151.0;-760.0;-3.0;-373.0;-16.0
-957.0;1285.0;6.0;-830.0;209.0;579.0;521.0;478.0;-1079.0;149.0;-315.0;-108.0
-990.0;1063.0;-187.0;-838.0;181.0;254.0;-8.0;243.0;-971.0;244.0;-314.0;54.0
-998.0;1081.0;147.0;-739.0;262.0;273.0;17.0;239.0;-983.0;376.0;-476.0;132.0
-905.0;944.0;-225.0;-788.0;94.0;117.0;258.0;139.0;-643.0;126.0;-141.0;107.0
-886.0;894.0;346.0;-776.0;107.0;327.0;91.0;137.0;-716.0;103.0;-103.0;100.0
-973.0;1069.0;320.0;-887.0;204.0;-158.0;-69.0;83.0;-1025.0;29.0;-241.0;87.0
-941.0;1000.0;-47.0;-807.0;135.0;350.0;155.0;210.0;-998.0;77.0;-279.0;-79.0
-925.0;1039.0;20.0;-784.0;27.0;384.0;84.0;243.0;-915.0;68.0;-226.0;-75.0
-989.0;931.0;90.0;-713.0;519.0;351.0;246.0;100.0;-988.0;-171.0;-310.0;-15.0
-923.0;925.0;-289.0;-350.0;326.0;174.0;229.0;141.0;-978.0;-17.0;-289.0;20.0
-718.0;879.0;269.0;-579.0;330.0;230.0;68.0;539.0;-795.0;-387.0;-40.0;-157.0
-1094.0;827.0;-255.0;-611.0;523.0;347.0;123.0;110.0;-1049.0;-65.0;52.0;-57.0
-980.0;816.0;461.0;-449.0;597.0;336.0;208.0;-86.0;-817.0;34.0;124.0;-49.0
-980.0;825.0;-122.0;-428.0;508.0;358.0;231.0;-349.0;-855.0;433.0;-104.0;353.0
-921.0;800.0;-107.0;-508.0;561.0;382.0;261.0;-348.0;-840.0;217.0;-133.0;354.0
