InertialMeasurementUnit LUA Quaternion3;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit R-SHOE EuX;InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit R-SHOE Compass;Accelerometer RKN^ accY;Accelerometer BACK accZ
-296.0;-82.0;97;375.0;-4;988.0;-681.0
-376.0;-289.0;75;209.0;-20;1010.0;-556.0
576.0;446.0;117;-651.0;-11;1001.0;-505.0
-372.0;-302.0;75;219.0;-20;1024.0;-547.0
-348.0;-320.0;75;214.0;-19;1045.0;-599.0
-352.0;-333.0;75;226.0;-19;1024.0;-558.0
-355.0;-361.0;75;255.0;-19;1013.0;-593.0
-354.0;-375.0;75;267.0;-18;1058.0;-630.0
-240.0;-593.0;-79;205.0;174;807.0;-472.0
116.0;-804.0;157;29.0;-83;635.0;-765.0
-81.0;-897.0;171;225.0;-16;922.0;-545.0
-378.0;-191.0;38;518.0;-69;858.0;-656.0
-388.0;-158.0;38;540.0;-69;951.0;-508.0
-467.0;-161.0;-15;590.0;-3;1023.0;-550.0
-553.0;-35.0;96;712.0;-8;980.0;-550.0
412.0;-154.0;-25;-537.0;-7;1483.0;-453.0
-179.0;-4.0;74;188.0;-7;1041.0;-346.0
-176.0;53.0;74;192.0;-7;1040.0;-305.0
-384.0;-291.0;103;387.0;130;840.0;-527.0
-368.0;-307.0;51;362.0;131;857.0;-616.0
-297.0;-542.0;-24;319.0;163;826.0;-810.0
-464.0;-75.0;-121;481.0;27;1066.0;-522.0
-441.0;33.0;-129;548.0;3;1075.0;-591.0
-326.0;-378.0;36;489.0;-67;1018.0;-538.0
-345.0;-360.0;35;453.0;-18;1031.0;-587.0
-334.0;-345.0;35;431.0;-18;1005.0;-523.0
-320.0;-406.0;-20;458.0;-41;1359.0;-444.0
-612.0;584.0;74;587.0;-7;1032.0;-216.0
-182.0;38.0;74;234.0;-7;1021.0;-408.0
-174.0;13.0;74;213.0;-7;1012.0;-383.0
-187.0;58.0;74;203.0;-7;1032.0;-403.0
-199.0;86.0;74;200.0;-7;1044.0;-373.0
-325.0;-311.0;35;419.0;-18;965.0;-562.0
-331.0;-289.0;35;413.0;-18;959.0;-579.0
-243.0;-391.0;23;392.0;-127;1275.0;-613.0
-334.0;-276.0;35;414.0;-18;934.0;-610.0
-335.0;-275.0;35;412.0;-18;981.0;-594.0
-610.0;57.0;42;665.0;-15;2023.0;-455.0
-333.0;-285.0;35;414.0;-18;1105.0;-600.0
-293.0;-249.0;35;369.0;-22;871.0;-582.0
-203.0;-446.0;7;276.0;-52;1114.0;-682.0
-28.0;-544.0;16;143.0;-32;1374.0;-838.0
-232.0;-384.0;7;312.0;-39;950.0;-627.0
-232.0;-388.0;6;311.0;-39;937.0;-640.0
-175.0;-442.0;23;292.0;-73;945.0;-535.0
-296.0;-272.0;23;446.0;-126;882.0;-599.0
-339.0;-190.0;23;485.0;-126;1024.0;-765.0
-439.0;27.0;22;588.0;-125;897.0;-703.0
-200.0;-2.0;91;438.0;-118;943.0;-873.0
-187.0;-16.0;88;424.0;-102;1072.0;-641.0
-185.0;-396.0;-106;333.0;-19;-205.0;-858.0
-181.0;-38.0;104;400.0;-15;893.0;-810.0
-218.0;-15.0;125;389.0;-2;904.0;-878.0
-451.0;-71.0;106;639.0;-4;929.0;-491.0
-532.0;-111.0;86;656.0;-22;591.0;-628.0
-562.0;102.0;21;737.0;-16;925.0;-821.0
-416.0;-54.0;53;556.0;-30;1578.0;-617.0
-468.0;-131.0;21;595.0;-21;832.0;-844.0
-574.0;310.0;171;704.0;1;973.0;-712.0
-455.0;316.0;118;585.0;-11;1026.0;-777.0
-591.0;513.0;12;697.0;3;1534.0;-479.0
-413.0;153.0;151;550.0;-5;1025.0;-660.0
-554.0;245.0;144;713.0;3;1007.0;-844.0
-404.0;131.0;155;552.0;-2;833.0;-750.0
-531.0;406.0;35;637.0;-6;709.0;-795.0
-383.0;94.0;122;715.0;-7;923.0;-857.0
-323.0;-380.0;97;288.0;-7;954.0;-614.0
-174.0;-561.0;-15;57.0;-139;1353.0;-559.0
-248.0;-528.0;-2;144.0;-18;613.0;-433.0
-278.0;-354.0;96;228.0;-8;948.0;-652.0
-275.0;-360.0;96;226.0;-7;930.0;-632.0
163.0;-547.0;32;-88.0;-27;1654.0;-689.0
-278.0;-388.0;98;243.0;-7;963.0;-658.0
-200.0;-444.0;75;252.0;-17;854.0;-714.0
-277.0;-395.0;99;253.0;-7;996.0;-654.0
-156.0;-615.0;1;192.0;-31;1025.0;-590.0
-285.0;-384.0;95;264.0;-10;875.0;-643.0
-285.0;-378.0;94;271.0;-10;957.0;-666.0
-282.0;-381.0;91;278.0;-11;986.0;-656.0
-254.0;-377.0;29;314.0;-28;1015.0;-662.0
-258.0;-374.0;30;323.0;-46;961.0;-644.0
-246.0;-384.0;29;343.0;-48;956.0;-653.0
-206.0;-501.0;12;272.0;-80;979.0;-742.0
-162.0;-551.0;-6;167.0;-84;966.0;-758.0
-290.0;-639.0;-6;285.0;-92;958.0;-809.0
-21.0;-633.0;-23;-101.0;-165;982.0;-684.0
-175.0;-432.0;3;194.0;-70;990.0;-992.0
-300.0;-697.0;-7;220.0;-97;884.0;-872.0
-267.0;-564.0;-105;187.0;-38;1044.0;-407.0
50.0;-651.0;62;126.0;-20;824.0;-520.0
-100.0;-648.0;-58;82.0;-142;1008.0;-467.0
-510.0;138.0;37;638.0;-13;1011.0;-417.0
-503.0;132.0;-152;532.0;-62;842.0;-499.0
-610.0;108.0;-120;676.0;15;1310.0;-429.0
-523.0;141.0;-151;565.0;-63;1023.0;-695.0
-549.0;395.0;-178;664.0;-4;1028.0;-552.0
-300.0;-257.0;-107;346.0;-18;579.0;-552.0
-313.0;-270.0;9;411.0;-13;948.0;-388.0
-378.0;-208.0;50;533.0;-10;1112.0;-536.0
-411.0;-146.0;7;522.0;-21;1056.0;-677.0
-552.0;-176.0;70;648.0;-26;868.0;-402.0
-462.0;-164.0;-15;595.0;-3;1166.0;-460.0
-449.0;32.0;-22;538.0;-44;892.0;-558.0
-347.0;-6.0;54;484.0;-24;840.0;-393.0
-355.0;14.0;54;493.0;-24;935.0;-447.0
-604.0;38.0;122;664.0;-25;1087.0;-396.0
-542.0;-33.0;-4;621.0;-9;1089.0;-593.0
-564.0;-11.0;-14;641.0;0;1037.0;-718.0
-472.0;-108.0;130;474.0;108;1010.0;-780.0
-448.0;-155.0;136;441.0;23;1024.0;-649.0
-448.0;-164.0;136;452.0;16;1015.0;-562.0
-562.0;-170.0;114;641.0;-19;1058.0;-359.0
-388.0;-221.0;-169;424.0;-156;1037.0;-605.0
-464.0;29.0;-146;428.0;-156;1054.0;-647.0
-537.0;428.0;71;701.0;-2;1039.0;-809.0
-570.0;286.0;88;703.0;-6;1022.0;-579.0
-630.0;211.0;82;602.0;19;314.0;-761.0
-455.0;26.0;158;464.0;7;879.0;-717.0
-442.0;-10.0;182;436.0;7;988.0;-646.0
-43.0;-727.0;-27;88.0;-157;963.0;-847.0
-243.0;-544.0;-41;113.0;-155;976.0;-580.0
-217.0;-503.0;-26;199.0;-156;952.0;-741.0
-313.0;-418.0;-7;314.0;-85;977.0;-634.0
-306.0;-348.0;1;378.0;-31;1043.0;-672.0
-320.0;-328.0;1;391.0;-31;1050.0;-670.0
-324.0;-322.0;1;396.0;-31;1032.0;-673.0
-333.0;-311.0;1;404.0;-31;1027.0;-643.0
-332.0;-312.0;1;404.0;-31;1026.0;-657.0
-330.0;-323.0;1;394.0;-31;1017.0;-672.0
-327.0;-333.0;1;389.0;-31;1030.0;-665.0
-314.0;-362.0;1;378.0;-31;1038.0;-682.0
-311.0;-368.0;1;375.0;-31;1041.0;-701.0
-307.0;-376.0;1;374.0;-31;1036.0;-693.0
-304.0;-382.0;1;375.0;-31;1041.0;-732.0
-307.0;-376.0;1;379.0;-31;1047.0;-760.0
-299.0;-545.0;-27;354.0;182;1134.0;-776.0
-442.0;-497.0;-13;453.0;-86;1079.0;-808.0
-439.0;-484.0;-13;456.0;-81;867.0;-809.0
-315.0;-359.0;1;390.0;-31;1025.0;-751.0
-347.0;-292.0;1;424.0;-31;1044.0;-744.0
-353.0;-276.0;1;430.0;-31;1035.0;-738.0
-379.0;-314.0;35;521.0;-18;1106.0;-784.0
-365.0;-325.0;35;485.0;-18;1024.0;-913.0
-362.0;-250.0;1;446.0;-31;1041.0;-761.0
-408.0;-356.0;53;620.0;-15;996.0;-804.0
-316.0;-338.0;1;477.0;-31;1022.0;-675.0
-317.0;-341.0;1;479.0;-31;1054.0;-693.0
-315.0;-342.0;1;478.0;-31;1031.0;-706.0
-313.0;-356.0;1;462.0;-31;1029.0;-723.0
-394.0;-527.0;-13;432.0;-82;896.0;-757.0
-191.0;-527.0;52;380.0;-46;1018.0;-569.0
-201.0;-499.0;1;368.0;-35;1012.0;-756.0
-246.0;-418.0;1;398.0;-39;1028.0;-648.0
-261.0;-397.0;0;388.0;-40;1022.0;-590.0
-275.0;-537.0;-12;399.0;-82;906.0;-586.0
-55.0;-602.0;25;186.0;-34;1360.0;-349.0
-248.0;-465.0;-59;416.0;-32;1006.0;-465.0
-259.0;-396.0;-1;337.0;-46;963.0;-509.0
-256.0;-403.0;-1;348.0;-46;1019.0;-558.0
-191.0;-410.0;23;307.0;-74;655.0;-558.0
-323.0;-263.0;8;391.0;-50;903.0;-556.0
-324.0;-241.0;7;385.0;-50;973.0;-571.0
-382.0;-104.0;25;279.0;-37;890.0;-531.0
-426.0;44.0;52;282.0;-26;1059.0;-585.0
-446.0;81.0;53;283.0;-26;1056.0;-597.0
-465.0;108.0;53;288.0;-27;925.0;-574.0
-486.0;157.0;53;344.0;-28;916.0;-661.0
-482.0;157.0;53;364.0;-28;1022.0;-723.0
-480.0;133.0;53;414.0;-29;962.0;-725.0
-468.0;161.0;-25;566.0;-47;974.0;-602.0
-511.0;100.0;48;640.0;-8;1008.0;-597.0
-436.0;-5.0;53;546.0;-30;959.0;-614.0
-535.0;-109.0;21;752.0;-16;865.0;-827.0
-509.0;-53.0;67;696.0;-10;984.0;-877.0
-461.0;-37.0;106;610.0;-4;891.0;-626.0
-421.0;-303.0;-20;620.0;-16;980.0;-472.0
-396.0;-325.0;34;595.0;-18;955.0;-943.0
-465.0;-252.0;21;715.0;-21;920.0;-796.0
-333.0;-218.0;47;395.0;-39;824.0;-690.0
-371.0;-231.0;46;490.0;-34;891.0;-801.0
-349.0;-242.0;47;416.0;-37;588.0;-699.0
-553.0;-277.0;86;519.0;18;292.0;-651.0
-389.0;-517.0;-13;374.0;-81;788.0;-818.0
-308.0;-246.0;47;418.0;-40;1010.0;-524.0
-473.0;-115.0;21;609.0;-21;1045.0;-812.0
-580.0;103.0;44;662.0;-17;882.0;-399.0
-659.0;157.0;82;607.0;19;319.0;-666.0
-409.0;-28.0;88;548.0;-25;666.0;-572.0
-609.0;176.0;91;696.0;-10;848.0;-644.0
-636.0;148.0;3;703.0;-9;971.0;-542.0
-373.0;-190.0;54;532.0;-11;861.0;-614.0
-386.0;-166.0;55;540.0;-12;864.0;-625.0
-599.0;91.0;-1;684.0;-7;1018.0;-525.0
-510.0;273.0;72;654.0;-3;975.0;-700.0
-469.0;239.0;59;642.0;-6;988.0;-665.0
-316.0;21.0;112;662.0;-16;925.0;-720.0
-508.0;249.0;110;588.0;3;1363.0;-694.0
-441.0;213.0;43;626.0;-8;1043.0;-897.0
-432.0;-85.0;149;398.0;0;851.0;-607.0
-355.0;-309.0;164;281.0;33;1116.0;-581.0
-465.0;-297.0;-160;566.0;25;975.0;-431.0
-493.0;-46.0;-121;729.0;174;963.0;-438.0
-413.0;-102.0;7;586.0;-13;1014.0;-394.0
-675.0;347.0;80;718.0;18;303.0;-646.0
-437.0;86.0;20;565.0;-13;800.0;-633.0
-500.0;256.0;87;615.0;-7;680.0;-511.0
-534.0;307.0;120;828.0;0;951.0;-991.0
-573.0;473.0;62;673.0;-7;1010.0;-570.0
-415.0;204.0;110;564.0;-8;1008.0;-613.0
-395.0;161.0;110;541.0;-3;1006.0;-605.0
-384.0;131.0;83;560.0;2;1013.0;-720.0
-411.0;155.0;89;557.0;3;1054.0;-720.0
-364.0;117.0;108;547.0;4;1021.0;-640.0
-374.0;125.0;80;561.0;2;1109.0;-702.0
-323.0;75.0;91;498.0;10;1032.0;-697.0
-309.0;46.0;143;394.0;3;1262.0;-979.0
-335.0;67.0;90;476.0;9;1021.0;-760.0
-340.0;70.0;91;482.0;9;1011.0;-749.0
-358.0;58.0;97;505.0;7;1010.0;-722.0
-362.0;-1.0;149;576.0;-8;1029.0;-855.0
-444.0;3.0;105;552.0;4;1028.0;-750.0
-494.0;-42.0;112;544.0;2;1231.0;-798.0
-617.0;67.0;121;699.0;-22;1011.0;-940.0
-521.0;-20.0;50;664.0;-15;965.0;-945.0
-483.0;-11.0;109;548.0;4;996.0;-761.0
-488.0;-55.0;111;531.0;3;1001.0;-778.0
