Accelerometer RKN_ accY;InertialMeasurementUnit L-SHOE EuX;InertialMeasurementUnit BACK Quaternion1;InertialMeasurementUnit BACK magneticZ;Accelerometer RUA^ accZ;InertialMeasurementUnit BACK Quaternion3;InertialMeasurementUnit LUA accY;InertialMeasurementUnit RLA Quaternion3;Accelerometer RUA^ accY;InertialMeasurementUnit RUA Quaternion3;InertialMeasurementUnit RLA Quaternion4;InertialMeasurementUnit RUA magneticY
984.0;-151;721.0;263.0;253.0;515.0;-230.0;-102.0;1099.0;-257.0;-665.0;-359.0
995.0;-101;777.0;572.0;154.0;597.0;-186.0;326.0;1112.0;592.0;787.0;-689.0
833.0;-143;800.0;547.0;808.0;599.0;-765.0;-202.0;675.0;-479.0;-898.0;-752.0
1077.0;55;506.0;42.0;231.0;511.0;-236.0;-456.0;1053.0;-636.0;-572.0;-227.0
997.0;-16;582.0;-114.0;114.0;360.0;-192.0;-493.0;1139.0;-556.0;-348.0;36.0
982.0;-151;751.0;276.0;290.0;504.0;-165.0;-35.0;1054.0;-255.0;-643.0;-331.0
978.0;-161;737.0;579.0;872.0;623.0;-208.0;81.0;642.0;505.0;866.0;-628.0
989.0;-17;292.0;-276.0;505.0;389.0;-327.0;-279.0;948.0;-467.0;-829.0;-339.0
974.0;-179;952.0;-40.0;-101.0;229.0;-277.0;-305.0;1051.0;-188.0;-773.0;-344.0
984.0;-151;742.0;241.0;285.0;490.0;-167.0;-10.0;1011.0;-236.0;-601.0;-282.0
992.0;-151;729.0;254.0;294.0;509.0;-184.0;-70.0;1034.0;-240.0;-627.0;-348.0
974.0;-151;728.0;254.0;298.0;509.0;-214.0;-73.0;1060.0;-241.0;-637.0;-349.0
976.0;-154;711.0;440.0;567.0;618.0;-307.0;-135.0;859.0;-339.0;-529.0;-269.0
992.0;-134;812.0;118.0;231.0;398.0;82.0;-295.0;1093.0;-331.0;-819.0;-468.0
991.0;-151;770.0;292.0;395.0;489.0;-239.0;-274.0;1017.0;-436.0;-810.0;-467.0
993.0;-151;741.0;243.0;246.0;493.0;-158.0;-10.0;1099.0;-237.0;-613.0;-295.0
921.0;38;-671.0;129.0;408.0;-451.0;-201.0;399.0;1012.0;514.0;797.0;-304.0
1002.0;61;-55.0;-585.0;360.0;87.0;-152.0;-359.0;1050.0;-379.0;307.0;368.0
970.0;65;511.0;-343.0;204.0;295.0;98.0;-471.0;1113.0;-710.0;-467.0;68.0
997.0;-17;236.0;-347.0;316.0;369.0;-483.0;-304.0;1019.0;-547.0;-388.0;212.0
989.0;113;634.0;-119.0;548.0;365.0;-290.0;-341.0;895.0;-115.0;-479.0;-135.0
1021.0;97;580.0;-159.0;608.0;368.0;-215.0;-379.0;829.0;-326.0;-596.0;-542.0
979.0;-144;735.0;280.0;344.0;523.0;-28.0;-244.0;1035.0;-284.0;-737.0;-340.0
979.0;-151;741.0;243.0;259.0;491.0;-197.0;-11.0;1080.0;-228.0;-601.0;-289.0
984.0;-151;780.0;274.0;260.0;482.0;-159.0;-416.0;1087.0;-390.0;-713.0;-507.0
991.0;167;677.0;-220.0;529.0;217.0;-375.0;-124.0;950.0;-218.0;-665.0;-176.0
996.0;-151;714.0;226.0;372.0;499.0;-250.0;-53.0;1043.0;-222.0;-613.0;-318.0
1786.0;-152;720.0;-58.0;348.0;535.0;-132.0;-64.0;1141.0;-285.0;-834.0;-303.0
962.0;-102;670.0;439.0;290.0;604.0;-782.0;408.0;1062.0;639.0;656.0;-430.0
