Accelerometer LUA_ accZ;InertialMeasurementUnit RUA gyroY;InertialMeasurementUnit RLA magneticX;InertialMeasurementUnit RLA accY;InertialMeasurementUnit LLA Quaternion4;InertialMeasurementUnit RLA Quaternion2;InertialMeasurementUnit LUA Quaternion4;InertialMeasurementUnit LLA accY;InertialMeasurementUnit LLA Quaternion1;Accelerometer RUA_ accZ
394.0;106.0;187.0;438.0;-237.0;383.0;77.0;-341.0;700.0;-63.0
344.0;-319.0;-114.0;74.0;-113.0;11.0;-92.0;-294.0;724.0;499.0
391.0;-30.0;51.0;589.0;-254.0;383.0;88.0;-326.0;683.0;87.0
388.0;-11.0;76.0;388.0;-251.0;369.0;85.0;-341.0;687.0;33.0
527.0;0.0;-94.0;204.0;-505.0;459.0;324.0;-442.0;310.0;28.0
404.0;-62.0;83.0;593.0;-264.0;375.0;99.0;-308.0;679.0;69.0
733.0;-67.0;-399.0;578.0;454.0;16.0;-755.0;-771.0;370.0;49.0
88.0;10.0;943.0;397.0;-562.0;-476.0;847.0;-67.0;-430.0;-10.0
485.0;-1004.0;-360.0;843.0;-683.0;279.0;479.0;-511.0;228.0;129.0
376.0;55.0;539.0;305.0;154.0;413.0;-401.0;-278.0;711.0;120.0
373.0;-22.0;22.0;315.0;-363.0;499.0;168.0;-314.0;612.0;59.0
371.0;47.0;7.0;310.0;-342.0;498.0;144.0;-344.0;620.0;60.0
440.0;217.0;177.0;510.0;-238.0;395.0;75.0;-345.0;700.0;-79.0
379.0;-17.0;8.0;304.0;-338.0;499.0;142.0;-371.0;625.0;37.0
358.0;-17.0;11.0;306.0;-338.0;499.0;143.0;-357.0;625.0;50.0
380.0;-42.0;16.0;296.0;-338.0;498.0;143.0;-363.0;627.0;47.0
381.0;-30.0;15.0;291.0;-344.0;496.0;148.0;-323.0;624.0;67.0
381.0;-55.0;151.0;504.0;-242.0;376.0;81.0;-345.0;701.0;-103.0
288.0;-40.0;316.0;530.0;22.0;-455.0;248.0;-254.0;-713.0;37.0
409.0;0.0;-2.0;294.0;-344.0;490.0;141.0;-364.0;627.0;49.0
399.0;-18.0;0.0;303.0;-344.0;490.0;141.0;-370.0;627.0;45.0
387.0;-2.0;0.0;316.0;-356.0;491.0;155.0;-345.0;625.0;61.0
