InertialMeasurementUnit LUA magneticY;Accelerometer LUA^ accY;Accelerometer LUA_ accY;InertialMeasurementUnit L-SHOE Compass;Accelerometer LWR accY;Accelerometer RWR accY;InertialMeasurementUnit LLA accX;InertialMeasurementUnit R-SHOE Body_Ay
-213.0;733.0;839.0;54;739.0;140.0;-890.0;353
165.0;939.0;825.0;82;780.0;598.0;-819.0;403
84.0;917.0;1011.0;129;919.0;514.0;-914.0;441
131.0;733.0;727.0;-38;632.0;740.0;-851.0;388
526.0;823.0;582.0;164;330.0;637.0;-564.0;371
446.0;925.0;438.0;105;112.0;237.0;-389.0;389
167.0;787.0;736.0;152;645.0;592.0;-992.0;422
216.0;572.0;810.0;76;862.0;434.0;-1086.0;537
214.0;932.0;889.0;115;741.0;616.0;-885.0;398
369.0;886.0;922.0;101;841.0;-786.0;-930.0;390
212.0;897.0;832.0;121;887.0;607.0;-875.0;391
176.0;817.0;918.0;51;899.0;202.0;-982.0;536
558.0;918.0;888.0;-3;642.0;307.0;-896.0;614
119.0;1008.0;877.0;40;680.0;629.0;-798.0;403
7.0;808.0;965.0;-153;890.0;685.0;-913.0;399
59.0;822.0;902.0;-37;887.0;575.0;-843.0;385
34.0;1082.0;841.0;-153;929.0;574.0;-947.0;436
445.0;816.0;948.0;-2;921.0;588.0;-973.0;594
-184.0;706.0;807.0;-156;711.0;664.0;-863.0;520
137.0;897.0;906.0;-43;794.0;563.0;-908.0;383
31.0;783.0;933.0;-147;822.0;787.0;-899.0;521
343.0;782.0;912.0;77;789.0;654.0;-1091.0;845
448.0;755.0;682.0;82;563.0;677.0;-886.0;393
248.0;564.0;1382.0;16;1505.0;718.0;-734.0;371
107.0;900.0;941.0;113;867.0;396.0;-940.0;416
102.0;895.0;931.0;113;888.0;422.0;-938.0;445
82.0;886.0;1053.0;20;761.0;427.0;-938.0;675
91.0;902.0;946.0;113;857.0;360.0;-937.0;395
112.0;790.0;1023.0;-25;756.0;589.0;-908.0;367
90.0;910.0;942.0;113;858.0;361.0;-943.0;384
-315.0;875.0;493.0;2;384.0;360.0;-464.0;381
