InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit BACK gyroY;InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;InertialMeasurementUnit LLA gyroX;InertialMeasurementUnit BACK gyroX;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit R-SHOE Nav_Az;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE AngVelBodyFrameX;InertialMeasurementUnit R-SHOE AngVelBodyFrameY;InertialMeasurementUnit R-SHOE AngVelNavFrameZ
-159;21.0;-4;35;-83.0;-12.0;-40.0;64;-32;32;-4;35
-158;6.0;-14;-9;-98.0;-32.0;-65.0;70;9;-9;-14;-9
-148;-421.0;-319;-873;-322.0;-66.0;-123.0;3;-335;335;-319;-873
-4;-24.0;1098;1671;-551.0;-606.0;-63.0;493;557;-557;1098;1671
-157;5.0;-50;41;-41.0;4.0;-37.0;66;-14;14;-50;41
-162;3.0;-25;-23;-61.0;-28.0;-7.0;71;-7;7;-25;-23
-167;-22.0;-20;9;-36.0;20.0;40.0;70;16;-16;-20;9
-157;-51.0;-56;-72;-54.0;-81.0;50.0;63;-342;342;-56;-72
-156;-41.0;4;-30;-20.0;-57.0;-28.0;65;12;-12;4;-30
-170;50.0;79;-45;2112.0;658.0;2008.0;86;-189;189;79;-45
-153;-13.0;-3;-5;-226.0;-164.0;-219.0;72;9;-9;-3;-5
-155;37.0;-19;-17;9.0;6.0;69.0;69;-14;14;-19;-17
-162;4.0;3;10;-75.0;-26.0;-21.0;70;-20;20;3;10
-157;-24.0;-11;9;-85.0;-21.0;-16.0;66;-11;11;-11;9
-163;47.0;13;14;111.0;146.0;128.0;73;-16;16;13;14
-174;21.0;11;-32;-76.0;7.0;-28.0;70;-6;6;11;-32
-162;-20.0;25;17;-47.0;-20.0;-40.0;65;7;-7;25;17
-162;-2.0;7;1;-49.0;-12.0;-19.0;71;-12;12;7;1
-162;-3.0;5;-5;-39.0;-12.0;-25.0;71;-30;30;5;-5
-175;-316.0;-15;-25;-122.0;-157.0;12.0;58;-29;29;-15;-25
-162;16.0;19;11;-50.0;-15.0;-44.0;72;9;-9;19;11
-159;38.0;10;3;92.0;-36.0;-9.0;72;-6;6;10;3
-169;58.0;18;-28;312.0;831.0;812.0;88;-258;258;18;-28
-156;58.0;-1;9;-364.0;-5.0;-170.0;68;-35;35;-1;9
-135;-6.0;8;5;-86.0;-18.0;16.0;131;-23;23;8;5
-175;-229.0;-8;17;-137.0;9.0;-3.0;66;24;-24;-8;17
-133;-24.0;-2;4;-30.0;10.0;-27.0;133;7;-7;-2;4
-162;-137.0;75;-476;420.0;607.0;465.0;-47;-1413;1413;75;-476
-134;193.0;-12;14;-120.0;-30.0;-124.0;138;-1;1;-12;14
-159;2.0;2;11;-57.0;-40.0;-74.0;67;69;-69;2;11
-163;19.0;-632;870;-559.0;77.0;-462.0;-570;-2260;2260;-632;870
-134;1.0;4;50;-85.0;-15.0;-58.0;130;-30;30;4;50
-133;-19.0;0;-1;520.0;-5.0;78.0;132;-5;5;0;-1
-168;-181.0;33;-1287;-123.0;85.0;164.0;303;-3915;3915;33;-1287
-134;-21.0;14;13;-73.0;2.0;-39.0;131;-20;20;14;13
-133;11.0;1;-8;-102.0;-32.0;-66.0;127;2;-2;1;-8
-164;-293.0;697;1101;-283.0;-313.0;-276.0;112;-739;739;697;1101
-131;-27.0;-8;11;-52.0;-109.0;-28.0;129;-2;2;-8;11
-135;124.0;-2;6;-97.0;227.0;-41.0;130;-17;17;-2;6
-134;20.0;1;-36;-49.0;-17.0;-49.0;135;-8;8;1;-36
-134;-11.0;1;0;-68.0;-9.0;-22.0;127;-9;9;1;0
-134;99.0;-20;1;-116.0;113.0;-19.0;138;-2;2;-20;1
-135;-26.0;15;3;-57.0;4.0;-11.0;135;-24;24;15;3
-133;-12.0;-5;-21;-37.0;-10.0;-32.0;133;40;-40;-5;-21
-161;-226.0;-313;512;-562.0;-447.0;-474.0;39;-307;307;-313;512
-164;-608.0;22;-52;5.0;-517.0;-1.0;74;-77;77;22;-52
-154;-7.0;-4;-8;-207.0;94.0;190.0;69;11;-11;-4;-8
-134;-2.0;-1;-15;-58.0;35.0;-34.0;130;-29;29;-1;-15
-157;38.0;-881;-1281;326.0;203.0;338.0;251;317;-317;-881;-1281
-134;1.0;-16;-14;-308.0;-7.0;-30.0;130;5;-5;-16;-14
-134;-20.0;28;-7;-40.0;23.0;-43.0;127;14;-14;28;-7
-133;-55.0;17;-47;121.0;-24.0;-226.0;127;1;-1;17;-47
-160;67.0;6;-1;325.0;391.0;369.0;76;21;-21;6;-1
-133;8.0;6;13;-45.0;-16.0;-6.0;131;-7;7;6;13
-133;-3.0;-38;-28;-60.0;16.0;-39.0;136;3;-3;-38;-28
-133;63.0;30;33;-69.0;57.0;-9.0;130;23;-23;30;33
-134;5.0;12;-3;-58.0;-7.0;-22.0;130;-8;8;12;-3
-133;-28.0;-26;-1;-106.0;-18.0;-25.0;136;20;-20;-26;-1
-151;82.0;14;-34;-42.0;113.0;37.0;64;-39;39;14;-34
-160;-1.0;0;20;-67.0;-5.0;-38.0;75;11;-11;0;20
-159;-33.0;19;-13;-122.0;-104.0;-77.0;66;-9;9;19;-13
-165;-557.0;1397;2653;-824.0;-1347.0;-1236.0;228;-821;821;1397;2653
-162;-13.0;14;-21;-69.0;-6.0;-21.0;67;-14;14;14;-21
-159;-24.0;16;20;-140.0;-26.0;-116.0;69;22;-22;16;20
-159;-131.0;5;52;-157.0;-261.0;-132.0;67;27;-27;5;52
-152;-28.0;200;65;85.0;-38.0;50.0;68;175;-175;200;65
-151;7.0;2;12;99.0;-107.0;69.0;98;-2;2;2;12
-134;-1.0;-4;-20;1465.0;-23.0;-65.0;131;8;-8;-4;-20
-160;-226.0;122;-294;-442.0;-301.0;-224.0;74;-1245;1245;122;-294
-165;-283.0;-1781;44;727.0;403.0;893.0;226;-444;444;-1781;44
-158;-237.0;784;182;-177.0;-674.0;-603.0;40;626;-626;784;182
-124;-6.0;780;387;-887.0;-352.0;-839.0;488;4893;-4893;780;387
-156;-151.0;-60;27;-790.0;-759.0;-756.0;75;-44;44;-60;27
-155;-57.0;20;9;-453.0;-210.0;-438.0;70;-23;23;20;9
-204;234.0;1270;-375;-875.0;-522.0;-755.0;-1257;5485;-5485;1270;-375
-55;-22.0;128;1161;-111.0;-82.0;196.0;1332;2320;-2320;128;1161
-162;1284.0;12;51;143.0;415.0;-6.0;73;16;-16;12;51
-162;112.0;149;-70;-344.0;-121.0;-177.0;70;-42;42;149;-70
-151;-144.0;-252;690;-126.0;-139.0;-64.0;258;397;-397;-252;690
-186;-94.0;-1691;-2586;-240.0;-42.0;-40.0;95;904;-904;-1691;-2586
-134;-16.0;-65;19;-51.0;-20.0;-54.0;124;50;-50;-65;19
-168;-132.0;6;-19;56.0;-336.0;-446.0;65;-11;11;6;-19
-133;-18.0;12;-36;-33.0;-70.0;-72.0;125;39;-39;12;-36
-112;312.0;166;45;39.0;122.0;-59.0;22;1031;-1031;166;45
-162;-100.0;485;759;-698.0;-461.0;-456.0;198;-50;50;485;759
-164;-14.0;-497;-595;-43.0;-60.0;-44.0;156;490;-490;-497;-595
-166;152.0;-285;36;-2.0;-58.0;-118.0;83;-548;548;-285;36
-166;162.0;6;44;-18.0;503.0;133.0;72;12;-12;6;44
-134;-52.0;18;-25;206.0;-46.0;418.0;134;2;-2;18;-25
-135;-4.0;-21;3;-304.0;81.0;-107.0;135;-17;17;-21;3
-168;-68.0;176;-76;-1542.0;-1227.0;-1358.0;95;-15;15;176;-76
-162;104.0;1906;-1007;-768.0;-245.0;-678.0;94;361;-361;1906;-1007
-132;20.0;-3;3;-924.0;150.0;-167.0;134;-8;8;-3;3
-167;-166.0;-730;-590;182.0;17.0;121.0;-1041;-6658;6658;-730;-590
-159;153.0;9;14;348.0;-307.0;-321.0;70;13;-13;9;14
-155;226.0;6;-28;155.0;146.0;112.0;74;24;-24;6;-28
-171;15.0;-2942;1070;-349.0;170.0;-513.0;-603;-2152;2152;-2942;1070
-135;-5.0;-14;-13;-1837.0;1.0;-466.0;132;-7;7;-14;-13
-159;13.0;-6;-49;976.0;342.0;1088.0;68;-26;26;-6;-49
-165;-1187.0;-5;-12;-329.0;70.0;447.0;75;21;-21;-5;-12
