MotorData.Motor_Pos4reached;MotorData.ActPosition;PLC_PRG.MaterialIsMetal;NVL_Recv_Ind.GL_NonMetall;NVL_Recv_Ind.GL_Metall
0;238496;0;1;0
0;240468;0;1;0
0;238902;0;1;0
0;239453;0;1;0
0;235944;0;1;0
0;238177;0;1;0
0;237713;0;1;0
0;234581;0;1;0
0;235016;0;1;0
0;234871;0;1;0
0;239308;0;1;0
0;240149;0;1;0
0;240149;0;1;0
0;235480;0;1;0
0;240149;0;1;0
0;240149;0;1;0
0;239801;0;1;0
0;235799;0;1;0
0;235944;0;1;0
0;237220;0;1;0
0;238902;0;1;0
0;236495;0;1;0
0;238119;0;1;0
0;238119;0;1;0
0;234581;0;1;0
0;236350;0;1;0
0;239714;0;1;0
0;239714;0;1;0
0;237800;0;1;0
0;240381;0;1;0
0;237307;0;1;0
0;239453;0;1;0
0;237394;0;1;0
0;238583;0;1;0
0;235538;0;1;0
0;237220;0;1;0
0;237220;0;1;0
0;236756;0;1;0
0;237539;0;1;0
0;236437;0;1;0
0;235538;0;1;0
0;239192;0;1;0
0;240352;0;1;0
0;240352;0;1;0
0;240671;0;1;0
0;234697;0;1;0
0;234668;0;1;0
0;234465;0;1;0
0;200506;0;1;0
0;217065;0;1;0
0;240903;0;1;0
0;233856;0;1;0
0;241947;0;1;0
0;233392;0;1;0
0;242991;0;1;0
0;233595;0;1;0
0;240758;0;1;0
0;230492;0;1;0
0;233392;0;1;0
0;233392;0;1;0
0;233798;0;1;0
0;241222;0;1;0
0;243310;0;1;0
0;234030;0;1;0
0;243252;0;1;0
0;222894;0;1;0
0;243136;0;1;0
0;233537;0;1;0
0;234175;0;1;0
0;234175;0;1;0
0;234262;0;1;0
0;243223;0;1;0
0;227186;0;1;0
0;229013;0;1;0
0;243600;0;1;0
0;241396;0;1;0
0;243078;0;1;0
0;241338;0;1;0
0;234175;0;1;0
0;232174;0;1;0
0;242382;0;1;0
0;242440;0;1;0
0;242440;0;1;0
0;233102;0;1;0
0;209873;0;1;0
0;243600;0;1;0
0;167533;0;1;0
0;244267;0;1;0
0;152424;0;1;0
0;27666;0;1;0
0;178988;0;1;0
0;245079;0;1;0
0;243629;0;1;0
0;190588;0;1;0
0;252706;0;1;0
0;243716;0;1;0
0;248298;0;1;0
0;140012;0;1;0
0;260014;0;1;0
0;379117;1;0;1
