InertialMeasurementUnit LLA gyroX;InertialMeasurementUnit RUA gyroZ;InertialMeasurementUnit RLA gyroZ;InertialMeasurementUnit BACK gyroX;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit L-SHOE EuZ;InertialMeasurementUnit RUA gyroX;InertialMeasurementUnit BACK gyroZ
-55.0;-1554.0;-1360.0;263.0;431.0;-178;-943.0;291.0
881.0;-1267.0;-1187.0;-591.0;764.0;-178;-1134.0;236.0
1089.0;-634.0;-778.0;79.0;592.0;-179;-565.0;-108.0
463.0;-228.0;-299.0;-52.0;-22.0;-178;-83.0;-70.0
-528.0;60.0;41.0;-142.0;-363.0;-178;198.0;28.0
-1132.0;263.0;283.0;-127.0;-330.0;-178;178.0;69.0
-913.0;432.0;485.0;-49.0;-359.0;-178;90.0;46.0
-748.0;545.0;618.0;19.0;-369.0;-178;160.0;-12.0
-1147.0;764.0;662.0;319.0;-344.0;-179;257.0;-115.0
82.0;35.0;-11.0;-56.0;-369.0;-178;-162.0;22.0
-190.0;13.0;-117.0;-100.0;-138.0;-178;-213.0;41.0
32.0;85.0;-218.0;-83.0;10.0;-178;-243.0;39.0
471.0;202.0;-52.0;-89.0;145.0;-178;-251.0;33.0
949.0;218.0;-85.0;-81.0;259.0;-178;-377.0;-29.0
1287.0;82.0;-396.0;-64.0;383.0;-179;-319.0;-42.0
1782.0;-87.0;-731.0;42.0;-10.0;-178;199.0;-42.0
2155.0;-128.0;-1078.0;192.0;-375.0;-178;526.0;-78.0
2716.0;-367.0;-1468.0;-56.0;-625.0;-178;758.0;-51.0
3129.0;-648.0;-1905.0;-200.0;-678.0;-178;928.0;-66.0
2854.0;-725.0;-2137.0;-189.0;-774.0;-178;1092.0;-73.0
2260.0;-773.0;-2366.0;-61.0;-670.0;-179;973.0;-34.0
2523.0;-857.0;-2433.0;-282.0;-428.0;-178;872.0;64.0
3151.0;-842.0;-2297.0;-305.0;-63.0;-178;734.0;124.0
3350.0;-838.0;-2103.0;-318.0;24.0;-178;644.0;70.0
3096.0;-815.0;-1928.0;-284.0;-13.0;?;644.0;79.0
2889.0;-827.0;-1874.0;-179.0;57.0;?;684.0;79.0
2194.0;-991.0;-1869.0;-114.0;-166.0;?;915.0;58.0
1503.0;-1172.0;-1948.0;67.0;-374.0;?;1020.0;86.0
1345.0;-1378.0;-1874.0;-29.0;-593.0;?;992.0;143.0
1243.0;-1431.0;-1578.0;474.0;-512.0;?;453.0;148.0
895.0;-1174.0;-1095.0;475.0;-415.0;?;-239.0;213.0
-245.0;-1059.0;-697.0;283.0;468.0;?;-827.0;183.0
-217.0;-675.0;-458.0;-23.0;952.0;?;-632.0;47.0
