InertialMeasurementUnit BACK gyroY;InertialMeasurementUnit RLA gyroY;InertialMeasurementUnit RUA gyroY;Accelerometer LUA^ accX;Accelerometer RWR accX;Accelerometer RUA^ accX;InertialMeasurementUnit RLA accY;Accelerometer BACK accX;InertialMeasurementUnit L-SHOE AngVelNavFrameX;InertialMeasurementUnit L-SHOE AngVelBodyFrameY;InertialMeasurementUnit L-SHOE Body_Ax
46.0;-27.0;-3.0;356.0;-123.0;79.0;378.0;452.0;6;6;5
76.0;316.0;204.0;466.0;-236.0;146.0;153.0;316.0;-14;-14;-11
-69.0;-27.0;32.0;307.0;-230.0;124.0;376.0;310.0;-39;-39;26
-11.0;-19.0;46.0;570.0;85.0;246.0;815.0;313.0;-44;-44;13
91.0;42.0;119.0;478.0;-148.0;247.0;523.0;177.0;3;3;21
76.0;119.0;124.0;316.0;-377.0;-81.0;189.0;63.0;-580;-580;-96
32.0;178.0;40.0;552.0;120.0;209.0;391.0;312.0;-7;-7;9
-34.0;98.0;-44.0;536.0;-190.0;219.0;400.0;146.0;-3;-3;25
21.0;-112.0;15.0;408.0;-251.0;70.0;536.0;288.0;-9;-9;1
45.0;53.0;136.0;410.0;-343.0;80.0;437.0;290.0;12;12;5
0.0;27.0;145.0;390.0;-257.0;83.0;317.0;312.0;-17;-17;6
-77.0;-204.0;190.0;303.0;-97.0;141.0;442.0;329.0;-12;-12;31
-34.0;35.0;-63.0;537.0;-320.0;208.0;401.0;193.0;22;22;18
255.0;241.0;379.0;462.0;-344.0;-45.0;241.0;209.0;-63;-63;103
-26.0;6.0;-52.0;541.0;-291.0;210.0;404.0;188.0;-4;-4;26
6.0;-526.0;62.0;493.0;95.0;176.0;619.0;287.0;47;47;-2
-141.0;-819.0;-463.0;293.0;-448.0;-74.0;619.0;-3.0;963;963;-46
-78.0;-178.0;89.0;386.0;-311.0;92.0;552.0;274.0;-17;-17;-12
99.0;-25.0;161.0;487.0;-112.0;256.0;534.0;172.0;-40;-40;20
-41.0;18.0;-111.0;544.0;-195.0;234.0;531.0;164.0;4;4;32
-2.0;135.0;-40.0;457.0;-247.0;225.0;430.0;143.0;16;16;28
-22.0;26.0;-48.0;530.0;-224.0;205.0;486.0;181.0;30;30;31
23.0;-69.0;4.0;399.0;-153.0;212.0;425.0;281.0;-28;-28;7
-5.0;36.0;-25.0;390.0;-266.0;42.0;364.0;426.0;13;13;14
252.0;-95.0;42.0;557.0;-164.0;85.0;410.0;298.0;-96;-96;-33
-177.0;421.0;196.0;476.0;-618.0;10.0;424.0;371.0;-40;-40;6
24.0;271.0;-13.0;543.0;-297.0;234.0;548.0;155.0;-4;-4;30
-21.0;178.0;58.0;523.0;-175.0;238.0;333.0;153.0;7;7;16
27.0;-186.0;32.0;410.0;-354.0;250.0;348.0;348.0;-11;-11;13
-581.0;42.0;633.0;631.0;-49.0;166.0;684.0;582.0;16;16;11
93.0;122.0;-12.0;517.0;145.0;235.0;636.0;461.0;-26;-26;25
-47.0;-134.0;21.0;493.0;-313.0;94.0;348.0;266.0;-104;-104;31
-89.0;101.0;57.0;276.0;-324.0;15.0;235.0;96.0;3;3;7
-37.0;71.0;-50.0;292.0;-348.0;-1.0;243.0;117.0;1;1;38
-52.0;125.0;146.0;441.0;-42.0;337.0;487.0;411.0;25;25;-2
-26.0;75.0;-66.0;419.0;-334.0;25.0;878.0;291.0;13;13;22
-53.0;29.0;-46.0;297.0;-339.0;4.0;246.0;124.0;12;12;37
-18.0;7.0;-32.0;285.0;-341.0;15.0;241.0;109.0;17;17;42
-137.0;34.0;56.0;477.0;-309.0;-45.0;205.0;138.0;269;269;391
-12.0;-5.0;-40.0;295.0;-341.0;3.0;228.0;109.0;-8;-8;50
12.0;-9.0;-11.0;293.0;-353.0;3.0;225.0;113.0;-4;-4;45
-11.0;-18.0;-13.0;302.0;-356.0;-11.0;221.0;113.0;15;15;44
149.0;-21.0;-61.0;408.0;-285.0;121.0;450.0;225.0;10;10;23
2.0;-9.0;35.0;285.0;-346.0;-8.0;223.0;135.0;23;23;44
369.0;-149.0;-13.0;387.0;-83.0;153.0;541.0;251.0;35;35;19
52.0;276.0;-181.0;397.0;-144.0;113.0;353.0;471.0;-2;-2;9
-205.0;222.0;115.0;308.0;-337.0;44.0;281.0;134.0;1027;1027;183
-85.0;124.0;58.0;354.0;-160.0;57.0;417.0;226.0;9;9;43
-202.0;163.0;206.0;299.0;-212.0;101.0;465.0;325.0;-28;-28;23
-55.0;90.0;42.0;352.0;-181.0;38.0;404.0;220.0;-16;-16;47
-37.0;143.0;61.0;345.0;-235.0;64.0;431.0;211.0;-6;-6;47
-76.0;129.0;77.0;381.0;-194.0;43.0;422.0;202.0;13;13;50
-72.0;85.0;26.0;371.0;-161.0;36.0;435.0;211.0;-6;-6;45
-62.0;81.0;25.0;380.0;-184.0;26.0;433.0;211.0;-13;-13;41
-44.0;49.0;8.0;367.0;-222.0;30.0;430.0;209.0;13;13;47
-125.0;-84.0;-1496.0;447.0;-179.0;-49.0;561.0;-19.0;29;29;16
10.0;17.0;2.0;293.0;-321.0;-3.0;222.0;135.0;5;5;40
65.0;-83.0;56.0;495.0;-121.0;147.0;504.0;421.0;-16;-16;13
-12.0;21.0;183.0;448.0;-246.0;233.0;566.0;320.0;-26;-26;17
-26.0;95.0;14.0;356.0;-199.0;23.0;432.0;202.0;12;12;48
56.0;174.0;148.0;427.0;-402.0;324.0;492.0;430.0;-24;-24;3
-31.0;21.0;11.0;287.0;-336.0;-12.0;224.0;136.0;18;18;41
-9.0;64.0;7.0;291.0;-377.0;-2.0;230.0;145.0;18;18;43
-4.0;-9.0;23.0;290.0;-312.0;1.0;240.0;140.0;-2;-2;40
-95.0;96.0;21.0;357.0;-220.0;18.0;432.0;215.0;4;4;46
-33.0;85.0;28.0;352.0;-142.0;23.0;430.0;206.0;-14;-14;50
-13.0;-20.0;11.0;285.0;-333.0;-8.0;238.0;138.0;5;5;35
-37.0;23.0;35.0;340.0;-189.0;37.0;425.0;221.0;-12;-12;48
-31.0;27.0;2.0;284.0;-370.0;-9.0;239.0;142.0;-8;-8;38
-30.0;20.0;13.0;300.0;-364.0;-19.0;243.0;134.0;-26;-26;44
-68.0;-22.0;1.0;346.0;-168.0;37.0;426.0;204.0;0;0;45
43.0;-5.0;-20.0;340.0;-212.0;25.0;415.0;195.0;-24;-24;47
53.0;-107.0;-19.0;316.0;-211.0;18.0;409.0;201.0;1;1;43
40.0;-94.0;-15.0;293.0;-213.0;12.0;425.0;187.0;11;11;44
-9.0;28.0;-26.0;285.0;-372.0;10.0;249.0;132.0;-22;-22;40
-13.0;-85.0;159.0;448.0;-110.0;354.0;559.0;455.0;6;6;7
29.0;-75.0;141.0;447.0;-248.0;176.0;507.0;348.0;-15;-15;13
30.0;82.0;169.0;446.0;-309.0;108.0;527.0;289.0;-27;-27;13
-59.0;-446.0;27.0;178.0;-208.0;-63.0;750.0;14.0;-20;-20;16
-48.0;8.0;-8.0;292.0;-370.0;7.0;254.0;121.0;-10;-10;36
-70.0;-2.0;-10.0;304.0;-386.0;2.0;254.0;133.0;-29;-29;41
-33.0;59.0;-36.0;303.0;-362.0;-3.0;228.0;125.0;2;2;45
-37.0;22.0;-31.0;301.0;-347.0;5.0;216.0;134.0;-17;-17;46
-45.0;-4.0;2.0;293.0;-375.0;18.0;213.0;113.0;8;8;43
-25.0;-23.0;-15.0;292.0;-327.0;5.0;211.0;132.0;4;4;42
2.0;-6.0;-68.0;275.0;-352.0;-110.0;206.0;78.0;-139;-139;96
123.0;-987.0;-41.0;415.0;-269.0;177.0;248.0;234.0;-26;-26;48
6.0;4.0;-40.0;323.0;-501.0;-2.0;115.0;145.0;-4;-4;8
-15.0;-139.0;28.0;391.0;-201.0;-17.0;364.0;175.0;22;22;48
-1.0;54.0;39.0;409.0;-201.0;11.0;334.0;200.0;40;40;47
-6.0;-108.0;80.0;381.0;-678.0;-224.0;119.0;61.0;11;11;24
-50.0;-18.0;13.0;399.0;-128.0;235.0;574.0;77.0;5;5;23
14.0;-35.0;17.0;296.0;-373.0;-9.0;229.0;138.0;4;4;36
-40.0;-35.0;23.0;301.0;-372.0;1.0;232.0;133.0;3;3;33
16.0;-40.0;2.0;314.0;-381.0;11.0;240.0;136.0;6;6;41
-3.0;-44.0;12.0;296.0;-375.0;19.0;248.0;134.0;-3;-3;43
57.0;-40.0;-9.0;295.0;-363.0;4.0;258.0;141.0;-4;-4;32
-154.0;-140.0;-37.0;654.0;-130.0;151.0;296.0;427.0;12;12;18
-69.0;311.0;-114.0;335.0;-277.0;-27.0;327.0;25.0;-274;-274;0
-7.0;-179.0;34.0;289.0;-360.0;-46.0;246.0;165.0;12;12;-2
3.0;11.0;-16.0;295.0;-304.0;-2.0;278.0;115.0;5;5;42
-15.0;-36.0;-35.0;291.0;-314.0;12.0;285.0;134.0;-20;-20;40
-1.0;-1.0;-56.0;276.0;-317.0;34.0;283.0;125.0;9;9;45
-36.0;30.0;-82.0;393.0;-37.0;211.0;808.0;116.0;-25;-25;31
85.0;-85.0;-113.0;399.0;71.0;192.0;621.0;178.0;7;7;36
-12.0;41.0;-73.0;285.0;-321.0;18.0;284.0;135.0;-2;-2;45
-9.0;36.0;-93.0;275.0;-351.0;24.0;286.0;124.0;-11;-11;42
105.0;52.0;-98.0;526.0;-93.0;78.0;286.0;255.0;-20;-20;50
-195.0;-70.0;88.0;455.0;-268.0;11.0;372.0;365.0;-51;-51;79
-133.0;-257.0;-132.0;474.0;-299.0;7.0;232.0;363.0;-38;-38;-15
72.0;32.0;-130.0;255.0;-370.0;-13.0;291.0;-11.0;103;103;424
1.0;56.0;-75.0;298.0;-324.0;-5.0;280.0;139.0;27;27;44
11.0;73.0;-86.0;323.0;-345.0;21.0;261.0;135.0;11;11;38
-17.0;83.0;-71.0;361.0;-369.0;18.0;253.0;131.0;-14;-14;37
-20.0;85.0;-84.0;360.0;-321.0;28.0;243.0;123.0;23;23;42
-7.0;182.0;-237.0;389.0;-202.0;-159.0;234.0;-249.0;286;286;74
13.0;94.0;-4.0;334.0;-379.0;20.0;216.0;123.0;-40;-40;44
27.0;41.0;43.0;384.0;-324.0;-64.0;194.0;67.0;4;4;14
28.0;198.0;-37.0;295.0;-348.0;24.0;43.0;57.0;39;39;291
-60.0;21.0;55.0;309.0;-342.0;-29.0;273.0;172.0;15;15;49
-149.0;-278.0;-2.0;355.0;-196.0;110.0;247.0;251.0;-42;-42;-7
-87.0;61.0;-18.0;340.0;-360.0;-31.0;261.0;118.0;467;467;153
-54.0;-121.0;-269.0;482.0;-354.0;47.0;241.0;158.0;-45;-45;59
-261.0;121.0;-6.0;676.0;-289.0;24.0;231.0;336.0;20;20;18
1.0;35.0;-35.0;536.0;7.0;147.0;695.0;67.0;-5;-5;20
-80.0;178.0;-11.0;446.0;-288.0;34.0;327.0;135.0;-13;-13;60
-33.0;251.0;-35.0;378.0;-380.0;-127.0;346.0;82.0;205;205;476
-11.0;267.0;48.0;348.0;-377.0;-134.0;208.0;69.0;-105;-105;14
-234.0;479.0;6.0;529.0;-565.0;-35.0;223.0;225.0;18;18;25
115.0;61.0;50.0;365.0;-329.0;-54.0;169.0;200.0;20;20;-7
3.0;-15.0;-47.0;359.0;-814.0;-194.0;-365.0;32.0;-6;-6;21
52.0;-68.0;-202.0;543.0;-387.0;-114.0;157.0;17.0;-10;-10;22
-15.0;96.0;-5.0;497.0;-113.0;178.0;637.0;37.0;7;7;19
1316.0;-884.0;-627.0;264.0;-403.0;-82.0;167.0;14.0;-140;-140;23
253.0;-176.0;-231.0;346.0;-469.0;-158.0;281.0;43.0;-6;-6;68
155.0;51.0;53.0;467.0;-462.0;-281.0;229.0;71.0;8;8;46
25.0;173.0;-199.0;462.0;-357.0;140.0;660.0;316.0;-46;-46;7
29.0;-73.0;-1.0;418.0;-399.0;203.0;440.0;312.0;0;0;14
6.0;140.0;38.0;532.0;-292.0;210.0;370.0;162.0;-6;-6;25
-9.0;94.0;31.0;533.0;-248.0;211.0;397.0;140.0;-22;-22;31
15.0;-41.0;15.0;523.0;-280.0;197.0;343.0;143.0;-24;-24;22
44.0;-43.0;52.0;570.0;-437.0;47.0;180.0;177.0;10;10;-7
35.0;-413.0;37.0;519.0;-350.0;229.0;449.0;154.0;-13;-13;19
-78.0;235.0;-46.0;301.0;-460.0;-160.0;341.0;78.0;-558;-558;395
-18.0;-373.0;-165.0;388.0;-419.0;-85.0;230.0;86.0;-573;-573;45
-37.0;-2.0;-94.0;252.0;34.0;-43.0;267.0;-315.0;-51;-51;50
-4.0;22.0;-54.0;402.0;-265.0;21.0;326.0;452.0;-10;-10;3
33.0;32.0;-16.0;513.0;-122.0;246.0;540.0;163.0;-20;-20;28
43.0;-2.0;-99.0;365.0;-712.0;-107.0;-187.0;166.0;-16;-16;14
-11.0;49.0;-39.0;491.0;-107.0;221.0;532.0;167.0;-51;-51;18
-15.0;7.0;-21.0;547.0;25.0;146.0;709.0;66.0;-2;-2;24
-30.0;-142.0;106.0;459.0;-319.0;200.0;438.0;313.0;9;9;8
-50.0;42.0;-52.0;493.0;-82.0;243.0;530.0;125.0;8;8;22
-52.0;0.0;-29.0;393.0;-112.0;264.0;554.0;154.0;-2;-2;21
-791.0;-208.0;160.0;647.0;-226.0;-50.0;404.0;512.0;58;58;35
-45.0;23.0;-61.0;432.0;-131.0;216.0;518.0;126.0;4;4;23
-18.0;-118.0;24.0;542.0;-255.0;215.0;463.0;147.0;-8;-8;25
93.0;-554.0;-100.0;259.0;-8.0;3.0;727.0;113.0;303;303;11
-83.0;73.0;-38.0;451.0;-111.0;218.0;572.0;79.0;30;30;21
-1.0;-149.0;17.0;542.0;-281.0;250.0;384.0;142.0;-15;-15;23
10.0;5.0;-76.0;374.0;-750.0;-129.0;-311.0;162.0;4;4;14
-967.0;-155.0;-309.0;411.0;76.0;191.0;772.0;-167.0;-16;-16;50
-1.0;22.0;16.0;393.0;-462.0;55.0;115.0;222.0;-4;-4;22
-24.0;16.0;-4.0;507.0;-7.0;188.0;644.0;197.0;-27;-27;28
-165.0;11.0;-68.0;579.0;-83.0;182.0;533.0;49.0;-37;-37;21
-252.0;22.0;-240.0;504.0;-88.0;237.0;605.0;292.0;-39;-39;-4
-28.0;20.0;-21.0;421.0;-123.0;212.0;551.0;145.0;-32;-32;17
-35.0;18.0;-20.0;449.0;-119.0;227.0;535.0;108.0;-22;-22;23
-271.0;-10.0;135.0;430.0;-383.0;149.0;299.0;396.0;-50;-50;5
-38.0;24.0;-13.0;404.0;-147.0;223.0;542.0;68.0;0;0;25
-348.0;-14.0;311.0;523.0;-62.0;160.0;946.0;365.0;18;18;17
-170.0;76.0;162.0;675.0;-241.0;-58.0;416.0;335.0;-25;-25;31
-13.0;28.0;-16.0;442.0;-147.0;237.0;537.0;67.0;-19;-19;22
-6.0;-42.0;92.0;559.0;-252.0;192.0;458.0;153.0;13;13;25
-25.0;8.0;-29.0;450.0;-157.0;203.0;546.0;69.0;-25;-25;22
28.0;126.0;86.0;552.0;-256.0;247.0;505.0;152.0;-24;-24;26
9.0;102.0;113.0;531.0;-278.0;228.0;524.0;158.0;6;6;27
-51.0;1829.0;-95.0;285.0;-122.0;180.0;715.0;194.0;5;5;-8
