InertialMeasurementUnit RLA Quaternion3;InertialMeasurementUnit RUA Quaternion3;InertialMeasurementUnit LUA Quaternion2;InertialMeasurementUnit LLA Quaternion4;InertialMeasurementUnit LUA Quaternion4;InertialMeasurementUnit RLA Quaternion1;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit RUA Quaternion1
-148.0;-372.0;56.0;-334.0;128.0;61.0;85.0;-229.0
-23.0;-279.0;62.0;-244.0;82.0;388.0;-4.0;-170.0
89.0;-194.0;48.0;-236.0;69.0;311.0;95.0;-107.0
48.0;-209.0;58.0;-289.0;104.0;222.0;85.0;-130.0
-488.0;-638.0;-488.0;-576.0;871.0;-779.0;632.0;-744.0
-269.0;-412.0;-166.0;-565.0;425.0;47.0;281.0;-456.0
-378.0;-409.0;-547.0;-472.0;709.0;-779.0;611.0;-567.0
136.0;-172.0;98.0;-275.0;103.0;273.0;-19.0;-68.0
81.0;-183.0;186.0;-431.0;142.0;324.0;-161.0;-90.0
-341.0;-236.0;51.0;-235.0;139.0;-44.0;-91.0;-475.0
-272.0;-93.0;134.0;-164.0;117.0;329.0;-215.0;-244.0
-131.0;-29.0;248.0;-99.0;-154.0;498.0;-242.0;-111.0
-215.0;-288.0;41.0;-230.0;42.0;260.0;31.0;-185.0
-231.0;-260.0;30.0;-307.0;135.0;450.0;47.0;-232.0
-104.0;-256.0;60.0;-253.0;88.0;642.0;19.0;-180.0
-65.0;-333.0;40.0;-362.0;238.0;36.0;-84.0;-273.0
-53.0;-286.0;77.0;-343.0;200.0;39.0;-117.0;-260.0
-94.0;-316.0;90.0;-300.0;145.0;62.0;-104.0;-279.0
-34.0;-268.0;48.0;-302.0;128.0;139.0;-11.0;-235.0
-23.0;-256.0;52.0;-274.0;101.0;159.0;-8.0;-220.0
-6.0;-242.0;56.0;-246.0;76.0;184.0;-2.0;-199.0
63.0;-195.0;120.0;-208.0;-1.0;276.0;-23.0;-116.0
519.0;543.0;550.0;579.0;-803.0;827.0;-687.0;718.0
-198.0;-329.0;114.0;-158.0;-25.0;497.0;14.0;-308.0
-175.0;46.0;327.0;123.0;-388.0;621.0;-368.0;124.0
-298.0;-234.0;169.0;-117.0;-180.0;552.0;-160.0;-258.0
23.0;-335.0;200.0;-135.0;-76.0;666.0;-104.0;198.0
-302.0;-203.0;-494.0;-191.0;423.0;-692.0;427.0;-342.0
421.0;575.0;45.0;380.0;-211.0;-819.0;-177.0;14.0
68.0;-214.0;7.0;-264.0;141.0;180.0;20.0;-158.0
52.0;-227.0;14.0;-273.0;153.0;155.0;-4.0;-181.0
57.0;-225.0;64.0;-286.0;182.0;131.0;-70.0;-176.0
-154.0;-335.0;-37.0;-273.0;121.0;25.0;125.0;-294.0
-124.0;-311.0;27.0;-223.0;65.0;95.0;69.0;-241.0
-111.0;-302.0;52.0;-203.0;44.0;123.0;44.0;-219.0
-137.0;-250.0;48.0;-185.0;-35.0;170.0;48.0;-207.0
-91.0;-277.0;89.0;-172.0;17.0;171.0;18.0;-175.0
-106.0;-304.0;137.0;-64.0;-83.0;19.0;-13.0;-329.0
34.0;-213.0;93.0;-356.0;138.0;238.0;2.0;-133.0
284.0;227.0;438.0;221.0;-504.0;664.0;-459.0;296.0
-146.0;-113.0;135.0;-166.0;-42.0;277.0;-45.0;-220.0
-258.0;-342.0;5.0;-207.0;1.0;179.0;106.0;-230.0
52.0;-255.0;51.0;-304.0;121.0;170.0;56.0;-192.0
67.0;-270.0;23.0;-295.0;134.0;284.0;62.0;-251.0
-408.0;-581.0;-144.0;-601.0;691.0;424.0;283.0;-444.0
-7.0;-114.0;429.0;-738.0;294.0;426.0;-341.0;-85.0
155.0;-79.0;313.0;124.0;-292.0;434.0;-206.0;39.0
-30.0;-247.0;64.0;-211.0;19.0;235.0;89.0;-143.0
-43.0;-261.0;69.0;-216.0;31.0;223.0;81.0;-155.0
-31.0;-233.0;47.0;-271.0;73.0;226.0;61.0;-172.0
-32.0;-250.0;31.0;-279.0;84.0;163.0;74.0;-209.0
-25.0;-266.0;18.0;-286.0;94.0;107.0;86.0;-239.0
2.0;-311.0;38.0;-304.0;120.0;25.0;66.0;-329.0
204.0;375.0;-88.0;185.0;6.0;-581.0;-19.0;-16.0
