InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit R-SHOE Nav_Ay;InertialMeasurementUnit R-SHOE Body_Az;Accelerometer RKN^ accX;Accelerometer RKN^ accZ;InertialMeasurementUnit R-SHOE Nav_Az;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE Body_Ay;InertialMeasurementUnit R-SHOE AngVelBodyFrameX;InertialMeasurementUnit R-SHOE AngVelBodyFrameY
-19;-79;748;67.0;88.0;81;-113;429;113;-19
24;-5;801;232.0;207.0;68;1;368;-1;24
15;-2;801;220.0;148.0;67;-4;370;4;15
-31;-2;803;220.0;189.0;72;-16;394;16;-31
-2;22;804;311.0;181.0;62;-50;412;50;-2
16;-5;794;201.0;144.0;70;-15;371;15;16
-8;-5;796;209.0;170.0;70;-29;368;29;-8
-11;-4;798;212.0;158.0;69;-18;369;18;-11
-6;-3;801;213.0;171.0;64;-14;368;14;-6
29;-1;801;219.0;168.0;67;-24;367;24;29
10;-1;794;230.0;184.0;70;7;364;-7;10
-1;-47;792;316.0;236.0;72;-16;404;16;-1
-27;-7;808;249.0;218.0;67;-10;387;10;-27
21;2;796;232.0;255.0;80;-22;386;22;21
15;56;801;223.0;136.0;75;5;390;-5;15
29;37;820;262.0;155.0;54;14;412;-14;29
12;-1;797;210.0;168.0;69;-18;376;18;12
3;-3;801;239.0;160.0;67;2;373;-2;3
14;2;805;216.0;178.0;62;-7;365;7;14
5;-1;803;209.0;179.0;65;-32;368;32;5
5;-3;794;276.0;263.0;68;3;372;-3;5
-8;-7;796;199.0;193.0;70;-31;369;31;-8
29;-6;799;232.0;168.0;66;3;370;-3;29
6;-2;798;241.0;177.0;73;0;363;0;6
14;-32;801;202.0;163.0;75;-21;398;21;14
-18;-6;795;224.0;171.0;70;-21;368;21;-18
-11;1;799;228.0;176.0;70;-7;364;7;-11
15;2;797;209.0;213.0;72;-14;374;14;15
-7;0;798;232.0;220.0;71;-14;376;14;-7
10;4;799;225.0;190.0;72;-6;374;6;10
6;3;800;210.0;221.0;69;-33;376;33;6
30;0;803;350.0;211.0;71;0;367;0;30
2;1;797;272.0;217.0;71;-2;375;2;2
169;-271;816;277.0;326.0;142;60;384;-60;169
35;-11;791;202.0;205.0;67;6;380;-6;35
-15;1;643;112.0;315.0;98;-37;589;37;-15
-1;1;794;211.0;198.0;66;-43;367;43;-1
-18;9;774;289.0;163.0;76;-43;441;43;-18
40;8;790;226.0;300.0;83;-2;360;2;40
-22;7;665;332.0;220.0;104;-82;579;82;-22
7;17;802;233.0;180.0;65;-36;410;36;7
-7;-7;799;227.0;139.0;67;-11;376;11;-7
124;7;792;211.0;188.0;110;-171;330;171;124
-49;26;806;260.0;239.0;70;8;378;-8;-49
-6;-12;807;218.0;256.0;71;-25;387;25;-6
48;-46;822;270.0;157.0;68;-39;382;39;48
288;44;659;361.0;287.0;53;-4171;518;4171;288
-16;-1;799;209.0;121.0;69;-19;370;19;-16
53;-351;773;319.0;-167.0;129;33;428;-33;53
-1054;94;633;200.0;214.0;87;353;511;-353;-1054
19;-4;795;192.0;112.0;71;-21;370;21;19
-23;-54;766;408.0;76.0;95;-201;432;201;-23
328;62;709;271.0;177.0;119;1379;455;-1379;328
4;4;803;225.0;137.0;67;16;366;-16;4
42;-312;794;232.0;112.0;120;-43;398;43;42
