InertialMeasurementUnit BACK accY;InertialMeasurementUnit RUA accZ;Accelerometer RUA^ accZ;InertialMeasurementUnit RUA accX;Accelerometer RUA^ accY;InertialMeasurementUnit LUA accZ;Accelerometer RUA_ accY;InertialMeasurementUnit RLA accX;Accelerometer RWR accY;InertialMeasurementUnit RLA accZ;Accelerometer RUA_ accZ;InertialMeasurementUnit RUA accY
-89.0;70.0;1159.0;-569.0;-3.0;-223.0;-625.0;945.0;-1177.0;75.0;116.0;1081.0
-191.0;-149.0;1207.0;-213.0;93.0;-291.0;-823.0;1286.0;-1099.0;341.0;219.0;1082.0
-349.0;-92.0;1113.0;-263.0;176.0;-461.0;-1082.0;1301.0;-1040.0;435.0;315.0;1068.0
-153.0;10.0;1084.0;-307.0;244.0;-499.0;-929.0;1165.0;-968.0;387.0;326.0;981.0
-176.0;70.0;1032.0;-432.0;250.0;-380.0;-830.0;1074.0;-906.0;327.0;311.0;962.0
-203.0;148.0;1005.0;-432.0;282.0;-197.0;-750.0;1002.0;-1057.0;358.0;279.0;935.0
-194.0;175.0;971.0;-439.0;246.0;-97.0;-691.0;935.0;-1194.0;376.0;357.0;888.0
-201.0;117.0;1137.0;-429.0;241.0;-159.0;-591.0;894.0;-1278.0;343.0;349.0;850.0
-261.0;54.0;1174.0;-405.0;211.0;-151.0;-658.0;1069.0;-1109.0;274.0;333.0;954.0
-197.0;-33.0;1036.0;-291.0;114.0;-93.0;-696.0;970.0;-820.0;434.0;498.0;1015.0
-198.0;20.0;1086.0;-290.0;164.0;-70.0;-689.0;925.0;-749.0;431.0;491.0;988.0
-223.0;157.0;1153.0;-316.0;272.0;63.0;-611.0;862.0;-683.0;539.0;534.0;971.0
-228.0;372.0;1118.0;-389.0;346.0;219.0;-499.0;801.0;-660.0;672.0;655.0;997.0
-217.0;448.0;1064.0;-455.0;364.0;397.0;-372.0;?;-699.0;846.0;744.0;972.0
-198.0;396.0;1076.0;-486.0;397.0;516.0;-234.0;?;-692.0;1079.0;799.0;853.0
-192.0;382.0;1064.0;-484.0;348.0;506.0;-140.0;?;-658.0;1091.0;858.0;801.0
-208.0;322.0;1001.0;-483.0;354.0;344.0;-159.0;?;-769.0;974.0;792.0;851.0
-190.0;205.0;965.0;-481.0;370.0;228.0;-234.0;?;-840.0;863.0;735.0;848.0
-197.0;69.0;1044.0;-489.0;360.0;27.0;-241.0;?;-859.0;812.0;560.0;806.0
-173.0;50.0;1036.0;-483.0;391.0;-39.0;-298.0;?;-860.0;690.0;477.0;928.0
-267.0;4.0;1041.0;-509.0;427.0;-15.0;-441.0;?;-864.0;647.0;419.0;992.0
-236.0;-23.0;1048.0;-552.0;405.0;-25.0;-479.0;?;-852.0;645.0;342.0;970.0
-210.0;-19.0;980.0;-551.0;450.0;-41.0;-506.0;831.0;-834.0;585.0;274.0;981.0
-258.0;-44.0;961.0;-568.0;392.0;-98.0;-518.0;814.0;-787.0;604.0;270.0;917.0
-196.0;-51.0;925.0;-537.0;352.0;-167.0;-517.0;806.0;-703.0;651.0;220.0;867.0
-211.0;-92.0;858.0;-495.0;382.0;-230.0;?;795.0;-646.0;667.0;239.0;823.0
-163.0;-33.0;833.0;-530.0;403.0;-228.0;?;725.0;-768.0;566.0;207.0;791.0
-135.0;28.0;834.0;-537.0;354.0;-178.0;?;625.0;-960.0;371.0;193.0;759.0
-185.0;144.0;919.0;-517.0;261.0;-171.0;?;604.0;-1070.0;77.0;119.0;779.0
-274.0;85.0;1022.0;-398.0;215.0;-197.0;?;781.0;-1304.0;-73.0;74.0;843.0
-123.0;66.0;1098.0;-353.0;113.0;-224.0;?;978.0;-1291.0;-122.0;89.0;998.0
-156.0;-134.0;1192.0;-419.0;38.0;-371.0;?;1097.0;-1173.0;137.0;105.0;1037.0
-249.0;?;1157.0;-253.0;131.0;-524.0;?;1316.0;-974.0;271.0;191.0;1068.0
-216.0;?;1092.0;-296.0;247.0;-463.0;?;1285.0;-797.0;350.0;314.0;1046.0
-166.0;?;1059.0;-404.0;346.0;-298.0;?;1136.0;-700.0;405.0;333.0;983.0
-178.0;?;957.0;-525.0;360.0;-103.0;?;935.0;-738.0;385.0;377.0;929.0
-225.0;?;891.0;-512.0;318.0;120.0;?;756.0;-813.0;435.0;463.0;807.0
-226.0;?;955.0;-491.0;296.0;205.0;-370.0;664.0;-982.0;567.0;501.0;698.0
-144.0;?;991.0;-472.0;218.0;145.0;-361.0;710.0;-1093.0;579.0;506.0;770.0
-83.0;?;1013.0;-424.0;146.0;-101.0;-412.0;821.0;-1083.0;477.0;531.0;824.0
