InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;Accelerometer RUA_ accX;Accelerometer RWR accZ;InertialMeasurementUnit RLA gyroX;InertialMeasurementUnit R-SHOE AngVelNavFrameZ
-159;-6;300.0;615.0;97.0;-6
-134;15;526.0;621.0;-14.0;15
-159;26;417.0;659.0;-115.0;26
-159;5;281.0;609.0;35.0;5
-152;40;583.0;763.0;-49.0;40
-166;38;416.0;723.0;-143.0;38
-169;-11;578.0;839.0;837.0;-11
176;8;189.0;642.0;-411.0;8
-160;34;391.0;641.0;-81.0;34
-160;9;419.0;712.0;-122.0;9
154;-167;305.0;753.0;153.0;-167
-160;35;427.0;688.0;-29.0;35
-160;42;474.0;704.0;-40.0;42
-160;45;508.0;745.0;-162.0;45
-133;27;657.0;534.0;24.0;27
-157;21;310.0;692.0;-1.0;21
-133;-11;841.0;546.0;-19.0;-11
-172;406;538.0;842.0;-865.0;406
-132;-19;602.0;633.0;-76.0;-19
-157;24;310.0;687.0;-44.0;24
-135;11;426.0;919.0;-44.0;11
-168;228;540.0;803.0;331.0;228
-152;-390;711.0;895.0;529.0;-390
-136;-1214;878.0;944.0;189.0;-1214
-159;11;289.0;600.0;-12.0;11
-145;22;277.0;688.0;47.0;22
-163;-22;594.0;816.0;-51.0;-22
178;-3;368.0;737.0;-940.0;-3
-158;10;689.0;882.0;448.0;10
-163;2;592.0;843.0;268.0;2
-159;-19;272.0;582.0;9.0;-19
-154;-1;515.0;380.0;57.0;-1
-187;30;479.0;676.0;-145.0;30
-159;-87;448.0;507.0;-53.0;-87
-159;33;276.0;576.0;-49.0;33
-159;-7;290.0;600.0;32.0;-7
-156;27;674.0;702.0;-247.0;27
-159;12;295.0;590.0;19.0;12
-166;-55;246.0;691.0;151.0;-55
-159;0;298.0;572.0;-15.0;0
-159;-7;295.0;609.0;-26.0;-7
-159;-4;292.0;610.0;-4.0;-4
-166;-11;319.0;681.0;-92.0;-11
-157;-2;326.0;692.0;-6.0;-2
-135;-4;442.0;781.0;-75.0;-4
-166;-11;380.0;692.0;21.0;-11
-163;-32;358.0;734.0;-44.0;-32
-159;15;279.0;570.0;-16.0;15
-164;35;272.0;814.0;321.0;35
-153;-14;564.0;614.0;-447.0;-14
-159;-3;278.0;575.0;-46.0;-3
-175;0;345.0;739.0;1.0;0
-157;-17;423.0;582.0;59.0;-17
-161;-13;473.0;818.0;-7.0;-13
-158;128;136.0;510.0;1.0;128
-139;171;523.0;942.0;-144.0;171
-163;-24;384.0;768.0;-144.0;-24
-157;-22;319.0;664.0;-486.0;-22
-163;-4;394.0;692.0;-178.0;-4
-161;-26;492.0;737.0;64.0;-26
-156;-40;446.0;736.0;-58.0;-40
-167;-29;390.0;688.0;-61.0;-29
-151;-11;428.0;936.0;-91.0;-11
-174;10;369.0;184.0;-2.0;10
-157;33;327.0;692.0;-57.0;33
-167;21;460.0;677.0;44.0;21
-157;41;336.0;682.0;-48.0;41
-157;5;339.0;681.0;-25.0;5
-140;666;495.0;749.0;-211.0;666
-220;-22;335.0;648.0;-17.0;-22
-159;9;289.0;581.0;-33.0;9
-156;85;515.0;743.0;81.0;85
-157;27;594.0;766.0;-62.0;27
-134;-7;843.0;741.0;-182.0;-7
-175;-7;382.0;716.0;-25.0;-7
-159;-12;320.0;641.0;382.0;-12
-175;-7;432.0;689.0;14.0;-7
-156;-27;436.0;686.0;3.0;-27
-175;-43;295.0;701.0;196.0;-43
-163;-11;599.0;826.0;-97.0;-11
-167;-14;385.0;704.0;-53.0;-14
-172;-36;407.0;715.0;-2.0;-36
-135;-83;350.0;718.0;-38.0;-83
-164;-12;249.0;520.0;-1820.0;-12
-158;-34;485.0;774.0;11.0;-34
-157;6;340.0;686.0;-46.0;6
-157;15;330.0;699.0;-59.0;15
-158;-21;310.0;697.0;-179.0;-21
-167;-64;331.0;705.0;-254.0;-64
-157;10;329.0;681.0;-108.0;10
-159;2;315.0;601.0;-69.0;2
-160;22;310.0;628.0;42.0;22
-159;-3;310.0;601.0;-32.0;-3
-167;22;355.0;711.0;-116.0;22
-167;-21;319.0;662.0;-91.0;-21
-159;3;287.0;595.0;-45.0;3
-152;26;312.0;741.0;-86.0;26
-177;6;271.0;600.0;-307.0;6
-134;-2;822.0;790.0;-12.0;-2
-151;12;663.0;907.0;-135.0;12
-167;-59;530.0;831.0;211.0;-59
-158;-22;474.0;745.0;43.0;-22
-167;-25;347.0;697.0;-105.0;-25
-159;-10;291.0;618.0;22.0;-10
-159;-31;306.0;576.0;79.0;-31
-160;3;320.0;570.0;31.0;3
-160;-1;321.0;580.0;-34.0;-1
-167;-44;350.0;656.0;-38.0;-44
-158;-13;466.0;748.0;25.0;-13
-151;-3;256.0;827.0;0.0;-3
-158;-7;295.0;645.0;29.0;-7
-167;-31;329.0;703.0;14.0;-31
-167;-22;330.0;645.0;-17.0;-22
-175;-26;432.0;767.0;-73.0;-26
-158;19;465.0;723.0;15.0;19
-162;-13;562.0;381.0;-3.0;-13
-134;-20;542.0;585.0;-12.0;-20
-135;6;425.0;791.0;-155.0;6
-157;-14;322.0;702.0;-111.0;-14
-159;32;303.0;630.0;-23.0;32
-159;20;304.0;646.0;-43.0;20
-159;11;301.0;599.0;-23.0;11
-162;19;398.0;874.0;-196.0;19
-157;-170;246.0;631.0;-117.0;-170
-163;21;547.0;658.0;-22.0;21
-159;-36;297.0;626.0;-23.0;-36
-167;29;328.0;660.0;-135.0;29
-159;-7;321.0;613.0;-51.0;-7
-167;27;355.0;705.0;-84.0;27
-112;199;389.0;723.0;-51.0;199
-158;2;455.0;736.0;10.0;2
-167;13;367.0;652.0;8.0;13
-158;-29;306.0;663.0;24.0;-29
-71;920;241.0;488.0;87.0;920
-167;29;369.0;662.0;7.0;29
-155;14;812.0;921.0;-244.0;14
-165;-17;366.0;304.0;169.0;-17
-158;-23;344.0;622.0;-28.0;-23
-167;40;379.0;641.0;-17.0;40
-155;-4;731.0;916.0;204.0;-4
-174;9;423.0;212.0;-248.0;9
-167;-34;385.0;693.0;-26.0;-34
-146;-72;642.0;582.0;242.0;-72
-159;52;299.0;630.0;-84.0;52
-134;-9;669.0;802.0;-1284.0;-9
-162;-29;526.0;695.0;-30.0;-29
-167;-12;381.0;669.0;-11.0;-12
-158;-38;379.0;621.0;-85.0;-38
-158;-19;377.0;695.0;-107.0;-19
-159;-10;416.0;650.0;-168.0;-10
-163;16;581.0;891.0;39.0;16
-171;-74;432.0;621.0;187.0;-74
-175;-20;425.0;704.0;-142.0;-20
-158;-13;360.0;697.0;-138.0;-13
-175;9;365.0;688.0;-116.0;9
-158;-10;445.0;767.0;-48.0;-10
-158;0;435.0;739.0;-75.0;0
-159;7;313.0;604.0;42.0;7
-167;33;368.0;675.0;-96.0;33
-159;-9;309.0;602.0;15.0;-9
-174;-46;582.0;644.0;-70.0;-46
-160;-12;367.0;777.0;-68.0;-12
-167;50;378.0;665.0;-94.0;50
-160;17;334.0;637.0;122.0;17
-159;-4;314.0;588.0;-28.0;-4
-159;-25;350.0;622.0;126.0;-25
-152;4;418.0;630.0;-30.0;4
-167;-11;388.0;661.0;-70.0;-11
-135;16;452.0;781.0;-92.0;16
-159;-2;302.0;638.0;-80.0;-2
-159;10;300.0;592.0;-58.0;10
-134;16;460.0;789.0;-106.0;16
-167;23;375.0;684.0;-127.0;23
-167;-22;379.0;659.0;-144.0;-22
-159;0;300.0;604.0;38.0;0
-159;-13;267.0;579.0;-162.0;-13
-159;-2;310.0;593.0;-89.0;-2
-186;-20;391.0;590.0;61.0;-20
-159;-15;310.0;642.0;-57.0;-15
-159;81;335.0;543.0;60.0;81
-159;22;336.0;601.0;-93.0;22
-167;-24;361.0;681.0;-125.0;-24
-135;6;468.0;782.0;-114.0;6
-133;6;181.0;44.0;-450.0;6
-152;5;465.0;732.0;5.0;5
-135;-4;456.0;784.0;-34.0;-4
-158;305;569.0;812.0;-287.0;305
180;22;365.0;718.0;228.0;22
-166;-56;680.0;580.0;-182.0;-56
169;-5;639.0;860.0;40.0;-5
-161;17;439.0;896.0;177.0;17
-159;-8;310.0;670.0;-16.0;-8
-159;-11;309.0;642.0;-33.0;-11
-164;-33;495.0;748.0;-149.0;-33
-158;-11;436.0;751.0;-86.0;-11
-175;39;536.0;708.0;-39.0;39
-158;-1;452.0;776.0;-70.0;-1
-164;845;828.0;961.0;583.0;845
179;7;337.0;678.0;-141.0;7
-152;-3;353.0;642.0;-60.0;-3
-159;-11;286.0;630.0;5.0;-11
-158;0;465.0;755.0;-28.0;0
-213;36;362.0;698.0;31.0;36
-158;2;469.0;744.0;-39.0;2
-156;11;359.0;723.0;36.0;11
-180;-22;408.0;702.0;45.0;-22
-152;-13;355.0;644.0;-125.0;-13
