InertialMeasurementUnit BACK gyroY;InertialMeasurementUnit RLA gyroY;InertialMeasurementUnit RUA gyroY;Accelerometer LUA^ accX;Accelerometer RWR accX;Accelerometer RUA^ accX;InertialMeasurementUnit RLA accY;Accelerometer BACK accX;InertialMeasurementUnit L-SHOE AngVelNavFrameX;InertialMeasurementUnit L-SHOE AngVelBodyFrameY;InertialMeasurementUnit L-SHOE Body_Ax
254.0;1338.0;-1854.0;335.0;-77.0;497.0;375.0;48.0;18;18;18
458.0;1228.0;-1179.0;268.0;-9.0;408.0;380.0;51.0;-11;-11;11
188.0;638.0;-598.0;261.0;-41.0;345.0;483.0;92.0;20;20;5
206.0;187.0;-208.0;361.0;-105.0;307.0;486.0;65.0;29;29;7
195.0;-88.0;242.0;350.0;-147.0;257.0;511.0;118.0;-11;-11;15
169.0;-187.0;583.0;342.0;-87.0;200.0;446.0;126.0;12;12;12
200.0;-239.0;751.0;271.0;-63.0;239.0;394.0;116.0;8;8;10
79.0;-305.0;941.0;193.0;121.0;327.0;344.0;60.0;-19;-19;16
44.0;-346.0;1249.0;290.0;232.0;444.0;309.0;-14.0;9;9;13
-79.0;162.0;-130.0;431.0;-520.0;243.0;-14.0;237.0;-49;-49;16
-47.0;90.0;-89.0;299.0;-622.0;68.0;-7.0;235.0;-11;-11;22
-39.0;177.0;-198.0;486.0;-932.0;-112.0;3.0;234.0;-14;-14;18
-74.0;413.0;-685.0;399.0;-869.0;-146.0;39.0;227.0;-20;-20;13
-46.0;663.0;-1218.0;322.0;-784.0;-184.0;38.0;223.0;26;26;11
-14.0;481.0;-1598.0;379.0;-695.0;-186.0;-175.0;133.0;-1;-1;11
77.0;222.0;-2127.0;471.0;-570.0;-108.0;-45.0;141.0;-4;-4;14
-8.0;64.0;-2695.0;619.0;-413.0;26.0;-75.0;77.0;12;12;18
-44.0;-30.0;-3156.0;708.0;-373.0;125.0;-39.0;192.0;0;0;18
-107.0;-195.0;-3397.0;792.0;-232.0;222.0;93.0;160.0;-13;-13;13
-188.0;-191.0;-3704.0;860.0;-148.0;331.0;222.0;128.0;8;8;11
-214.0;-132.0;-3867.0;732.0;-164.0;368.0;322.0;136.0;20;20;7
-221.0;-133.0;-3776.0;643.0;-128.0;370.0;500.0;121.0;-17;-17;5
-267.0;-14.0;-3775.0;518.0;-209.0;375.0;586.0;82.0;3;3;16
-349.0;-41.0;-3649.0;415.0;-164.0;367.0;593.0;31.0;24;24;10
-305.0;-133.0;-3477.0;419.0;-94.0;?;606.0;111.0;-15;-15;6
-323.0;-463.0;-3170.0;413.0;138.0;335.0;523.0;89.0;-2;-2;16
-201.0;-701.0;-2896.0;380.0;305.0;273.0;519.0;105.0;30;30;9
-162.0;-790.0;-2643.0;417.0;443.0;245.0;489.0;-110.0;22;22;10
-250.0;-425.0;-2430.0;333.0;140.0;327.0;525.0;-21.0;?;19;12
?;93.0;-2064.0;327.0;-72.0;405.0;549.0;40.0;?;-14;10
?;699.0;-1677.0;359.0;-160.0;554.0;584.0;38.0;?;-25;19
128.0;964.0;-1277.0;312.0;-166.0;470.0;407.0;16.0;14;14;23
100.0;667.0;-607.0;287.0;-152.0;418.0;336.0;48.0;11;11;13
81.0;240.0;11.0;309.0;-228.0;312.0;308.0;77.0;7;7;7
57.0;-165.0;586.0;312.0;-293.0;104.0;339.0;71.0;12;?;6
45.0;-228.0;869.0;273.0;-270.0;1.0;357.0;-44.0;-21;?;8
16.0;58.0;799.0;276.0;-291.0;42.0;316.0;-68.0;-26;?;9
-96.0;128.0;743.0;355.0;-222.0;-33.0;275.0;6.0;-21;-21;9
-215.0;98.0;562.0;409.0;-32.0;132.0;226.0;28.0;-12;-12;11
-187.0;122.0;462.0;471.0;85.0;?;178.0;28.0;15;15;9
-122.0;-27.0;623.0;554.0;157.0;?;227.0;26.0;-23;-23;13
-71.0;133.0;18.0;62.0;-435.0;?;?;230.0;-5;-5;8
-49.0;165.0;-7.0;329.0;-492.0;?;?;244.0;-1;-1;8
-21.0;95.0;-2.0;346.0;-616.0;?;?;227.0;-27;-27;8
-34.0;223.0;-110.0;431.0;-839.0;?;?;187.0;31;31;5
-15.0;305.0;-347.0;371.0;-879.0;?;?;222.0;37;37;13
24.0;479.0;-734.0;352.0;-834.0;?;?;166.0;17;17;15
103.0;357.0;-1144.0;413.0;-764.0;?;?;144.0;24;24;7
163.0;170.0;-1592.0;491.0;-702.0;?;?;215.0;-2;-2;11
230.0;102.0;-2276.0;586.0;-586.0;-110.0;?;261.0;-7;-7;12
160.0;140.0;-2723.0;655.0;-542.0;8.0;?;77.0;10;10;11
127.0;109.0;-3095.0;779.0;-420.0;82.0;?;172.0;10;10;15
2.0;53.0;-3300.0;772.0;-320.0;162.0;?;114.0;14;14;10
-272.0;-49.0;-3473.0;751.0;-207.0;222.0;?;147.0;-2;-2;8
-356.0;-111.0;-3681.0;679.0;-100.0;289.0;?;102.0;-5;-5;15
-472.0;-118.0;-3824.0;626.0;25.0;357.0;?;101.0;11;11;12
-471.0;-282.0;-3766.0;586.0;37.0;383.0;480.0;63.0;10;10;9
-560.0;-369.0;-3661.0;504.0;193.0;387.0;561.0;9.0;22;22;9
-596.0;-382.0;-3467.0;452.0;235.0;402.0;596.0;47.0;-5;-5;10
-534.0;-256.0;-3175.0;402.0;187.0;408.0;623.0;-67.0;-16;-16;11
-367.0;-137.0;-2853.0;404.0;187.0;387.0;657.0;11.0;19;19;11
-221.0;71.0;-2407.0;350.0;163.0;427.0;613.0;37.0;-6;-6;11
115.0;250.0;-1713.0;334.0;-47.0;473.0;568.0;113.0;-31;-31;11
160.0;423.0;-1171.0;352.0;-144.0;439.0;581.0;28.0;2;2;15
111.0;593.0;-717.0;316.0;-166.0;343.0;552.0;51.0;10;10;13
118.0;466.0;?;293.0;-192.0;265.0;495.0;45.0;-4;-4;10
77.0;104.0;?;377.0;-199.0;141.0;482.0;62.0;21;21;7
99.0;-153.0;447.0;375.0;-187.0;78.0;459.0;38.0;29;29;5
44.0;-195.0;537.0;370.0;-15.0;73.0;409.0;48.0;2;2;11
33.0;-158.0;552.0;352.0;-39.0;161.0;346.0;53.0;-7;-7;9
-1.0;-109.0;584.0;386.0;75.0;306.0;290.0;59.0;-14;-14;6
5.0;-83.0;823.0;489.0;131.0;434.0;305.0;92.0;?;-1;11
-68.0;628.0;-299.0;237.0;-500.0;25.0;118.0;144.0;?;-7;12
40.0;872.0;-471.0;364.0;-378.0;-16.0;76.0;208.0;?;25;8
142.0;829.0;-670.0;507.0;-280.0;-55.0;53.0;238.0;?;25;8
246.0;706.0;-867.0;471.0;-292.0;12.0;-15.0;138.0;?;-9;15
196.0;702.0;-1174.0;527.0;-244.0;110.0;28.0;144.0;?;-10;11
