InertialMeasurementUnit L-SHOE EuX;InertialMeasurementUnit BACK Quaternion1;InertialMeasurementUnit BACK Quaternion3;InertialMeasurementUnit R-SHOE Compass;InertialMeasurementUnit BACK magneticX;InertialMeasurementUnit R-SHOE EuY
117;320.0;172.0;-8;483.0;-48
-17;287.0;384.0;-142;563.0;-26
-161;622.0;489.0;-12;508.0;-11
-160;618.0;440.0;-7;535.0;-29
-159;597.0;459.0;-6;497.0;-29
-162;587.0;443.0;-7;511.0;-28
-160;654.0;403.0;-10;598.0;-30
-159;680.0;483.0;-8;539.0;-30
-158;673.0;390.0;-2;647.0;-47
-150;743.0;565.0;-1;706.0;-52
-134;554.0;421.0;-9;488.0;-28
-119;550.0;415.0;-9;490.0;-27
-95;548.0;408.0;-9;490.0;-27
-47;546.0;403.0;-10;492.0;-27
-21;545.0;397.0;-10;494.0;-27
-10;545.0;390.0;-10;495.0;-27
-1;545.0;383.0;-10;494.0;-27
12;545.0;377.0;-10;498.0;-27
26;544.0;370.0;-10;499.0;-26
-84;543.0;364.0;-10;499.0;-26
-177;542.0;356.0;-12;496.0;-19
-159;539.0;348.0;-15;494.0;-11
-165;532.0;340.0;-16;490.0;-7
-166;526.0;332.0;-16;484.0;-3
-163;514.0;333.0;-18;476.0;-9
-168;501.0;340.0;-18;469.0;-16
-165;496.0;339.0;-19;458.0;-24
-167;489.0;335.0;-18;444.0;-39
-166;481.0;333.0;-13;435.0;-52
-166;472.0;331.0;-8;429.0;-61
-166;467.0;328.0;0;426.0;-73
-166;461.0;325.0;6;423.0;-86
-180;337.0;120.0;-69;307.0;-22
-174;372.0;241.0;-12;438.0;-42
-172;374.0;239.0;-13;445.0;-42
-169;372.0;232.0;-13;455.0;-41
-165;374.0;230.0;-13;466.0;-41
-83;365.0;197.0;-14;525.0;-40
-70;361.0;191.0;-14;533.0;-39
-40;357.0;185.0;-13;544.0;-39
-101;355.0;179.0;-14;550.0;-39
8;353.0;173.0;-14;551.0;-36
137;342.0;156.0;-21;551.0;-25
-17;267.0;347.0;-40;205.0;-40
-9;326.0;375.0;-42;300.0;-49
2;341.0;385.0;-45;320.0;-22
121;311.0;377.0;-54;267.0;-20
-171;571.0;450.0;-11;492.0;-28
-167;545.0;440.0;-11;482.0;-28
-186;541.0;434.0;-11;477.0;-28
-172;540.0;428.0;-11;472.0;-28
-172;543.0;427.0;-11;470.0;-28
86;502.0;521.0;-4;317.0;-27
-7;306.0;131.0;-111;76.0;-30
11;306.0;-86.0;-14;-165.0;-41
25;-203.0;-291.0;-131;202.0;-39
43;67.0;-88.0;-31;430.0;-25
32;36.0;-64.0;-67;323.0;-39
67;95.0;34.0;-51;347.0;-39
13;101.0;52.0;-6;404.0;-41
15;169.0;115.0;-8;432.0;-41
53;208.0;166.0;-7;464.0;-41
62;227.0;193.0;-7;496.0;-41
65;227.0;195.0;-7;507.0;-41
72;224.0;197.0;-7;509.0;-41
79;228.0;200.0;-7;517.0;-41
87;233.0;203.0;-8;523.0;-41
89;241.0;206.0;-8;527.0;-41
89;250.0;211.0;-8;534.0;-41
144;468.0;387.0;-10;667.0;-39
42;272.0;206.0;-28;608.0;-19
42;277.0;207.0;-27;613.0;-19
42;282.0;207.0;-26;627.0;-18
42;292.0;212.0;-26;634.0;-17
136;339.0;208.0;-2;740.0;-29
43;314.0;231.0;-27;649.0;-16
43;326.0;239.0;-28;656.0;-15
43;332.0;247.0;-28;663.0;-13
43;341.0;254.0;-28;672.0;-13
43;346.0;261.0;-28;678.0;-12
37;350.0;265.0;-28;681.0;-12
33;352.0;268.0;-29;685.0;-12
33;352.0;269.0;-29;686.0;-12
34;351.0;268.0;-29;683.0;-12
163;483.0;304.0;-3;843.0;-26
99;419.0;232.0;-28;645.0;0
89;428.0;238.0;-24;647.0;6
89;437.0;245.0;-25;647.0;6
92;445.0;252.0;-31;649.0;-7
90;458.0;261.0;-35;649.0;-14
141;735.0;504.0;-12;1104.0;-26
161;639.0;410.0;-20;1095.0;-42
90;435.0;282.0;-20;614.0;-61
90;433.0;287.0;-18;607.0;-65
90;436.0;291.0;-17;602.0;-66
89;437.0;294.0;-18;599.0;-52
88;438.0;295.0;-17;591.0;-50
87;436.0;295.0;-20;587.0;-43
88;433.0;295.0;-25;581.0;-26
89;428.0;293.0;-25;578.0;-28
89;423.0;290.0;-26;575.0;-24
95;419.0;287.0;-27;568.0;-20
92;414.0;284.0;-27;565.0;-21
106;410.0;282.0;-27;562.0;-19
101;407.0;277.0;-27;555.0;-20
113;403.0;272.0;-28;549.0;-20
136;399.0;265.0;-28;549.0;-20
111;397.0;260.0;-28;546.0;-20
79;395.0;246.0;-28;541.0;-20
-176;394.0;242.0;-28;541.0;-20
-140;396.0;242.0;-28;542.0;-20
-122;396.0;243.0;-28;542.0;-20
-108;397.0;242.0;-28;544.0;-20
-177;399.0;241.0;-28;546.0;-20
-100;402.0;240.0;-27;547.0;-19
159;406.0;239.0;-27;548.0;-17
129;409.0;239.0;-26;550.0;-12
106;412.0;239.0;-26;554.0;-12
134;415.0;241.0;-24;553.0;-12
111;416.0;243.0;-23;559.0;-10
-10;433.0;-153.0;-16;-359.0;-10
121;360.0;143.0;-62;328.0;-17
-7;602.0;243.0;173;143.0;-41
108;361.0;181.0;-20;363.0;-27
106;376.0;210.0;-8;378.0;-50
106;386.0;223.0;-10;385.0;-55
106;397.0;235.0;-14;395.0;-63
106;410.0;248.0;-11;399.0;-70
106;426.0;261.0;-9;405.0;-76
106;442.0;272.0;-9;411.0;-77
106;457.0;281.0;-8;417.0;-81
106;471.0;290.0;-6;425.0;-83
106;486.0;297.0;-6;433.0;-72
126;416.0;245.0;-24;561.0;-13
120;415.0;244.0;-23;561.0;-21
121;410.0;244.0;-19;561.0;-27
122;402.0;241.0;-15;563.0;-30
120;391.0;234.0;-9;558.0;-37
121;379.0;226.0;-5;558.0;-44
121;364.0;218.0;-2;557.0;-49
121;348.0;209.0;-1;552.0;-54
120;331.0;197.0;1;551.0;-60
139;281.0;165.0;19;639.0;-86
120;294.0;168.0;-7;536.0;-58
120;281.0;153.0;-12;528.0;-53
121;234.0;118.0;-50;502.0;-47
93;-79.0;-230.0;-78;-438.0;-22
80;294.0;110.0;-3;329.0;-70
79;285.0;152.0;-9;357.0;-53
106;501.0;305.0;-7;441.0;-63
106;517.0;313.0;-7;451.0;-58
106;535.0;321.0;-11;461.0;-43
171;661.0;174.0;-2;435.0;-36
78;307.0;185.0;-12;392.0;-38
77;317.0;196.0;-12;398.0;-36
76;328.0;207.0;-13;405.0;-33
76;341.0;218.0;-13;413.0;-32
77;357.0;229.0;-13;423.0;-32
77;374.0;240.0;-13;433.0;-31
85;394.0;251.0;-13;442.0;-32
95;416.0;263.0;-13;449.0;-31
94;441.0;276.0;-13;459.0;-31
96;469.0;291.0;-13;468.0;-31
100;498.0;308.0;-13;476.0;-31
108;528.0;325.0;-13;483.0;-31
113;634.0;365.0;-14;494.0;-25
-11;543.0;194.0;-162;-131.0;-25
-37;518.0;217.0;-162;-40.0;-23
54;476.0;272.0;-124;328.0;-13
65;466.0;282.0;-164;-208.0;-13
2;429.0;276.0;-163;316.0;-25
64;502.0;288.0;-164;-32.0;-13
76;350.0;272.0;-164;212.0;-12
120;274.0;264.0;-165;221.0;-11
65;250.0;208.0;-152;363.0;-26
65;247.0;202.0;-141;369.0;-26
65;245.0;201.0;-137;371.0;-24
65;244.0;201.0;-126;372.0;-23
65;242.0;208.0;-107;371.0;-22
65;242.0;211.0;-108;369.0;-22
65;242.0;213.0;-108;367.0;-22
65;241.0;215.0;-109;365.0;-22
65;232.0;223.0;-109;356.0;-22
65;208.0;240.0;-111;352.0;-22
65;171.0;245.0;-114;354.0;-22
19;82.0;184.0;-142;323.0;-28
21;5.0;89.0;-32;211.0;-37
-5;151.0;-18.0;-82;180.0;-32
55;242.0;69.0;-69;286.0;-23
97;315.0;137.0;-44;436.0;-30
94;356.0;167.0;-46;465.0;-26
93;378.0;183.0;-39;478.0;-26
92;398.0;197.0;-32;489.0;-26
92;416.0;210.0;-30;502.0;-26
92;431.0;222.0;-27;512.0;-27
92;446.0;234.0;-22;521.0;-28
92;458.0;247.0;-19;528.0;-28
92;471.0;261.0;-17;534.0;-28
92;484.0;275.0;-15;539.0;-28
91;497.0;292.0;-14;546.0;-28
91;510.0;310.0;-13;553.0;-28
91;522.0;329.0;-12;558.0;-27
90;532.0;349.0;-11;558.0;-27
90;545.0;374.0;-11;559.0;-27
98;601.0;429.0;-11;555.0;-27
117;610.0;455.0;-11;531.0;-27
165;649.0;466.0;-30;402.0;-22
130;609.0;432.0;-1;473.0;-57
106;589.0;415.0;-11;478.0;-27
90;561.0;409.0;-11;477.0;-27
88;545.0;401.0;-11;481.0;-27
86;539.0;396.0;-11;484.0;-27
85;534.0;390.0;-11;484.0;-27
83;530.0;383.0;-10;488.0;-27
82;527.0;374.0;-10;491.0;-27
83;523.0;365.0;-10;492.0;-29
82;518.0;356.0;-9;494.0;-30
83;512.0;346.0;-9;493.0;-32
83;503.0;337.0;-8;494.0;-34
83;496.0;328.0;-8;500.0;-34
82;493.0;322.0;-9;507.0;-34
82;495.0;319.0;-9;514.0;-34
82;499.0;317.0;-9;514.0;-35
82;503.0;314.0;-10;513.0;-35
81;503.0;307.0;-10;516.0;-35
81;504.0;300.0;-12;520.0;-34
81;507.0;295.0;-13;523.0;-33
81;516.0;289.0;-13;532.0;-33
81;529.0;282.0;-14;535.0;-32
81;537.0;274.0;-16;538.0;-30
150;537.0;238.0;-5;509.0;-31
81;540.0;253.0;-17;552.0;-29
81;543.0;243.0;-17;563.0;-29
81;555.0;216.0;-17;589.0;-29
81;583.0;263.0;-12;610.0;-35
180;949.0;256.0;0;614.0;-25
97;737.0;508.0;7;900.0;-71
97;586.0;381.0;-12;603.0;-30
81;592.0;333.0;-6;599.0;-41
81;570.0;371.0;-1;572.0;-43
80;579.0;397.0;7;552.0;-51
74;603.0;441.0;2;516.0;-45
81;622.0;479.0;-3;487.0;-34
134;642.0;509.0;-11;510.0;-26
171;694.0;423.0;-2;524.0;-43
155;782.0;590.0;-5;471.0;-31
-63;560.0;421.0;-24;497.0;-22
-133;559.0;423.0;-24;493.0;-21
-126;559.0;419.0;-25;493.0;-21
-107;558.0;419.0;-25;492.0;-20
-112;559.0;415.0;-25;492.0;-20
-85;559.0;411.0;-25;491.0;-20
119;446.0;294.0;-8;425.0;-23
117;432.0;281.0;-8;421.0;-21
129;417.0;266.0;-8;417.0;-20
137;403.0;250.0;-8;414.0;-21
132;392.0;238.0;-8;410.0;-20
160;382.0;229.0;-8;412.0;-20
85;365.0;190.0;-8;396.0;-18
80;367.0;188.0;-11;397.0;-8
82;375.0;182.0;-11;407.0;-11
82;375.0;181.0;-10;408.0;-16
82;374.0;177.0;-8;403.0;-26
119;512.0;113.0;-4;337.0;-32
77;427.0;-24.0;-4;66.0;-32
82;374.0;163.0;-15;392.0;-65
82;369.0;166.0;-9;395.0;-78
82;360.0;166.0;-8;396.0;-79
82;350.0;167.0;-9;390.0;-78
82;345.0;168.0;-8;386.0;-80
82;343.0;171.0;-8;381.0;-78
82;343.0;176.0;-6;384.0;-76
82;345.0;183.0;-6;388.0;-71
81;349.0;192.0;-10;389.0;-48
81;354.0;200.0;-11;398.0;-40
79;360.0;209.0;-11;406.0;-38
77;366.0;218.0;-12;413.0;-28
76;372.0;226.0;-12;422.0;-30
73;378.0;236.0;-12;429.0;-28
72;387.0;246.0;-13;437.0;-25
73;396.0;255.0;-13;445.0;-24
69;431.0;276.0;-13;463.0;-24
68;440.0;278.0;-13;467.0;-24
70;449.0;281.0;-13;472.0;-24
69;459.0;284.0;-13;479.0;-24
73;473.0;288.0;-13;482.0;-24
81;488.0;295.0;-13;485.0;-24
81;506.0;303.0;-13;491.0;-24
84;525.0;312.0;-13;492.0;-24
94;545.0;319.0;-13;496.0;-24
102;583.0;330.0;-14;501.0;-24
171;716.0;293.0;-5;478.0;-39
55;695.0;503.0;-137;461.0;-20
-37;680.0;296.0;-172;270.0;-32
-37;659.0;249.0;-165;137.0;-36
46;-73.0;-118.0;-74;226.0;-31
102;65.0;120.0;-23;426.0;-28
101;220.0;87.0;-33;475.0;-30
101;306.0;162.0;-34;522.0;-30
100;325.0;176.0;-32;533.0;-28
99;343.0;188.0;-30;547.0;-27
99;360.0;198.0;-28;561.0;-28
-143;830.0;556.0;18;606.0;-73
-126;570.0;392.0;-14;460.0;-31
-162;567.0;398.0;-14;465.0;-31
-14;606.0;424.0;-104;427.0;-37
-91;567.0;395.0;-14;462.0;-31
-70;661.0;425.0;174;437.0;-40
-24;772.0;421.0;3;374.0;-34
-109;618.0;416.0;-29;383.0;-32
122;613.0;369.0;0;413.0;-67
-85;486.0;489.0;-174;540.0;-32
