InertialMeasurementUnit L-SHOE EuX;InertialMeasurementUnit BACK Quaternion1;InertialMeasurementUnit BACK Quaternion3;InertialMeasurementUnit R-SHOE Compass;InertialMeasurementUnit BACK magneticX;InertialMeasurementUnit R-SHOE EuY
-17;303.0;382.0;-142;561.0;-26
117;330.0;179.0;-14;489.0;-43
121;409.0;224.0;-21;517.0;-13
118;415.0;230.0;-22;518.0;-12
121;420.0;235.0;-24;521.0;-8
121;423.0;238.0;-25;521.0;-8
115;424.0;241.0;-31;520.0;-9
129;424.0;244.0;-37;520.0;-11
104;423.0;246.0;-38;524.0;-15
-47;415.0;263.0;-38;539.0;-18
-160;616.0;456.0;-7;517.0;-29
-112;559.0;415.0;-25;492.0;-20
-126;570.0;392.0;-14;460.0;-31
-47;546.0;403.0;-10;492.0;-27
-21;545.0;397.0;-10;494.0;-27
-10;545.0;390.0;-10;495.0;-27
-1;545.0;383.0;-10;494.0;-27
12;545.0;377.0;-10;498.0;-27
26;544.0;370.0;-10;499.0;-26
-98;825.0;329.0;-4;624.0;-31
-104;412.0;271.0;-38;546.0;-17
-179;789.0;333.0;-3;600.0;-34
-40;400.0;271.0;-37;554.0;-21
-140;390.0;271.0;-36;555.0;-24
-163;514.0;333.0;-18;476.0;-9
-168;501.0;340.0;-18;469.0;-16
-165;496.0;339.0;-19;458.0;-24
-167;489.0;335.0;-18;444.0;-39
-68;386.0;266.0;-36;557.0;-23
118;345.0;236.0;-35;567.0;-24
119;326.0;221.0;-35;571.0;-24
-130;114.0;8.0;-46;378.0;-24
42;192.0;1.0;-47;540.0;-25
-33;200.0;91.0;-24;496.0;-6
-106;253.0;129.0;-50;472.0;-23
-108;384.0;225.0;-55;559.0;-34
-165;374.0;230.0;-13;466.0;-41
-83;365.0;197.0;-14;525.0;-40
-70;361.0;191.0;-14;533.0;-39
-40;357.0;185.0;-13;544.0;-39
-108;335.0;192.0;-57;536.0;-26
8;353.0;173.0;-14;551.0;-36
-108;407.0;242.0;-46;570.0;-37
-108;432.0;260.0;-26;582.0;-43
-108;455.0;279.0;-14;592.0;-49
-108;479.0;297.0;-15;600.0;-49
-143;829.0;557.0;18;605.0;-73
-133;725.0;648.0;-12;402.0;-26
-10;564.0;551.0;-53;289.0;-24
20;599.0;518.0;-23;524.0;-18
-50;567.0;515.0;10;503.0;-23
-39;519.0;451.0;-23;525.0;-19
154;782.0;590.0;-5;467.0;-31
33;-67.0;-188.0;-82;-430.0;-38
-37;478.0;415.0;-22;519.0;-24
-35;465.0;407.0;-19;519.0;-32
-35;454.0;402.0;-17;518.0;-39
-37;440.0;399.0;-13;518.0;-48
-35;424.0;395.0;-6;517.0;-56
-34;409.0;391.0;-2;516.0;-54
25;-194.0;-285.0;-131;197.0;-39
1;-76.0;-199.0;-84;366.0;-22
89;-42.0;94.0;-82;492.0;-3
45;-47.0;-101.0;-89;233.0;-47
45;56.0;-111.0;-58;410.0;-42
86;96.0;-25.0;-25;315.0;-28
-34;394.0;389.0;-3;519.0;-51
166;242.0;201.0;-20;529.0;-32
62;227.0;193.0;-7;496.0;-41
76;335.0;385.0;85;477.0;-83
12;245.0;180.0;-18;653.0;-6
102;252.0;268.0;-5;620.0;-27
-35;371.0;380.0;-10;521.0;-54
-35;365.0;376.0;-13;520.0;-56
-35;354.0;370.0;-16;526.0;-55
-35;348.0;364.0;-16;532.0;-51
-35;344.0;359.0;-14;538.0;-49
-35;338.0;353.0;-10;550.0;-38
-35;329.0;346.0;-8;556.0;-35
-34;322.0;340.0;-9;564.0;-32
-35;313.0;333.0;-11;567.0;-12
-34;306.0;325.0;-14;575.0;-3
-31;298.0;316.0;-15;578.0;-3
-35;290.0;308.0;-14;585.0;-5
-30;273.0;292.0;-7;594.0;-21
-75;286.0;302.0;-22;696.0;-44
-50;167.0;273.0;-47;767.0;-26
-9;326.0;375.0;-42;300.0;-49
20;-10.0;82.0;-38;267.0;-57
-22;233.0;255.0;-48;503.0;-21
-42;180.0;219.0;-46;538.0;-26
-39;91.0;193.0;-46;570.0;-59
92;445.0;252.0;-31;649.0;-7
90;433.0;287.0;-18;607.0;-65
90;436.0;291.0;-17;602.0;-66
142;524.0;441.0;-11;710.0;-34
88;438.0;295.0;-17;591.0;-50
87;436.0;295.0;-20;587.0;-43
88;433.0;295.0;-25;581.0;-26
89;428.0;293.0;-25;578.0;-28
89;423.0;290.0;-26;575.0;-24
95;419.0;287.0;-27;568.0;-20
92;414.0;284.0;-27;565.0;-21
106;410.0;282.0;-27;562.0;-19
101;407.0;277.0;-27;555.0;-20
113;403.0;272.0;-28;549.0;-20
176;378.0;261.0;-36;564.0;-24
111;397.0;260.0;-28;546.0;-20
79;395.0;246.0;-28;541.0;-20
-21;-12.0;143.0;-111;500.0;-29
-140;396.0;242.0;-28;542.0;-20
-122;396.0;243.0;-28;542.0;-20
-108;397.0;242.0;-28;544.0;-20
2;503.0;453.0;-64;820.0;-19
-100;402.0;240.0;-27;547.0;-19
77;561.0;514.0;8;667.0;-19
129;409.0;239.0;-26;550.0;-12
106;412.0;239.0;-26;554.0;-12
-70;445.0;402.0;-19;515.0;-26
111;416.0;243.0;-23;559.0;-10
-68;438.0;396.0;-18;509.0;-32
-67;432.0;392.0;-15;494.0;-43
-67;423.0;389.0;-7;488.0;-59
-67;413.0;386.0;3;475.0;-74
-66;397.0;382.0;10;467.0;-79
-66;385.0;381.0;11;464.0;-76
-31;297.0;322.0;197;384.0;-49
-31;296.0;326.0;110;381.0;-46
-66;363.0;375.0;-12;451.0;-70
-66;362.0;374.0;-20;458.0;-66
-66;358.0;375.0;-27;468.0;-63
-66;364.0;378.0;-69;479.0;-48
-66;364.0;382.0;-101;491.0;-32
126;416.0;245.0;-24;561.0;-13
120;415.0;244.0;-23;561.0;-21
121;410.0;244.0;-19;561.0;-27
122;402.0;241.0;-15;563.0;-30
120;391.0;234.0;-9;558.0;-37
121;379.0;226.0;-5;558.0;-44
120;331.0;197.0;1;551.0;-60
-65;362.0;385.0;-98;508.0;-20
-66;359.0;384.0;-82;520.0;-5
-64;355.0;381.0;-65;530.0;3
-63;352.0;376.0;-56;543.0;7
-67;346.0;371.0;-46;552.0;7
-58;340.0;364.0;-56;565.0;-3
-62;333.0;356.0;-63;577.0;-15
-10;326.0;348.0;-61;596.0;-19
58;313.0;327.0;-72;658.0;-21
-78;506.0;478.0;-31;591.0;-42
-43;427.0;427.0;-12;855.0;-20
-63;465.0;451.0;-23;663.0;5
-63;432.0;425.0;2;675.0;-31
32;-196.0;-182.0;-98;-151.0;-29
52;232.0;67.0;-69;287.0;-22
80;294.0;110.0;-3;329.0;-70
79;299.0;174.0;-11;382.0;-42
76;341.0;218.0;-13;413.0;-32
77;374.0;240.0;-13;433.0;-31
85;394.0;251.0;-13;442.0;-32
95;416.0;263.0;-13;449.0;-31
94;441.0;276.0;-13;459.0;-31
96;469.0;291.0;-13;468.0;-31
107;555.0;330.0;-13;467.0;-30
-49;394.0;390.0;-18;631.0;-44
-27;413.0;396.0;-118;783.0;-39
-64;373.0;378.0;19;786.0;-61
-57;271.0;294.0;-22;813.0;-21
6;339.0;343.0;1;1082.0;-17
76;362.0;419.0;-155;486.0;-66
137;375.0;381.0;-140;509.0;-21
77;397.0;446.0;-54;521.0;-30
67;403.0;448.0;-33;537.0;-10
-123;422.0;440.0;-23;579.0;-20
39;476.0;448.0;-24;618.0;-16
75;458.0;448.0;-22;569.0;-21
51;460.0;448.0;-21;547.0;-21
59;459.0;449.0;-21;543.0;-21
55;460.0;451.0;-20;535.0;-23
58;461.0;461.0;-16;518.0;-28
67;477.0;496.0;55;468.0;-64
-20;197.0;319.0;-105;485.0;-25
-19;229.0;350.0;-93;482.0;-21
-15;251.0;365.0;-84;483.0;-24
-14;263.0;373.0;-79;481.0;-25
-6;275.0;381.0;-78;482.0;-25
3;286.0;388.0;-76;485.0;-25
14;297.0;396.0;-75;488.0;-25
26;306.0;403.0;-73;491.0;-25
0;344.0;424.0;-70;506.0;-25
56;234.0;68.0;-41;362.0;-31
95;335.0;152.0;-46;449.0;-28
92;398.0;197.0;-32;489.0;-26
92;416.0;210.0;-30;502.0;-26
92;431.0;222.0;-27;512.0;-27
92;446.0;234.0;-22;521.0;-28
92;458.0;247.0;-19;528.0;-28
92;471.0;261.0;-17;534.0;-28
92;484.0;275.0;-15;539.0;-28
91;497.0;292.0;-14;546.0;-28
91;522.0;329.0;-12;558.0;-27
111;611.0;452.0;-11;533.0;-27
97;589.0;388.0;-12;599.0;-30
-12;354.0;434.0;-69;508.0;-26
-16;365.0;442.0;-69;507.0;-26
-24;376.0;447.0;-68;507.0;-26
-30;385.0;448.0;-66;508.0;-25
-33;393.0;451.0;-65;508.0;-26
-40;400.0;454.0;-65;509.0;-26
-46;407.0;455.0;-64;511.0;-26
-50;416.0;455.0;-64;514.0;-26
130;659.0;441.0;-1;485.0;-42
130;585.0;420.0;-2;453.0;-56
99;582.0;412.0;-11;478.0;-27
86;539.0;396.0;-11;484.0;-27
83;523.0;365.0;-10;492.0;-29
82;518.0;356.0;-9;494.0;-30
83;512.0;346.0;-9;493.0;-32
83;503.0;337.0;-8;494.0;-34
83;496.0;328.0;-8;500.0;-34
82;493.0;322.0;-9;507.0;-34
82;495.0;319.0;-9;514.0;-34
82;499.0;317.0;-9;514.0;-35
82;503.0;314.0;-10;513.0;-35
81;503.0;307.0;-10;516.0;-35
81;504.0;300.0;-12;520.0;-34
81;507.0;295.0;-13;523.0;-33
81;516.0;289.0;-13;532.0;-33
81;540.0;253.0;-17;552.0;-29
81;569.0;226.0;-15;605.0;-32
