Accelerometer RKN_ accY;Accelerometer LUA_ accX;InertialMeasurementUnit LLA accZ;Accelerometer RKN_ accZ;InertialMeasurementUnit L-SHOE Nav_Az;Accelerometer RKN_ accX;InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit L-SHOE Nav_Ay;InertialMeasurementUnit L-SHOE Body_Az;InertialMeasurementUnit L-SHOE EuY;InertialMeasurementUnit L-SHOE Nav_Ax
978.0;-63.0;-255.0;47.0;22;-86.0;638;6;740;-42;3
985.0;-85.0;-99.0;27.0;21;-108.0;645;-4;736;-42;1
996.0;-126.0;3.0;19.0;22;-103.0;643;-4;738;-42;-6
959.0;-80.0;-19.0;-18.0;?;-115.0;639;2;742;-42;-6
1006.0;-67.0;-146.0;-11.0;21;-168.0;645;-1;736;-42;4
968.0;-266.0;-65.0;28.0;21;-154.0;644;-1;737;-42;1
996.0;-429.0;-18.0;-15.0;21;-142.0;642;1;739;-42;-2
979.0;-533.0;-37.0;-5.0;19;-140.0;644;3;740;-42;4
975.0;-528.0;-99.0;19.0;18;-110.0;644;2;742;-42;2
965.0;764.0;458.0;30.0;21;-87.0;646;-2;737;-42;3
972.0;711.0;492.0;29.0;19;-78.0;650;-5;734;-42;9
966.0;628.0;519.0;34.0;20;-94.0;645;-1;738;-42;1
977.0;468.0;568.0;8.0;20;-95.0;644;-2;738;-42;-4
976.0;283.0;739.0;-20.0;19;-131.0;650;-9;735;-42;-3
993.0;277.0;879.0;-31.0;21;?;644;-3;738;-42;-6
991.0;183.0;949.0;-46.0;13;?;647;1;745;-42;-4
994.0;116.0;951.0;-6.0;15;?;650;-3;739;-42;4
999.0;80.0;860.0;10.0;26;?;642;-2;732;-42;4
980.0;23.0;630.0;10.0;25;?;641;-1;735;-42;-2
979.0;-48.0;329.0;20.0;19;?;647;-6;738;-42;-1
978.0;-120.0;219.0;30.0;14;?;650;-6;742;-42;-6
972.0;-115.0;214.0;32.0;12;-102.0;648;-2;746;-42;-8
988.0;-148.0;113.0;50.0;14;-95.0;649;1;742;-42;3
993.0;-191.0;41.0;20.0;14;-100.0;649;-2;742;-42;-3
988.0;-188.0;8.0;-4.0;20;-130.0;644;-2;739;-42;-6
975.0;-166.0;-51.0;-9.0;22;-131.0;645;0;736;-42;3
1002.0;-139.0;-197.0;8.0;18;-149.0;646;-2;740;-42;-3
992.0;-48.0;-153.0;6.0;25;-137.0;642;-3;734;-42;-1
985.0;-35.0;-161.0;24.0;21;-114.0;643;1;738;-42;1
995.0;61.0;-189.0;22.0;23;-106.0;638;4;739;-42;-2
967.0;124.0;-417.0;29.0;29;-87.0;638;2;732;-42;9
1002.0;158.0;-335.0;2.0;20;-120.0;644;3;739;-42;12
976.0;115.0;-8.0;-15.0;22;-120.0;641;2;740;-42;2
993.0;17.0;48.0;25.0;25;-127.0;639;-2;736;-42;-2
981.0;-112.0;97.0;49.0;17;-94.0;643;-1;742;-42;-4
989.0;-228.0;246.0;20.0;19;-118.0;644;-2;740;-42;-1
997.0;-339.0;258.0;-10.0;21;-145.0;644;-2;738;-42;0
989.0;-422.0;225.0;-12.0;16;-147.0;645;2;744;-42;-3
985.0;-411.0;149.0;-16.0;15;-139.0;648;-1;742;-42;1
968.0;-295.0;67.0;-2.0;16;-119.0;648;-2;741;-42;-1
973.0;-268.0;-78.0;-5.0;20;-124.0;642;3;740;-42;2
1014.0;608.0;385.0;-10.0;15;-137.0;642;3;747;-42;-5
993.0;641.0;371.0;16.0;19;-120.0;641;1;743;-42;-6
979.0;637.0;431.0;-6.0;21;-133.0;638;3;742;-42;-6
979.0;576.0;515.0;-11.0;18;-154.0;643;-1;744;-42;-8
989.0;480.0;572.0;-1.0;23;-126.0;645;-3;734;-42;3
979.0;448.0;678.0;-20.0;23;?;639;4;739;-42;1
1001.0;364.0;724.0;-5.0;18;?;640;2;744;-42;-6
989.0;278.0;784.0;23.0;21;?;645;-3;737;-42;1
972.0;139.0;851.0;30.0;19;?;644;-1;740;-42;0
990.0;46.0;791.0;13.0;14;?;650;-5;742;-42;0
973.0;-34.0;638.0;19.0;15;?;650;-3;741;?;4
983.0;-146.0;537.0;27.0;18;?;640;2;745;?;-6
964.0;-221.0;416.0;23.0;19;?;639;2;744;?;-7
975.0;-209.0;311.0;28.0;19;?;643;1;741;?;1
992.0;-247.0;155.0;19.0;21;?;640;2;741;?;-3
986.0;-182.0;2.0;51.0;25;?;638;0;738;?;-5
996.0;-171.0;-117.0;25.0;24;?;641;-3;736;?;-2
991.0;-149.0;-237.0;28.0;22;-135.0;638;3;741;?;-3
987.0;-110.0;?;22.0;19;-128.0;644;-3;739;?;1
980.0;-43.0;?;20.0;20;-118.0;643;-3;739;?;1
971.0;2.0;?;10.0;18;-109.0;639;4;746;?;-3
1002.0;100.0;?;12.0;16;-119.0;646;-3;742;?;1
945.0;138.0;?;4.0;24;-129.0;642;-2;735;-42;5
1017.0;51.0;?;-17.0;20;-147.0;647;-5;736;-42;4
993.0;-87.0;?;19.0;18;-141.0;648;-5;738;-42;2
977.0;-168.0;?;49.0;21;-121.0;641;-1;740;-42;-4
966.0;-237.0;?;31.0;20;-105.0;644;-4;739;-42;-5
995.0;-359.0;?;0.0;24;-118.0;641;0;737;-42;0
1000.0;-459.0;?;32.0;17;-129.0;644;1;743;-42;-3
976.0;-512.0;?;26.0;17;-123.0;647;-5;739;-42;-3
964.0;-494.0;?;41.0;21;-110.0;641;1;739;-42;0
988.0;8.0;?;41.0;22;-152.0;645;-3;734;-42;2
980.0;-59.0;?;49.0;20;-105.0;643;0;740;-42;-3
989.0;-152.0;389.0;39.0;16;-90.0;645;1;744;-42;-3
988.0;44.0;354.0;38.0;17;-96.0;648;-1;740;-42;6
987.0;-175.0;311.0;-5.0;21;-125.0;645;-3;737;-42;1
973.0;-203.0;218.0;4.0;20;-125.0;641;1;741;-42;-4
989.0;-282.0;48.0;-12.0;20;-129.0;645;-2;738;-42;-1
992.0;-326.0;-14.0;-35.0;19;-121.0;648;-7;736;-42;-1
993.0;8.0;-128.0;-15.0;19;-118.0;645;0;740;-42;3
992.0;110.0;-342.0;24.0;21;-116.0;642;2;740;-42;3
989.0;316.0;-605.0;60.0;18;-125.0;644;0;741;-42;0
974.0;212.0;-770.0;31.0;24;-121.0;642;-2;734;-42;1
975.0;113.0;-563.0;38.0;19;-118.0;643;2;741;-42;-1
981.0;-9.0;-500.0;33.0;21;-118.0;638;-1;741;-42;-13
970.0;-41.0;-507.0;10.0;14;-118.0;648;1;743;-42;3
989.0;-45.0;-394.0;10.0;16;-127.0;640;5;748;-42;-11
