InertialMeasurementUnit LUA magneticY;InertialMeasurementUnit RUA magneticX;InertialMeasurementUnit BACK magneticZ;InertialMeasurementUnit L-SHOE Compass;InertialMeasurementUnit LLA magneticX;InertialMeasurementUnit RLA magneticX;InertialMeasurementUnit LUA magneticX;InertialMeasurementUnit LLA magneticY;InertialMeasurementUnit RUA magneticY
238.0;-237.0;292.0;27;-227.0;-579.0;684.0;529.0;-640.0
229.0;-192.0;298.0;27;-192.0;-604.0;694.0;550.0;-660.0
220.0;-167.0;301.0;27;-164.0;-622.0;701.0;575.0;-675.0
217.0;-151.0;308.0;27;-149.0;-625.0;697.0;585.0;-682.0
213.0;-151.0;309.0;27;-148.0;-626.0;698.0;587.0;-681.0
210.0;-164.0;308.0;27;-142.0;-628.0;703.0;580.0;-676.0
210.0;-180.0;311.0;27;-151.0;-622.0;703.0;567.0;-672.0
211.0;-198.0;312.0;27;-166.0;-617.0;700.0;552.0;-670.0
211.0;-223.0;316.0;27;-195.0;-601.0;691.0;524.0;-661.0
431.0;-215.0;372.0;27;-678.0;-151.0;-210.0;-196.0;-472.0
414.0;-229.0;371.0;27;-677.0;-148.0;-207.0;-196.0;-480.0
415.0;-231.0;370.0;27;-680.0;-150.0;-204.0;-192.0;-477.0
425.0;-234.0;369.0;27;-682.0;-146.0;-202.0;-188.0;-462.0
426.0;-255.0;368.0;27;-690.0;-140.0;-192.0;-180.0;-455.0
431.0;-284.0;366.0;27;-693.0;-132.0;-174.0;-173.0;-446.0
427.0;-324.0;365.0;27;?;-136.0;-142.0;-164.0;-452.0
421.0;-364.0;371.0;27;?;-151.0;-94.0;-150.0;-458.0
415.0;-396.0;371.0;27;?;-170.0;-38.0;-127.0;-467.0
402.0;-428.0;367.0;27;?;-205.0;30.0;-97.0;-486.0
389.0;-458.0;362.0;27;-696.0;-247.0;104.0;-52.0;?
373.0;-487.0;359.0;27;-672.0;-306.0;185.0;-2.0;?
366.0;-496.0;351.0;27;-645.0;-355.0;258.0;48.0;?
368.0;-489.0;346.0;27;-617.0;-392.0;323.0;106.0;?
372.0;-478.0;339.0;27;-580.0;-432.0;390.0;173.0;?
372.0;-458.0;329.0;27;-539.0;-468.0;450.0;245.0;?
370.0;-435.0;319.0;27;-488.0;-499.0;507.0;316.0;?
359.0;-403.0;314.0;27;-435.0;?;556.0;379.0;?
341.0;-361.0;311.0;27;-391.0;?;595.0;427.0;?
314.0;-314.0;311.0;27;-339.0;?;632.0;471.0;?
284.0;-260.0;310.0;27;-293.0;?;662.0;510.0;?
241.0;-212.0;320.0;27;-238.0;?;685.0;539.0;?
215.0;-175.0;329.0;27;-196.0;?;701.0;563.0;?
197.0;-149.0;331.0;27;-165.0;-618.0;711.0;579.0;?
184.0;-138.0;331.0;27;-138.0;-625.0;714.0;592.0;?
177.0;-143.0;330.0;27;-128.0;-625.0;717.0;595.0;-677.0
179.0;-155.0;325.0;27;-139.0;-618.0;712.0;581.0;-674.0
181.0;-171.0;327.0;27;-150.0;-615.0;712.0;570.0;-674.0
180.0;-187.0;328.0;27;-154.0;-620.0;716.0;565.0;-673.0
188.0;-199.0;329.0;27;-168.0;-621.0;714.0;549.0;-673.0
190.0;-209.0;329.0;27;-179.0;-618.0;710.0;536.0;-672.0
196.0;-217.0;329.0;27;-203.0;-612.0;703.0;519.0;-673.0
