InertialMeasurementUnit LUA gyroY;InertialMeasurementUnit R-SHOE Nav_Ax;InertialMeasurementUnit LUA gyroZ;Accelerometer HIP accY;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit LLA gyroY;InertialMeasurementUnit L-SHOE AngVelNavFrameZ;InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE Body_Ax;InertialMeasurementUnit LLA gyroZ;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ
-1.0;4;1.0;948.0;-8;20.0;0;8;267;20.0;0
-5.0;-4;0.0;918.0;3;4.0;14;-3;266;43.0;14
16.0;3;9.0;928.0;3;42.0;-8;-3;270;42.0;-8
6.0;4;1.0;934.0;15;21.0;4;-15;272;34.0;4
8.0;-2;8.0;933.0;22;6.0;15;-22;267;35.0;15
5.0;0;10.0;924.0;-3;12.0;2;3;270;38.0;2
6.0;-5;18.0;927.0;-11;33.0;-15;11;265;59.0;-15
15.0;4;4.0;926.0;20;23.0;-5;-20;273;34.0;-5
25.0;4;8.0;925.0;-2;-15.0;-15;2;272;46.0;-15
6.0;-1;50.0;930.0;11;39.0;4;-11;269;42.0;4
15.0;0;29.0;941.0;-3;10.0;18;3;268;40.0;18
12.0;0;31.0;930.0;-2;-26.0;-4;2;269;47.0;-4
-42.0;1;38.0;929.0;-5;-4.0;-15;5;270;33.0;-15
20.0;0;12.0;926.0;-11;21.0;5;11;271;42.0;5
4.0;2;4.0;927.0;7;26.0;-31;-7;271;59.0;-31
-5.0;0;35.0;925.0;6;7.0;-9;-6;269;64.0;-9
10.0;-1;43.0;933.0;-8;18.0;-13;8;269;62.0;-13
8.0;1;72.0;937.0;-9;15.0;-14;9;271;75.0;-14
-27.0;-1;22.0;918.0;-4;21.0;-13;4;271;93.0;-13
-13.0;-2;22.0;908.0;19;-3.0;0;-19;269;50.0;0
-23.0;0;31.0;920.0;5;20.0;9;-5;270;69.0;9
14.0;8;22.0;937.0;-8;-10.0;-16;8;304;58.0;-16
6.0;-4;28.0;966.0;-8;-16.0;-8;8;290;46.0;-8
21.0;-10;25.0;955.0;21;-9.0;11;-21;282;58.0;11
-17.0;-1;36.0;957.0;22;18.0;12;-22;291;37.0;12
4.0;4;18.0;942.0;13;9.0;10;-13;289;44.0;10
-33.0;7;18.0;947.0;-9;32.0;0;9;291;32.0;0
-8.0;0;-1.0;955.0;-9;13.0;3;9;285;66.0;3
-3.0;-4;50.0;947.0;-22;-5.0;6;22;281;50.0;6
-2.0;3;13.0;947.0;-9;12.0;-20;9;289;60.0;-20
2.0;-2;12.0;940.0;30;8.0;5;-30;293;46.0;5
8.0;-1;14.0;966.0;15;20.0;-10;-15;284;45.0;-10
6.0;-11;-8.0;941.0;17;0.0;-17;-17;285;51.0;-17
-21.0;0;24.0;945.0;9;16.0;-4;-9;284;49.0;-4
-19.0;2;-7.0;938.0;3;25.0;2;-3;285;44.0;2
2.0;1;10.0;945.0;-19;32.0;-14;19;285;66.0;-14
-26.0;-1;-1.0;947.0;11;11.0;-14;-11;250;76.0;-14
11.0;0;14.0;946.0;14;-8.0;-13;-14;253;58.0;-13
10.0;1;12.0;927.0;14;13.0;-13;-14;253;68.0;-13
7.0;0;24.0;955.0;7;-13.0;-14;-7;281;32.0;-14
-20.0;-4;16.0;937.0;13;-4.0;-4;-13;276;33.0;-4
2.0;-7;39.0;949.0;14;-3.0;-4;-14;276;65.0;-4
16.0;2;53.0;949.0;-15;28.0;-3;15;281;67.0;-3
-17.0;-5;-10.0;930.0;-10;15.0;-1;10;294;63.0;-1
7.0;5;-3.0;937.0;4;25.0;-10;-4;299;39.0;-10
11.0;2;14.0;944.0;16;-18.0;10;-16;298;54.0;10
-7.0;0;8.0;938.0;24;-26.0;4;-24;299;54.0;4
-2.0;0;3.0;943.0;23;22.0;5;-23;299;53.0;5
