InertialMeasurementUnit LLA gyroX;InertialMeasurementUnit RUA gyroZ;InertialMeasurementUnit RLA gyroZ;InertialMeasurementUnit BACK gyroX;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit L-SHOE EuZ;InertialMeasurementUnit RUA gyroX;InertialMeasurementUnit BACK gyroZ
-85.0;111.0;117.0;-10.0;-92.0;-176;58.0;2.0
-234.0;-53.0;-138.0;-18.0;-75.0;-176;161.0;-1.0
-88.0;1.0;51.0;13.0;-12.0;178;37.0;12.0
-515.0;-222.0;-114.0;35.0;-86.0;-176;-101.0;2.0
-85.0;1.0;11.0;-11.0;-56.0;-176;8.0;-6.0
-26.0;-14.0;54.0;6.0;23.0;-178;6.0;0.0
-96.0;8.0;3.0;8.0;-69.0;-176;-10.0;-4.0
-54.0;9.0;14.0;-43.0;-31.0;-171;4.0;-15.0
-36.0;0.0;22.0;22.0;-41.0;-171;27.0;-24.0
-45.0;0.0;20.0;-21.0;-37.0;-171;-10.0;-32.0
-89.0;12.0;9.0;-1.0;-56.0;-176;22.0;-34.0
-48.0;-8.0;-3.0;-38.0;-34.0;-176;-5.0;13.0
-64.0;21.0;-4.0;-8.0;-38.0;-171;-13.0;8.0
-59.0;13.0;46.0;-8.0;-42.0;178;18.0;-14.0
-43.0;2.0;40.0;-27.0;-39.0;-171;10.0;-39.0
-82.0;133.0;-149.0;-63.0;-56.0;174;11.0;42.0
-60.0;-10.0;37.0;-31.0;-19.0;-176;-22.0;-11.0
-124.0;-64.0;26.0;-60.0;-68.0;177;-123.0;45.0
7.0;-24.0;-4.0;5.0;8.0;164;8.0;-19.0
54.0;133.0;42.0;32.0;56.0;175;-34.0;8.0
-83.0;-32.0;29.0;-29.0;-56.0;-171;14.0;19.0
-73.0;-34.0;33.0;-13.0;-32.0;-171;5.0;-6.0
56.0;53.0;-16.0;-52.0;64.0;-176;-16.0;17.0
-64.0;-1.0;-33.0;-42.0;-15.0;-175;-27.0;20.0
-16.0;-1.0;-5.0;-35.0;-33.0;-176;-15.0;8.0
-89.0;19.0;31.0;-41.0;-72.0;-174;11.0;-28.0
-57.0;0.0;-6.0;-13.0;0.0;-176;10.0;23.0
133.0;110.0;105.0;-320.0;-198.0;184;-64.0;305.0
-71.0;0.0;4.0;20.0;-32.0;-171;28.0;8.0
-50.0;-34.0;-7.0;-4.0;-37.0;-176;8.0;20.0
-27.0;19.0;58.0;12.0;28.0;-176;87.0;-62.0
-98.0;19.0;36.0;-32.0;-65.0;-174;-6.0;5.0
-82.0;-11.0;-1.0;-16.0;-41.0;-171;16.0;4.0
-64.0;-14.0;14.0;-7.0;-69.0;-171;-1.0;-11.0
-70.0;21.0;38.0;-51.0;-68.0;-174;-11.0;-35.0
-69.0;4.0;-1.0;-5.0;-22.0;-171;-3.0;-19.0
-16.0;1.0;12.0;-22.0;-42.0;-176;-29.0;-18.0
-89.0;27.0;20.0;8.0;-54.0;-171;-8.0;-7.0
-49.0;5.0;1.0;-17.0;-49.0;-176;-11.0;17.0
-24.0;28.0;70.0;17.0;3.0;178;44.0;-24.0
-86.0;-7.0;90.0;-20.0;-57.0;-176;-39.0;21.0
-45.0;-28.0;20.0;-47.0;-48.0;-175;8.0;38.0
-33.0;-46.0;-132.0;-35.0;-7.0;-177;37.0;44.0
