InertialMeasurementUnit LUA gyroY;InertialMeasurementUnit R-SHOE Nav_Ax;InertialMeasurementUnit LUA gyroZ;Accelerometer HIP accY;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit LLA gyroY;InertialMeasurementUnit L-SHOE AngVelNavFrameZ;InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE Body_Ax;InertialMeasurementUnit LLA gyroZ;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ
-1604.0;0;687.0;989.0;-14;-809.0;44;14;310;1544.0;44
-1284.0;-3;532.0;935.0;2;-394.0;26;-2;306;1513.0;26
-917.0;-4;352.0;960.0;0;-134.0;0;0;307;1276.0;0
-355.0;0;216.0;1017.0;19;-309.0;-4;-19;309;520.0;-4
197.0;10;99.0;992.0;15;-176.0;12;-15;317;-52.0;12
709.0;1;54.0;969.0;15;?;-1;-15;311;-319.0;-1
901.0;-3;-4.0;971.0;-4;?;-7;4;308;-401.0;-7
1086.0;3;-30.0;1002.0;-46;?;12;46;312;-487.0;12
1281.0;-4;110.0;1005.0;-23;?;1;23;305;-435.0;1
-71.0;-4;0.0;932.0;-37;?;17;37;308;134.0;17
-67.0;4;21.0;931.0;-21;?;14;21;316;135.0;14
-174.0;6;-90.0;961.0;22;?;47;-22;316;220.0;47
-442.0;2;-256.0;958.0;23;?;-16;-23;311;368.0;-16
-796.0;3;?;957.0;33;-276.0;-15;-33;313;552.0;-15
-1451.0;0;?;941.0;-2;-463.0;39;2;310;670.0;39
-2131.0;-2;-349.0;937.0;-33;-881.0;-21;33;308;765.0;-21
-2665.0;3;-343.0;920.0;-17;-1519.0;-17;17;313;907.0;-17
-3173.0;2;-294.0;933.0;-10;-2177.0;5;10;314;1062.0;5
-3516.0;0;-261.0;965.0;-4;-2750.0;-16;4;311;1251.0;-16
-3548.0;-1;-176.0;976.0;27;-3016.0;-9;-27;310;1382.0;-9
-3714.0;1;-212.0;?;10;-2774.0;-10;-10;313;1338.0;-10
-3683.0;4;-248.0;?;-23;-2655.0;15;23;315;1193.0;15
-3795.0;-3;-270.0;?;5;-2536.0;23;-5;310;1318.0;23
-3895.0;-3;-124.0;922.0;-1;-2431.0;19;1;308;1454.0;19
-3784.0;-2;111.0;963.0;-5;-2343.0;-6;5;308;1581.0;-6
-3552.0;-7;396.0;972.0;8;-2434.0;-43;-8;304;1624.0;-43
-3223.0;-3;797.0;964.0;-32;-2431.0;-21;32;307;1616.0;-21
-3009.0;-2;1123.0;968.0;-22;-2237.0;-15;22;309;1634.0;-15
-2872.0;-2;1363.0;995.0;14;-2101.0;-31;-14;307;1522.0;-31
-2670.0;-1;1557.0;1019.0;-4;-1919.0;7;4;307;1504.0;7
-2424.0;2;1560.0;958.0;-7;-1496.0;11;7;310;1711.0;11
-1638.0;3;1122.0;964.0;-1;-425.0;-22;1;310;1864.0;-22
-798.0;1;749.0;987.0;0;-67.0;-11;0;311;1726.0;-11
-142.0;2;407.0;983.0;20;41.0;-10;-20;313;1123.0;-10
265.0;-2;182.0;1004.0;9;115.0;-4;-9;309;387.0;-4
722.0;-1;75.0;976.0;7;-4.0;-3;-7;310;-308.0;-3
802.0;8;-74.0;945.0;42;-25.0;-10;-42;316;-555.0;-10
678.0;4;-184.0;916.0;14;147.0;1;-14;314;-589.0;1
576.0;-3;-208.0;936.0;-21;354.0;9;21;309;-449.0;?
764.0;-1;-193.0;996.0;12;358.0;29;-12;307;-411.0;?
1223.0;-2;-65.0;994.0;25;323.0;15;-25;304;-583.0;?
-204.0;1;88.0;922.0;11;-175.0;10;-11;312;101.0;?
-111.0;0;70.0;928.0;6;-177.0;-23;-6;311;121.0;?
-139.0;-4;59.0;926.0;0;-148.0;18;0;308;91.0;?
-328.0;-4;-121.0;946.0;0;-160.0;10;0;307;197.0;?
-540.0;2;-281.0;956.0;-11;-237.0;-18;11;313;335.0;?
