InertialMeasurementUnit BACK accY;InertialMeasurementUnit RUA accZ;Accelerometer RUA^ accZ;InertialMeasurementUnit RUA accX;Accelerometer RUA^ accY;InertialMeasurementUnit LUA accZ;Accelerometer RUA_ accY;InertialMeasurementUnit RLA accX;Accelerometer RWR accY;InertialMeasurementUnit RLA accZ;Accelerometer RUA_ accZ;InertialMeasurementUnit RUA accY
-137.0;171.0;150.0;-1161.0;992.0;414.0;1131.0;-1018.0;856.0;579.0;29.0;308.0
-213.0;112.0;336.0;-992.0;1003.0;339.0;866.0;-666.0;595.0;247.0;94.0;456.0
-63.0;146.0;146.0;-830.0;1109.0;276.0;1063.0;-670.0;839.0;173.0;-142.0;277.0
-151.0;98.0;93.0;-942.0;1103.0;103.0;886.0;-707.0;791.0;413.0;-248.0;344.0
-161.0;194.0;229.0;-962.0;1087.0;205.0;876.0;-727.0;688.0;351.0;-137.0;218.0
0.0;51.0;291.0;-901.0;1053.0;177.0;944.0;-814.0;700.0;302.0;-94.0;312.0
-130.0;106.0;257.0;-901.0;1029.0;270.0;882.0;-669.0;660.0;353.0;35.0;320.0
-118.0;117.0;315.0;-888.0;1067.0;263.0;940.0;-634.0;681.0;472.0;99.0;399.0
-167.0;31.0;544.0;-925.0;1139.0;220.0;926.0;-711.0;941.0;523.0;60.0;544.0
-87.0;290.0;415.0;-936.0;1067.0;214.0;945.0;-724.0;638.0;396.0;-30.0;257.0
-93.0;212.0;348.0;-955.0;1070.0;202.0;842.0;-776.0;633.0;412.0;67.0;231.0
-115.0;154.0;237.0;-973.0;1028.0;210.0;858.0;-797.0;690.0;368.0;146.0;203.0
-174.0;98.0;332.0;-965.0;986.0;244.0;902.0;-788.0;767.0;345.0;176.0;210.0
-333.0;-28.0;338.0;-971.0;1122.0;342.0;913.0;-778.0;845.0;317.0;-45.0;242.0
-282.0;-1.0;144.0;-895.0;1282.0;352.0;1087.0;-764.0;983.0;229.0;-58.0;209.0
-125.0;237.0;120.0;-888.0;1087.0;17.0;1008.0;-654.0;745.0;532.0;162.0;147.0
-93.0;279.0;269.0;-862.0;1005.0;173.0;886.0;-720.0;670.0;563.0;140.0;109.0
-125.0;311.0;298.0;-840.0;927.0;267.0;794.0;-764.0;652.0;584.0;83.0;38.0
-118.0;140.0;315.0;-1051.0;869.0;247.0;745.0;-990.0;584.0;548.0;127.0;-64.0
45.0;255.0;554.0;-840.0;1000.0;419.0;1042.0;-665.0;358.0;459.0;350.0;138.0
-68.0;495.0;845.0;-463.0;590.0;18.0;207.0;120.0;-325.0;908.0;709.0;646.0
14.0;250.0;656.0;-783.0;826.0;164.0;700.0;-487.0;242.0;714.0;169.0;426.0
-72.0;220.0;428.0;-826.0;1005.0;251.0;810.0;-702.0;605.0;536.0;78.0;209.0
-28.0;228.0;392.0;-866.0;1090.0;184.0;805.0;-747.0;762.0;527.0;198.0;235.0
-77.0;206.0;226.0;-802.0;1151.0;264.0;1111.0;-448.0;637.0;614.0;-39.0;390.0
