InertialMeasurementUnit LUA Quaternion3;InertialMeasurementUnit LUA Quaternion1;InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit RUA Quaternion4;InertialMeasurementUnit RLA Quaternion4;InertialMeasurementUnit BACK Quaternion2;InertialMeasurementUnit BACK Quaternion4;InertialMeasurementUnit RUA Quaternion2;InertialMeasurementUnit RLA Quaternion2;InertialMeasurementUnit LLA Quaternion1
16.0;-115.0;111.0;-251.0;209.0;531.0;-734.0;287.0;-33.0;311.0
-367.0;-391.0;263.0;-281.0;-622.0;244.0;-373.0;127.0;224.0;115.0
-486.0;-553.0;591.0;-401.0;-911.0;41.0;-200.0;255.0;177.0;-62.0
-490.0;-578.0;603.0;-438.0;-916.0;19.0;-163.0;281.0;198.0;-34.0
-80.0;-653.0;180.0;-855.0;-789.0;61.0;154.0;300.0;460.0;396.0
-619.0;-750.0;776.0;-849.0;-530.0;-283.0;180.0;402.0;119.0;324.0
-621.0;-747.0;778.0;-869.0;-518.0;-278.0;179.0;382.0;109.0;302.0
-633.0;-733.0;795.0;-847.0;-556.0;-283.0;172.0;392.0;57.0;260.0
-609.0;-757.0;692.0;-832.0;-733.0;-483.0;463.0;412.0;9.0;705.0
-479.0;-696.0;510.0;-819.0;-632.0;-206.0;120.0;232.0;118.0;255.0
-663.0;-726.0;689.0;-769.0;-773.0;-295.0;302.0;359.0;125.0;630.0
-632.0;-763.0;703.0;-842.0;-679.0;-252.0;181.0;258.0;133.0;610.0
-476.0;-679.0;496.0;-805.0;-523.0;-190.0;92.0;131.0;-25.0;236.0
-626.0;-725.0;652.0;-762.0;-535.0;-222.0;77.0;137.0;-71.0;581.0
-592.0;-751.0;669.0;-835.0;-615.0;-164.0;84.0;166.0;40.0;513.0
-619.0;-734.0;646.0;-758.0;-479.0;-233.0;94.0;63.0;-156.0;591.0
-505.0;-537.0;575.0;-573.0;-853.0;-79.0;-93.0;453.0;211.0;-107.0
-503.0;-532.0;568.0;-571.0;-858.0;-78.0;-98.0;449.0;203.0;-111.0
-497.0;-520.0;553.0;-562.0;-872.0;-75.0;-110.0;441.0;179.0;-121.0
-495.0;-516.0;548.0;-560.0;-873.0;-75.0;-113.0;441.0;177.0;-126.0
-494.0;-512.0;544.0;-558.0;-874.0;-75.0;-116.0;443.0;178.0;-130.0
-547.0;-729.0;755.0;-632.0;-367.0;-33.0;863.0;619.0;561.0;501.0
-393.0;-495.0;441.0;-377.0;-713.0;-155.0;279.0;341.0;430.0;179.0
-409.0;-467.0;452.0;-351.0;-699.0;-166.0;288.0;311.0;416.0;133.0
-422.0;-441.0;463.0;-323.0;-684.0;-178.0;301.0;282.0;396.0;91.0
-430.0;-416.0;475.0;-295.0;-667.0;-190.0;317.0;251.0;374.0;53.0
-433.0;-391.0;482.0;-267.0;-649.0;-202.0;333.0;218.0;350.0;16.0
-429.0;-368.0;481.0;-242.0;-633.0;-211.0;352.0;188.0;326.0;-19.0
-423.0;-348.0;473.0;-220.0;-620.0;-218.0;373.0;160.0;305.0;-49.0
-546.0;-497.0;764.0;-308.0;-666.0;67.0;-174.0;216.0;67.0;-59.0
-549.0;-498.0;767.0;-317.0;-670.0;65.0;-171.0;221.0;68.0;-65.0
-550.0;-502.0;768.0;-325.0;-676.0;61.0;-168.0;224.0;69.0;-65.0
-547.0;-507.0;767.0;-333.0;-680.0;57.0;-164.0;229.0;70.0;-56.0
-542.0;-516.0;765.0;-339.0;-682.0;53.0;-161.0;234.0;72.0;-42.0
-534.0;-528.0;763.0;-346.0;-684.0;48.0;-159.0;241.0;76.0;-19.0
-414.0;-332.0;463.0;-199.0;-608.0;-228.0;396.0;131.0;287.0;-68.0
-401.0;-318.0;450.0;-179.0;-596.0;-235.0;420.0;104.0;269.0;-77.0
-340.0;-302.0;378.0;-118.0;-541.0;-247.0;489.0;45.0;219.0;-62.0
-313.0;-341.0;295.0;-78.0;-474.0;-252.0;566.0;30.0;192.0;26.0
-238.0;-228.0;133.0;-57.0;-495.0;-399.0;632.0;-115.0;94.0;10.0
-130.0;-20.0;12.0;193.0;-271.0;-460.0;698.0;-207.0;39.0;-261.0
175.0;378.0;-303.0;504.0;303.0;-594.0;800.0;-536.0;-473.0;-536.0
-525.0;-541.0;759.0;-352.0;-686.0;43.0;-159.0;248.0;79.0;9.0
-516.0;-554.0;753.0;-356.0;-687.0;38.0;-160.0;255.0;81.0;38.0
-400.0;-334.0;359.0;-470.0;-163.0;-33.0;990.0;296.0;463.0;281.0
-217.0;-263.0;105.0;-65.0;-397.0;334.0;-543.0;-29.0;163.0;11.0
-229.0;-302.0;115.0;-90.0;-424.0;324.0;-533.0;-16.0;167.0;48.0
-248.0;-341.0;139.0;-114.0;-448.0;312.0;-520.0;-5.0;169.0;94.0
6.0;-113.0;193.0;-288.0;-148.0;92.0;-262.0;214.0;178.0;368.0
-478.0;-676.0;493.0;-756.0;-454.0;-186.0;80.0;17.0;-195.0;237.0
-281.0;-400.0;185.0;-162.0;-495.0;287.0;-495.0;18.0;171.0;161.0
-510.0;-659.0;555.0;-474.0;-786.0;-26.0;-114.0;323.0;409.0;345.0
-495.0;-647.0;517.0;-453.0;-777.0;-11.0;-132.0;310.0;406.0;330.0
-393.0;-619.0;348.0;-578.0;-832.0;3.0;-213.0;377.0;373.0;353.0
-362.0;-546.0;291.0;-546.0;-821.0;57.0;-253.0;324.0;347.0;267.0
-507.0;-567.0;746.0;-359.0;-687.0;33.0;-161.0;259.0;82.0;69.0
-499.0;-577.0;738.0;-360.0;-686.0;28.0;-163.0;261.0;80.0;98.0
-477.0;-631.0;478.0;-437.0;-770.0;2.0;-149.0;302.0;407.0;314.0
-463.0;-611.0;453.0;-423.0;-762.0;12.0;-161.0;296.0;410.0;307.0
-460.0;-592.0;441.0;-410.0;-753.0;19.0;-171.0;290.0;413.0;309.0
-612.0;-750.0;660.0;-776.0;-472.0;-220.0;99.0;-28.0;-248.0;562.0
