InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit R-SHOE Nav_Ay;InertialMeasurementUnit R-SHOE Body_Az;Accelerometer RKN^ accX;Accelerometer RKN^ accZ;InertialMeasurementUnit R-SHOE Nav_Az;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE Body_Ay;InertialMeasurementUnit R-SHOE AngVelBodyFrameX;InertialMeasurementUnit R-SHOE AngVelBodyFrameY
-7;-7;799;227.0;139.0;67;-11;376;11;-7
-2;2;803;222.0;136.0;66;7;367;-7;-2
11;-6;811;280.0;190.0;70;-16;368;16;11
-50;-2;805;82.0;409.0;73;-71;379;71;-50
125;82;799;341.0;121.0;74;17;406;-17;125
1;-5;814;247.0;193.0;67;-3;366;3;1
13;-7;781;317.0;118.0;73;-1;390;1;13
-1;-26;788;276.0;306.0;78;7;410;-7;-1
8;-3;782;160.0;124.0;66;-14;387;14;8
-2;-4;804;304.0;248.0;72;-16;366;16;-2
24;-422;793;91.0;5.0;202;-177;420;177;24
137;2;806;220.0;62.0;66;-13;404;13;137
-1;52;809;243.0;89.0;76;-15;383;15;-1
-18;29;802;197.0;132.0;76;-39;390;39;-18
-2;21;802;240.0;148.0;69;-24;401;24;-2
44;-21;814;271.0;234.0;58;-20;410;20;44
21;0;807;251.0;88.0;74;1;404;-1;21
-26;86;760;221.0;128.0;79;42;430;-42;-26
23;0;784;161.0;129.0;58;4;393;-4;23
7;4;785;161.0;124.0;66;-29;377;29;7
27;3;783;165.0;113.0;67;-24;379;24;27
28;-14;787;172.0;117.0;50;-15;399;15;28
28;-13;787;170.0;132.0;51;-14;398;14;28
-1;5;788;167.0;128.0;62;-16;385;16;-1
14;-32;801;202.0;163.0;75;-21;398;21;14
313;-4;777;121.0;41.0;58;-81;457;81;313
39;-3;781;157.0;159.0;70;-10;394;10;39
-4;1;792;150.0;143.0;62;-28;391;28;-4
-20;53;803;279.0;166.0;76;-19;390;19;-20
16;4;789;156.0;132.0;67;11;391;-11;16
5;1;784;165.0;139.0;70;-15;393;15;5
20;-9;782;149.0;139.0;68;-29;394;29;20
15;56;801;223.0;136.0;75;5;390;-5;15
47;59;792;152.0;160.0;77;-27;379;27;47
7;65;796;271.0;232.0;76;-14;393;14;7
-1;-8;810;191.0;167.0;68;2;374;-2;-1
6;-4;814;202.0;157.0;64;5;377;-5;6
16;-59;811;265.0;113.0;71;18;380;-18;16
11;-6;807;203.0;285.0;73;7;373;-7;11
10;0;810;223.0;280.0;72;17;373;-17;10
27;-55;808;260.0;180.0;41;-25;396;25;27
-6;-12;807;218.0;256.0;71;-25;387;25;-6
-27;-7;808;249.0;218.0;67;-10;387;10;-27
109;44;805;219.0;83.0;75;-116;397;116;109
-17;-52;762;125.0;83.0;74;-63;433;63;-17
7;17;802;233.0;180.0;65;-36;410;36;7
50;-257;790;352.0;51.0;125;-181;382;181;50
-111;-239;834;372.0;48.0;85;-270;429;270;-111
42;-45;682;268.0;72.0;92;25;513;-25;42
-42;33;785;246.0;239.0;64;13;401;-13;-42
-28;28;785;213.0;106.0;66;-3;403;3;-28
-35;45;803;245.0;159.0;70;1;392;-1;-35
9;-62;809;225.0;164.0;64;25;403;-25;9
15;-252;803;241.0;237.0;136;48;389;-48;15
-62;-286;802;268.0;158.0;150;69;414;-69;-62
-6;49;810;229.0;129.0;67;-3;396;3;-6
43;-52;806;220.0;161.0;75;-7;381;7;43
2;-50;811;211.0;116.0;63;-25;393;25;2
8;-66;803;215.0;111.0;74;9;382;-9;8
42;-49;797;244.0;120.0;59;2;373;-2;42
-32;-37;798;252.0;140.0;78;-16;382;16;-32
-38;-30;805;231.0;139.0;73;-24;382;24;-38
29;37;820;262.0;155.0;54;14;412;-14;29
1;1;770;321.0;165.0;84;-28;425;28;1
-8;-12;804;249.0;154.0;73;22;383;-22;-8
6;-17;800;237.0;191.0;76;24;380;-24;6
-37;-21;802;216.0;186.0;74;11;378;-11;-37
21;37;785;343.0;173.0;77;15;410;-15;21
-15;-36;680;218.0;203.0;111;-67;525;67;-15
-31;-5;804;213.0;191.0;75;-21;378;21;-31
14;-13;808;221.0;220.0;67;16;379;-16;14
6;-9;557;307.0;209.0;99;11;632;-11;6
38;-9;801;229.0;247.0;75;-15;381;15;38
-16;-2;798;229.0;252.0;84;-24;370;24;-16
4;-1;805;232.0;296.0;70;-7;386;7;4
7;5;770;334.0;166.0;80;-32;439;32;7
-6;6;770;334.0;170.0;80;-40;439;40;-6
-5;7;793;215.0;253.0;79;-36;363;36;-5
-18;9;774;289.0;163.0;76;-43;441;43;-18
-12;1;804;268.0;265.0;61;0;373;0;-12
-22;0;745;284.0;20.0;76;-41;453;41;-22
50;2;800;256.0;219.0;66;10;367;-10;50
41;6;786;332.0;197.0;78;-76;413;76;41
3;1;803;202.0;133.0;71;1;369;-1;3
16;5;797;184.0;200.0;70;-9;360;9;16
34;9;794;199.0;213.0;78;20;355;-20;34
26;0;797;238.0;200.0;66;32;364;-32;26
6;3;805;184.0;110.0;72;-28;367;28;6
14;0;806;179.0;127.0;68;5;371;-5;14
29;-5;803;197.0;116.0;70;-4;376;4;29
6;0;809;204.0;136.0;68;-32;374;32;6
28;-9;801;237.0;162.0;56;30;379;-30;28
-30;-2;804;199.0;153.0;68;-33;376;33;-30
3;2;802;196.0;122.0;72;-3;373;3;3
5;-3;794;276.0;263.0;68;3;372;-3;5
-51;-2;783;190.0;147.0;86;-11;429;11;-51
28;-3;799;248.0;248.0;66;13;374;-13;28
40;-4;796;287.0;263.0;68;-26;374;26;40
-215;-40;831;225.0;119.0;42;109;415;-109;-215
-36;-2;783;195.0;112.0;86;-36;430;36;-36
-19;44;823;223.0;230.0;76;-18;369;18;-19
-5;-2;801;192.0;105.0;71;-36;372;36;-5
16;0;798;278.0;115.0;66;6;367;-6;16
-15;-1;805;212.0;107.0;69;-32;376;32;-15
-9;-2;797;198.0;107.0;76;-5;376;5;-9
-2;-1;800;184.0;100.0;74;-21;376;21;-2
-37;-1;797;203.0;136.0;66;-33;370;33;-37
