InertialMeasurementUnit LUA magneticY;InertialMeasurementUnit RUA magneticX;InertialMeasurementUnit BACK magneticZ;InertialMeasurementUnit L-SHOE Compass;InertialMeasurementUnit LLA magneticX;InertialMeasurementUnit RLA magneticX;InertialMeasurementUnit LUA magneticX;InertialMeasurementUnit LLA magneticY;InertialMeasurementUnit RUA magneticY
424.0;505.0;90.0;-20;225.0;410.0;30.0;157.0;-123.0
-90.0;231.0;302.0;27;405.0;140.0;584.0;177.0;-452.0
-69.0;211.0;303.0;5;424.0;120.0;600.0;204.0;-460.0
-48.0;205.0;302.0;3;425.0;111.0;600.0;231.0;-466.0
-25.0;205.0;302.0;8;428.0;107.0;599.0;253.0;-465.0
-3.0;212.0;307.0;10;427.0;110.0;597.0;273.0;-462.0
21.0;221.0;314.0;9;421.0;110.0;593.0;297.0;-461.0
54.0;232.0;323.0;8;408.0;115.0;587.0;332.0;-466.0
97.0;242.0;333.0;7;389.0;120.0;576.0;377.0;-474.0
149.0;258.0;343.0;5;368.0;125.0;562.0;428.0;-484.0
209.0;271.0;356.0;4;346.0;125.0;538.0;483.0;-492.0
265.0;281.0;366.0;2;320.0;134.0;512.0;530.0;-492.0
280.0;296.0;307.0;8;434.0;142.0;548.0;553.0;-457.0
195.0;303.0;297.0;18;502.0;151.0;596.0;459.0;-440.0
108.0;308.0;285.0;21;561.0;153.0;632.0;366.0;-431.0
40.0;306.0;273.0;21;601.0;152.0;655.0;289.0;-427.0
-74.0;322.0;200.0;41;695.0;241.0;713.0;125.0;-360.0
30.0;384.0;200.0;44;640.0;308.0;697.0;262.0;-367.0
191.0;828.0;-3.0;92;841.0;621.0;919.0;291.0;-416.0
269.0;628.0;242.0;-92;652.0;489.0;728.0;197.0;-523.0
265.0;885.0;136.0;139;879.0;447.0;980.0;489.0;-554.0
336.0;603.0;262.0;-80;616.0;484.0;686.0;256.0;-489.0
158.0;416.0;205.0;42;591.0;365.0;662.0;415.0;-370.0
455.0;599.0;151.0;-96;350.0;503.0;509.0;595.0;-331.0
290.0;430.0;167.0;41;353.0;393.0;589.0;601.0;-368.0
198.0;347.0;61.0;37;215.0;331.0;598.0;569.0;-256.0
141.0;348.0;45.0;36;298.0;332.0;610.0;505.0;-237.0
91.0;353.0;25.0;35;377.0;338.0;616.0;439.0;-217.0
35.0;353.0;7.0;26;462.0;344.0;625.0;358.0;-198.0
-34.0;356.0;-18.0;18;548.0;358.0;637.0;239.0;-164.0
-296.0;576.0;-517.0;-3;906.0;721.0;652.0;-419.0;329.0
-285.0;294.0;-222.0;31;714.0;250.0;686.0;-4.0;-70.0
-225.0;297.0;-194.0;36;631.0;258.0;689.0;115.0;-108.0
-338.0;352.0;-459.0;47;620.0;536.0;575.0;-190.0;351.0
-128.0;333.0;-178.0;-27;510.0;311.0;663.0;145.0;-10.0
-208.0;323.0;-265.0;-23;611.0;383.0;671.0;51.0;98.0
-304.0;183.0;-174.0;44;526.0;250.0;577.0;-33.0;-29.0
-216.0;222.0;-172.0;12;494.0;204.0;584.0;40.0;-13.0
-169.0;244.0;-116.0;26;467.0;183.0;586.0;106.0;-96.0
-155.0;246.0;-103.0;37;462.0;167.0;589.0;127.0;-120.0
-139.0;249.0;-93.0;37;453.0;141.0;590.0;149.0;-139.0
-124.0;251.0;-83.0;39;447.0;114.0;592.0;166.0;-162.0
-107.0;248.0;-73.0;39;443.0;78.0;593.0;187.0;-198.0
385.0;517.0;82.0;-57;237.0;373.0;114.0;24.0;-160.0
410.0;517.0;70.0;-85;212.0;349.0;108.0;63.0;-175.0
510.0;517.0;42.0;74;196.0;273.0;144.0;250.0;-227.0
513.0;514.0;36.0;212;194.0;259.0;138.0;259.0;-232.0
514.0;513.0;34.0;141;193.0;262.0;130.0;265.0;-238.0
514.0;513.0;33.0;164;189.0;270.0;123.0;273.0;-240.0
507.0;516.0;28.0;157;186.0;282.0;116.0;269.0;-234.0
499.0;524.0;22.0;151;182.0;305.0;104.0;260.0;-221.0
-85.0;247.0;311.0;41;382.0;152.0;569.0;176.0;-452.0
-65.0;266.0;310.0;51;357.0;165.0;552.0;188.0;-457.0
-35.0;290.0;301.0;60;340.0;175.0;541.0;223.0;-466.0
403.0;574.0;44.0;50;273.0;369.0;122.0;336.0;-115.0
405.0;570.0;52.0;50;253.0;370.0;115.0;335.0;-108.0
361.0;487.0;-364.0;27;276.0;568.0;-161.0;572.0;349.0
417.0;557.0;63.0;50;225.0;376.0;96.0;331.0;-117.0
424.0;551.0;61.0;50;220.0;380.0;96.0;329.0;-118.0
560.0;538.0;-93.0;22;-82.0;421.0;-98.0;597.0;-11.0
434.0;528.0;59.0;50;225.0;387.0;124.0;321.0;-110.0
424.0;521.0;59.0;50;216.0;382.0;142.0;296.0;-113.0
421.0;519.0;66.0;51;193.0;365.0;143.0;269.0;-117.0
449.0;505.0;97.0;52;147.0;326.0;120.0;263.0;-159.0
565.0;474.0;168.0;53;-15.0;242.0;54.0;456.0;-274.0
19.0;308.0;302.0;64;318.0;185.0;520.0;276.0;-462.0
78.0;315.0;299.0;56;292.0;201.0;494.0;332.0;-445.0
130.0;321.0;280.0;41;252.0;205.0;458.0;390.0;-439.0
168.0;323.0;263.0;25;212.0;203.0;425.0;434.0;-432.0
316.0;307.0;254.0;16;-536.0;92.0;474.0;344.0;-522.0
-150.0;182.0;17.0;68;351.0;-107.0;624.0;178.0;-554.0
-228.0;31.0;76.0;53;352.0;-210.0;604.0;79.0;-613.0
345.0;478.0;192.0;141;841.0;-455.0;893.0;422.0;-783.0
116.0;310.0;253.0;72;618.0;156.0;653.0;291.0;-456.0
-189.0;333.0;-13.0;29;538.0;313.0;600.0;27.0;-147.0
96.0;275.0;260.0;17;318.0;5.0;554.0;418.0;-533.0
91.0;280.0;258.0;17;349.0;18.0;554.0;403.0;-534.0
77.0;284.0;259.0;17;381.0;26.0;558.0;389.0;-536.0
63.0;288.0;258.0;17;421.0;30.0;563.0;371.0;-540.0
51.0;291.0;259.0;17;447.0;35.0;568.0;351.0;-540.0
40.0;294.0;260.0;16;466.0;38.0;574.0;332.0;-537.0
36.0;295.0;260.0;16;484.0;38.0;580.0;321.0;-541.0
17.0;297.0;262.0;16;508.0;38.0;589.0;299.0;-545.0
79.0;308.0;-89.0;128;1006.0;-541.0;1020.0;243.0;-1109.0
31.0;287.0;241.0;15;477.0;56.0;596.0;344.0;-519.0
41.0;281.0;237.0;15;460.0;52.0;592.0;357.0;-519.0
56.0;276.0;239.0;15;448.0;51.0;575.0;365.0;-509.0
59.0;270.0;246.0;15;437.0;45.0;561.0;364.0;-510.0
52.0;263.0;253.0;15;416.0;34.0;544.0;361.0;-513.0
49.0;251.0;258.0;15;379.0;21.0;527.0;356.0;-522.0
57.0;240.0;263.0;15;338.0;3.0;522.0;363.0;-534.0
62.0;232.0;265.0;15;293.0;-18.0;517.0;392.0;-550.0
72.0;227.0;267.0;15;264.0;-31.0;510.0;426.0;-561.0
221.0;-36.0;375.0;77;146.0;-647.0;490.0;511.0;-803.0
97.0;236.0;272.0;15;242.0;-27.0;499.0;440.0;-562.0
439.0;69.0;363.0;-2;75.0;-404.0;371.0;620.0;-662.0
116.0;244.0;273.0;15;250.0;-12.0;494.0;456.0;-560.0
120.0;248.0;275.0;15;264.0;-8.0;494.0;460.0;-563.0
122.0;256.0;277.0;15;275.0;3.0;499.0;465.0;-564.0
120.0;263.0;276.0;15;292.0;8.0;504.0;458.0;-568.0
114.0;268.0;279.0;15;311.0;13.0;514.0;448.0;-569.0
105.0;275.0;280.0;15;340.0;19.0;517.0;435.0;-571.0
101.0;276.0;279.0;15;359.0;21.0;527.0;428.0;-571.0
101.0;278.0;281.0;15;378.0;24.0;532.0;424.0;-575.0
