Accelerometer LUA^ accZ;Accelerometer LUA^ accY;Accelerometer LUA_ accZ;Accelerometer LUA_ accY;InertialMeasurementUnit LUA accY;Accelerometer LWR accY;Accelerometer LH accY;Accelerometer RKN^ accY;InertialMeasurementUnit LLA accX;InertialMeasurementUnit LLA accY;InertialMeasurementUnit LUA accX
189.0;911.0;340.0;999.0;-201.0;935.0;1043.0;1016.0;-982.0;-312.0;-952.0
154.0;902.0;416.0;936.0;-175.0;858.0;1023.0;1023.0;-940.0;-328.0;-922.0
214.0;941.0;374.0;933.0;-209.0;877.0;1003.0;1020.0;-948.0;-339.0;-948.0
234.0;911.0;377.0;969.0;-184.0;865.0;976.0;1010.0;-945.0;-296.0;-949.0
74.0;798.0;356.0;931.0;-160.0;885.0;985.0;937.0;-972.0;-225.0;-882.0
170.0;878.0;358.0;934.0;-173.0;858.0;977.0;994.0;-954.0;-338.0;-904.0
297.0;720.0;398.0;1000.0;-359.0;887.0;1089.0;1358.0;-837.0;-461.0;-822.0
287.0;868.0;448.0;889.0;-269.0;824.0;958.0;1025.0;-935.0;-370.0;-934.0
255.0;912.0;435.0;913.0;-254.0;853.0;998.0;1013.0;-934.0;-369.0;-944.0
235.0;830.0;388.0;894.0;-212.0;821.0;1060.0;1093.0;-951.0;-355.0;-886.0
262.0;861.0;421.0;907.0;-204.0;822.0;977.0;1017.0;-929.0;-348.0;-918.0
257.0;879.0;421.0;910.0;-191.0;844.0;961.0;1022.0;-920.0;-322.0;-911.0
253.0;858.0;431.0;904.0;-125.0;833.0;968.0;1035.0;-946.0;-266.0;-914.0
194.0;941.0;561.0;1028.0;-129.0;753.0;1005.0;1157.0;-988.0;-261.0;-960.0
213.0;866.0;465.0;923.0;-159.0;826.0;977.0;1022.0;-930.0;-318.0;-923.0
243.0;749.0;421.0;866.0;-133.0;866.0;1033.0;1050.0;-737.0;-253.0;-727.0
248.0;796.0;515.0;862.0;-213.0;897.0;1065.0;927.0;-866.0;-216.0;-792.0
-417.0;569.0;600.0;839.0;178.0;588.0;115.0;842.0;-814.0;-569.0;-552.0
256.0;912.0;434.0;927.0;-249.0;840.0;1005.0;1001.0;-932.0;-359.0;-943.0
172.0;760.0;386.0;961.0;-162.0;852.0;1040.0;1601.0;-820.0;-322.0;-740.0
219.0;972.0;288.0;951.0;-127.0;871.0;928.0;981.0;-1006.0;-365.0;-1022.0
156.0;1092.0;256.0;908.0;-254.0;850.0;908.0;1002.0;-1081.0;-418.0;-1078.0
84.0;1159.0;269.0;822.0;-60.0;855.0;1001.0;993.0;-1332.0;-324.0;-1284.0
189.0;907.0;340.0;1074.0;-236.0;767.0;679.0;1074.0;-839.0;-491.0;-948.0
253.0;873.0;585.0;845.0;-280.0;672.0;816.0;1019.0;-858.0;-527.0;-905.0
252.0;931.0;369.0;942.0;-233.0;860.0;974.0;1005.0;-944.0;-326.0;-949.0
190.0;893.0;394.0;941.0;-221.0;867.0;1005.0;1030.0;-943.0;-314.0;-944.0
202.0;906.0;372.0;922.0;-204.0;877.0;1001.0;946.0;-930.0;-323.0;-895.0
