InertialMeasurementUnit RLA magneticY;InertialMeasurementUnit BACK magneticY;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit R-SHOE EuX;InertialMeasurementUnit RLA magneticZ;InertialMeasurementUnit RUA magneticZ;InertialMeasurementUnit LLA magneticZ
272.0;-431.0;138.0;74;313.0;318.0;402.0
244.0;-438.0;99.0;74;286.0;303.0;391.0
224.0;-439.0;66.0;74;268.0;287.0;369.0
206.0;-437.0;50.0;74;259.0;273.0;351.0
206.0;-437.0;53.0;74;257.0;272.0;354.0
212.0;-440.0;66.0;74;264.0;283.0;371.0
226.0;-441.0;87.0;74;266.0;283.0;392.0
242.0;-441.0;113.0;74;265.0;280.0;405.0
268.0;-437.0;154.0;74;265.0;274.0;426.0
452.0;-406.0;587.0;74;-547.0;-521.0;-163.0
443.0;-410.0;602.0;74;-555.0;-515.0;-154.0
446.0;-408.0;603.0;74;-551.0;-517.0;-152.0
460.0;-411.0;595.0;74;-541.0;-527.0;-147.0
479.0;-409.0;595.0;74;-528.0;-524.0;-138.0
504.0;-411.0;596.0;74;-509.0;-520.0;-119.0
526.0;-411.0;609.0;74;-486.0;-497.0;-91.0
556.0;-409.0;619.0;74;-446.0;-467.0;-50.0
586.0;-406.0;628.0;74;-397.0;-428.0;3.0
614.0;-403.0;633.0;74;-338.0;-371.0;74.0
629.0;-407.0;633.0;74;-270.0;-305.0;150.0
635.0;-409.0;624.0;74;-194.0;-220.0;226.0
630.0;-411.0;601.0;74;-125.0;-145.0;281.0
610.0;-415.0;564.0;74;-56.0;-80.0;322.0
583.0;-419.0;512.0;74;11.0;-9.0;352.0
547.0;-426.0;453.0;74;78.0;53.0;370.0
497.0;-430.0;386.0;74;149.0;120.0;376.0
447.0;-433.0;323.0;74;209.0;173.0;377.0
400.0;-433.0;268.0;74;263.0;224.0;383.0
345.0;-432.0;211.0;74;295.0;272.0;384.0
303.0;-431.0;153.0;74;307.0;305.0;376.0
266.0;-432.0;95.0;74;303.0;317.0;367.0
236.0;-432.0;48.0;74;290.0;307.0;365.0
222.0;-429.0;13.0;74;279.0;300.0;370.0
215.0;-430.0;-4.0;74;270.0;292.0;366.0
214.0;-435.0;-2.0;74;269.0;293.0;370.0
218.0;-436.0;18.0;74;270.0;286.0;379.0
226.0;-438.0;40.0;74;266.0;279.0;388.0
237.0;-440.0;55.0;74;260.0;277.0;402.0
249.0;-432.0;70.0;74;254.0;270.0;416.0
259.0;-429.0;89.0;74;250.0;265.0;422.0
271.0;-424.0;119.0;74;241.0;255.0;435.0
481.0;-401.0;578.0;74;-530.0;-523.0;-185.0
474.0;-402.0;597.0;74;-535.0;-508.0;-170.0
474.0;-406.0;600.0;74;-538.0;-510.0;-166.0
482.0;-407.0;589.0;74;-533.0;-526.0;-168.0
488.0;-410.0;589.0;74;-526.0;-526.0;-159.0
503.0;-407.0;593.0;74;-515.0;-528.0;-144.0
517.0;-406.0;606.0;74;-502.0;-513.0;-116.0
535.0;-403.0;615.0;74;-482.0;-498.0;-90.0
562.0;-404.0;617.0;74;-449.0;-479.0;-63.0
594.0;-402.0;627.0;74;-408.0;-438.0;-14.0
616.0;-397.0;631.0;74;-354.0;-390.0;45.0
639.0;-394.0;632.0;74;-290.0;-322.0;116.0
651.0;?;613.0;74;-225.0;-256.0;178.0
653.0;?;582.0;74;-154.0;-194.0;232.0
643.0;?;536.0;74;-85.0;-117.0;281.0
614.0;?;482.0;74;-7.0;-36.0;324.0
567.0;?;417.0;74;71.0;49.0;354.0
517.0;-413.0;355.0;74;135.0;121.0;378.0
465.0;-419.0;295.0;74;187.0;178.0;392.0
403.0;-415.0;235.0;74;226.0;228.0;399.0
344.0;-414.0;181.0;74;250.0;269.0;403.0
282.0;-411.0;125.0;74;261.0;?;403.0
239.0;-410.0;79.0;74;259.0;?;402.0
212.0;-412.0;38.0;74;255.0;?;409.0
192.0;-415.0;16.0;74;245.0;?;403.0
182.0;-418.0;7.0;74;241.0;?;393.0
185.0;-419.0;13.0;74;234.0;?;391.0
195.0;-422.0;27.0;74;239.0;?;397.0
204.0;-423.0;38.0;74;243.0;?;400.0
