InertialMeasurementUnit BACK accZ;InertialMeasurementUnit BACK accX;Accelerometer BACK accZ;Accelerometer HIP accZ;Accelerometer HIP accX;Accelerometer BACK accY
410.0;-934.0;-410.0;258.0;-62.0;762.0
192.0;-939.0;-510.0;356.0;-15.0;820.0
190.0;-949.0;-556.0;351.0;-43.0;817.0
193.0;-950.0;-536.0;371.0;-72.0;814.0
237.0;-940.0;-498.0;373.0;-33.0;824.0
190.0;-937.0;-533.0;361.0;-20.0;839.0
231.0;-965.0;-509.0;334.0;-96.0;872.0
169.0;-995.0;-531.0;372.0;-115.0;783.0
259.0;-1066.0;-421.0;392.0;-31.0;868.0
278.0;-971.0;-557.0;355.0;-66.0;818.0
271.0;-998.0;-608.0;404.0;-117.0;834.0
146.0;-983.0;-409.0;374.0;-72.0;868.0
188.0;-950.0;-570.0;372.0;2.0;795.0
190.0;-947.0;-539.0;384.0;30.0;806.0
110.0;-993.0;-477.0;511.0;5.0;904.0
169.0;-972.0;-480.0;358.0;-33.0;884.0
187.0;-959.0;-552.0;365.0;1.0;810.0
135.0;-980.0;-536.0;366.0;22.0;793.0
208.0;-964.0;-518.0;392.0;-12.0;837.0
186.0;-935.0;-510.0;371.0;21.0;848.0
118.0;-943.0;-571.0;281.0;-68.0;839.0
169.0;-975.0;-545.0;364.0;109.0;814.0
401.0;-1257.0;-584.0;339.0;-12.0;955.0
191.0;-953.0;-530.0;415.0;32.0;810.0
213.0;-944.0;-554.0;395.0;10.0;792.0
215.0;-948.0;-541.0;375.0;0.0;809.0
217.0;-943.0;-539.0;373.0;-2.0;809.0
218.0;-941.0;-548.0;352.0;-20.0;810.0
230.0;-921.0;-527.0;404.0;22.0;828.0
218.0;-944.0;-550.0;370.0;-8.0;802.0
218.0;-946.0;-550.0;371.0;-12.0;809.0
159.0;-823.0;-546.0;427.0;84.0;977.0
216.0;-944.0;-560.0;384.0;-8.0;819.0
161.0;-895.0;-468.0;314.0;-17.0;848.0
270.0;-894.0;-492.0;477.0;16.0;877.0
134.0;-888.0;-530.0;364.0;21.0;981.0
154.0;-972.0;-453.0;395.0;-9.0;907.0
209.0;-940.0;-569.0;369.0;-12.0;810.0
219.0;-975.0;-529.0;394.0;-16.0;862.0
215.0;-944.0;-528.0;401.0;-15.0;816.0
297.0;-1011.0;-615.0;173.0;2.0;666.0
227.0;-838.0;-448.0;397.0;129.0;876.0
211.0;-945.0;-517.0;404.0;0.0;799.0
215.0;-949.0;-526.0;407.0;-15.0;814.0
192.0;-943.0;-550.0;449.0;-24.0;815.0
152.0;-905.0;-613.0;468.0;158.0;1164.0
225.0;-946.0;-552.0;340.0;-76.0;737.0
259.0;-906.0;-505.0;344.0;83.0;865.0
248.0;-949.0;-552.0;366.0;3.0;820.0
195.0;-981.0;-509.0;364.0;40.0;866.0
208.0;-949.0;-527.0;419.0;16.0;838.0
202.0;-948.0;-499.0;434.0;-9.0;834.0
156.0;-851.0;-619.0;256.0;-56.0;991.0
250.0;-954.0;-533.0;299.0;-27.0;854.0
163.0;-877.0;-425.0;466.0;41.0;914.0
130.0;-804.0;-618.0;433.0;38.0;859.0
196.0;-932.0;-541.0;425.0;-10.0;813.0
238.0;-953.0;-555.0;382.0;-36.0;783.0
186.0;-974.0;-540.0;457.0;-5.0;856.0
306.0;-959.0;-560.0;435.0;40.0;875.0
253.0;-952.0;-577.0;377.0;-105.0;797.0
292.0;-935.0;-546.0;478.0;-113.0;869.0
138.0;-824.0;-435.0;296.0;-11.0;996.0
38.0;-1003.0;-280.0;432.0;17.0;981.0
272.0;-936.0;-505.0;386.0;-76.0;858.0
112.0;-980.0;-450.0;464.0;-54.0;894.0
267.0;-943.0;-551.0;371.0;-22.0;808.0
263.0;-937.0;-557.0;479.0;-88.0;814.0
191.0;-954.0;-507.0;425.0;-11.0;823.0
182.0;-955.0;-517.0;414.0;5.0;781.0
428.0;-824.0;-460.0;398.0;-1.0;857.0
982.0;-205.0;-765.0;116.0;-311.0;617.0
421.0;-904.0;-454.0;441.0;-154.0;878.0
142.0;-950.0;-510.0;407.0;19.0;817.0
268.0;-943.0;-578.0;379.0;-76.0;809.0
114.0;-945.0;-463.0;331.0;79.0;855.0
275.0;-945.0;-587.0;358.0;-55.0;809.0
219.0;-929.0;-586.0;405.0;-49.0;762.0
171.0;-956.0;-542.0;378.0;60.0;746.0
183.0;-940.0;-525.0;391.0;-12.0;800.0
122.0;-1002.0;-531.0;601.0;-11.0;848.0
182.0;-943.0;-512.0;370.0;-17.0;798.0
102.0;-930.0;-432.0;354.0;7.0;774.0
189.0;-947.0;-518.0;387.0;-19.0;775.0
260.0;-957.0;-600.0;416.0;-209.0;834.0
188.0;-949.0;-512.0;360.0;-13.0;793.0
