InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit R-SHOE Nav_Ay;InertialMeasurementUnit R-SHOE Body_Az;Accelerometer RKN^ accX;Accelerometer RKN^ accZ;InertialMeasurementUnit R-SHOE Nav_Az;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE Body_Ay;InertialMeasurementUnit R-SHOE AngVelBodyFrameX;InertialMeasurementUnit R-SHOE AngVelBodyFrameY
-44;3;799;171.0;-1.0;67;-22;370;22;-44
5;-2;797;173.0;13.0;68;-8;375;8;5
15;-3;801;180.0;7.0;63;6;378;-6;15
-21;?;797;171.0;15.0;69;-14;371;14;-21
-17;?;791;188.0;1.0;71;2;369;-2;-17
2;?;797;211.0;9.0;66;-5;374;5;2
-12;?;800;215.0;-5.0;65;-6;372;6;-12
0;?;796;186.0;11.0;68;28;372;-28;0
25;?;797;181.0;-4.0;69;7;374;-7;25
-7;?;797;149.0;-22.0;66;23;377;-23;-7
-19;?;795;153.0;-42.0;64;40;379;-40;-19
-29;?;793;161.0;-33.0;68;18;373;-18;-29
-22;?;792;161.0;-9.0;71;4;371;-4;-22
4;?;793;167.0;-7.0;69;-10;374;10;4
25;?;797;225.0;-2.0;67;-23;374;23;25
-10;?;798;226.0;-16.0;67;4;375;-4;-10
-10;?;792;195.0;-50.0;68;-6;379;6;-10
22;?;796;201.0;-37.0;64;-15;378;15;22
-2;?;797;177.0;17.0;66;-22;373;22;-2
-41;?;795;199.0;15.0;69;-46;372;46;-41
-45;4;797;180.0;-18.0;67;-34;372;34;-45
-22;3;793;153.0;-50.0;70;-26;370;26;-22
8;-1;795;141.0;-23.0;67;-4;377;4;8
19;2;794;160.0;-38.0;70;12;373;-12;19
26;3;793;171.0;-40.0;72;-1;371;1;26
-5;0;797;172.0;-10.0;68;-30;376;30;-5
-25;1;793;194.0;-22.0;72;-35;374;35;-25
21;-2;795;185.0;-30.0;67;2;377;-2;21
-4;3;797;193.0;-15.0;68;-2;373;2;-4
-33;5;795;214.0;-14.0;71;4;369;-4;-33
-5;2;794;151.0;-16.0;70;-4;372;4;-5
6;2;795;144.0;-13.0;69;-7;372;7;6
4;-1;797;161.0;-20.0;66;64;376;-64;4
-15;0;799;172.0;-22.0;63;62;376;-62;-15
