Accelerometer LUA^ accZ;Accelerometer LUA^ accY;Accelerometer LUA_ accZ;Accelerometer LUA_ accY;InertialMeasurementUnit LUA accY;Accelerometer LWR accY;Accelerometer LH accY;Accelerometer RKN^ accY;InertialMeasurementUnit LLA accX;InertialMeasurementUnit LLA accY;InertialMeasurementUnit LUA accX
263.0;913.0;326.0;902.0;-110.0;846.0;992.0;1011.0;-1060.0;-335.0;-1055.0
257.0;942.0;401.0;944.0;-208.0;871.0;998.0;944.0;-952.0;-340.0;-961.0
274.0;895.0;416.0;927.0;-266.0;863.0;993.0;986.0;-929.0;-394.0;-942.0
179.0;948.0;540.0;897.0;-19.0;749.0;854.0;1049.0;-796.0;-252.0;-1007.0
277.0;904.0;425.0;934.0;-268.0;852.0;995.0;997.0;-921.0;-387.0;-938.0
265.0;892.0;380.0;933.0;-306.0;848.0;1033.0;962.0;-941.0;-440.0;-945.0
31.0;963.0;468.0;931.0;-169.0;766.0;915.0;1020.0;-895.0;-305.0;-805.0
272.0;890.0;425.0;912.0;-264.0;851.0;1008.0;994.0;-930.0;-391.0;-936.0
255.0;912.0;435.0;913.0;-254.0;853.0;998.0;1013.0;-934.0;-369.0;-944.0
262.0;895.0;417.0;924.0;-259.0;839.0;1013.0;1002.0;-938.0;-362.0;-946.0
145.0;928.0;391.0;971.0;-114.0;847.0;859.0;1041.0;-870.0;-327.0;-914.0
109.0;819.0;470.0;1217.0;-142.0;840.0;849.0;996.0;-818.0;-205.0;-899.0
266.0;899.0;419.0;924.0;-254.0;855.0;1025.0;1014.0;-933.0;-362.0;-944.0
264.0;902.0;437.0;924.0;-259.0;859.0;1006.0;1000.0;-937.0;-355.0;-947.0
265.0;902.0;438.0;926.0;-243.0;841.0;1017.0;1010.0;-933.0;-349.0;-944.0
237.0;912.0;441.0;930.0;-248.0;847.0;1022.0;1029.0;-940.0;-343.0;-936.0
254.0;911.0;457.0;920.0;-220.0;877.0;1007.0;1031.0;-935.0;-317.0;-929.0
100.0;917.0;379.0;832.0;-130.0;775.0;902.0;974.0;-882.0;-337.0;-850.0
256.0;912.0;434.0;927.0;-249.0;840.0;1005.0;1001.0;-932.0;-359.0;-943.0
261.0;907.0;423.0;928.0;-254.0;851.0;1015.0;999.0;-925.0;-366.0;-937.0
263.0;892.0;431.0;928.0;-251.0;857.0;1006.0;989.0;-931.0;-382.0;-937.0
273.0;900.0;431.0;929.0;-260.0;834.0;1001.0;1000.0;-930.0;-391.0;-942.0
128.0;757.0;396.0;831.0;-139.0;755.0;905.0;871.0;-793.0;-209.0;-752.0
221.0;866.0;327.0;977.0;-271.0;692.0;608.0;1004.0;-817.0;-513.0;-942.0
250.0;870.0;562.0;864.0;-261.0;710.0;826.0;1007.0;-871.0;-480.0;-919.0
244.0;921.0;422.0;940.0;-214.0;824.0;875.0;1026.0;-919.0;-461.0;-939.0
286.0;900.0;423.0;926.0;-253.0;854.0;1013.0;1003.0;-936.0;-390.0;-942.0
235.0;928.0;414.0;944.0;-239.0;816.0;850.0;1032.0;-921.0;-436.0;-945.0
255.0;927.0;427.0;925.0;-258.0;813.0;858.0;1030.0;-924.0;-400.0;-946.0
265.0;1015.0;378.0;928.0;-244.0;793.0;885.0;1015.0;-1008.0;-347.0;-990.0
