Accelerometer RKN_ accY;Accelerometer LUA_ accX;InertialMeasurementUnit LLA accZ;Accelerometer RKN_ accZ;InertialMeasurementUnit L-SHOE Nav_Az;Accelerometer RKN_ accX;InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit L-SHOE Nav_Ay;InertialMeasurementUnit L-SHOE Body_Az;InertialMeasurementUnit L-SHOE EuY;InertialMeasurementUnit L-SHOE Nav_Ax
976.0;-8.0;-9.0;115.0;17;-115.0;661;-6;728;-41;1
991.0;-39.0;32.0;115.0;17;-141.0;677;12;711;-40;2
989.0;-12.0;11.0;112.0;20;-118.0;653;1;730;-41;-7
987.0;10.0;33.0;105.0;12;-109.0;660;0;736;-41;-4
969.0;9.0;-5.0;112.0;19;-115.0;656;-4;731;-41;-6
1131.0;-137.0;-234.0;91.0;12;-184.0;661;-10;732;-41;7
975.0;127.0;-378.0;55.0;22;-118.0;639;8;741;-41;-5
969.0;8.0;36.0;110.0;17;-114.0;658;1;731;-41;3
994.0;3.0;-376.0;44.0;22;2.0;657;7;724;-40;0
989.0;-409.0;-712.0;79.0;16;-59.0;665;5;724;-40;-2
992.0;-5.0;1.0;76.0;24;-93.0;652;-1;727;-41;2
987.0;16.0;5.0;82.0;21;-113.0;651;2;731;-41;-1
865.0;-241.0;-360.0;-206.0;6;-402.0;681;4;725;-40;-11
998.0;-374.0;-533.0;-358.0;15;-228.0;652;4;738;-43;7
979.0;-236.0;-323.0;7.0;19;28.0;652;3;733;-39;2
963.0;25.0;26.0;112.0;16;-109.0;658;0;731;-41;4
987.0;3.0;-26.0;66.0;14;-68.0;648;-17;744;-41;7
998.0;48.0;28.0;-60.0;18;-36.0;661;2;727;-49;34
1001.0;38.0;-18.0;5.0;16;-79.0;647;-2;741;-41;0
997.0;-232.0;-266.0;-22.0;-12;-64.0;632;-166;811;-45;-31
1002.0;16.0;18.0;98.0;21;-121.0;656;-1;728;-41;4
979.0;29.0;13.0;111.0;17;-118.0;653;1;735;-41;3
989.0;-30.0;13.0;42.0;25;-85.0;648;-19;729;-41;20
988.0;55.0;12.0;101.0;18;-144.0;658;0;729;-41;4
972.0;163.0;34.0;-12.0;52;-48.0;600;48;742;-45;-69
979.0;22.0;-2.0;23.0;52;-116.0;164;35;935;-13;-25
972.0;39.0;7.0;131.0;23;-104.0;652;4;729;-41;-4
