InertialMeasurementUnit BACK accZ;InertialMeasurementUnit BACK accX;Accelerometer BACK accZ;Accelerometer HIP accZ;Accelerometer HIP accX;Accelerometer BACK accY
295.0;-946.0;-552.0;310.0;-8.0;800.0
201.0;-931.0;-521.0;359.0;-6.0;814.0
190.0;-949.0;-556.0;351.0;-43.0;817.0
196.0;-945.0;-535.0;375.0;-37.0;797.0
237.0;-931.0;-503.0;367.0;-39.0;793.0
194.0;-942.0;-542.0;376.0;-11.0;829.0
221.0;-931.0;-511.0;353.0;-64.0;823.0
193.0;-950.0;-536.0;371.0;-72.0;814.0
228.0;-979.0;-499.0;386.0;-37.0;815.0
278.0;-971.0;-557.0;355.0;-66.0;818.0
275.0;-967.0;-631.0;395.0;-86.0;809.0
183.0;-956.0;-506.0;360.0;-52.0;828.0
188.0;-950.0;-570.0;372.0;2.0;795.0
191.0;-946.0;-544.0;377.0;13.0;811.0
183.0;-969.0;-531.0;420.0;-19.0;828.0
185.0;-970.0;-540.0;362.0;-28.0;848.0
187.0;-959.0;-552.0;365.0;1.0;810.0
185.0;-958.0;-550.0;371.0;14.0;804.0
210.0;-956.0;-520.0;383.0;-10.0;838.0
186.0;-935.0;-510.0;371.0;21.0;848.0
192.0;-916.0;-585.0;311.0;-49.0;787.0
190.0;-947.0;-539.0;384.0;30.0;806.0
243.0;-1006.0;-580.0;364.0;-29.0;848.0
201.0;-946.0;-537.0;394.0;11.0;800.0
213.0;-944.0;-554.0;395.0;10.0;792.0
215.0;-948.0;-541.0;375.0;0.0;809.0
217.0;-943.0;-539.0;373.0;-2.0;809.0
218.0;-941.0;-548.0;352.0;-20.0;810.0
218.0;-938.0;-531.0;412.0;1.0;838.0
218.0;-944.0;-550.0;370.0;-8.0;802.0
218.0;-946.0;-550.0;371.0;-12.0;809.0
218.0;-931.0;-538.0;403.0;23.0;838.0
216.0;-944.0;-560.0;384.0;-8.0;819.0
192.0;-939.0;-510.0;356.0;-15.0;820.0
262.0;-892.0;-517.0;449.0;22.0;845.0
190.0;-937.0;-533.0;361.0;-20.0;839.0
208.0;-964.0;-518.0;392.0;-12.0;837.0
209.0;-940.0;-569.0;369.0;-12.0;810.0
209.0;-967.0;-529.0;399.0;-11.0;841.0
215.0;-944.0;-528.0;401.0;-15.0;816.0
261.0;-954.0;-599.0;296.0;-14.0;714.0
230.0;-921.0;-527.0;404.0;22.0;828.0
211.0;-945.0;-517.0;404.0;0.0;799.0
215.0;-949.0;-526.0;407.0;-15.0;814.0
204.0;-942.0;-544.0;414.0;-6.0;825.0
213.0;-969.0;-549.0;391.0;-2.0;860.0
225.0;-946.0;-552.0;340.0;-76.0;737.0
