InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;Accelerometer RUA_ accX;Accelerometer RWR accZ;InertialMeasurementUnit RLA gyroX;InertialMeasurementUnit R-SHOE AngVelNavFrameZ
-159;11;279.0;606.0;5.0;11
-159;-5;286.0;575.0;-57.0;-5
-159;26;417.0;659.0;-115.0;26
-127;514;601.0;886.0;731.0;514
-152;40;583.0;763.0;-49.0;40
-160;33;398.0;723.0;-131.0;33
176;-2;446.0;655.0;238.0;-2
164;-12;419.0;664.0;-146.0;-12
-160;34;391.0;641.0;-81.0;34
-160;9;419.0;712.0;-122.0;9
180;-27;422.0;692.0;108.0;-27
-160;35;427.0;688.0;-29.0;35
-160;42;474.0;704.0;-40.0;42
-160;26;491.0;716.0;-151.0;26
-132;37;594.0;639.0;19.0;37
-157;21;310.0;692.0;-1.0;21
-132;6;590.0;599.0;-97.0;6
-160;45;508.0;745.0;-162.0;45
-132;-19;602.0;633.0;-76.0;-19
-157;24;310.0;687.0;-44.0;24
-135;14;464.0;832.0;18.0;14
-167;117;583.0;780.0;154.0;117
-132;-37;602.0;730.0;67.0;-37
-157;-66;633.0;695.0;39.0;-66
-135;13;517.0;864.0;-38.0;13
-157;22;310.0;680.0;26.0;22
-160;-21;572.0;763.0;-67.0;-21
180;22;464.0;690.0;-332.0;22
-135;16;524.0;762.0;105.0;16
-160;23;546.0;772.0;80.0;23
-163;11;593.0;861.0;69.0;11
-132;5;511.0;538.0;48.0;5
-187;30;479.0;676.0;-145.0;30
-160;-38;436.0;618.0;-83.0;-38
-156;27;674.0;702.0;-247.0;27
-166;109;363.0;677.0;194.0;109
-165;20;573.0;633.0;-139.0;20
-134;7;741.0;752.0;-184.0;7
-157;1;320.0;691.0;74.0;1
-151;-149;572.0;824.0;113.0;-149
-159;74;245.0;655.0;21.0;74
-161;-14;580.0;797.0;92.0;-14
-166;-11;319.0;681.0;-92.0;-11
-157;-2;326.0;692.0;-6.0;-2
-135;-4;442.0;781.0;-75.0;-4
-166;-11;380.0;692.0;21.0;-11
-163;-32;358.0;734.0;-44.0;-32
-140;666;495.0;749.0;-211.0;666
-161;-9;570.0;829.0;-55.0;-9
-175;-25;454.0;679.0;-193.0;-25
-161;-11;509.0;847.0;-60.0;-11
-163;0;352.0;737.0;-1.0;0
-157;-17;423.0;582.0;59.0;-17
-161;-13;473.0;818.0;-7.0;-13
-153;-14;280.0;679.0;-2.0;-14
-167;46;384.0;791.0;-74.0;46
-164;-22;401.0;714.0;-142.0;-22
-164;-4;387.0;692.0;-175.0;-4
-163;-4;394.0;692.0;-178.0;-4
-161;-26;492.0;737.0;64.0;-26
-156;-40;446.0;736.0;-58.0;-40
-167;-29;390.0;688.0;-61.0;-29
-135;3;435.0;815.0;-97.0;3
-167;-7;357.0;539.0;-13.0;-7
-157;33;327.0;692.0;-57.0;33
-167;21;460.0;677.0;44.0;21
-157;41;336.0;682.0;-48.0;41
-157;5;339.0;681.0;-25.0;5
-174;124;336.0;740.0;-35.0;124
-220;-22;335.0;648.0;-17.0;-22
-167;-8;343.0;648.0;118.0;-8
-157;40;524.0;753.0;10.0;40
-157;27;594.0;766.0;-62.0;27
-175;31;601.0;710.0;-98.0;31
-175;18;411.0;730.0;-201.0;18
-177;58;405.0;701.0;178.0;58
-175;-7;432.0;689.0;14.0;-7
-156;-27;436.0;686.0;3.0;-27
-167;-22;361.0;688.0;109.0;-22
-163;11;590.0;774.0;-93.0;11
-167;-14;385.0;704.0;-53.0;-14
-172;-36;407.0;715.0;-2.0;-36
-145;22;277.0;688.0;47.0;22
-164;117;367.0;762.0;-227.0;117
-154;27;315.0;572.0;-290.0;27
-157;6;340.0;686.0;-46.0;6
-157;15;330.0;699.0;-59.0;15
-157;-22;337.0;680.0;-129.0;-22
-157;-40;313.0;687.0;-171.0;-40
-157;10;329.0;681.0;-108.0;10
-157;22;329.0;705.0;-172.0;22
-160;22;310.0;628.0;42.0;22
-157;-5;328.0;675.0;-183.0;-5
-167;22;355.0;711.0;-116.0;22
-167;-21;319.0;662.0;-91.0;-21
-160;45;342.0;638.0;146.0;45
-167;9;321.0;719.0;-112.0;9
-167;18;339.0;622.0;-158.0;18
-160;-6;359.0;629.0;134.0;-6
-156;18;572.0;807.0;-87.0;18
-158;-19;463.0;750.0;94.0;-19
-158;-22;474.0;745.0;43.0;-22
-167;-25;347.0;697.0;-105.0;-25
-160;-1;309.0;595.0;91.0;-1
-160;-13;320.0;599.0;55.0;-13
-160;3;320.0;570.0;31.0;3
-160;-1;321.0;580.0;-34.0;-1
-167;-44;350.0;656.0;-38.0;-44
-158;-13;466.0;748.0;25.0;-13
-158;16;310.0;607.0;-144.0;16
-158;-7;295.0;645.0;29.0;-7
-167;-31;329.0;703.0;14.0;-31
-167;-22;330.0;645.0;-17.0;-22
-146;-40;591.0;605.0;-126.0;-40
-158;19;465.0;723.0;15.0;19
-133;-8;608.0;489.0;-4.0;-8
-147;-6;544.0;601.0;-23.0;-6
-135;12;433.0;780.0;-138.0;12
-157;-14;322.0;702.0;-111.0;-14
-145;130;351.0;441.0;151.0;130
-158;-151;216.0;753.0;-80.0;-151
-151;-1374;872.0;920.0;122.0;-1374
-135;6;425.0;791.0;-155.0;6
-160;-40;341.0;662.0;-75.0;-40
-163;21;547.0;658.0;-22.0;21
-157;-41;423.0;620.0;-194.0;-41
-167;29;328.0;660.0;-135.0;29
-171;265;611.0;888.0;-384.0;265
-167;27;355.0;705.0;-84.0;27
-167;46;391.0;693.0;-19.0;46
-158;2;455.0;736.0;10.0;2
-167;13;367.0;652.0;8.0;13
-158;-29;306.0;663.0;24.0;-29
-132;-285;557.0;771.0;-435.0;-285
-167;29;369.0;662.0;7.0;29
-157;0;580.0;795.0;-125.0;0
-162;-25;377.0;535.0;41.0;-25
-158;-23;344.0;622.0;-28.0;-23
-167;40;379.0;641.0;-17.0;40
-157;17;582.0;754.0;72.0;17
-169;9;457.0;567.0;-180.0;9
-167;-34;385.0;693.0;-26.0;-34
-151;-11;515.0;710.0;100.0;-11
-151;34;303.0;632.0;-61.0;34
-151;35;591.0;804.0;-380.0;35
-162;-29;526.0;695.0;-30.0;-29
-167;-12;381.0;669.0;-11.0;-12
-158;-38;379.0;621.0;-85.0;-38
-158;-19;377.0;695.0;-107.0;-19
-175;-8;408.0;662.0;-162.0;-8
-157;38;552.0;795.0;6.0;38
-139;-16;481.0;646.0;135.0;-16
-175;-20;425.0;704.0;-142.0;-20
-158;-13;360.0;697.0;-138.0;-13
-175;9;365.0;688.0;-116.0;9
-158;-10;445.0;767.0;-48.0;-10
-158;0;435.0;739.0;-75.0;0
176;-3;234.0;637.0;-50.0;-3
-167;33;368.0;675.0;-96.0;33
-159;29;296.0;593.0;-112.0;29
-162;-26;588.0;633.0;-66.0;-26
-160;-12;367.0;777.0;-68.0;-12
-167;50;378.0;665.0;-94.0;50
-167;32;368.0;668.0;88.0;32
-152;-26;332.0;639.0;114.0;-26
