InertialMeasurementUnit BACK accZ;InertialMeasurementUnit BACK accX;Accelerometer BACK accZ;Accelerometer HIP accZ;Accelerometer HIP accX;Accelerometer BACK accY
88.0;-1092.0;-319.0;319.0;-35.0;855.0
-25.0;-901.0;-362.0;339.0;-43.0;932.0
204.0;-758.0;-381.0;347.0;-10.0;985.0
37.0;-896.0;-310.0;286.0;?;955.0
93.0;-946.0;-305.0;316.0;?;991.0
84.0;-1018.0;-370.0;288.0;?;1018.0
46.0;-976.0;-387.0;291.0;?;921.0
63.0;-973.0;-429.0;294.0;?;874.0
93.0;-1017.0;-337.0;303.0;?;869.0
-18.0;-983.0;-106.0;402.0;?;953.0
-31.0;-980.0;-130.0;416.0;63.0;997.0
-12.0;-961.0;-132.0;390.0;76.0;969.0
-31.0;-957.0;-159.0;386.0;66.0;973.0
?;-995.0;-124.0;384.0;29.0;989.0
?;-994.0;-130.0;428.0;44.0;992.0
?;-958.0;-204.0;419.0;56.0;1059.0
?;-995.0;-106.0;430.0;77.0;1012.0
?;-964.0;-42.0;411.0;61.0;1069.0
?;-996.0;-3.0;364.0;68.0;1025.0
?;-1028.0;-64.0;396.0;58.0;1018.0
?;-1059.0;?;425.0;28.0;986.0
?;-1011.0;?;399.0;19.0;970.0
?;-999.0;?;402.0;25.0;987.0
?;-967.0;?;372.0;53.0;1026.0
?;-966.0;?;344.0;22.0;1000.0
?;-985.0;?;351.0;-19.0;969.0
108.0;-1016.0;?;374.0;-39.0;882.0
47.0;-1006.0;?;346.0;-47.0;893.0
71.0;-967.0;?;299.0;-40.0;823.0
131.0;-935.0;-420.0;329.0;-48.0;887.0
105.0;-970.0;-391.0;340.0;11.0;850.0
145.0;?;-411.0;307.0;-37.0;950.0
72.0;?;-337.0;314.0;-29.0;959.0
108.0;?;-346.0;334.0;-10.0;989.0
76.0;?;-341.0;371.0;8.0;967.0
44.0;?;-355.0;375.0;10.0;960.0
11.0;?;-353.0;302.0;31.0;931.0
59.0;?;-366.0;321.0;34.0;886.0
73.0;?;-409.0;338.0;-5.0;894.0
58.0;?;-389.0;316.0;-40.0;924.0
94.0;?;-369.0;336.0;-51.0;919.0
3.0;-976.0;-163.0;418.0;65.0;953.0
4.0;-977.0;-126.0;406.0;25.0;954.0
9.0;-977.0;-117.0;413.0;10.0;976.0
4.0;-970.0;-150.0;425.0;37.0;980.0
-1.0;-963.0;-181.0;425.0;59.0;972.0
-12.0;-980.0;-124.0;422.0;38.0;951.0
-20.0;-977.0;-70.0;409.0;39.0;1008.0
-14.0;-967.0;-26.0;448.0;56.0;1074.0
-37.0;-966.0;39.0;428.0;79.0;1074.0
-59.0;-985.0;58.0;426.0;48.0;1053.0
-72.0;-1021.0;-91.0;405.0;39.0;1017.0
-73.0;-1010.0;-125.0;416.0;38.0;1037.0
-137.0;-1010.0;-116.0;413.0;40.0;1004.0
-84.0;-1008.0;-183.0;388.0;33.0;994.0
-62.0;-1025.0;-270.0;396.0;27.0;992.0
-17.0;-989.0;-289.0;356.0;31.0;1018.0
23.0;-973.0;-284.0;377.0;3.0;977.0
89.0;-985.0;-308.0;379.0;-53.0;961.0
115.0;-1032.0;-499.0;381.0;-52.0;838.0
117.0;-972.0;-334.0;378.0;-39.0;836.0
127.0;-1041.0;-439.0;334.0;-49.0;907.0
206.0;-948.0;-425.0;385.0;3.0;813.0
153.0;-898.0;-411.0;338.0;1.0;859.0
125.0;-922.0;-408.0;339.0;?;906.0
74.0;-906.0;-408.0;355.0;?;934.0
105.0;-927.0;-362.0;368.0;?;915.0
89.0;-970.0;-383.0;354.0;?;906.0
77.0;-980.0;-414.0;347.0;-55.0;893.0
62.0;-955.0;-402.0;348.0;-32.0;882.0
87.0;-942.0;-403.0;327.0;-50.0;931.0
120.0;-955.0;-373.0;349.0;-38.0;901.0
50.0;-976.0;-290.0;395.0;0.0;961.0
48.0;-980.0;-190.0;428.0;11.0;894.0
47.0;-973.0;-102.0;431.0;21.0;983.0
10.0;-986.0;-244.0;415.0;15.0;1085.0
16.0;-921.0;-216.0;410.0;-12.0;994.0
-39.0;-950.0;-251.0;411.0;7.0;1018.0
15.0;-1043.0;-219.0;420.0;13.0;995.0
25.0;-1026.0;-207.0;404.0;41.0;1033.0
41.0;-1008.0;-209.0;417.0;22.0;1020.0
27.0;-1015.0;-199.0;391.0;14.0;1001.0
32.0;-1035.0;-322.0;418.0;34.0;980.0
29.0;-1027.0;-339.0;407.0;80.0;915.0
7.0;-1021.0;-353.0;395.0;29.0;921.0
59.0;-989.0;-405.0;426.0;-10.0;923.0
105.0;-1004.0;-476.0;389.0;-26.0;907.0
97.0;-970.0;-497.0;365.0;-39.0;860.0
121.0;-975.0;-580.0;375.0;-49.0;810.0
167.0;-974.0;-559.0;413.0;-92.0;819.0
186.0;-966.0;-570.0;390.0;-166.0;796.0
194.0;-951.0;-562.0;450.0;-234.0;814.0
216.0;-948.0;-595.0;463.0;-223.0;874.0
222.0;-947.0;-566.0;499.0;-165.0;875.0
228.0;-946.0;-544.0;487.0;-134.0;868.0
216.0;-998.0;-517.0;532.0;-99.0;837.0
209.0;-1013.0;-514.0;493.0;-96.0;844.0
193.0;-1003.0;-525.0;433.0;-78.0;851.0
177.0;-979.0;-534.0;466.0;-99.0;865.0
171.0;-958.0;-512.0;489.0;-148.0;870.0
176.0;-960.0;-512.0;447.0;-160.0;886.0
174.0;-975.0;-483.0;462.0;-135.0;874.0
175.0;-992.0;-497.0;459.0;-93.0;911.0
165.0;-987.0;-481.0;428.0;-61.0;887.0
157.0;-989.0;-502.0;385.0;-68.0;906.0
166.0;-992.0;-549.0;416.0;-140.0;937.0
151.0;-989.0;-513.0;411.0;-188.0;882.0
154.0;-1004.0;-507.0;397.0;-196.0;882.0
162.0;-1031.0;-548.0;401.0;-164.0;832.0
174.0;-1017.0;-562.0;365.0;-107.0;810.0
180.0;-993.0;-554.0;355.0;-107.0;843.0
198.0;-967.0;-554.0;369.0;-205.0;832.0
207.0;-947.0;-559.0;375.0;-252.0;824.0
217.0;-951.0;-566.0;375.0;-212.0;817.0
225.0;-960.0;-559.0;381.0;-218.0;814.0
234.0;-965.0;-545.0;421.0;-171.0;817.0
237.0;-963.0;-568.0;411.0;-148.0;842.0
230.0;-953.0;-554.0;398.0;-140.0;840.0
227.0;-956.0;-540.0;384.0;-136.0;847.0
225.0;-962.0;-559.0;413.0;-138.0;866.0
217.0;-972.0;-537.0;387.0;-137.0;853.0
206.0;-971.0;-526.0;385.0;-147.0;837.0
202.0;-977.0;-505.0;372.0;-139.0;766.0
197.0;-976.0;-563.0;391.0;-155.0;813.0
194.0;-950.0;-375.0;306.0;-134.0;503.0
203.0;-918.0;-571.0;286.0;-107.0;944.0
216.0;-890.0;-849.0;409.0;-98.0;1394.0
190.0;-803.0;-426.0;287.0;-174.0;788.0
238.0;-657.0;-570.0;317.0;-182.0;1082.0
70.0;-1609.0;-400.0;363.0;-14.0;821.0
169.0;-1096.0;-381.0;281.0;50.0;849.0
221.0;-1049.0;-436.0;197.0;-194.0;868.0
133.0;-1023.0;-607.0;282.0;-204.0;938.0
138.0;-849.0;-546.0;394.0;-138.0;914.0
148.0;-906.0;-462.0;378.0;-72.0;896.0
218.0;-1038.0;-430.0;429.0;-24.0;895.0
157.0;-1045.0;-431.0;361.0;19.0;886.0
133.0;-1001.0;-454.0;354.0;-39.0;916.0
128.0;-971.0;-480.0;385.0;-80.0;924.0
151.0;-959.0;-448.0;385.0;-87.0;929.0
146.0;-992.0;-433.0;369.0;-64.0;910.0
137.0;-1006.0;-455.0;355.0;-64.0;930.0
141.0;-1006.0;-442.0;365.0;-80.0;909.0
135.0;-988.0;-440.0;361.0;-79.0;938.0
144.0;-983.0;-411.0;346.0;-72.0;933.0
152.0;-992.0;-432.0;359.0;-54.0;947.0
146.0;-1004.0;-430.0;411.0;-64.0;988.0
137.0;-1009.0;-461.0;429.0;-44.0;990.0
140.0;-1010.0;-449.0;410.0;-40.0;952.0
128.0;-1026.0;-403.0;404.0;-30.0;915.0
140.0;-1073.0;-399.0;385.0;-44.0;914.0
136.0;-1053.0;-471.0;329.0;-73.0;914.0
140.0;-998.0;-489.0;341.0;-125.0;903.0
152.0;-970.0;-478.0;384.0;-118.0;892.0
178.0;-968.0;-472.0;384.0;-130.0;873.0
195.0;-983.0;-494.0;364.0;-169.0;843.0
199.0;-976.0;-489.0;362.0;-178.0;807.0
208.0;-964.0;-548.0;390.0;-171.0;839.0
211.0;-954.0;-557.0;433.0;-120.0;830.0
211.0;-923.0;-547.0;397.0;-81.0;861.0
242.0;-941.0;-558.0;408.0;-104.0;863.0
252.0;-954.0;-547.0;401.0;-163.0;840.0
238.0;-962.0;?;378.0;-192.0;859.0
237.0;-980.0;?;365.0;-171.0;847.0
227.0;-968.0;?;376.0;-173.0;850.0
221.0;-964.0;?;341.0;-188.0;820.0
223.0;-959.0;?;377.0;-209.0;847.0
236.0;-969.0;?;385.0;-172.0;848.0
227.0;-969.0;-519.0;394.0;-158.0;857.0
222.0;-964.0;-521.0;376.0;-129.0;846.0
218.0;-968.0;-517.0;405.0;-137.0;850.0
210.0;-968.0;-510.0;391.0;-138.0;858.0
203.0;-969.0;-509.0;353.0;-158.0;840.0
205.0;-969.0;-523.0;381.0;-129.0;870.0
208.0;-969.0;-475.0;350.0;-136.0;821.0
192.0;-959.0;-478.0;379.0;-108.0;822.0
182.0;-955.0;-354.0;233.0;-92.0;595.0
178.0;-955.0;-656.0;405.0;-80.0;1274.0
171.0;-914.0;-440.0;194.0;-305.0;968.0
190.0;-764.0;-465.0;111.0;-168.0;768.0
308.0;-1190.0;-472.0;218.0;64.0;768.0
224.0;-1226.0;-401.0;74.0;37.0;675.0
203.0;-984.0;-617.0;156.0;-98.0;883.0
181.0;-940.0;-705.0;29.0;-308.0;901.0
204.0;-774.0;-560.0;321.0;-388.0;823.0
249.0;-918.0;-541.0;369.0;-164.0;783.0
300.0;-1091.0;-524.0;283.0;-39.0;772.0
259.0;-986.0;-504.0;233.0;-71.0;846.0
218.0;-926.0;-530.0;280.0;-124.0;834.0
227.0;-904.0;-551.0;306.0;-144.0;821.0
234.0;-929.0;-502.0;328.0;-109.0;829.0
236.0;-963.0;-509.0;315.0;-103.0;831.0
217.0;-963.0;-532.0;265.0;-140.0;848.0
207.0;-955.0;-496.0;285.0;-139.0;876.0
198.0;-953.0;-467.0;324.0;-125.0;888.0
184.0;-963.0;-472.0;346.0;-130.0;881.0
177.0;-977.0;-452.0;318.0;-118.0;911.0
168.0;-991.0;-458.0;359.0;-95.0;914.0
152.0;-993.0;-470.0;387.0;-121.0;942.0
146.0;-996.0;-429.0;360.0;-136.0;939.0
150.0;-1018.0;-431.0;383.0;-139.0;891.0
134.0;-1020.0;-444.0;394.0;-110.0;872.0
142.0;-1034.0;-461.0;395.0;-146.0;854.0
124.0;-991.0;-481.0;375.0;-176.0;858.0
139.0;-982.0;-518.0;385.0;-156.0;853.0
162.0;-969.0;-522.0;370.0;-142.0;842.0
170.0;-960.0;-533.0;355.0;-118.0;843.0
183.0;-957.0;-526.0;384.0;-147.0;868.0
199.0;-958.0;-540.0;372.0;-176.0;856.0
213.0;-965.0;-525.0;362.0;-202.0;871.0
208.0;-976.0;-525.0;391.0;-178.0;869.0
209.0;-982.0;-547.0;380.0;-154.0;859.0
205.0;-990.0;-576.0;389.0;-191.0;831.0
214.0;-987.0;-581.0;372.0;-173.0;837.0
204.0;-982.0;-571.0;409.0;-150.0;829.0
230.0;-970.0;-588.0;426.0;-182.0;839.0
247.0;-964.0;-573.0;384.0;-187.0;847.0
239.0;-960.0;-585.0;422.0;-186.0;835.0
245.0;-965.0;-560.0;415.0;-177.0;843.0
245.0;-961.0;-562.0;425.0;-186.0;838.0
248.0;-963.0;-545.0;395.0;-193.0;819.0
247.0;-968.0;-576.0;419.0;-153.0;831.0
243.0;-969.0;-563.0;439.0;-150.0;838.0
240.0;-953.0;-557.0;457.0;-154.0;797.0
261.0;-962.0;-545.0;436.0;-111.0;846.0
254.0;-964.0;-504.0;403.0;-93.0;753.0
247.0;-956.0;-558.0;384.0;-164.0;832.0
222.0;-951.0;-410.0;305.0;-190.0;576.0
215.0;-928.0;-734.0;372.0;-112.0;1226.0
221.0;-901.0;-607.0;322.0;-205.0;778.0
217.0;-806.0;-585.0;305.0;-370.0;910.0
314.0;-905.0;-585.0;225.0;-79.0;768.0
298.0;-1294.0;-474.0;231.0;31.0;769.0
259.0;-942.0;-512.0;179.0;-40.0;743.0
282.0;-969.0;-673.0;110.0;-186.0;850.0
242.0;-883.0;-644.0;152.0;-324.0;856.0
246.0;-849.0;-557.0;283.0;-326.0;820.0
294.0;-958.0;-617.0;369.0;-164.0;769.0
321.0;-1044.0;-569.0;279.0;-127.0;754.0
294.0;-967.0;-570.0;240.0;-103.0;806.0
289.0;-916.0;-595.0;274.0;-114.0;813.0
263.0;-898.0;-589.0;354.0;-114.0;821.0
258.0;-921.0;-553.0;361.0;-107.0;810.0
274.0;-953.0;-558.0;337.0;-115.0;810.0
272.0;-953.0;-551.0;300.0;-138.0;818.0
261.0;-951.0;-530.0;327.0;-124.0;838.0
