InertialMeasurementUnit RLA magneticY;InertialMeasurementUnit BACK magneticY;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit R-SHOE EuX;InertialMeasurementUnit RLA magneticZ;InertialMeasurementUnit RUA magneticZ;InertialMeasurementUnit LLA magneticZ
-233.0;49.0;-95.0;-148;-671.0;-256.0;9.0
495.0;-326.0;85.0;52;-314.0;-537.0;432.0
-667.0;208.0;114.0;-147;-502.0;158.0;-160.0
-352.0;177.0;18.0;74;-538.0;36.0;-124.0
-326.0;198.0;27.0;98;-537.0;59.0;-91.0
-318.0;200.0;26.0;106;-531.0;66.0;-80.0
31.0;18.0;-27.0;82;-780.0;-355.0;213.0
64.0;-69.0;-171.0;123;-602.0;-419.0;100.0
100.0;-100.0;-179.0;154;-607.0;-483.0;344.0
361.0;-176.0;42.0;7;-379.0;-401.0;345.0
-330.0;101.0;44.0;18;-619.0;-42.0;38.0
-471.0;210.0;-494.0;-101;-417.0;-338.0;-46.0
-480.0;193.0;-546.0;-15;-535.0;-453.0;-209.0
-422.0;158.0;-491.0;-15;-581.0;-472.0;-106.0
-373.0;40.0;-225.0;-21;-392.0;-275.0;81.0
62.0;256.0;96.0;150;-366.0;79.0;-212.0
-413.0;71.0;84.0;131;-679.0;-86.0;45.0
-383.0;92.0;71.0;88;-209.0;42.0;50.0
-369.0;92.0;69.0;89;-217.0;34.0;15.0
-338.0;98.0;66.0;92;-238.0;29.0;-79.0
-296.0;103.0;46.0;98;-276.0;20.0;-231.0
-200.0;154.0;250.0;99;-48.0;291.0;-63.0
-393.0;320.0;-32.0;150;-72.0;236.0;-319.0
-1181.0;437.0;116.0;98;-583.0;515.0;-267.0
-216.0;125.0;3.0;104;-385.0;-12.0;-450.0
-387.0;2.0;472.0;85;-24.0;127.0;-426.0
-79.0;-16.0;-264.0;-19;-447.0;-390.0;-18.0
-224.0;-150.0;-336.0;-20;-727.0;-569.0;-55.0
-714.0;428.0;-173.0;136;-319.0;273.0;-417.0
-569.0;483.0;-394.0;-103;-222.0;229.0;-540.0
-498.0;251.0;-152.0;76;-571.0;-266.0;-366.0
-243.0;217.0;-46.0;64;-502.0;-132.0;-285.0
59.0;-114.0;-56.0;72;-1128.0;-587.0;180.0
183.0;-178.0;52.0;92;-812.0;-533.0;378.0
94.0;-202.0;-193.0;87;-796.0;-560.0;199.0
232.0;-243.0;-132.0;100;-768.0;-643.0;127.0
-107.0;-216.0;-161.0;-15;-795.0;-717.0;60.0
17.0;-318.0;-277.0;133;-909.0;-567.0;-51.0
-187.0;179.0;127.0;63;-474.0;-138.0;-176.0
-309.0;-179.0;262.0;76;-243.0;-218.0;399.0
-164.0;166.0;200.0;62;-453.0;-129.0;-126.0
-242.0;-13.0;-34.0;52;-745.0;-315.0;18.0
-21.0;90.0;466.0;68;-384.0;-81.0;-39.0
-177.0;66.0;-241.0;139;-663.0;-289.0;-9.0
-137.0;88.0;-206.0;126;-625.0;-231.0;21.0
-113.0;99.0;-186.0;126;-611.0;-210.0;35.0
-192.0;68.0;-52.0;138;-675.0;-208.0;47.0
-87.0;-126.0;285.0;119;-492.0;-269.0;32.0
-97.0;-127.0;277.0;119;-503.0;-270.0;41.0
-162.0;81.0;-39.0;132;-670.0;-189.0;42.0
-92.0;-146.0;282.0;120;-533.0;-258.0;99.0
-42.0;-140.0;298.0;119;-609.0;-294.0;6.0
72.0;-336.0;444.0;62;-516.0;-364.0;550.0
-145.0;100.0;-35.0;125;-668.0;-170.0;32.0
-147.0;115.0;-29.0;114;-665.0;-153.0;36.0
-174.0;127.0;-19.0;101;-663.0;-131.0;36.0
-32.0;-149.0;306.0;120;-492.0;-271.0;99.0
-38.0;-148.0;309.0;120;-477.0;-266.0;92.0
-24.0;-146.0;309.0;120;-474.0;-268.0;61.0
-28.0;-142.0;308.0;120;-461.0;-269.0;55.0
-323.0;122.0;64.0;77;-746.0;-122.0;42.0
-293.0;120.0;-17.0;20;-696.0;-121.0;-25.0
-120.0;77.0;-525.0;168;-485.0;-330.0;-250.0
-257.0;204.0;-174.0;70;-570.0;-63.0;167.0
107.0;11.0;-275.0;125;-385.0;-315.0;37.0
22.0;-146.0;308.0;120;-528.0;-288.0;83.0
100.0;-37.0;-208.0;171;-436.0;-395.0;314.0
-160.0;-83.0;337.0;156;-363.0;-148.0;405.0
146.0;-202.0;-231.0;9;-358.0;-494.0;16.0
-146.0;-97.0;173.0;93;-503.0;-231.0;282.0
-217.0;37.0;269.0;88;-564.0;9.0;230.0
-82.0;3.0;316.0;88;-554.0;-39.0;280.0
-142.0;-132.0;249.0;110;-498.0;-220.0;281.0
-50.0;-122.0;342.0;113;-510.0;-269.0;357.0
-92.0;-237.0;235.0;71;-569.0;-392.0;442.0
-263.0;200.0;-174.0;70;-572.0;-61.0;144.0
-32.0;133.0;-548.0;168;-372.0;-249.0;-304.0
-7.0;-142.0;306.0;120;-457.0;-284.0;65.0
9.0;-142.0;307.0;120;-462.0;-285.0;69.0
-2.0;-139.0;307.0;120;-431.0;-280.0;56.0
-352.0;210.0;-216.0;24;-605.0;-90.0;74.0
15.0;127.0;-434.0;142;-245.0;-188.0;-98.0
86.0;-148.0;296.0;120;-496.0;-297.0;93.0
-410.0;331.0;-512.0;63;-579.0;-70.0;-38.0
15.0;110.0;-348.0;118;-216.0;-178.0;-3.0
35.0;-141.0;301.0;120;-410.0;-285.0;62.0
-269.0;189.0;-186.0;69;-559.0;-72.0;39.0
14.0;94.0;-307.0;105;-213.0;-175.0;41.0
149.0;-169.0;466.0;103;-534.0;-304.0;142.0
-259.0;185.0;-170.0;68;-554.0;-77.0;-6.0
55.0;-141.0;292.0;120;-395.0;-281.0;65.0
32.0;-136.0;291.0;120;-350.0;-275.0;54.0
47.0;-134.0;292.0;120;-337.0;-271.0;55.0
92.0;-143.0;294.0;120;-222.0;-262.0;65.0
-235.0;176.0;-149.0;68;-547.0;-87.0;-12.0
53.0;-217.0;408.0;137;-373.0;-124.0;337.0
95.0;-139.0;289.0;120;-342.0;-269.0;82.0
-225.0;171.0;-129.0;66;-536.0;-91.0;6.0
131.0;-148.0;295.0;120;-340.0;-271.0;98.0
297.0;-115.0;409.0;73;-505.0;-176.0;304.0
-224.0;174.0;-117.0;64;-521.0;-99.0;57.0
94.0;-13.0;329.0;88;-487.0;-102.0;289.0
-317.0;78.0;190.0;158;-327.0;48.0;218.0
-221.0;177.0;-117.0;62;-499.0;-97.0;102.0
226.0;-441.0;87.0;74;266.0;283.0;392.0
-92.0;-9.0;27.0;63;-552.0;-193.0;62.0
-233.0;181.0;-133.0;52;-482.0;-97.0;108.0
16.0;78.0;-270.0;107;-217.0;-174.0;80.0
10.0;59.0;-234.0;84;-225.0;-178.0;131.0
-243.0;180.0;-146.0;33;-456.0;-89.0;88.0
-144.0;-40.0;226.0;131;-380.0;-148.0;227.0
-9.0;36.0;-199.0;189;-239.0;-194.0;182.0
184.0;-19.0;-288.0;35;-219.0;-323.0;543.0
-55.0;6.0;-145.0;-189;-266.0;-215.0;273.0
-251.0;181.0;-171.0;17;-437.0;-82.0;57.0
-398.0;-80.0;-51.0;49;25.0;-115.0;678.0
-150.0;95.0;-249.0;21;-40.0;30.0;664.0
-245.0;178.0;-174.0;20;-421.0;-74.0;34.0
-134.0;19.0;-135.0;-183;-310.0;-193.0;265.0
-237.0;176.0;-164.0;38;-411.0;-69.0;27.0
-135.0;24.0;-144.0;-177;-312.0;-185.0;224.0
-135.0;30.0;-159.0;-177;-317.0;-184.0;178.0
-225.0;174.0;-158.0;51;-400.0;-66.0;31.0
-210.0;173.0;-143.0;56;-387.0;-68.0;43.0
-176.0;177.0;-137.0;64;-384.0;-73.0;50.0
-482.0;-23.0;435.0;118;-587.0;-111.0;526.0
-169.0;-43.0;208.0;96;-440.0;-154.0;210.0
-132.0;40.0;-174.0;-179;-312.0;-181.0;117.0
-133.0;48.0;-201.0;-176;-306.0;-177.0;56.0
-133.0;57.0;-226.0;-178;-293.0;-169.0;3.0
-136.0;173.0;-127.0;71;-377.0;-68.0;46.0
-120.0;171.0;-128.0;74;-374.0;-65.0;36.0
12.0;124.0;-128.0;64;-235.0;-82.0;7.0
2.0;127.0;-151.0;61;-219.0;-81.0;9.0
-4.0;128.0;-167.0;50;-205.0;-80.0;9.0
23.0;120.0;-206.0;27;-151.0;-63.0;-4.0
33.0;118.0;-208.0;34;-139.0;-60.0;-7.0
41.0;115.0;-210.0;45;-124.0;-66.0;-7.0
-33.0;39.0;-335.0;-3;38.0;-74.0;-35.0
81.0;108.0;-208.0;53;-108.0;-77.0;-3.0
94.0;108.0;-210.0;70;-112.0;-83.0;4.0
105.0;102.0;-221.0;71;-118.0;-93.0;17.0
114.0;96.0;-227.0;66;-119.0;-102.0;31.0
121.0;96.0;-237.0;65;-123.0;-110.0;35.0
134.0;88.0;-244.0;63;-119.0;-117.0;35.0
157.0;89.0;-249.0;62;-116.0;-120.0;30.0
182.0;86.0;-251.0;62;-102.0;-123.0;34.0
203.0;84.0;-254.0;62;-103.0;-133.0;44.0
-165.0;-44.0;199.0;95;-468.0;-168.0;194.0
-146.0;-44.0;195.0;93;-499.0;-182.0;184.0
-144.0;67.0;-260.0;-178;-282.0;-167.0;-46.0
-193.0;110.0;-373.0;-177;-241.0;-144.0;-164.0
-264.0;184.0;-449.0;-175;-217.0;-89.0;-249.0
-505.0;230.0;-572.0;-99;-429.0;-334.0;-286.0
129.0;58.0;-414.0;68;-19.0;-196.0;-237.0
203.0;77.0;-287.0;57;-120.0;-154.0;32.0
170.0;81.0;-301.0;24;-122.0;-159.0;56.0
159.0;82.0;-306.0;-2;-118.0;-157.0;66.0
149.0;78.0;-311.0;-8;-113.0;-150.0;69.0
259.0;128.0;-372.0;-42;60.0;-173.0;-66.0
69.0;113.0;-390.0;-3;-5.0;-134.0;-28.0
126.0;68.0;-336.0;41;-116.0;-143.0;74.0
132.0;51.0;-335.0;50;-116.0;-143.0;78.0
145.0;46.0;-325.0;58;-134.0;-146.0;74.0
156.0;38.0;-315.0;64;-152.0;-162.0;76.0
266.0;29.0;-309.0;59;-224.0;-246.0;127.0
-514.0;540.0;-588.0;-96;-509.0;-178.0;-636.0
-759.0;646.0;-396.0;150;-150.0;590.0;-580.0
-92.0;-28.0;34.0;67;-543.0;-210.0;54.0
-571.0;239.0;-411.0;-66;-116.0;-3.0;-290.0
-405.0;477.0;-574.0;98;-252.0;194.0;-358.0
-261.0;310.0;-360.0;81;-87.0;126.0;-215.0
287.0;13.0;-372.0;54;-312.0;-295.0;73.0
202.0;42.0;-320.0;42;-256.0;-255.0;50.0
404.0;-114.0;-340.0;0;-363.0;-492.0;210.0
-667.0;298.0;-421.0;-64;-146.0;0.0;-60.0
-269.0;213.0;-313.0;153;-184.0;-38.0;-162.0
-221.0;36.0;-365.0;-4;98.0;-31.0;2.0
-100.0;-43.0;43.0;67;-537.0;-230.0;46.0
-519.0;126.0;-268.0;95;-255.0;-42.0;118.0
-436.0;175.0;-353.0;1;-93.0;195.0;457.0
-121.0;-66.0;53.0;62;-538.0;-247.0;42.0
488.0;-169.0;108.0;91;-390.0;13.0;-283.0
-139.0;-86.0;67.0;56;-542.0;-261.0;50.0
-23.0;-280.0;202.0;151;-858.0;-475.0;480.0
171.0;124.0;-620.0;45;154.0;-70.0;-515.0
-68.0;186.0;-589.0;-15;-114.0;-57.0;-263.0
-67.0;132.0;-536.0;58;-157.0;-99.0;-243.0
-57.0;186.0;-549.0;16;61.0;-54.0;-72.0
-45.0;158.0;-362.0;59;-135.0;-61.0;-100.0
-38.0;165.0;-328.0;59;-146.0;-87.0;-58.0
-37.0;168.0;-322.0;59;-151.0;-98.0;-32.0
-20.0;178.0;-320.0;58;-144.0;-97.0;8.0
1.0;218.0;-350.0;58;-103.0;-68.0;23.0
-148.0;-102.0;86.0;39;-548.0;-277.0;68.0
-85.0;-59.0;188.0;93;-619.0;-256.0;219.0
-99.0;-62.0;181.0;93;-609.0;-240.0;190.0
101.0;-34.0;280.0;171;-489.0;-209.0;-85.0
20.0;-7.0;236.0;163;-525.0;-207.0;-116.0
-3.0;310.0;-390.0;41;-6.0;17.0;-56.0
174.0;316.0;-396.0;52;-117.0;-58.0;124.0
-215.0;-27.0;-275.0;31;163.0;-101.0;311.0
-88.0;383.0;-548.0;-12;46.0;165.0;-144.0
-99.0;24.0;189.0;177;-558.0;-191.0;-158.0
-225.0;-414.0;519.0;74;-871.0;-397.0;489.0
127.0;-243.0;184.0;92;-570.0;-295.0;-161.0
-91.0;-186.0;62.0;91;-661.0;-293.0;-242.0
-75.0;14.0;158.0;162;-425.0;-112.0;-426.0
121.0;152.0;-529.0;-56;69.0;-85.0;-261.0
163.0;110.0;-423.0;-54;-76.0;-170.0;-157.0
150.0;136.0;-521.0;-84;-345.0;-380.0;-209.0
168.0;83.0;-321.0;-66;-179.0;-225.0;-41.0
62.0;79.0;-286.0;42;-232.0;-220.0;-7.0
35.0;81.0;-277.0;192;-235.0;-214.0;11.0
5.0;79.0;-270.0;144;-240.0;-209.0;31.0
-32.0;76.0;-265.0;147;-246.0;-212.0;50.0
-21.0;-42.0;-376.0;-1;-231.0;-368.0;159.0
-483.0;57.0;-399.0;0;-105.0;-134.0;212.0
-177.0;53.0;156.0;-69;-574.0;-175.0;-190.0
-94.0;-67.0;176.0;93;-608.0;-239.0;171.0
156.0;269.0;-609.0;-15;-18.0;-40.0;-217.0
185.0;195.0;-456.0;52;-142.0;-163.0;-88.0
255.0;254.0;-542.0;30;173.0;-81.0;-178.0
-569.0;378.0;-591.0;27;-71.0;80.0;-67.0
-321.0;-55.0;315.0;-168;-729.0;-127.0;220.0
-250.0;-120.0;278.0;176;-763.0;-235.0;350.0
-161.0;-132.0;300.0;143;-588.0;-230.0;216.0
-175.0;-105.0;228.0;80;-575.0;-246.0;152.0
-175.0;-85.0;206.0;94;-583.0;-239.0;130.0
-80.0;-64.0;170.0;93;-613.0;-242.0;141.0
-273.0;-65.0;-435.0;23;-72.0;-319.0;-127.0
-202.0;-50.0;-143.0;-34;-340.0;-306.0;76.0
-266.0;-24.0;240.0;121;-664.0;-214.0;155.0
-161.0;-80.0;189.0;100;-592.0;-243.0;114.0
-133.0;-76.0;181.0;102;-602.0;-250.0;106.0
