InertialMeasurementUnit RLA magneticY;InertialMeasurementUnit BACK magneticY;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit R-SHOE EuX;InertialMeasurementUnit RLA magneticZ;InertialMeasurementUnit RUA magneticZ;InertialMeasurementUnit LLA magneticZ
-104.0;5.0;56.0;58;-779.0;-276.0;147.0
-292.0;136.0;-599.0;1;-21.0;-158.0;-336.0
-253.0;371.0;-553.0;75;-209.0;82.0;-251.0
-238.0;281.0;-470.0;72;-189.0;42.0;-163.0
-388.0;422.0;-375.0;10;-292.0;166.0;-267.0
-246.0;308.0;-356.0;81;-72.0;128.0;-203.0
-202.0;289.0;-411.0;71;-172.0;37.0;-144.0
-213.0;291.0;-440.0;70;-178.0;15.0;-120.0
-219.0;290.0;-465.0;68;-177.0;-2.0;-107.0
-445.0;61.0;-221.0;-21;-364.0;-227.0;112.0
-491.0;216.0;-502.0;-101;-397.0;-328.0;-54.0
-355.0;186.0;-475.0;-94;-512.0;-399.0;-65.0
-426.0;213.0;-525.0;-100;-557.0;-375.0;-158.0
-277.0;19.0;-236.0;-21;-412.0;-315.0;48.0
-202.0;9.0;-245.0;-20;-418.0;-334.0;29.0
62.0;256.0;96.0;150;-366.0;79.0;-212.0
90.0;258.0;99.0;150;-368.0;73.0;-212.0
111.0;256.0;106.0;150;-371.0;61.0;-204.0
129.0;252.0;108.0;150;-371.0;56.0;-202.0
149.0;245.0;113.0;150;-367.0;49.0;-195.0
171.0;240.0;123.0;150;-368.0;39.0;-181.0
193.0;220.0;151.0;150;-386.0;8.0;-148.0
210.0;207.0;163.0;150;-394.0;-8.0;-135.0
229.0;192.0;174.0;150;-401.0;-25.0;-119.0
245.0;180.0;186.0;150;-410.0;-40.0;-106.0
263.0;171.0;199.0;149;-418.0;-57.0;-91.0
-79.0;-16.0;-264.0;-19;-447.0;-390.0;-18.0
-45.0;-66.0;-302.0;-19;-558.0;-533.0;-83.0
-213.0;-151.0;-358.0;-19;-713.0;-585.0;-66.0
-922.0;283.0;-443.0;-59;-266.0;-57.0;299.0
-346.0;206.0;-211.0;9;-604.0;-86.0;83.0
-352.0;210.0;-216.0;24;-605.0;-90.0;74.0
-762.0;487.0;-648.0;-58;-719.0;-52.0;-158.0
-858.0;343.0;-532.0;-59;-538.0;-12.0;202.0
-349.0;226.0;-181.0;47;-604.0;-98.0;107.0
-308.0;230.0;-168.0;48;-613.0;-97.0;149.0
-265.0;228.0;-165.0;57;-616.0;-84.0;196.0
26.0;-442.0;525.0;75;-885.0;-502.0;565.0
-98.0;-355.0;404.0;72;-554.0;-436.0;569.0
-271.0;218.0;-193.0;69;-603.0;-64.0;213.0
-42.0;-145.0;292.0;119;-586.0;-296.0;34.0
-86.0;-210.0;306.0;115;-603.0;-317.0;-73.0
-600.0;172.0;118.0;178;-496.0;110.0;-163.0
-665.0;498.0;7.0;-96;-192.0;273.0;-129.0
-445.0;28.0;102.0;149;-348.0;-62.0;-31.0
-612.0;136.0;145.0;170;-446.0;-15.0;-14.0
-529.0;44.0;45.0;166;-401.0;-65.0;-202.0
-87.0;-126.0;285.0;119;-492.0;-269.0;32.0
-97.0;-127.0;277.0;119;-503.0;-270.0;41.0
-42.0;-157.0;259.0;119;-589.0;-310.0;236.0
-103.0;-138.0;267.0;119;-538.0;-260.0;100.0
-40.0;-152.0;300.0;120;-563.0;-280.0;94.0
-90.0;-144.0;291.0;120;-509.0;-259.0;172.0
-27.0;-272.0;412.0;119;-619.0;-404.0;271.0
-24.0;-206.0;307.0;119;-635.0;-353.0;139.0
-271.0;207.0;-191.0;71;-577.0;-63.0;214.0
-32.0;-149.0;306.0;120;-492.0;-271.0;99.0
-38.0;-148.0;309.0;120;-477.0;-266.0;92.0
-24.0;-146.0;309.0;120;-474.0;-268.0;61.0
-28.0;-142.0;308.0;120;-461.0;-269.0;55.0
-261.0;204.0;-177.0;71;-575.0;-66.0;195.0
27.0;-151.0;307.0;120;-560.0;-289.0;114.0
7.0;-147.0;306.0;120;-516.0;-285.0;76.0
-257.0;204.0;-174.0;70;-570.0;-63.0;167.0
22.0;-146.0;308.0;120;-528.0;-288.0;83.0
0.0;-140.0;307.0;120;-491.0;-284.0;78.0
31.0;-147.0;307.0;120;-553.0;-292.0;96.0
20.0;-145.0;307.0;120;-534.0;-290.0;86.0
-273.0;-65.0;-435.0;23;-72.0;-319.0;-127.0
-331.0;117.0;-299.0;-28;56.0;-19.0;-11.0
-36.0;199.0;-482.0;-7;124.0;25.0;38.0
-36.0;80.0;-380.0;-3;34.0;-60.0;-56.0
-35.0;19.0;-320.0;-3;52.0;-80.0;-28.0
-182.0;-41.0;-347.0;-5;89.0;-72.0;28.0
-291.0;96.0;-266.0;-25;41.0;-35.0;180.0
-263.0;200.0;-174.0;70;-572.0;-61.0;144.0
6.0;-143.0;308.0;120;-485.0;-287.0;75.0
-7.0;-142.0;306.0;120;-457.0;-284.0;65.0
9.0;-142.0;307.0;120;-462.0;-285.0;69.0
-2.0;-139.0;307.0;120;-431.0;-280.0;56.0
-272.0;197.0;-181.0;69;-570.0;-58.0;102.0
149.0;-169.0;466.0;103;-534.0;-304.0;142.0
32.0;-145.0;304.0;120;-471.0;-284.0;80.0
-277.0;195.0;-188.0;69;-566.0;-63.0;69.0
59.0;-149.0;301.0;120;-485.0;-287.0;90.0
35.0;-141.0;301.0;120;-410.0;-285.0;62.0
-269.0;189.0;-186.0;69;-559.0;-72.0;39.0
136.0;-242.0;175.0;92;-562.0;-274.0;-175.0
