InertialMeasurementUnit RLA Quaternion3;InertialMeasurementUnit RUA Quaternion3;InertialMeasurementUnit LUA Quaternion2;InertialMeasurementUnit LLA Quaternion4;InertialMeasurementUnit LUA Quaternion4;InertialMeasurementUnit RLA Quaternion1;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit RUA Quaternion1
-148.0;-372.0;56.0;-334.0;128.0;61.0;85.0;-229.0
-22.0;-220.0;64.0;-261.0;59.0;281.0;45.0;-131.0
45.0;-206.0;51.0;-293.0;96.0;232.0;110.0;-122.0
48.0;-209.0;58.0;-289.0;104.0;222.0;85.0;-130.0
-84.0;-343.0;-59.0;-377.0;214.0;68.0;141.0;-290.0
-71.0;-330.0;-55.0;-345.0;195.0;93.0;146.0;-270.0
-23.0;-324.0;-80.0;-327.0;201.0;67.0;165.0;-285.0
52.0;-211.0;67.0;-292.0;114.0;219.0;56.0;-129.0
46.0;-216.0;82.0;-315.0;124.0;223.0;26.0;-130.0
-163.0;-261.0;50.0;-250.0;32.0;187.0;-40.0;-232.0
-169.0;-264.0;45.0;-248.0;39.0;213.0;-24.0;-225.0
-174.0;-267.0;42.0;-244.0;42.0;234.0;-12.0;-216.0
-179.0;-271.0;40.0;-241.0;43.0;244.0;-1.0;-205.0
-182.0;-206.0;113.0;-210.0;17.0;330.0;-23.0;-244.0
-169.0;-517.0;67.0;-199.0;32.0;368.0;-107.0;-179.0
-49.0;-293.0;27.0;-370.0;208.0;82.0;8.0;-276.0
-46.0;-286.0;35.0;-349.0;183.0;101.0;-4.0;-260.0
-42.0;-277.0;42.0;-326.0;156.0;120.0;-11.0;-247.0
-34.0;-268.0;48.0;-302.0;128.0;139.0;-11.0;-235.0
-23.0;-256.0;52.0;-274.0;101.0;159.0;-8.0;-220.0
-6.0;-242.0;56.0;-246.0;76.0;184.0;-2.0;-199.0
12.0;-225.0;61.0;-213.0;49.0;212.0;-1.0;-173.0
29.0;-210.0;74.0;-171.0;17.0;241.0;-11.0;-144.0
-205.0;-287.0;40.0;-232.0;43.0;261.0;25.0;-187.0
-215.0;-288.0;41.0;-230.0;42.0;260.0;31.0;-185.0
-222.0;-290.0;42.0;-229.0;42.0;259.0;35.0;-183.0
-227.0;-292.0;42.0;-229.0;43.0;259.0;38.0;-182.0
-189.0;-26.0;-486.0;279.0;110.0;-444.0;329.0;-132.0
87.0;-196.0;-4.0;-262.0;140.0;220.0;40.0;-127.0
68.0;-214.0;7.0;-264.0;141.0;180.0;20.0;-158.0
52.0;-227.0;14.0;-273.0;153.0;155.0;-4.0;-181.0
44.0;-231.0;27.0;-284.0;164.0;144.0;-38.0;-192.0
-138.0;-322.0;-5.0;-249.0;92.0;62.0;98.0;-266.0
-124.0;-311.0;27.0;-223.0;65.0;95.0;69.0;-241.0
-111.0;-302.0;52.0;-203.0;44.0;123.0;44.0;-219.0
-101.0;-292.0;72.0;-186.0;29.0;147.0;28.0;-198.0
-91.0;-277.0;89.0;-172.0;17.0;171.0;18.0;-175.0
-69.0;-292.0;44.0;-206.0;36.0;107.0;17.0;-299.0
41.0;-257.0;58.0;-349.0;148.0;167.0;41.0;-203.0
-104.0;-219.0;54.0;-177.0;-43.0;206.0;41.0;-197.0
-137.0;-250.0;48.0;-185.0;-35.0;170.0;48.0;-207.0
-166.0;-273.0;42.0;-191.0;-27.0;147.0;56.0;-213.0
52.0;-255.0;51.0;-304.0;121.0;170.0;56.0;-192.0
58.0;-249.0;41.0;-266.0;96.0;184.0;72.0;-184.0
-248.0;-476.0;-196.0;-636.0;602.0;434.0;260.0;-434.0
-64.0;-261.0;110.0;-338.0;141.0;206.0;-26.0;-218.0
-13.0;-232.0;77.0;-204.0;-10.0;247.0;85.0;-131.0
-30.0;-247.0;64.0;-211.0;19.0;235.0;89.0;-143.0
-43.0;-261.0;69.0;-216.0;31.0;223.0;81.0;-155.0
-31.0;-233.0;47.0;-271.0;73.0;226.0;61.0;-172.0
-32.0;-250.0;31.0;-279.0;84.0;163.0;74.0;-209.0
-25.0;-266.0;18.0;-286.0;94.0;107.0;86.0;-239.0
-14.0;-279.0;6.0;-293.0;104.0;62.0;98.0;-262.0
-12.0;-290.0;-3.0;-301.0;114.0;22.0;107.0;-283.0
-45.0;-321.0;-98.0;-278.0;305.0;130.0;41.0;-224.0
-47.0;-321.0;-105.0;-264.0;287.0;154.0;57.0;-217.0
-43.0;-318.0;-105.0;-248.0;265.0;183.0;71.0;-204.0
-40.0;-310.0;-100.0;-234.0;238.0;215.0;80.0;-184.0
-50.0;-298.0;-87.0;-220.0;207.0;232.0;84.0;-160.0
-62.0;-296.0;-69.0;-202.0;174.0;243.0;80.0;-149.0
-59.0;-294.0;-47.0;-186.0;142.0;263.0;72.0;-130.0
-52.0;-287.0;-18.0;-177.0;109.0;287.0;63.0;-93.0
-43.0;-277.0;1.0;-186.0;97.0;316.0;57.0;-62.0
44.0;-244.0;-17.0;-346.0;193.0;187.0;122.0;-194.0
33.0;-255.0;-14.0;-349.0;192.0;153.0;115.0;-224.0
30.0;-264.0;-18.0;-361.0;205.0;130.0;112.0;-243.0
-5.0;-266.0;52.0;-370.0;180.0;124.0;13.0;-251.0
-9.0;-261.0;54.0;-349.0;161.0;135.0;16.0;-245.0
-11.0;-256.0;55.0;-326.0;142.0;148.0;23.0;-237.0
-8.0;-250.0;55.0;-303.0;121.0;166.0;33.0;-226.0
-1.0;-242.0;55.0;-279.0;100.0;189.0;43.0;-210.0
5.0;-236.0;56.0;-255.0;79.0;213.0;50.0;-191.0
2.0;-230.0;63.0;-226.0;52.0;229.0;46.0;-173.0
-9.0;-228.0;78.0;-189.0;17.0;238.0;32.0;-161.0
81.0;-240.0;51.0;-236.0;74.0;206.0;49.0;-152.0
75.0;-249.0;44.0;-249.0;95.0;180.0;44.0;-171.0
-29.0;-271.0;42.0;-128.0;38.0;246.0;-4.0;-157.0
63.0;-259.0;43.0;-256.0;109.0;155.0;32.0;-194.0
52.0;-266.0;46.0;-268.0;119.0;137.0;22.0;-216.0
47.0;-270.0;39.0;-289.0;144.0;130.0;19.0;-227.0
45.0;-267.0;45.0;-315.0;165.0;136.0;11.0;-229.0
1.0;-255.0;71.0;-347.0;181.0;153.0;-27.0;-208.0
-1.0;-251.0;75.0;-333.0;164.0;164.0;-33.0;-195.0
0.0;-246.0;81.0;-312.0;142.0;180.0;-37.0;-187.0
2.0;-239.0;85.0;-287.0;117.0;196.0;-38.0;-181.0
6.0;-230.0;88.0;-257.0;92.0;211.0;-38.0;-174.0
15.0;-220.0;90.0;-225.0;64.0;225.0;-36.0;-164.0
62.0;260.0;-92.0;192.0;16.0;-314.0;-38.0;77.0
10.0;138.0;-225.0;-43.0;180.0;-259.0;96.0;85.0
506.0;402.0;-218.0;-6.0;224.0;-485.0;176.0;-65.0
61.0;-219.0;-48.0;-269.0;217.0;156.0;75.0;-181.0
50.0;-212.0;-11.0;-302.0;233.0;150.0;23.0;-183.0
40.0;-203.0;1.0;-316.0;241.0;150.0;3.0;-176.0
25.0;-202.0;13.0;-326.0;245.0;148.0;-15.0;-177.0
11.0;-210.0;24.0;-327.0;235.0;147.0;-32.0;-183.0
2.0;-218.0;32.0;-321.0;221.0;148.0;-47.0;-186.0
-6.0;-226.0;41.0;-307.0;201.0;150.0;-60.0;-188.0
-11.0;-231.0;49.0;-287.0;178.0;156.0;-69.0;-190.0
-13.0;-232.0;56.0;-260.0;153.0;165.0;-75.0;-192.0
-99.0;-335.0;97.0;-281.0;67.0;167.0;-18.0;-227.0
-98.0;-335.0;92.0;-283.0;74.0;165.0;-16.0;-228.0
-93.0;-334.0;88.0;-288.0;81.0;166.0;-11.0;-229.0
-87.0;-335.0;86.0;-293.0;87.0;163.0;-4.0;-231.0
-83.0;-337.0;86.0;-294.0;89.0;157.0;0.0;-235.0
-81.0;-338.0;88.0;-289.0;87.0;149.0;2.0;-239.0
-79.0;-339.0;91.0;-282.0;84.0;141.0;2.0;-243.0
-78.0;-340.0;93.0;-276.0;81.0;134.0;2.0;-246.0
-76.0;-342.0;95.0;-270.0;78.0;128.0;4.0;-251.0
-24.0;-335.0;6.0;-268.0;123.0;123.0;76.0;-326.0
-16.0;-329.0;5.0;-246.0;109.0;144.0;85.0;-312.0
-19.0;-323.0;17.0;-211.0;86.0;155.0;76.0;-294.0
-29.0;-322.0;38.0;-174.0;53.0;156.0;53.0;-284.0
-95.0;-381.0;43.0;-200.0;58.0;141.0;54.0;-245.0
-108.0;-388.0;31.0;-216.0;74.0;131.0;67.0;-258.0
-118.0;-394.0;17.0;-231.0;92.0;120.0;81.0;-273.0
-128.0;-398.0;4.0;-248.0;110.0;102.0;98.0;-290.0
-26.0;-317.0;-67.0;-260.0;147.0;82.0;150.0;-262.0
-37.0;-312.0;-49.0;-232.0;120.0;106.0;135.0;-250.0
-82.0;-339.0;70.0;-234.0;59.0;105.0;33.0;-278.0
-78.0;-333.0;65.0;-239.0;62.0;106.0;33.0;-278.0
-74.0;-325.0;62.0;-243.0;67.0;109.0;33.0;-277.0
-68.0;-316.0;59.0;-249.0;71.0;115.0;32.0;-276.0
