InertialMeasurementUnit LUA gyroY;InertialMeasurementUnit R-SHOE Nav_Ax;InertialMeasurementUnit LUA gyroZ;Accelerometer HIP accY;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit LLA gyroY;InertialMeasurementUnit L-SHOE AngVelNavFrameZ;InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE Body_Ax;InertialMeasurementUnit LLA gyroZ;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ
13.0;-1;2.0;949.0;-23;27.0;5;23;259;16.0;5
-5.0;-4;0.0;918.0;3;4.0;14;-3;266;43.0;14
24.0;1;-8.0;919.0;7;43.0;-19;-7;268;34.0;-19
6.0;4;1.0;934.0;15;21.0;4;-15;272;34.0;4
8.0;-2;8.0;933.0;22;6.0;15;-22;267;35.0;15
5.0;0;10.0;924.0;-3;12.0;2;3;270;38.0;2
6.0;-5;18.0;927.0;-11;33.0;-15;11;265;59.0;-15
15.0;4;4.0;926.0;20;23.0;-5;-20;273;34.0;-5
25.0;4;8.0;925.0;-2;-15.0;-15;2;272;46.0;-15
6.0;-1;50.0;930.0;11;39.0;4;-11;269;42.0;4
15.0;0;29.0;941.0;-3;10.0;18;3;268;40.0;18
12.0;0;31.0;930.0;-2;-26.0;-4;2;269;47.0;-4
-42.0;1;38.0;929.0;-5;-4.0;-15;5;270;33.0;-15
20.0;0;12.0;926.0;-11;21.0;5;11;271;42.0;5
4.0;2;4.0;927.0;7;26.0;-31;-7;271;59.0;-31
-5.0;0;35.0;925.0;6;7.0;-9;-6;269;64.0;-9
72.0;-4;86.0;944.0;0;43.0;-14;0;281;71.0;-14
8.0;1;72.0;937.0;-9;15.0;-14;9;271;75.0;-14
-27.0;-1;22.0;918.0;-4;21.0;-13;4;271;93.0;-13
-13.0;-2;22.0;908.0;19;-3.0;0;-19;269;50.0;0
-23.0;0;31.0;920.0;5;20.0;9;-5;270;69.0;9
