InertialMeasurementUnit LUA Quaternion3;InertialMeasurementUnit LUA Quaternion1;InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit RUA Quaternion4;InertialMeasurementUnit RLA Quaternion4;InertialMeasurementUnit BACK Quaternion2;InertialMeasurementUnit BACK Quaternion4;InertialMeasurementUnit RUA Quaternion2;InertialMeasurementUnit RLA Quaternion2;InertialMeasurementUnit LLA Quaternion1
-477.0;-534.0;579.0;-376.0;-908.0;63.0;-229.0;240.0;149.0;-89.0
-650.0;-304.0;608.0;-604.0;-779.0;-16.0;-40.0;255.0;-129.0;-379.0
-650.0;-304.0;606.0;-605.0;-780.0;-16.0;-39.0;255.0;-129.0;-379.0
-307.0;-739.0;290.0;-554.0;-879.0;38.0;77.0;461.0;390.0;568.0
-101.0;-679.0;170.0;-832.0;-710.0;59.0;125.0;424.0;495.0;426.0
-649.0;-304.0;605.0;-604.0;-781.0;-17.0;-38.0;255.0;-129.0;-379.0
-656.0;-299.0;612.0;-626.0;-733.0;-9.0;-25.0;251.0;-96.0;-403.0
-656.0;-298.0;613.0;-626.0;-714.0;-4.0;-29.0;239.0;-106.0;-403.0
-655.0;-297.0;612.0;-631.0;-696.0;2.0;-34.0;228.0;-111.0;-404.0
-654.0;-297.0;610.0;-639.0;-681.0;9.0;-41.0;217.0;-119.0;-406.0
-652.0;-297.0;607.0;-645.0;-667.0;18.0;-48.0;203.0;-130.0;-409.0
-650.0;-298.0;604.0;-650.0;-654.0;25.0;-53.0;185.0;-145.0;-412.0
-612.0;-538.0;587.0;-725.0;-485.0;372.0;-271.0;469.0;-99.0;-146.0
-562.0;-670.0;695.0;-540.0;-864.0;-88.0;-50.0;409.0;398.0;439.0
-588.0;-669.0;862.0;-574.0;-798.0;-96.0;54.0;392.0;230.0;128.0
-580.0;-674.0;859.0;-563.0;-787.0;-87.0;43.0;402.0;244.0;137.0
-573.0;-679.0;854.0;-557.0;-781.0;-78.0;31.0;408.0;259.0;146.0
-567.0;-684.0;849.0;-554.0;-776.0;-69.0;18.0;411.0;272.0;154.0
-560.0;-690.0;844.0;-553.0;-772.0;-64.0;7.0;414.0;280.0;157.0
-579.0;-741.0;869.0;-614.0;-780.0;-83.0;221.0;629.0;425.0;294.0
-550.0;-703.0;840.0;-550.0;-766.0;-61.0;-5.0;416.0;285.0;168.0
-550.0;-707.0;840.0;-555.0;-769.0;-59.0;-9.0;408.0;286.0;177.0
-549.0;-710.0;836.0;-565.0;-773.0;-58.0;-19.0;405.0;284.0;184.0
-548.0;-712.0;834.0;-571.0;-776.0;-58.0;-29.0;398.0;274.0;186.0
-543.0;-709.0;826.0;-574.0;-778.0;-60.0;-35.0;387.0;264.0;190.0
-537.0;-704.0;817.0;-574.0;-780.0;-55.0;-47.0;374.0;252.0;197.0
-529.0;-696.0;808.0;-570.0;-780.0;-47.0;-59.0;359.0;239.0;203.0
-520.0;-687.0;798.0;-563.0;-780.0;-38.0;-73.0;344.0;224.0;208.0
-512.0;-680.0;787.0;-554.0;-780.0;-29.0;-88.0;330.0;210.0;211.0
-546.0;-497.0;764.0;-308.0;-666.0;67.0;-174.0;216.0;67.0;-59.0
-549.0;-498.0;767.0;-317.0;-670.0;65.0;-171.0;221.0;68.0;-65.0
-550.0;-502.0;768.0;-325.0;-676.0;61.0;-168.0;224.0;69.0;-65.0
-547.0;-507.0;767.0;-333.0;-680.0;57.0;-164.0;229.0;70.0;-56.0
-542.0;-516.0;765.0;-339.0;-682.0;53.0;-161.0;234.0;72.0;-42.0
