InertialMeasurementUnit BACK gyroY;InertialMeasurementUnit RLA gyroY;InertialMeasurementUnit RUA gyroY;Accelerometer LUA^ accX;Accelerometer RWR accX;Accelerometer RUA^ accX;InertialMeasurementUnit RLA accY;Accelerometer BACK accX;InertialMeasurementUnit L-SHOE AngVelNavFrameX;InertialMeasurementUnit L-SHOE AngVelBodyFrameY;InertialMeasurementUnit L-SHOE Body_Ax
90.0;3.0;-38.0;321.0;-266.0;63.0;320.0;156.0;-2;-2;5
-32.0;46.0;-54.0;333.0;-269.0;31.0;296.0;165.0;-10;-10;15
80.0;224.0;277.0;402.0;-243.0;93.0;381.0;276.0;-96;-96;3
85.0;-132.0;190.0;365.0;-404.0;228.0;340.0;245.0;6;6;-11
-16.0;73.0;62.0;459.0;-362.0;126.0;320.0;342.0;-365;-365;18
-199.0;21.0;-716.0;435.0;36.0;215.0;655.0;183.0;-26;-26;23
13.0;28.0;-27.0;413.0;-64.0;115.0;515.0;179.0;-29;-29;15
-81.0;102.0;-76.0;463.0;-113.0;208.0;570.0;82.0;-2;-2;16
-98.0;566.0;170.0;426.0;56.0;127.0;890.0;297.0;10;10;20
-86.0;170.0;326.0;268.0;27.0;170.0;530.0;25.0;-19;-19;36
-24.0;104.0;19.0;409.0;-87.0;95.0;501.0;191.0;5;5;21
6.0;214.0;-16.0;324.0;-36.0;74.0;517.0;135.0;15;15;12
-36.0;170.0;-5.0;429.0;-200.0;142.0;426.0;167.0;-21;-21;9
-79.0;335.0;-23.0;132.0;-458.0;-42.0;180.0;141.0;4300;4300;291
22.0;35.0;36.0;596.0;-313.0;-60.0;213.0;190.0;-20;-20;15
-48.0;190.0;4.0;576.0;-359.0;-83.0;215.0;135.0;-27;-27;25
-28.0;-92.0;26.0;366.0;-157.0;16.0;312.0;65.0;-64;-64;100
-25.0;8.0;-29.0;450.0;-157.0;203.0;546.0;69.0;-25;-25;22
-42.0;-2.0;-44.0;366.0;-220.0;106.0;537.0;90.0;-26;-26;26
-29.0;15.0;17.0;449.0;-199.0;167.0;589.0;224.0;4;4;16
-113.0;-12.0;257.0;552.0;-219.0;27.0;452.0;248.0;12;12;32
-2.0;13.0;20.0;525.0;-175.0;85.0;502.0;138.0;-6;-6;26
8.0;43.0;-2.0;541.0;-167.0;81.0;500.0;156.0;19;19;24
-165.0;11.0;-68.0;579.0;-83.0;182.0;533.0;49.0;-37;-37;21
-40.0;61.0;21.0;525.0;-210.0;81.0;495.0;140.0;9;9;25
-25.0;-42.0;-76.0;435.0;-148.0;142.0;728.0;238.0;17;17;19
-22.0;43.0;6.0;533.0;-39.0;77.0;538.0;129.0;-25;-25;23
-32.0;3.0;12.0;540.0;-159.0;84.0;505.0;154.0;11;11;29
-35.0;-3.0;-50.0;501.0;-141.0;196.0;537.0;81.0;-1;-1;23
-50.0;-9.0;-10.0;501.0;-193.0;74.0;536.0;144.0;-22;-22;26
-401.0;90.0;144.0;464.0;-9.0;88.0;694.0;183.0;-73;-73;53
-47.0;-134.0;21.0;493.0;-313.0;94.0;348.0;266.0;-104;-104;31
-340.0;306.0;245.0;684.0;-133.0;164.0;638.0;282.0;-107;-107;358
-32.0;-52.0;-8.0;527.0;-230.0;100.0;534.0;139.0;21;21;26
-11.0;-68.0;31.0;478.0;-153.0;202.0;523.0;71.0;-34;-34;22
-3.0;20.0;-24.0;526.0;-167.0;81.0;539.0;134.0;8;8;23
-25.0;-41.0;-23.0;544.0;-177.0;56.0;528.0;144.0;10;10;24
-29.0;-1.0;11.0;527.0;-145.0;91.0;530.0;154.0;10;10;23
6.0;-40.0;2.0;534.0;-174.0;87.0;517.0;135.0;-13;-13;26
-2.0;76.0;-40.0;485.0;-179.0;188.0;548.0;38.0;2;2;20
-3.0;2.0;-23.0;560.0;-155.0;180.0;529.0;87.0;13;13;21
6.0;3.0;-15.0;537.0;-168.0;91.0;524.0;155.0;2;2;25
-38.0;-11.0;-6.0;532.0;-185.0;72.0;528.0;168.0;-13;-13;29
3.0;17.0;-14.0;373.0;-461.0;-156.0;457.0;138.0;-8;-8;12
-9.0;20.0;16.0;533.0;-121.0;84.0;533.0;148.0;-1;-1;22
-96.0;85.0;-190.0;392.0;-240.0;130.0;423.0;306.0;-55;-55;5
-13.0;-1.0;-32.0;408.0;-302.0;137.0;466.0;153.0;-53;-53;11
-408.0;417.0;283.0;437.0;-165.0;161.0;319.0;324.0;22;22;15
-341.0;308.0;264.0;361.0;-146.0;27.0;415.0;364.0;-94;-94;66
-65.0;103.0;94.0;352.0;-208.0;47.0;405.0;225.0;-18;-18;44
-29.0;407.0;297.0;303.0;-189.0;-5.0;658.0;165.0;24;24;28
-396.0;1371.0;947.0;490.0;-146.0;209.0;495.0;277.0;-12;-12;45
-72.0;85.0;26.0;371.0;-161.0;36.0;435.0;211.0;-6;-6;45
-95.0;96.0;21.0;357.0;-220.0;18.0;432.0;215.0;4;4;46
-44.0;49.0;8.0;367.0;-222.0;30.0;430.0;209.0;13;13;47
22.0;125.0;-78.0;373.0;-288.0;49.0;484.0;122.0;-6;-6;6
-7.0;-8.0;28.0;466.0;-165.0;189.0;538.0;66.0;8;8;28
30.0;106.0;82.0;525.0;-121.0;238.0;582.0;91.0;10;10;19
39.0;278.0;-354.0;296.0;-311.0;-103.0;509.0;98.0;-2;-2;7
-113.0;336.0;-110.0;234.0;-133.0;-2.0;547.0;90.0;-28;-28;33
-3.0;-13.0;-13.0;548.0;-129.0;180.0;536.0;66.0;-36;-36;26
16.0;23.0;-30.0;529.0;-150.0;67.0;515.0;144.0;-21;-21;26
-77.0;-83.0;-1164.0;255.0;-405.0;-67.0;390.0;19.0;-9;-9;33
124.0;-598.0;-397.0;390.0;-342.0;216.0;448.0;84.0;-2;-2;28
-444.0;92.0;-75.0;350.0;-142.0;68.0;504.0;271.0;127;127;149
9.0;212.0;33.0;419.0;-51.0;-9.0;402.0;366.0;-11;-11;-4
-121.0;6.0;-129.0;294.0;-226.0;-49.0;482.0;31.0;109;109;13
-37.0;23.0;35.0;340.0;-189.0;37.0;425.0;221.0;-12;-12;48
-12.0;117.0;153.0;281.0;-497.0;35.0;461.0;82.0;-2;-2;4
20.0;-28.0;29.0;387.0;-283.0;67.0;490.0;135.0;-5;-5;5
-131.0;-99.0;-161.0;316.0;-30.0;19.0;531.0;103.0;1;1;-1
129.0;-59.0;-50.0;384.0;-252.0;11.0;432.0;228.0;-14;-14;21
17.0;-827.0;-221.0;347.0;-208.0;75.0;191.0;280.0;-74;-74;26
-35.0;-50.0;48.0;442.0;-415.0;-51.0;545.0;105.0;19;19;0
9.0;-15.0;23.0;378.0;-355.0;65.0;446.0;144.0;-2;-2;9
-26.0;-27.0;-38.0;413.0;-337.0;55.0;467.0;143.0;0;0;9
16.0;-53.0;-135.0;370.0;-302.0;46.0;453.0;154.0;8;8;7
-27.0;-3.0;-29.0;409.0;-259.0;114.0;397.0;130.0;-24;-24;9
-43.0;56.0;-26.0;399.0;-334.0;106.0;380.0;147.0;-22;-22;11
-212.0;607.0;130.0;410.0;-137.0;230.0;444.0;363.0;9;9;-1
-310.0;2651.0;462.0;328.0;-420.0;-63.0;995.0;347.0;128;128;2
-22.0;41.0;-4.0;541.0;-184.0;95.0;538.0;151.0;1;1;20
-413.0;901.0;-152.0;418.0;-252.0;-31.0;838.0;7.0;82;82;201
-51.0;78.0;-44.0;414.0;-338.0;83.0;502.0;156.0;-16;-16;10
-13.0;5.0;1.0;539.0;-155.0;71.0;531.0;133.0;-34;-34;27
-14.0;-15.0;57.0;464.0;-139.0;201.0;564.0;77.0;-27;-27;24
-13.0;46.0;-36.0;561.0;-171.0;85.0;517.0;149.0;-18;-18;26
133.0;209.0;125.0;410.0;-165.0;39.0;547.0;214.0;288;288;232
-15.0;30.0;5.0;457.0;-170.0;28.0;496.0;222.0;18;18;23
84.0;444.0;218.0;418.0;-169.0;190.0;248.0;351.0;1152;1152;1758
15.0;23.0;-3.0;441.0;-186.0;38.0;501.0;225.0;-5;-5;37
16.0;41.0;-38.0;528.0;-151.0;86.0;525.0;157.0;8;8;28
11.0;35.0;-25.0;438.0;-167.0;58.0;537.0;238.0;-4;-4;29
224.0;-228.0;91.0;449.0;36.0;22.0;685.0;310.0;14;14;34
71.0;-44.0;-1.0;442.0;-172.0;54.0;512.0;223.0;-25;-25;31
23.0;-69.0;4.0;399.0;-153.0;212.0;425.0;281.0;-28;-28;7
94.0;-100.0;141.0;491.0;49.0;209.0;676.0;354.0;23;23;7
5.0;-85.0;-88.0;446.0;-161.0;-11.0;385.0;372.0;10;10;0
5.0;-9.0;-22.0;447.0;-138.0;55.0;516.0;242.0;8;8;31
3.0;-18.0;5.0;455.0;-154.0;38.0;517.0;239.0;-5;-5;28
-6.0;-163.0;-29.0;408.0;-227.0;115.0;599.0;324.0;2;2;9
63.0;153.0;55.0;494.0;-217.0;65.0;516.0;415.0;-14;-14;-26
66.0;147.0;115.0;433.0;-16.0;16.0;494.0;354.0;-47;-47;8
98.0;-32.0;36.0;487.0;-114.0;142.0;520.0;412.0;-16;-16;14
494.0;-665.0;-552.0;240.0;-77.0;128.0;814.0;58.0;-1879;-1879;125
17.0;130.0;-44.0;427.0;-129.0;53.0;642.0;211.0;-17;-17;66
58.0;28.0;-70.0;436.0;-147.0;93.0;537.0;221.0;6;6;26
3.0;30.0;-38.0;457.0;-133.0;67.0;528.0;245.0;-51;-51;27
-480.0;-159.0;38.0;455.0;-304.0;22.0;275.0;562.0;-11;-11;-6
-163.0;59.0;-45.0;534.0;-135.0;174.0;525.0;374.0;-21;-21;12
3.0;-110.0;-107.0;495.0;39.0;238.0;691.0;410.0;-24;-24;13
94.0;-28.0;-108.0;428.0;-49.0;97.0;601.0;207.0;4;4;30
-26.0;4.0;0.0;529.0;-160.0;103.0;525.0;154.0;-4;-4;26
-37.0;-55.0;113.0;378.0;-219.0;83.0;595.0;125.0;-36;-36;7
93.0;-189.0;-284.0;441.0;114.0;115.0;679.0;240.0;-6;-6;24
-52.0;0.0;-29.0;393.0;-112.0;264.0;554.0;154.0;-2;-2;21
-46.0;35.0;-128.0;267.0;49.0;-26.0;259.0;-294.0;-91;-91;52
23.0;-29.0;-16.0;356.0;-244.0;27.0;390.0;156.0;-3;-3;13
53.0;-107.0;-19.0;316.0;-211.0;18.0;409.0;201.0;1;1;43
471.0;-202.0;-159.0;393.0;-264.0;150.0;349.0;231.0;-195;-195;-21
2.0;23.0;-15.0;535.0;-180.0;95.0;524.0;153.0;-9;-9;22
-23.0;8.0;-13.0;534.0;-177.0;103.0;529.0;148.0;10;10;26
15.0;-1.0;-18.0;541.0;-169.0;85.0;529.0;142.0;13;13;25
-269.0;114.0;68.0;610.0;-296.0;54.0;389.0;222.0;51;51;27
-130.0;149.0;11.0;342.0;-324.0;22.0;316.0;112.0;-17;-17;18
-42.0;94.0;-1.0;322.0;-300.0;5.0;310.0;118.0;-22;-22;14
-41.0;71.0;-20.0;352.0;-271.0;59.0;305.0;122.0;1;1;5
4.0;23.0;-36.0;339.0;-280.0;36.0;299.0;126.0;-36;-36;13
101.0;-183.0;-294.0;413.0;-431.0;3.0;436.0;117.0;-3225;-3225;-540
2.0;-27.0;-61.0;338.0;-275.0;41.0;291.0;135.0;-29;-29;5
7.0;-36.0;-101.0;339.0;-297.0;20.0;283.0;128.0;11;11;23
-2.0;29.0;-5.0;321.0;-311.0;-3.0;269.0;150.0;20;20;7
-12.0;95.0;17.0;324.0;-355.0;-8.0;264.0;152.0;-9;-9;15
-38.0;-13.0;27.0;329.0;-308.0;19.0;266.0;160.0;-5;-5;9
-79.0;-4.0;-29.0;322.0;-280.0;-11.0;300.0;165.0;13;13;8
-44.0;-68.0;-31.0;348.0;-309.0;16.0;309.0;148.0;5;5;11
-45.0;13.0;-22.0;361.0;-289.0;11.0;315.0;162.0;1;1;15
-3.0;51.0;-12.0;361.0;-311.0;-12.0;310.0;151.0;12;12;18
-76.0;248.0;47.0;331.0;-304.0;54.0;302.0;202.0;14;14;17
-9.0;47.0;37.0;329.0;-316.0;38.0;296.0;157.0;-11;-11;15
-29.0;33.0;-10.0;341.0;-319.0;9.0;260.0;165.0;5;5;19
-33.0;59.0;-36.0;303.0;-362.0;-3.0;228.0;125.0;2;2;45
-33.0;22.0;39.0;330.0;-357.0;16.0;265.0;160.0;3;3;8
-38.0;38.0;-11.0;352.0;-319.0;28.0;276.0;169.0;-8;-8;19
-20.0;24.0;12.0;352.0;-326.0;18.0;290.0;162.0;-4;-4;19
-24.0;20.0;-25.0;337.0;-315.0;22.0;332.0;163.0;0;0;15
-1.0;54.0;39.0;409.0;-201.0;11.0;334.0;200.0;40;40;47
33.0;17.0;-9.0;323.0;-289.0;15.0;338.0;171.0;-19;-19;11
101.0;-33.0;-49.0;419.0;-324.0;-27.0;254.0;150.0;-14;-14;32
39.0;29.0;1.0;335.0;-300.0;66.0;296.0;161.0;22;22;15
